作品No.	聖地No.	確定	都道府県	市区郡	聖地名	郵便番号	住所	住所２	座標：緯度	座標：経度	SV	倍率	SV過去	Fov	Zoom	電話番号	作品	作品名フリガナ	備考	公式サイトURL	情報参照元URL	備考2	市区町村読み仮名	作品名50音	県順	市順	域順	実在
0679	0001		神奈川県	鎌倉市	荏柄天神社	248-0002	神奈川県鎌倉市二階堂74		35.325852	139.564311	"https://www.google.co.jp/maps/@35.32569,139.564276,3a,33.9y,12.24h,95.62t/data=!3m5!1e1!3m3!1sfICBgICU86YAAAQphVu-Ig!2e0!3e11?hl=ja"					0467-25-1772	ハナヤマタ	ハナヤマタ	参道の石段や門、社務所や手水舎、燈籠などが忠実に描かれていましたが、なぜか社殿だけは建物構造が異なります。	http://www1.kamakuranet.ne.jp/egara/			カマクラシ	ハ	14	11	2	
0679	0002		神奈川県	鎌倉市	丸型ポスト	248-0005	神奈川県鎌倉市雪ノ下4-4		35.322918	139.562658	"https://www.google.co.jp/maps/@35.322839,139.562706,3a,15y,342.64h,83.9t/data=!3m4!1e1!3m2!1s-trFWRM2pwb7SOpvi5wIXw!2e0?hl=ja"				5		ハナヤマタ	ハナヤマタ	第4話。直前カットの橋は形状こそ異なりますが、大御堂橋かと思われます。				カマクラシ	ハ	14	11	2	
0679	0003		神奈川県	鎌倉市	鎌倉駅東口前	248-0006	神奈川県鎌倉市小町1-1-1		35.318882	139.550836	"https://www.google.co.jp/maps/@35.3189061,139.550923,3a,26y,257.97h,85.51t/data=!3m6!1e1!3m4!1s8HiNzEBJPBKygRDwvhQ6wg!2e0!7i13312!8i6656"						ハナヤマタ	ハナヤマタ	第3話で、関谷なるが笹目ヤヤに待ち合わせをすっぽかされていた場所。				カマクラシ	ハ	14	11	2	
0679	0004		神奈川県	鎌倉市	納言志るこ店	248-0006	神奈川県鎌倉市小町1-5-10		35.319677	139.551621							ハナヤマタ	ハナヤマタ	第2話で、関谷なるとハナ・N・フォンテーンスタンドがあんみつを食べていた甘味処。				カマクラシ	ハ	14	11	2	
0679	0005		神奈川県	鎌倉市	はんなりいなりの看板	248-0006	神奈川県鎌倉市小町1-5-27	カトレヤビル	35.320945	139.552096	"https://www.google.co.jp/maps/@35.3210563,139.5520942,3a,21y,179.49h,102.23t/data=!3m6!1e1!3m4!1sgjj8As-XJJdp661AIwh2Og!2e0!7i13312!8i6656?hl=ja"				4		ハナヤマタ	ハナヤマタ	第3話				カマクラシ	ハ	14	11	2	
0679	0006		神奈川県	鎌倉市	和茶房 鎌倉 さくらの夢見屋 小町通り店	248-0006	神奈川県鎌倉市小町2-7-34		35.321343	139.552165	"https://www.google.co.jp/maps/@35.3213505,139.552242,3a,42.3y,244.87h,87.21t/data=!3m6!1e1!3m4!1seEyJYAEfMq_CpylyI4UDlA!2e0!7i13312!8i6656"						ハナヤマタ	ハナヤマタ	大船勝の経営する「よさこいショップ勝」のモデル。第2話。第3話。第5話。				カマクラシ	ハ	14	11	2	
0679	0007		神奈川県	鎌倉市	段葛 こ寿々	248-0006	神奈川県鎌倉市小町2-13-4		35.321578	139.553884	"https://www.google.co.jp/maps/@35.3215667,139.553744,3a,44.2y,76.22h,96.19t/data=!3m6!1e1!3m4!1sbME4wsRxCU2S5jjywWf5bA!2e0!7i13312!8i6656"						ハナヤマタ	ハナヤマタ	笹目ヤヤの親が営んでいる蕎麦屋「さゝめ」のモデル。第2話。第3話。第5話				カマクラシ	ハ	14	11	2	
0679	0008		神奈川県	鎌倉市	小町通りアーチ	248-0006	神奈川県鎌倉市小町2-10		35.320093	139.551617	"https://www.google.co.jp/maps/@35.3222985,139.5527131,3a,35y,206.17h,109.49t/data=!3m6!1e1!3m4!1sSrpNmegRTmZS8EeILCZmHA!2e0!7i13312!8i6656"				3.5		ハナヤマタ	ハナヤマタ	第3話				カマクラシ	ハ	14	11	2	
0679	0009		神奈川県	鎌倉市	焼刃稲荷	248-0011	神奈川県鎌倉市扇ヶ谷1-10		35.322897	139.550018	-						ハナヤマタ	ハナヤマタ	第1話。第4話				カマクラシ	ハ	14	11	2	
0679	0010		神奈川県	鎌倉市	寿福寺 トンネル	248-0011	神奈川県鎌倉市扇ガ谷1-13		35.323563	139.548963	"https://www.google.co.jp/maps/@35.3236092,139.5490392,3a,35.3y,166.41h,93.55t/data=!3m8!1e1!3m6!1sCAoSLEFGMVFpcE9WcW9xemhMS0QyMXdjRFA2aENkME9uOGFyVFVjOTlidV9US0NC!2e10!3e11!6shttps:%2F%2Flh5.googleusercontent.com%2Fp%2FAF1QipOVqoqzhLKD21wcDP6hCd0On8arTUc99bu_TKCB%3Dw203-h100-k-no-pi-0-ya87.32935-ro-0-fo100!7i3203!8i982?hl=ja"						ハナヤマタ	ハナヤマタ	第1話、第2話、第4話、第6話と、関谷なるが外出の際に通るトンネル。				カマクラシ	ハ	14	11	2	
0679	0011		神奈川県	鎌倉市	寿福寺踏切	248-0011	神奈川県鎌倉市扇ガ谷1-14		35.324693	139.550465	"https://www.google.co.jp/maps/@35.324799,139.550602,3a,28y,224.41h,87.23t/data=!3m4!1e1!3m2!1soAA2NJXhbOCQ7p3sXZBHZQ!2e0?hl=ja"						ハナヤマタ	ハナヤマタ	第4話で、学校帰りの西御門多美が電車の通過待ちをしていた踏切。				カマクラシ	ハ	14	11	2	
0679	0012		神奈川県	鎌倉市	九品寺前交差点	248-0013	神奈川県鎌倉市材木座6-1		35.307156	139.552232	"https://www.google.co.jp/maps/@35.3072917,139.5523076,3a,35.2y,201.26h,96.47t/data=!3m6!1e1!3m4!1ssA6REoK_ZGImigqjPPpavQ!2e0!7i13312!8i6656?hl=ja"				3.5		ハナヤマタ	ハナヤマタ	第12話。交差点から南を望む構図で、道路の左右の建物が描かれていました。				カマクラシ	ハ	14	11	2	
0679	0013		神奈川県	鎌倉市	御霊神社前の踏切	248-0021	神奈川県鎌倉市坂ノ下6		35.310795	139.533108	"https://www.google.co.jp/maps/@35.3107415,139.5331716,3a,45.9y,317.27h,89.49t/data=!3m7!1e1!3m5!1sfrWSaTD7v1nR3eM4HuXGUg!2e0!6s%2F%2Fgeo0.ggpht.com%2Fcbk%3Fpanoid%3DfrWSaTD7v1nR3eM4HuXGUg%26output%3Dthumbnail%26cb_client%3Dmaps_sv.tactile.gps%26thumb%3D2%26w%3D203%26h%3D100%26yaw%3D115.11482%26pitch%3D0%26thumbfov%3D100!7i13312!8i6656"						ハナヤマタ	ハナヤマタ	第1話				カマクラシ	ハ	14	11	2	
0679	0014		神奈川県	鎌倉市	鎌倉高校前の踏切	248-0033	神奈川県鎌倉市腰越1-1		35.306590	139.502097							ハナヤマタ	ハナヤマタ	オープニング。第1話。				カマクラシ	ハ	14	11	2	
0679	0015		神奈川県	鎌倉市	江ノ島電鉄 鎌倉高校前駅	248-0033	神奈川県鎌倉市腰越1-1-25		35.306745	139.500872	"https://www.google.co.jp/maps/@35.3067272,139.5009623,3a,33.4y,262.3h,84.61t/data=!3m6!1e1!3m4!1sCAoSLEFGMVFpcE5VdjhFdUR5Wm96dVU4UmFVdzJ3d2FSVWpRallDN25TT0lOX3Q3!2e10!7i5300!8i2650"				3.5		ハナヤマタ	ハナヤマタ	第9話				カマクラシ	ハ	14	11	2	
0679	0016		神奈川県	平塚市	JR 平塚駅	254-0034	神奈川県平塚市宝町1-1		35.328265	139.350525							ハナヤマタ	ハナヤマタ	第5話				ヒラツカシ	ハ	14	16	2	
0679	0017		神奈川県	平塚市	ウェンディーズ・ファーストキッチン 平塚店	254-0043	神奈川県平塚市紅谷町1-9		35.328782	139.349894							ハナヤマタ	ハナヤマタ	第5話				ヒラツカシ	ハ	14	16	2	
