作品No.	聖地No.	確定	都道府県	市区郡	聖地名	郵便番号	住所	住所２	座標：緯度	座標：経度	SV	倍率	SV過去	Fov	Zoom	電話番号	作品	作品名フリガナ	備考	公式サイトURL	情報参照元URL	備考2	市区町村読み仮名	作品名50音	県順	市順	域順	実在
0689	0001		栃木県	芳賀郡	日下田藍染工房	321-4218	栃木県芳賀郡益子町城内坂1		36.463934	140.100283	-					0285-72-3162	ハル	ハル					ハガグン	ハ	9	16	2	
0689	0002		京都府	京都市	叡電 貴船口駅	601-1112	京都府京都市左京区鞍馬貴船町		35.105950	135.763744							ハル	ハル					キョウトシ	ハ	26	10	5	
0689	0003		京都府	京都市	下鴨神社 糺ノ森	606-0807	京都府京都市左京区下鴨泉川町59		35.037837	135.773483							ハル	ハル				座標不明確	キョウトシ	ハ	26	10	5	
0689	0004		京都府	京都市	鴨川デルタ	606-8204	京都府京都市左京区田中下柳町		35.029434	135.771982							ハル	ハル					キョウトシ	ハ	26	10	5	
0689	0005		京都府	京都市	河合橋	606-8204	京都府京都市左京区田中下柳町		35.030471	135.772282							ハル	ハル					キョウトシ	ハ	26	10	5	
0689	0006		京都府	京都市	京阪電鉄 出町柳駅 4番出入口	606-8204	京都府京都市左京区田中下柳町		35.030201	135.772565							ハル	ハル					キョウトシ	ハ	26	10	5	
0689	0007		京都府	京都市	踏切	606-8214	京都府京都市左京区田中南大久保町		35.034451	135.779368	"https://www.google.co.jp/maps/@35.034507,135.779421,3a,51.7y,194.34h,74.28t/data=!3m6!1e1!3m4!1s9H0RVhwWlJnKG5kSP4-IWg!2e0!7i13312!8i6656?hl=ja"						ハル	ハル	引き取った「きりん」を運ぶ荒波先生とハルが電車の通過待ちをしていた踏切。				キョウトシ	ハ	26	10	5	
0689	0008		京都府	京都市	夷川発電所	606-8357	京都府京都市左京区聖護院蓮華蔵町		35.015644	135.775343							ハル	ハル					キョウトシ	ハ	26	10	5	
0689	0009		京都府	京都市	園芸店タネゲン	602-0822	京都府京都市上京区青龍町266−2		35.029756	135.770573						075-231-3537	ハル	ハル			http://tanegen.blog.fc2.com/		キョウトシ	ハ	26	10	5	
0689	0010		京都府	京都市	蜂蜜専門店ドラート 京都西陣本店	602-8447	京都府京都市上京区紋屋町323		35.031857	135.747965						075-411-5101	ハル	ハル	つぐみのざっか屋「くも」のモデル。	http://www.dorato.net/			キョウトシ	ハ	26	10	5	
0689	0011		京都府	京都市	大正製パン所	602-8473	京都府京都市上京区般舟院前町136		35.029674	135.743164	"https://www.google.co.jp/maps/@35.029712,135.743088,3a,60.9y,171.69h,89.11t/data=!3m7!1e1!3m5!1s_i0n6iHHVqpS5eaaGo_2dg!2e0!3e2!7i13312!8i6656"					075-441-3888	ハル	ハル					キョウトシ	ハ	26	10	5	
0689	0012		京都府	京都市	三条大橋	604-8004	京都府京都市中京区中島町		35.009053	135.771791	"https://www.google.co.jp/maps/@35.008928,135.772279,3a,18.2y,263.12h,88.02t/data=!3m6!1e1!3m4!1shQwxWflhwvEoSvcJV_pJTw!2e0!7i13312!8i6656?hl=ja"						ハル	ハル					キョウトシ	ハ	26	10	5	
0689	0013		京都府	京都市	先斗町	604-8014	京都府京都市中京区柏屋町		35.003973	135.771025	"https://www.google.co.jp/maps/@35.0041217,135.7710454,2a,20.9y,187.16h,97t/data=!3m6!1e1!3m4!1s0fXl3OHIZExc2TCzdGyQcw!2e0!7i13312!8i6656"						ハル	ハル	通りに実在するパーツを組み合わせて作画されているようで、完全一致する地点はありませんが、入口の提灯が並んだゲートや、先斗町の紋章である千鳥がデザインされた提灯などが確認できます。				キョウトシ	ハ	26	10	5	
0689	0014		京都府	京都市	錦天満宮	604-8042	京都府京都市中京区中之町537		35.005025	135.767381	"https://www.google.co.jp/maps/@35.005022,135.767289,3a,75y,90t/data=!3m8!1e2!3m6!1s42264748!2e1!3e10!6s%2F%2Fstorage.googleapis.com%2Fstatic.panoramio.com%2Fphotos%2Fsmall%2F42264748.jpg!7i3072!8i2304?hl=ja"					075-231-5732	ハル	ハル		http://nishikitenmangu.or.jp/			キョウトシ	ハ	26	10	5	
0689	0015		京都府	京都市	四寅	604-8052	京都府京都市中京区鍛治屋町221		35.005070	135.766291	"https://www.google.co.jp/maps/@35.005031,135.766345,3a,40y,306.12h,79.35t/data=!3m6!1e1!3m4!1s5EHPdi8T0rAdJ3qcEQKTNg!2e0!7i13312!8i6656?hl=ja"					075-221-2730	ハル	ハル					キョウトシ	ハ	26	10	5	
0689	0016		京都府	京都市	三木鶏卵	604-8055	京都府京都市中京区東魚屋町182		35.005045	135.764714	"https://www.google.co.jp/maps/@35.004976,135.764713,3a,54.6y,324.39h,74.58t/data=!3m7!1e1!3m5!1sso7i7Z3CPqoAEAM2tFDc4w!2e0!3e5!7i13312!8i6656"					075-221-1585	ハル	ハル					キョウトシ	ハ	26	10	5	
0689	0017		京都府	京都市	八坂神社	605-0073	京都府京都市東山区祇園町北側625		35.003643	135.778575	"https://www.google.co.jp/maps/@35.003482,135.778351,3a,42y,54.38h,99.59t/data=!3m8!1e1!3m6!1sVfwGxPQGgRYAAAQZWSpvow!2e0!3e11!6s%2F%2Fgeo2.ggpht.com%2Fcbk%3Fpanoid%3DVfwGxPQGgRYAAAQZWSpvow%26output%3Dthumbnail%26cb_client%3Dmaps_sv.tactile.gps%26thumb%3D2%26w%3D100%26h%3D80%26yaw%3D250.48747%26pitch%3D0!7i8704!8i4352?hl=ja"						ハル	ハル					キョウトシ	ハ	26	10	5	
