作品No.	聖地No.	確定	都道府県	市区郡	聖地名	郵便番号	住所	住所２	座標：緯度	座標：経度	SV	倍率	SV過去	Fov	Zoom	電話番号	作品	作品名フリガナ	備考	公式サイトURL	情報参照元URL	備考2	市区町村読み仮名	作品名50音	県順	市順	域順	実在
0691	0001	完了	千葉県	千葉市	京成千葉駅	260-0028	千葉県千葉市中央区新町250-3		35.612006	140.113988	"https://www.google.co.jp/maps/@35.612089,140.113953,3a,30.5y,165.46h,89.84t/data=!3m6!1e1!3m4!1sQ4_B58m2BbLKF1ee4ghx5g!2e0!7i13312!8i6656?hl=ja"	17.0		120	2.5		ハロー!!きんいろモザイク	ハローキンイロモザイク	第10話冒頭で、海水浴に行く大宮忍たち一行が、JR線への乗り換えのために下車した駅で、西口から出てくる忍たちの姿が描かれていました。				チバシ	ハ	12	1	2	
0691	0002	完了	千葉県	千葉市	JR 千葉駅	260-0031	千葉県千葉市中央区新千葉1-1-1		35.612202	140.113995	"https://www.google.co.jp/maps/@35.612084,140.113963,3a,49.8y,13.66h,83.85t/data=!3m7!1e1!3m5!1siuuFaXChEI4SH3cxu_tO_A!2e0!6s%2F%2Fgeo2.ggpht.com%2Fcbk%3Fpanoid%3DiuuFaXChEI4SH3cxu_tO_A%26output%3Dthumbnail%26cb_client%3Dmaps_sv.tactile.gps%26thumb%3D2%26w%3D100%26h%3D80%26yaw%3D285.95105%26pitch%3D0!7i13312!8i6656?hl=ja"	17.0		120	1		ハロー!!きんいろモザイク	ハローキンイロモザイク	第10話で海水浴に行く大宮忍たち一行が利用していた駅で、京成千葉駅からの乗り換えで、券売機上の路線図や改札、ホームなどが描かれていました。大宮忍たちが写真を撮ったりイチャついていたのは、5番線ホームでした。				チバシ	ハ	12	1	2	
0691	0003	完了	千葉県	船橋市	ららぽーとTOKYO-BAY	273-0012	千葉県船橋市浜町2-1-1		35.686241	139.990184	"https://www.google.co.jp/maps/@35.686369,139.993736,3a,37.8y,234.61h,94.97t/data=!3m6!1e1!3m4!1soKYeU3tW-qinkKjvJ1kXuw!2e0!7i13312!8i6656?hl=ja"	17.0		120	3	:047-433-9800	ハロー!!きんいろモザイク	ハローキンイロモザイク	第5話で、スランプ気味の大宮勇を元気づけるため、大宮忍たちが勇を連れて遊びに行ったショッピングセンター。				フナバシシ	ハ	12	10	2	
0691	0004	完了	千葉県	船橋市	津田沼PARCO	274-0825	千葉県船橋市前原西2-18-1		35.691801	140.021610	"https://www.google.co.jp/maps/@35.691186,140.021302,3a,37.3y,19.02h,101.95t/data=!3m7!1e1!3m5!1s98vvyQ-uQvxprbEJUOZafw!2e0!6s%2F%2Fgeo2.ggpht.com%2Fcbk%3Fpanoid%3D98vvyQ-uQvxprbEJUOZafw%26output%3Dthumbnail%26cb_client%3Dmaps_sv.tactile.gps%26thumb%3D2%26w%3D100%26h%3D80%26yaw%3D238.71622%26pitch%3D0!7i13312!8i6656?hl=ja"	17.0		120	2.3	047-478-5555	ハロー!!きんいろモザイク	ハローキンイロモザイク	第4話で、大人の女性に憧れる小路綾が、このデパートのショーウインドウの前でポーズを取っているところを、偶然通りかかったアリス・カータレットに見られていました。作中では店名が「PABCO」になっていました。第8話では、1学期最後の授業を終え、夏休みに向けて大宮忍とアリス・カータレットと綾の3人が水着を買いに行ったデパート。第11話では、アリスとカレンが夏休みにイギリスに一時帰国してしまい、落ち込む忍が気晴らしに外出したシーンでも、外観が描かれていました。作中では店名が「PALKE」になっていました。	http://tsudanuma.parco.jp/			フナバシシ	ハ	12	10	2	
0691	0005	完了	千葉県	船橋市	マクドナルド 津田沼駅前店	274-0825	千葉県船橋市前原西2-14-8	津田沼パスタ1F	35.691879	140.020756	"https://www.google.co.jp/maps/@35.691767,140.020904,3a,29.4y,299.47h,91.19t/data=!3m6!1e1!3m4!1stgs1Csi_pLfjrP85adnZzg!2e0!7i13312!8i6656?hl=ja"	17.0		120	3	047-475-1330	ハロー!!きんいろモザイク	ハローキンイロモザイク	第8話で、みんなで期末テストの勉強のために大宮忍たちが学校帰りに寄っていたハンバーガー屋。ロケーションこそ一緒ですが、店名は「World Burger」になっており、配色もマクドナルド色を感じさせないものに変えられています。	http://www.mcdonalds.co.jp/shop/map/map.php?strcode=12018			フナバシシ	ハ	12	10	2	
0691	0006	完了	千葉県	習志野市	実籾本郷公園	275-0002	千葉県習志野市実籾2-24		35.685285	140.064338	"https://www.google.co.jp/maps/@35.685311,140.064582,3a,23.7y,261.15h,86.88t/data=!3m6!1e1!3m4!1sG9PWvfrs448LqLXq5SoIdQ!2e0!7i13312!8i6656"	17.0		120	3		ハロー!!きんいろモザイク	ハローキンイロモザイク	第11話で九条カレンと松原穂乃花が遊んでいた公園で、滑り台や木製ロープウェイ、カレンが穂乃花にお菓子を振る舞われていた丸太テーブルなど、いずれも忠実に再現されています。				ナラシノシ	ハ	12	4	2	
0691	0007	完了	千葉県	習志野市	実籾本郷公園 旧鴇田家住宅の門	275-0002	千葉県習志野市実籾2-24-1	実籾本郷公園内	35.684048	140.064869	"https://www.google.co.jp/maps/@35.683565,140.064685,3a,15y,24.37h,89.06t/data=!3m4!1e1!3m2!1sAYODWJzKyAcJva136gJATg!2e0!6m1!1e1"	19.0		120	3		ハロー!!きんいろモザイク	ハローキンイロモザイク	オープニングで猪熊陽子と妹弟たちが踊っていた門のモデル。				ナラシノシ	ハ	12	4	2	
0691	0008	完了	千葉県	習志野市	階段	275-0002	千葉県習志野市実籾2-32		35.683973	140.063914	"https://www.google.co.jp/maps/@35.684056,140.063969,3a,61.8y,213.37h,98.17t/data=!3m6!1e1!3m4!1shLzmUwKbZB8ivSyACp0eHg!2e0!7i13312!8i6656!6m1!1e1"	18.0		120	1		ハロー!!きんいろモザイク	ハローキンイロモザイク	第11話でカレンが海に行った際のお土産を渡していた場所。				ナラシノシ	ハ	12	4	2	
0691	0009	完了	千葉県	習志野市	実籾高等学校	275-0003	千葉県習志野市実籾本郷22-1		35.682324	140.063474	"https://www.google.co.jp/maps/@35.682407,140.062476,3a,75y,80.44h,94.44t/data=!3m4!1e1!3m2!1sPu8xPkjYVv1Sl1TwcerW8w!2e0?hl=ja"	16.0		120	3	047-479-1144	ハロー!!きんいろモザイク	ハローキンイロモザイク	大宮忍たちの通う高校のモデル。	http://www.chiba-c.ed.jp/mimomihs/			ナラシノシ	ハ	12	4	2	
0691	0010	完了	千葉県	船橋市	津田沼駅前	275-0016	千葉県習志野市津田沼1-1-1		35.691333	140.020986	-	17.0		0			ハロー!!きんいろモザイク	ハローキンイロモザイク	第8話で、学校シーンから駅前のハンバーガー屋への場面展開の挿入カットで駅前の彫刻（梅原正夫作「元気な なかま」と駅舎が描かれていました。				フナバシシ	ハ	12	10	2	
