作品No.	聖地No.	確定	都道府県	市区郡	聖地名	郵便番号	住所	住所２	座標：緯度	座標：経度	SV	倍率	SV過去	Fov	Zoom	電話番号	作品	作品名フリガナ	備考	公式サイトURL	情報参照元URL	備考2	市区町村読み仮名	作品名50音	県順	市順	域順	実在
0669	0001	完了	東京都	渋谷区	国立代々木競技場第二体育館 前	150-0041	東京都渋谷区神南2-1		35.665798	139.698297	"https://www.google.co.jp/maps/@35.6658132,139.6982977,2a,52y,35.9h,82.14t/data=!3m6!1e1!3m4!1sqiHz1WB3x6wNkHz9QX1Elg!2e0!7i13312!8i6656"						バケモノの子	バケモノノコ	蓮が、人間の世界に通って楓に勉強を教えてもらっていたシーンで、2人が蓮の学力向上具合について話しながら歩いていた場所。<br />再会した実父と熊徹の間で迷っていた蓮が、熊徹に別れを告げて実父に会いに行くと言うので、心配した楓が、「今日ずっと図書館にいる。何かあったら来て」と声をかけていたのも、この場所でした。				シブヤク	ハ	13	10	2	
0669	0002	完了	東京都	渋谷区	国立代々木競技場 第一体育館	150-0041	東京都渋谷区神南2-1-1		35.667626	139.700142	"https://www.google.co.jp/maps/@35.6643637,139.700192,412a,20y,41.64t/data=!3m1!1e3"						バケモノの子	バケモノノコ	バケモノの世界の闘技場のモデル。<br />作中では、人間世界とバケモノの世界はリンクしていて似通った地形や建物があるという設定になっており、競技場周辺の地形や、木々の種類まで実際のもの忠実に再現されている上、建物自体も、ギリシャのコロッセオを主体に、細部には代々木体育館の側面の形状を取り入れてデザインされています。<br />終盤の人間世界に輝くクジラが出現するシーンでは、代々木体育館自体も出て来ていました。				シブヤク	ハ	13	10	2	
0669	0003	完了	長崎県	東彼杵郡	片島公園　魚雷発射試験場跡	859-3617	長崎県東彼杵郡川棚町三越郷151-1		33.048995	129.842696	"https://www.google.co.jp/maps/@33.0490274,129.8427452,3a,90y,87.99h,93.34t/data=!3m8!1e1!3m6!1sCAoSLEFGMVFpcE02dVRJdXp3dWwyYnFoTUs1alJjdUtYc3dZQTByWkMtVDF6Yktj!2e10!3e11!6shttps:%2F%2Flh5.googleusercontent.com%2Fp%2FAF1QipM6uTIuzwul2bqhMK5jRcuKXswYA0rZC-T1zbKc%3Dw203-h100-k-no-pi-0-ya2.312415-ro-0-fo100!7i8704!8i4352"						バケモノの子	バケモノノコ	九太（蓮）が熊徹からはじめて剣術の手解きを受けていた修行場のモデル。				ヒガシソノギグン	ハ	42	9	8	
0669	0004	完了	東京都	渋谷区	青山パークタワー	150-0002	東京都渋谷区渋谷1-19-18		35.662280	139.705014	"https://www.google.co.jp/maps/@35.6643273,139.7073251,3a,15y,220.44h,105.69t/data=!3m6!1e1!3m4!1scWpIgUtcfPVxWqQzqqIRwg!2e0!7i13312!8i6656"				5		バケモノの子	バケモノノコ	楓が住んでいるマンション。				シブヤク	ハ	13	10	2	
0669	0005	完了	東京都	渋谷区	宮益坂上交差点	150-0002	東京都渋谷区渋谷2-16		35.660186	139.706031	"https://www.google.co.jp/maps/@35.6598655,139.7056047,3a,40y,23.8h,85.6t/data=!3m7!1e1!3m5!1s2A5cB8PD3BS0w8WTNozLhw!2e0!6s%2F%2Fgeo0.ggpht.com%2Fcbk%3Fpanoid%3D2A5cB8PD3BS0w8WTNozLhw%26output%3Dthumbnail%26cb_client%3Dmaps_sv.tactile.gps%26thumb%3D2%26w%3D203%26h%3D100%26yaw%3D223.42389%26pitch%3D0%26thumbfov%3D100!7i13312!8i6656"						バケモノの子	バケモノノコ	蓮と楓が地下鉄で逃げた後の渋谷で、2人を探すようにクジラの影が地面を移動していた交差点。				シブヤク	ハ	13	10	2	
0669	0006	完了	東京都	渋谷区	渋谷駅12番出入口	150-0002	東京都渋谷区渋谷2-20		35.659393	139.702612	"https://www.google.co.jp/maps/@35.6596357,139.702279,3a,15y,131.53h,92.16t/data=!3m6!1e1!3m4!1sFGzOxKzFT4Kfn5CqNMrcTg!2e0!7i13312!8i6656"				5		バケモノの子	バケモノノコ	一郎彦が操る巨大なクジラに追われる蓮と楓が、地下鉄に乗って逃げるために駆け下りていた出入口。				シブヤク	ハ	13	10	2	
0669	0007	完了	東京都	渋谷区	渋谷駅東口歩道橋	150-0002	東京都渋谷区渋谷2-22		35.658227	139.703107	"https://www.google.co.jp/maps/@35.6580934,139.703162,3a,20y,339.27h,104.87t/data=!3m6!1e1!3m4!1sOPDoRJcbb7208i22SrkIZQ!2e0!7i13312!8i6656"						バケモノの子	バケモノノコ	偶然見つけた通路を通って8年ぶりに人間の世界へ戻ってきた蓮が、眩しく映る世界を見回していた場所。<br />歩道橋の南端から望遠レンズで捉えたように、座標地点の歩道橋と渋谷駅と渋谷ヒカリエを結ぶ2F連絡通路が描かれていました。				シブヤク	ハ	13	10	2	
0669	0008	完了	東京都	渋谷区	東京メトロ 渋谷駅	150-0002	東京都渋谷区渋谷2-23		35.659302	139.702462	-						バケモノの子	バケモノノコ	一郎彦が操る巨大なクジラに追われる蓮と楓が逃げ込んだ駅で、銀座線、JR各線、半蔵門線、副都心線の案内掲示板が描かれていました。<br />2人が乗ったのは、一郎彦が起こした爆発騒動で運休中の中、唯一動いていた副都心線の新宿三丁目行きで、運転見合わせのために隣駅の明治神宮前〈原宿〉駅で降ろされていました。				シブヤク	ハ	13	10	2	
0669	0009	完了	東京都	渋谷区	宮益坂下交差点	150-0002	東京都渋谷区渋谷2-23		35.659500	139.702016	"https://www.google.co.jp/maps/@35.6594652,139.7017213,3a,22y,80.41h,93.87t/data=!3m6!1e1!3m4!1sR98LleS09BEXwdoz1ArpOQ!2e0!7i13312!8i6656"						バケモノの子	バケモノノコ	渋谷駅ガードから間一髪逃れた蓮と楓が、爆発炎上するガ高架を見ていた場所。				シブヤク	ハ	13	10	2	
0669	0010	完了	東京都	渋谷区	渋谷駅ガード	150-0002	東京都渋谷区渋谷2-24		35.659458	139.701259	"https://www.google.co.jp/maps/@35.6594509,139.7013163,3a,49.5y,256.8h,89.37t/data=!3m6!1e1!3m4!1sYjyiJImEEFsuExkNDuAgsg!2e0!7i13312!8i6656"						バケモノの子	バケモノノコ	一郎彦が操るクジラの影が寄せ上げたトラックや自動車が高架にぶつかって潰され大爆発を起こしていた場所。逃げる際に転倒した楓を、爆発前に間一髪のところで蓮が救い出していました。				シブヤク	ハ	13	10	2	
