作品No.	聖地No.	確定	都道府県	市区郡	聖地名	郵便番号	住所	住所２	座標：緯度	座標：経度	SV	倍率	SV過去	Fov	Zoom	電話番号	作品	作品名フリガナ	備考	公式サイトURL	情報参照元URL	備考2	市区町村読み仮名	作品名50音	県順	市順	域順	実在
0681	0001		東京都	豊島区	サンシャイン前交差点	170-0013	東京都豊島区東池袋1		35.729237	139.716884	"https://www.google.co.jp/maps/@35.729147,139.716801,3a,75y,44.45h,91.97t/data=!3m4!1e1!3m2!1smTa31zdv6Dxx9A5gnJWoTA!2e0?hl=ja"						パパのいうことを聞きなさい！	パパノイウコトヲキキナサイ	第12話				トシマク	ハ	13	18	2	
0681	0002	完了	東京都	豊島区	サンシャイン60通り入口	170-0013	東京都豊島区東池袋1-11		35.729535	139.71422		16.0					パパのいうことを聞きなさい！	パパノイウコトヲキキナサイ	第1話で小鳥遊家に向かう瀬川祐太が歩いていた道。				トシマク	ハ	13	18	2	
0681	0003	完了	東京都	豊島区	サンシャインシティ	170-8630	東京都豊島区東池袋3-1-1		35.729997	139.717989	"https://www.google.co.jp/maps/@35.7267919,139.7170414,3a,75y,10.13h,118.87t/data=!3m4!1e1!3m2!1sQSsXw1Qf4e3KZDwh44a5KQ!2e0?hl=ja"						パパのいうことを聞きなさい！	パパノイウコトヲキキナサイ	第12話				トシマク	ハ	13	18	2	
0681	0004	完了	東京都	豊島区	卵と私	170-0013	東京都豊島区東池袋3-1-1	サンシャインシティアルパ3F	35.728991	139.719808	-	16.0				03-3986-6474	パパのいうことを聞きなさい！	パパノイウコトヲキキナサイ	第9話で小鳥遊美羽が、仁村浩一と食事をしたオムライス専門店。				トシマク	ハ	13	18	2	
0681	0005	完了	東京都	豊島区	Riat!	170-8630	東京都豊島区東池袋3-1-1		35.729648	139.717759	-	16.0				03-5396-1150	パパのいうことを聞きなさい！	パパノイウコトヲキキナサイ	第9話で仁村浩一が小鳥遊美羽の靴を修理してもらった店。				トシマク	ハ	13	18	2	
0681	0006	完了	東京都	豊島区	サンシャイン60 展望台	170-8630	東京都豊島区東池袋3-1-1		35.729518	139.718174		16.0					パパのいうことを聞きなさい！	パパノイウコトヲキキナサイ	第9話で小鳥遊美羽が、仁村浩一とデートをした展望台。				トシマク	ハ	13	18	2	
0681	0007	完了	東京都	豊島区	サンシャイン水族館	170-0013	東京都豊島区東池袋3-1-3	サンシャインシティ・ワールドインポートマートビル屋上	35.728599	139.71977	-	16.0				03-3989-3466	パパのいうことを聞きなさい！	パパノイウコトヲキキナサイ	第9話で小鳥遊美羽が、仁村浩一とデートをした水族館。	http://www.sunshinecity.co.jp/sunshine/aquarium/	http://www.sunshinecity.co.jp/sunshine/aquarium/		トシマク	ハ	13	18	2	
0681	0008	完了	東京都	豊島区	池袋駅前横断歩道	171-0022	東京都豊島区南池袋1		35.729703	139.71215		16.0					パパのいうことを聞きなさい！	パパノイウコトヲキキナサイ	第1話で小鳥遊家に向かう瀬川祐太が歩いていた池袋駅前。西武デパートが背景に描かれていますが、「SEIBU」が「SAIFU」に変えられていました。				トシマク	ハ	13	18	2	
0681	0009		東京都	豊島区	JR 池袋駅	171-0022	東京都豊島区南池袋1-28-2		35.729722	139.710861		13.0					パパのいうことを聞きなさい！	パパノイウコトヲキキナサイ	第9話				トシマク	ハ	13	18	2	
0681	0010		東京都	豊島区	都電 雑司ヶ谷駅	171-0022	東京都豊島区南池袋2-1		35.724263	139.718048	"https://www.google.co.jp/maps/@35.7241412,139.7178408,3a,75y,65.83h,86.19t/data=!3m4!1e1!3m2!1sMbLnZR2cJfHaH4UMZ97GrQ!2e0?hl=ja"						パパのいうことを聞きなさい！	パパノイウコトヲキキナサイ	第12話。				トシマク	ハ	13	18	2	
0681	0011		東京都	豊島区	踏切	171-0022	東京都豊島区南池袋2-1		35.724146	139.717874	"https://www.google.co.jp/maps/@35.7241211,139.7179601,3a,75y,299.37h,87.11t/data=!3m4!1e1!3m2!1sLQiNd3qNpzxygMgP7frTBg!2e0?hl=ja"						パパのいうことを聞きなさい！	パパノイウコトヲキキナサイ	第12話。				トシマク	ハ	13	18	2	
0681	0012	完了	東京都	立川市	デニーズ立川南店	190-0022	東京都立川市錦町3-8		35.691483	139.417684	"https://www.google.co.jp/maps/@35.6916697,139.4175389,3a,75y,160.92h,105.18t/data=!3m4!1e1!3m2!1sk1qiK4SIQrCDhM8wi8L4WA!2e0?hl=ja"					042-523-5885	パパのいうことを聞きなさい！	パパノイウコトヲキキナサイ	第3話で小鳥姉妹を連れた瀬川祐太が休憩と食事ができる場所を探して入店しようとするものの、客が家族連ればかりで断念した店の一つ。実際の立地は駅からかなり離れた位置なので、作中では駅前にある設定と思われます。作中では店名が「Sunny's」になっていました。	http://lbs.mapion.co.jp/map/uc/PoiInfo?grp=sevenandi_fs&poi_code=02256&vo=mbml&br=02	http://lbs.mapion.co.jp/map/uc/PoiInfo?grp=sevenandi_fs&poi_code=02256&vo=mbml&br=02		タチカワシ	ハ	13	34	2	
0681	0013	完了	東京都	立川市	ガスト立川駅南口店	190-0023	東京都立川市柴崎町2-2-1	KSビル2F	35.697153	139.411815	"https://www.google.co.jp/maps/@35.69711,139.4119191,3a,75y,294.15h,106.61t/data=!3m4!1e1!3m2!1ssk4fnJNsBZis0IMjHWCOEA!2e0?hl=ja"					042-540-1583	パパのいうことを聞きなさい！	パパノイウコトヲキキナサイ	第3話で小鳥姉妹を連れた瀬川祐太が休憩と食事ができる場所を探して入店しようとするものの、客が家族連ればかりで断念した店の一つ。作中では店名が「ミスト」になっていました。	http://sp.chizumaru.com/dbh/skylark/detailmap.aspx?account=skylark&accmd=0&arg=&c1=&c2=0&c3=&c4=&c5=&c6=&c7=&c8=&c9=&c10=&c11=&c12=&c13=&c14=&c15=&c16=&c17=&c18=&c19=&c20=&c21=&c22=&c23=&c24=&c25=&c26=&c27=&c28=&c29=&c30=&mode=11&key=%97%A7%90%EC%89w%93%EC%8C%FB%93X&pg=1&adr=&orgpg=1&comp=5&bid=018649	http://sp.chizumaru.com/dbh/skylark/detailmap.aspx?account=skylark&accmd=0&arg=&c1=&c2=0&c3=&c4=&c5=&c6=&c7=&c8=&c9=&c10=&c11=&c12=&c13=&c14=&c15=&c16=&c17=&c18=&c19=&c20=&c21=&c22=&c23=&c24=&c25=&c26=&c27=&c28=&c29=&c30=&mode=11&key=%97%A7%90%EC%89w%93%EC%8C%FB%93X&pg=1&adr=&orgpg=1&comp=5&bid=018649		タチカワシ	ハ	13	34	2	
0681	0014		東京都	立川市	グランデュオ立川	190-8554	東京都立川市柴崎町3-2-1		35.697255	139.413921	"https://www.google.co.jp/maps/@35.6969587,139.4131596,3a,75y,59.27h,112.98t/data=!3m4!1e1!3m2!1sWA8SpaK_NQs5VJ3RsQV9rw!2e0?hl=ja"					042-540-2111	パパのいうことを聞きなさい！	パパノイウコトヲキキナサイ	第3話	http://www.granduo.jp/tachikawa/			タチカワシ	ハ	13	34	2	
0681	0015		東京都	立川市	横断歩道	190-0023	東京都立川市柴崎町3-6		35.6966	139.414076	"https://www.google.co.jp/maps/@35.6966624,139.4141139,3a,75y,203.31h,97.36t/data=!3m4!1e1!3m2!1srPO1ajaoRDP2z-pQMgiWmw!2e0?hl=ja"						パパのいうことを聞きなさい！	パパノイウコトヲキキナサイ	第3話で小鳥姉妹を連れた瀬川祐太が渡っていた横断歩道。				タチカワシ	ハ	13	34	2	
0681	0016		東京都	立川市	アレアレア1	190-0023	東京都立川市柴崎町3-6-2		35.696789	139.413325	"https://www.google.co.jp/maps/@35.6969401,139.4135912,3a,75y,235.91h,122.55t/data=!3m4!1e1!3m2!1s40nG6kWdWYymcZAp_fLN4Q!2e0?hl=ja"					042-521-7111	パパのいうことを聞きなさい！	パパノイウコトヲキキナサイ	第3話	http://www.arearea.co.jp/			タチカワシ	ハ	13	34	2	
0681	0017		東京都	立川市	Ｓガスト立川駅南口店	190-0023	東京都立川市柴崎町3-6-6		35.696763	139.414103	"https://www.google.co.jp/maps/@35.6967061,139.4140146,3a,75y,25.1h,100.77t/data=!3m4!1e1!3m2!1spIb05Yy3NbhJpOWzEqZbhQ!2e0?hl=ja"					042-548-0682	パパのいうことを聞きなさい！	パパノイウコトヲキキナサイ	第3話				タチカワシ	ハ	13	34	2	
0681	0018		東京都	立川市	都道149号線	190-0023	東京都立川市柴崎町6-19		35.687104	139.40832	"https://www.google.co.jp/maps/@35.6871195,139.4082413,3a,75y,204.75h,111.15t/data=!3m4!1e1!3m2!1sdn2iq-_EuFZf2t3ND7xkpw!2e0?hl=ja"						パパのいうことを聞きなさい！	パパノイウコトヲキキナサイ	第2話。第3話				タチカワシ	ハ	13	34	2	
0681	0019	完了	東京都	立川市	ビッグエコー立川南口店	190-0023	東京都立川市柴崎町3-6-5	なとりビル	35.696632	139.413798	"https://www.google.co.jp/maps/@35.696749,139.4139173,3a,75y,231.9h,129.02t/data=!3m4!1e1!3m2!1sMdWOQQIlYzhHiIDg4PuLpA!2e0?hl=ja"					042-540-0031	パパのいうことを聞きなさい！	パパノイウコトヲキキナサイ	第3話で小鳥姉妹を連れた瀬川祐太が休憩のために入ったカラオケボックス。	http://big-echo.jp/index.php?option=com_bgsearch&view=search&Itemid=63&shopcode=200403150002	http://big-echo.jp/index.php?option=com_bgsearch&view=search&Itemid=63&shopcode=200403150002		タチカワシ	ハ	13	34	2	
0681	0020		東京都	日野市	立日橋	191-0012	東京都日野市日野		35.683453	139.406696	"https://www.google.co.jp/maps/@35.682474,139.407151,3a,75y,352.56h,89.18t/data=!3m4!1e1!3m2!1sGHKglHIQzViW5G0orZ5qHQ!2e0?hl=ja"						パパのいうことを聞きなさい！	パパノイウコトヲキキナサイ	第3話				ヒノシ	ハ	13	43	2	
0681	0021	完了	東京都	日野市	都道256号線 1	191-0012	東京都日野市日野		35.679642	139.409739	"https://www.google.co.jp/maps/@35.679543,139.4096,3a,75y,24.1h,87.68t/data=!3m4!1e1!3m2!1sEQfV_gzkN9I0w1kdF4OtNQ!2e0?hl=ja"						パパのいうことを聞きなさい！	パパノイウコトヲキキナサイ	第5話で迷子になった小鳥遊空が、雨の中を傘も差さずに一人歩いていた道。				ヒノシ	ハ	13	43	2	
0681	0022	完了	東京都	日野市	都道256号線 2	191-0012	東京都日野市日野		35.67978	139.409986	"https://www.google.co.jp/maps/@35.679705,139.409893,3a,75y,210.79h,87.42t/data=!3m4!1e1!3m2!1s3Lxu7x7oknUlcVCdY8QftQ!2e0?hl=ja"						パパのいうことを聞きなさい！	パパノイウコトヲキキナサイ	第5話で迷子になった小鳥遊空が、雨の中を傘も差さずに一人歩いていた道。				ヒノシ	ハ	13	43	2	
