作品No.	聖地No.	確定	都道府県	市区郡	聖地名	郵便番号	住所	住所２	座標：緯度	座標：経度	SV	倍率	SV過去	Fov	Zoom	電話番号	作品	作品名フリガナ	備考	公式サイトURL	情報参照元URL	備考2	市区町村読み仮名	作品名50音	県順	市順	域順	実在
0702	0001	完了	東京都	千代田区	日本棋院市ヶ谷会館	102-0076	東京都千代田区五番町7-2		35.690418	139.736534	"https://www.google.co.jp/maps/@35.690387,139.736813,3a,50.4y,277.08h,116.22t/data=!3m6!1e1!3m4!1spiOeZXae0wkux1HLufLafw!2e0!7i13312!8i6656"	17		120	1.3		ヒカルの碁	ヒカルノゴ	第61話で、突然消えてしまった藤原佐為を探す進藤ヒカルが、佐為がいるかもしれないと真っ先に訪れた場所。第62話では、因島や巣鴨の本妙寺でも佐為を見つけられなかったヒカルが、再度佐為を探しに訪れていました。				チヨダク	ヒ	13	17	2	
0702	0002	完了	東京都	豊島区	JR 巣鴨駅	170-0002	東京都豊島区巣鴨1-16-1		35.733485	139.739345	-						ヒカルの碁	ヒカルノゴ	第62話で、、突然消えてしまった藤原佐為を探すため、本因坊秀策の墓を訪ねて広島に行っていた進藤ヒカルが、東京にも秀策の墓があることを知って急いで東京に戻り、下車していた墓のある本妙寺の最寄駅。作中では駅名が「NR巣鴨駅」になっていました。※駅舎改築済みで外観は変わってしまっています。				トシマク	ヒ	13	18	2	
0702	0003	完了	東京都	豊島区	本妙寺	170-0002	東京都豊島区巣鴨5-35-6		35.739585	139.735005	"https://www.google.co.jp/maps/@35.739027,139.734959,3a,75y,13.34h,93.78t/data=!3m4!1e1!3m2!1s18q3C1mkt75TOTOUCkU1Ig!2e0?hl=ja"						ヒカルの碁	ヒカルノゴ	第62話で、突然消えてしまった藤原佐為を探すため、本因坊秀策の墓を訪ねて広島に行っていた進藤ヒカルが、東京にも秀策の墓があることを知って急いで東京に戻り、訪れていた寺。秀策の墓で呼びかけても佐為の姿はなく、墓場を走り回って探すも結局佐為には見つかりませんでした。門と秀策の墓が描かれていました。	http://www6.ocn.ne.jp/~honmyoji/			トシマク	ヒ	13	18	2	
0702	0004	完了	広島県	尾道市	JR 尾道駅	722-0036	広島県尾道市東御所町1-1		34.404843	133.193656	"https://www.google.co.jp/maps/@34.404226,133.193889,3a,31.3y,341.61h,95.64t/data=!3m7!1e1!3m5!1sYVmLi-wjeBh8xuahlxBzzg!2e0!6s%2F%2Fgeo3.ggpht.com%2Fcbk%3Fpanoid%3DYVmLi-wjeBh8xuahlxBzzg%26output%3Dthumbnail%26cb_client%3Dmaps_sv.tactile.gps%26thumb%3D2%26w%3D100%26h%3D80%26yaw%3D51.431187%26pitch%3D0!7i13312!8i6656"						ヒカルの碁	ヒカルノゴ	第61話で、突然消えてしまった藤原佐為を探すため、本因坊秀策の生まれた因島に向かう進藤ヒカルが、河合と一緒に訪れた駅。駅舎と、背後にそびえる尾道城が描かれていました。				オノミチシ	ヒ	34	12	6	
0702	0005	完了	広島県	尾道市	尾道駅前のバス停	722-0036	広島県尾道市東御所町1		34.404843	133.194098	"https://www.google.co.jp/maps/@34.404735,133.194116,3a,42.4y,11.78h,89.78t/data=!3m6!1e1!3m4!1sk1D165ZX4bbS6VsSMKjNIQ!2e0!7i13312!8i6656?hl=ja"						ヒカルの碁	ヒカルノゴ	第61話で、突然消えてしまった藤原佐為を探すため、本因坊秀策の生まれた因島に向かう進藤ヒカルが、因島行きのバスに乗っていた場所。駅側から尾道商店街を望む構図で描かれていました。				オノミチシ	ヒ	34	12	6	
0702	0006	完了	広島県	尾道市	因島大橋	722-2213	広島県尾道市因島大浜町		34.357272	133.180454	"https://www.google.co.jp/maps/@34.357063,133.179783,3a,25.6y,69.44h,93.25t/data=!3m6!1e1!3m4!1s_qnYkCkn3St7m3aymAcZ4Q!2e0!7i13312!8i6656?hl=ja"						ヒカルの碁	ヒカルノゴ	第61話で、突然消えてしまった藤原佐為を探す進藤ヒカルが、本因坊秀策の生まれた因島行きのバスに乗って渡った橋で、橋上や遠景からの外観など描かれていました。				オノミチシ	ヒ	34	12	6	
0702	0007	完了	広島県	尾道市	本因坊秀策記念館	722-2213	広島県尾道市因島外浦町121-1		34.328111	133.183866	-					0845-24-3715	ヒカルの碁	ヒカルノゴ	第61話で、突然消えてしまった藤原佐為を探す進藤ヒカルが、一緒に来た河合に案内されて訪れた本因坊秀策の記念館で、館内の展示物などが描かれていました。作中では、応接室のような部屋のわずかな展示スペースに所狭しと展示物が並べられていましたが、実際の記念館には、そこそこの広さの企画展示室があり、展示物がゆったり整然と陳列されたちゃんとした博物館になっています。	http://honinbo.shusaku.in/			オノミチシ	ヒ	34	12	6	
0702	0008	完了	広島県	尾道市	因島石切神社	722-2213	広島県尾道市因島外浦町69		34.32832	133.183809	"https://www.google.co.jp/maps/@34.328479,133.183979,3a,41.4y,207.84h,91.77t/data=!3m7!1e1!3m5!1se3yEXXcKrgwo0tc35crCIw!2e0!6s%2F%2Fgeo3.ggpht.com%2Fcbk%3Fpanoid%3De3yEXXcKrgwo0tc35crCIw%26output%3Dthumbnail%26cb_client%3Dmaps_sv.tactile.gps%26thumb%3D2%26w%3D100%26h%3D80%26yaw%3D121.92523%26pitch%3D0!7i13312!8i6656?hl=ja"						ヒカルの碁	ヒカルノゴ	第61話で、突然消えてしまった藤原佐為を探す進藤ヒカルが、一緒に来た河合に案内されて訪れた本因坊秀策記念館のある神社で、ヒカルが石碑の裏や境内各所を佐為探してうろついたり、秀策の墓を訪れたりしていました。				オノミチシ	ヒ	34	12	6	
0702	0009	完了	広島県	尾道市	暖談	722-0032	広島県尾道市西土堂町4-7		34.405896	133.195024	"https://www.google.co.jp/maps/@34.405634,133.195083,3a,20.7y,343.81h,94.27t/data=!3m6!1e1!3m4!1sBBq1OCi7jXk1Sccs1VpWfQ!2e0!7i13312!8i6656"						ヒカルの碁	ヒカルノゴ	第61話で、突然消えてしまった藤原佐為を探すために、本因坊秀策ゆかりの地である広島を訪れた進藤ヒカルと河合が、2日目の昼飯でお好み焼きを食べていた店。外観はおろか、踏切の警報器や隣の建物など、かなり忠実に描かれていました。原作にも登場します。				オノミチシ	ヒ	34	12	6	
0702	0010	完了	広島県	尾道市	烏鷺会	722-0035	広島県尾道市土堂2-6-2		34.408037	133.200965	"https://www.google.co.jp/maps/@34.408089,133.20088,3a,77.9y,101.02h,85.69t/data=!3m6!1e1!3m4!1sVhvBLHDc8bc62ZA3FvEx3A!2e0!7i13312!8i6656"						ヒカルの碁	ヒカルノゴ	第61話で、突然消えてしまった藤原佐為を探すために、本因坊秀策ゆかりの地である広島を訪れた進藤ヒカルに同行していた河合が、「せっかくだからこっちのヤツらとちょっと打ってくらァ」と言って、ヒカルを置いて出かけていた碁会所で、迎えに訪れたヒカルが、広島でアマチュアNo.1の碁打ちである周平と勝負することになり、そこで秀策の墓が東京にもあるという情報を得ていました。原作にも登場します。				オノミチシ	ヒ	34	12	6	
0702	0011	完了	広島県	竹原市	JR 竹原駅	725-0026	広島県竹原市中央1-1-1		34.339494	132.910022	"https://www.google.co.jp/maps/@34.339835,132.910016,3a,15y,192.73h,91t/data=!3m6!1e1!3m4!1sH26qv7tRd51szJZC0aiVWg!2e0!7i13312!8i6656?hl=ja"						ヒカルの碁	ヒカルノゴ	第61話で、突然消えてしまった藤原佐為を探す進藤ヒカルが、本因坊秀策記念館と宝泉寺に行っても佐為に会えなかったため帰ろうとするも、一緒に来た河合から、まだ秀策ゆかりの場所があることを聞いて一泊することを決めていた駅。				タケハラシ	ヒ	34	10	6	
0702	0012	完了	広島県	竹原市	宝泉寺	725-0012	広島県竹原市下野町1565		34.333954	132.885248	-						ヒカルの碁	ヒカルノゴ	第61話で、突然消えてしまった藤原佐為を探す進藤ヒカルが、一緒に来た河合に案内されて訪れた、秀策が碁を打ったという場所で、当時使われた碁盤と碁石が保存されている寺。				タケハラシ	ヒ	34	10	6	
