作品No.	聖地No.	確定	都道府県	市区郡	聖地名	郵便番号	住所	住所２	座標：緯度	座標：経度	SV	倍率	SV過去	Fov	Zoom	電話番号	作品	作品名フリガナ	備考	公式サイトURL	情報参照元URL	備考2	市区町村読み仮名	作品名50音	県順	市順	域順	実在
0769	0001	完了	福島県	郡山市	交差点（郡山駅前大通り）	963-8001	福島県郡山市大町1-3		37.398179	140.384724	"https://www.google.co.jp/maps/@37.3980725,140.3846797,3a,24.2y,24.09h,91.04t/data=!3m6!1e1!3m4!1sDSGvkrzvG_nUPTjMM7bg6g!2e0!7i13312!8i6656?hl=ja"	16.0	○	120	3		フリップフラッパーズ	フリップフラッパーズ	第7話で、ピュアイリュージョンの不可思議な世界に迷い込んだココナが渡っていた交差点。				コオリヤマシ	フ	7	8	1	
0769	0002	完了	福島県	本宮市	陸橋	969-1103	福島県本宮市仁井田		37.488762	140.391977	"https://www.google.co.jp/maps/@37.4883679,140.3919153,3a,55.3y,3.86h,83.84t/data=!3m6!1e1!3m4!1ssrngB3Kd0QbqB-KVGpKswQ!2e0!7i13312!8i6656?hl=ja"	14.0		120	2		フリップフラッパーズ	フリップフラッパーズ	第7話で、ピュアイリュージョンの不可思議な世界に迷い込んだココナが、本物のパピカを探して線路を歩いているシーンで背後に描かれていた陸橋のモデル。				モトミヤシ	フ	7	6	1	
0769	0003	完了	福島県	本宮市	JR 五百川駅	969-1104	福島県本宮市荒井字新介		37.482853	140.387864	"https://www.google.co.jp/maps/@37.4829752,140.3876475,3a,30y,118.65h,89.19t/data=!3m6!1e1!3m4!1sxj_BGnN4KwvhRSwhTIQNnA!2e0!7i13312!8i6656?hl=ja"	13.0		120	5		フリップフラッパーズ	フリップフラッパーズ	第7話で、迷い込んだピュアイリュージョンの不可思議な世界で、本物のパピカを探すココナが電車に乗ってやって来た駅は、JR五百川駅でした。				モトミヤシ	フ	7	6	1	
0769	0004	完了	福島県	本宮市	安達太良神社	969-1121	福島県本宮市本宮舘ノ越232		37.521149	140.404338	-	16.0		0			フリップフラッパーズ	フリップフラッパーズ	第7話で、ピュアイリュージョンの不可思議な世界に迷い込んだココナが、さわやかイケメン風のパピカに渡されたラムネを飲んでから、間接キッスに気づいて顔を赤らめていた神社境内の石段から拝殿、拝殿の柱にある彫刻も忠実にが描かれていました。				モトミヤシ	フ	7	6	1	
0769	0005	完了	福島県	本宮市	みずいろ公園	969-1126	福島県本宮市本宮馬場		37.518370	140.400771	-	15.0		0		0243-24-5405	フリップフラッパーズ	フリップフラッパーズ	第7話で、ピュアイリュージョンの不可思議な世界に迷い込んだココナが、縦ロールのパピカと遭遇していた公園。				モトミヤシ	フ	7	6	1	
0769	0006	完了	福島県	本宮市	みずいろ公園 わらしっこ広場	969-1126	福島県本宮市本宮馬場		37.518230	140.401337	-	17.0		0			フリップフラッパーズ	フリップフラッパーズ	第7話で、ココナが迷い込んだピュアイリュージョンの不可思議な世界で、縦ロールのパピカが砂の城を正拳突きで崩していた公園。				モトミヤシ	フ	7	6	1	
0769	0007	完了	福島県	本宮市	ファッションセンターしまむら本宮店	969-1128	福島県本宮市本宮字舘町223-6		37.518584	140.394749	"https://www.google.co.jp/maps/@37.5186572,140.3952344,3a,17.6y,331.76h,116.39t/data=!3m6!1e1!3m4!1saxGexk2l_RW2adFr1Lz5mw!2e0!7i13312!8i6656?hl=ja"	17.0		120	3	0243-63-2014	フリップフラッパーズ	フリップフラッパーズ	第7話で、ピュアイリュージョンの不可思議な世界に迷い込んだココナが、駐車場で不良少年風のパピカのケンカでついたと思われる傷に絆創膏を貼ってやっていたり、店内で洋服の着せ替えごっこをしていた店のモデル。作中では店名が「ファッションセンターもとみや」になっていました。				モトミヤシ	フ	7	6	1	
0769	0008	完了	福島県	本宮市	交差点（陸羽街道）	969-1133	福島県本宮市本宮中條		37.513871	140.402149	"https://www.google.co.jp/maps/@37.5137387,140.4021067,3a,15y,24.21h,92.03t/data=!3m6!1e1!3m4!1s3xNq7dfhBcl3-yoYExRNWA!2e0!7i13312!8i6656?hl=ja"	15.0		120	3		フリップフラッパーズ	フリップフラッパーズ	第7話で、ピュアイリュージョンの不可思議な世界に迷い込んだココナが見ていた街のカットで描かれていた交差点。交差点の南側から、北側方面を望む構図で描かれていました。				モトミヤシ	フ	7	6	1	
0769	0009	完了	福島県	本宮市	ホテル堺屋	969-1133	福島県本宮市本宮中條59		37.513916	140.402494	"https://www.google.co.jp/maps/@37.5140102,140.4022531,3a,15y,109.58h,102.91t/data=!3m6!1e1!3m4!1sXRrbjPABqnkgPhE_W0mVDg!2e0!7i13312!8i6656?hl=ja"	17.0		120	2.1	0243-33-2038	フリップフラッパーズ	フリップフラッパーズ	第7話で、ピュアイリュージョンの不可思議な世界に迷い込んだココナが宿泊していた場所。				モトミヤシ	フ	7	6	1	
0769	0010	完了	福島県	本宮市	JR 本宮駅	969-1136	福島県本宮市本宮九縄25		37.514221	140.399425	"https://www.google.co.jp/maps/@37.5133811,140.3986487,3a,18.8y,50.47h,88.85t/data=!3m6!1e1!3m4!1sIamZqNAfGrBEbkhEKXC9pQ!2e0!7i13312!8i6656?hl=ja"	13.0		120	3		フリップフラッパーズ	フリップフラッパーズ	第7話で、迷い込んだピュアイリュージョンの不可思議な世界で、本物のパピカを探すココナが電車に乗り込んでいた駅。				モトミヤシ	フ	7	6	1	
