作品No.	聖地No.	確定	都道府県	市区郡	聖地名	郵便番号	住所	住所２	座標：緯度	座標：経度	SV	倍率	SV過去	Fov	Zoom	電話番号	作品	作品名フリガナ	備考	公式サイトURL	情報参照元URL	備考2	市区町村読み仮名	作品名50音	県順	市順	域順	実在
1192	0001	完了	東京都	大田区	田園調布駅前広場	145-0071	東京都大田区田園調布2-62		35.597187	139.667295	-						フルーツバスケット 2nd season	フルーツバスケットセカンドシーズン	第24話で、仕事の区切りのついた草摩由希たち生徒会が、打ち上げで待ち合わせをしていた場所。				オオタク	フ	13	5	2	
1192	0002	完了	東京都	大田区	宝来公園	145-0071	東京都大田区田園調布3-31		35.594150	139.664076	"https://www.google.co.jp/maps/@35.5940959,139.6640219,2a,75y,42.79h,90.77t/data=!3m7!1e1!3m5!1svwerSeDbiGCFjeGR_Kke9g!2e0!5s20150301T000000!7i13312!8i6656"				2		フルーツバスケット 2nd season	フルーツバスケットセカンドシーズン	第25話で、草摩紫呉の取り計らいで、草摩紅野が本田透と会い、魚谷ありさに会えないことを伝えていた公園。				オオタク	フ	13	5	2	
1192	0003	完了	東京都	大田区	秋葉のクロマツ（秋葉神社）	145-0071	東京都大田区田園調布5-3		35.595738	139.659150	-						フルーツバスケット 2nd season	フルーツバスケットセカンドシーズン	第21話の回想シーンで、草摩家の屋敷を抜け出した幼い頃の草摩由希が、迷子になって泣いていた幼い頃の本田透と出会った場所。				オオタク	フ	13	5	2	
1192	0004	完了	東京都	世田谷区	二子玉川ライズ	158-0094	東京都世田谷区玉川2-21-1		35.611997	139.628308	"https://www.google.co.jp/maps/@35.6117153,139.6295003,2a,40y,283.58h,116.48t/data=!3m6!1e1!3m4!1sYHhg22mfuQILKgznuP-Zig!2e0!7i13312!8i6656"						フルーツバスケット 2nd season	フルーツバスケットセカンドシーズン	第5話で、本田透一行が草摩紅葉に連れて来られたお化け屋敷がある商業施設。<br />実際には施設内にお化け屋敷はありません。				セタガヤク	フ	13	14	2	
1192	0005	完了	東京都	世田谷区	CHOPPED SALAD DAYS 二子玉川店	158-0094	東京都世田谷区玉川2-21-1	二子玉川ライズＳＣ ステーションマーケット 1F	35.612061	139.627434	-						フルーツバスケット 2nd season	フルーツバスケットセカンドシーズン	第5話で、魚谷ありさがアルバイトをしていた店。昼休憩で店から出てくる姿が描かれていました。				セタガヤク	フ	13	14	2	
1192	0006	完了	東京都	多摩市	聖蹟桜ヶ丘駅 前	206-0011	東京都多摩市関戸1-10-10		35.650382	139.446811	"https://www.google.com/maps/@35.6502326,139.4469736,3a,15y,309.59h,91.71t/data=!3m6!1e1!3m4!1s5mHF2XBW62-nRnLVVaA8iQ!2e0!7i16384!8i8192"				5		フルーツバスケット 2nd season	フルーツバスケットセカンドシーズン	第11話で、草摩夾と草摩楽羅がデートの待ち合わせをしていた場所。<br />作中では駅名が「ゆうひが丘駅」になっていました。				タマシ	フ	13	35	2	
1192	0007	完了	東京都	多摩市	聖蹟桜ヶ丘オーパ	206-0011	東京都多摩市関戸4-72		35.649976	139.447000	"https://www.google.co.jp/maps/@35.6502679,139.4467784,3a,32y,138.33h,130.32t/data=!3m6!1e1!3m4!1sVswGRGOwwz9jiubbAPjOYw!2e0!7i16384!8i8192"						フルーツバスケット 2nd season	フルーツバスケットセカンドシーズン	第11話の草摩夾と草摩楽羅がデートシーンの冒頭カットで、聖蹟桜ヶ丘駅前の飯田善國作の彫刻「希望」越しに見上げる構図でビルが描かれていました。				タマシ	フ	13	35	2	
1192	0008	完了	神奈川県	川崎市	丸子橋	211-0001	神奈川県川崎市中原区上丸子八幡町		35.585441	139.668782	"https://www.google.co.jp/maps/@35.5859552,139.6699304,3a,38.7y,250.55h,88.37t/data=!3m6!1e1!3m4!1s9YjfKmAOL8ObdR9xm_YWQA!2e0!7i16384!8i8192"						フルーツバスケット 2nd season	フルーツバスケットセカンドシーズン	第14話で、学校帰りの草摩夾が一人きりで物憂げな表情で渡っていた橋で、途中で立ち止まった夾が、引き返す姿が描かれていました。				カワサキシ	フ	14	2	2	
1192	0009	完了	神奈川県	川崎市	中原平和公園　パーゴラ	211-0021	神奈川県川崎市中原区木月住吉町33-1		35.567311	139.658055	-						フルーツバスケット 2nd season	フルーツバスケットセカンドシーズン	第19話で、入院中の草摩依鈴の見舞いに病院を訪れた本田透が、依鈴と共に病院を出て話をしていた公園。				カワサキシ	フ	14	2	2	
1192	0010	完了	神奈川県	川崎市	中原平和公園　平和祈念像	211-0021	神奈川県川崎市中原区木月住吉町33-1		35.566617	139.657963	-						フルーツバスケット 2nd season	フルーツバスケットセカンドシーズン	第19話で、入院中の草摩依鈴の見舞いに病院を訪れた本田透が、依鈴と共に病院を出て話をしていた場所。<br />作中では、噴水の中に立つ平和祈念像の形状が、幼子を掲げる母子像から、翼の生えた女神像に描き変えられていました。				カワサキシ	フ	14	2	2	
1192	0011	完了	神奈川県	川崎市	関東労災病院	211-0021	神奈川県川崎市中原区木月住吉町1-1		35.568131	139.657006	"https://www.google.co.jp/maps/@35.5670795,139.6566784,3a,15y,8.9h,102.67t/data=!3m6!1e1!3m4!1s5frT22qGeBuUeePmax9kJg!2e0!7i13312!8i6656"				5		フルーツバスケット 2nd season	フルーツバスケットセカンドシーズン	第4話で、草摩潑春が入院中の草摩依鈴のお見舞いに訪れていた病院。<br />第19話で、本田透が入院中の依鈴のお見舞いに訪れていたのもこの病院でした。<br />作中では病院名が「草摩総合病院」になっていました。				カワサキシ	フ	14	2	2	
1192	0012	完了	岐阜県	郡上市	洞泉寺橋	501-4218	岐阜県郡上市八幡町鍛冶屋町		35.751356	136.955649	"https://www.google.co.jp/maps/@35.7513004,136.9555259,3a,46y,60.3h,90.85t/data=!3m6!1e1!3m4!1sHEJ4Tp1qC8_a1OQpNjN5Fw!2e0!7i13312!8i6656"						フルーツバスケット 2nd season	フルーツバスケットセカンドシーズン	第12話で、白木繭子が、草摩はとりに依頼されていた本（『夢と情緒』）を渡していた橋で、幸せとは縁がないと言うはとりに、繭子が取り乱し大声で泣き叫んでいました。				グジョウグン	フ	21	19	3	
1192	0013	完了	京都府	京都市	京都タワー	600-8216	京都府京都市下京区東塩小路町721-1		34.987555	135.759333	"https://www.google.co.jp/maps/@34.9863339,135.7578291,2a,33.8y,43.96h,106.73t/data=!3m6!1e1!3m4!1slk7UluzC0IqbdKH0n1NipQ!2e0!7i13312!8i6656"						フルーツバスケット 2nd season	フルーツバスケットセカンドシーズン	第17話冒頭のナレーションシーンで、京都駅前から見上げたタワーが描かれていました。				キョウトシ	フ	26	10	5	
1192	0014	完了	京都府	京都市	今宮神社　神橋	603-8243	京都府京都市北区紫野今宮町21		35.045265	135.742473	"https://www.google.com/maps/@35.0452856,135.742432,2a,30y,96.79h,81.63t/data=!3m6!1e1!3m4!1sk82ZQus7a78lzETvq-vq9w!2e0!7i13312!8i6656"						フルーツバスケット 2nd season	フルーツバスケットセカンドシーズン	第17話の修学旅行で、みんなが土産物を買っている間、草摩夾が境内で白猫に言い寄れれていた神社。夾に気づいた本田透が声をかけたことで、白猫にフラレていました。				キョウトシ	フ	26	10	5	
1192	0015	完了	京都府	京都市	金閣寺	603-8361	京都府京都市北区金閣寺町1		35.039513	135.728452	-						フルーツバスケット 2nd season	フルーツバスケットセカンドシーズン	第17話の修学旅行回の冒頭ナレーションシーンで描かれていた寺。				キョウトシ	フ	26	10	5	
1192	0016	完了	京都府	京都市	清水寺	605-0862	京都府京都市東山区清水294		34.994815	135.785015	"https://www.google.co.jp/maps/@34.9946248,135.7854111,2a,32y,282.63h,87.75t/data=!3m6!1e1!3m4!1sgBNSjM5PaVD4EFVzbROYug!2e0!7i13312!8i6656"						フルーツバスケット 2nd season	フルーツバスケットセカンドシーズン	第17話の修学旅行回の冒頭ナレーションシーンで描かれていた寺。				キョウトシ	フ	26	10	5	
