作品No.	聖地No.	確定	都道府県	市区郡	聖地名	郵便番号	住所	住所２	座標：緯度	座標：経度	SV	倍率	SV過去	Fov	Zoom	電話番号	作品	作品名フリガナ	備考	公式サイトURL	情報参照元URL	備考2	市区町村読み仮名	作品名50音	県順	市順	域順	実在
1042	0001	完了	神奈川県	平塚市	日向岡住宅（階段下）	254-0905	神奈川県平塚市日向岡1-3		35.338950	139.299518	"https://www.google.com/maps/@35.3393824,139.2994456,3a,15y,171.31h,81.7t/data=!3m6!1e1!3m4!1sUmO3DMEzamMrGFdYlV05oA!2e0!7i13312!8i6656"				5		ペンギン・ハイウェイ	ペンギンハイウェイ	冒頭のペンギンが町に出現するシーンで、階段の上から見下ろす構図で住宅地に迷い込んでいたペンギンの一匹が走っている姿が描かれていました。				ヒラツカシ	ヘ	14	16	2	
1042	0002	完了	神奈川県	平塚市	日向岡一丁目バス停	254-0905	神奈川県平塚市日向岡1-10		35.338557	139.298870	"https://www.google.com/maps/@35.338502,139.2988912,3a,44.7y,342.96h,88.18t/data=!3m6!1e1!3m4!1sgjbVFev3H4JaqYCkWmSowQ!2e0!7i16384!8i8192"						ペンギン・ハイウェイ	ペンギンハイウェイ	アオヤマ君が出張で海外に行くお父さんを見送っていたバス停のモデル。実際にはベンチはありません。				ヒラツカシ	ヘ	14	16	2	
1042	0003	完了	神奈川県	平塚市	日向岡住宅（2丁目13）	254-0905	神奈川県平塚市日向岡2-13		35.341574	139.299665	"https://www.google.com/maps/@35.3415227,139.299804,3a,15y,284.52h,86.47t/data=!3m6!1e1!3m4!1scS5LsRY8ARPmYuN6oevuLw!2e0!7i16384!8i8192"				5		ペンギン・ハイウェイ	ペンギンハイウェイ	冒頭の作画監督がテロップされていたカットで、ペンギンが走っていた住宅街のモデルで、青いポストや消化器ボックスなど細部まで忠実に描かれています。<br />この青いポストの住宅がアオヤマ君の家によく似ているため、モデルになったのではないかと思われます。				ヒラツカシ	ヘ	14	16	2	
1042	0004	完了	神奈川県	平塚市	民家	254-0905	神奈川県平塚市日向岡2-13-27		35.341482	139.299613	"https://www.google.com/maps/@35.3415828,139.2996187,3a,40.3y,157.58h,82.11t/data=!3m6!1e1!3m4!1s2WqKXtXuofSfjcjCJAWS8g!2e0!7i16384!8i8192"						ペンギン・ハイウェイ	ペンギンハイウェイ	おばさんにペンギンの目撃情報の聞き込みをしていたアオヤマ君とウチダ君の背景に描かれていた、「山田」という表札が掛けられていた民家のモデル。<br />アオヤマ君の家によく似ているため、モデルになったのではないかと思われます。				ヒラツカシ	ヘ	14	16	2	
1042	0005	完了	大阪府	東大阪市	近畿日本鉄道 新石切駅	579-8013	大阪府東大阪市西石切町3-3		34.680142	135.640875	-						ペンギン・ハイウェイ	ペンギンハイウェイ	ペンタ君を連れて電車で水族館へ向かうアオヤマ君とウチダ君が、ペンタ君の異変を感じて電車を下りていた駅。<br />アオヤマ君が、お姉さんに誘われて一緒に海辺の町に電車で向かう途中、ペンタ君の時と同じく体調を崩したお姉さんを連れて下車していました。<br />改札付近やホームげ描かれていました。				ヒガシオオサカシ	ヘ	27	4	5	
1042	0006	完了	奈良県	生駒市	イオン 登美ヶ丘店	630-0115	奈良県生駒市鹿畑町3027		34.725972	135.751207	"https://www.google.com/maps/@34.7252357,135.7518348,3a,38y,334.67h,87.77t/data=!3m6!1e1!3m4!1sEqthcoPTTQdgxIfRAlMfzw!2e0!7i16384!8i8192"						ペンギン・ハイウェイ	ペンギンハイウェイ	アオヤマ君がお父さんと喫茶店に向かう自動車移動シーンで描かれていた商業施設。<br />2人の乗る車が、学研奈良登美ヶ丘駅前に向かう道を走る様子が描かれていました。<br />作中では、イオンの外観が大きく変えられており、けいはんな線の高架線路も消されて描かれていました。				イコマシ	ヘ	29	8	5	
1042	0007	完了	奈良県	生駒市	四季の森公園	630-0121	奈良県生駒市北大和1-28		34.726496	135.726017	"https://www.google.com/maps/@34.7267059,135.726034,3a,15y,180h,96.6t/data=!3m6!1e1!3m4!1sxWgDTOiwI168LuqAZZ6lxg!2e0!7i16384!8i8192"				5		ペンギン・ハイウェイ	ペンギンハイウェイ	アオヤマ君とウチダ君がペンギン探査のため、遊具の上から町を見渡していた公園。				イコマシ	ヘ	29	8	5	
1042	0008	完了	奈良県	生駒市	北大和グランド	630-0121	奈良県生駒市北大和3-5077		34.721635	135.735676	-						ペンギン・ハイウェイ	ペンギンハイウェイ	「海」の中から解放されたハマモトさんのお父さんたち大学研究者たちやアオヤマ君とお姉さんが、観客席で破裂した「海」が津波となってグラウンドに流れ込んでくるのを目撃していたグラウンド。				イコマシ	ヘ	29	8	5	
1042	0009	完了	奈良県	生駒市	北大和スポーツ施設 駐車場	630-0121	奈良県生駒市北大和3-5077		34.721607	135.735299	-						ペンギン・ハイウェイ	ペンギンハイウェイ	スズキ君たちが国立科学技術大学の車で連れて行かれたのを目撃し、「海」のことを話してしまうのではと「海」のある山に入ったハマモトさんとウチダ君が、スズキ君たちが研究者たちに聴取されているテントに遭遇していた場所。				イコマシ	ヘ	29	8	5	
1042	0010	完了	奈良県	生駒市	真弓1丁目の坂道	630-0122	奈良県生駒市真弓1-6		34.721155	135.727648	"https://www.google.com/maps/@34.7209425,135.727422,3a,17y,40.76h,89.14t/data=!3m6!1e1!3m4!1sGqb9rNnPWXo68B1gS8ciHA!2e0!7i16384!8i8192"				5		ペンギン・ハイウェイ	ペンギンハイウェイ	ウチダ君、ハマモトさん、スズキ君の3人が行く手を阻む消防団を足止めしてくれる間に、アオヤマ君が『巨大化した「海」に向かって走っていた坂道。				イコマシ	ヘ	29	8	5	
1042	0011	完了	奈良県	生駒市	真弓小学校	630-0122	奈良県生駒市真弓1-11-15		34.720212	135.725839	"https://www.google.com/maps/@34.7206531,135.7255077,3a,25y,163.97h,88.85t/data=!3m6!1e1!3m4!1sW6Tmc76AqaEi7XUC2Igi5w!2e0!7i16384!8i8192"				4		ペンギン・ハイウェイ	ペンギンハイウェイ	アオヤマ君が通う小学校のモデル。				イコマシ	ヘ	29	8	5	
1042	0012	完了	奈良県	生駒市	真弓中央公園	630-0122	奈良県生駒市真弓3-6		34.721359	135.732290	-						ペンギン・ハイウェイ	ペンギンハイウェイ	アオヤマ君がウチダ君と遊びに行き、ハマモトさんから父親を紹介されていた夏祭りの会場となっていた公園。				イコマシ	ヘ	29	8	5	
1042	0013	完了	奈良県	生駒市	ともだ歯科医院	630-0122	奈良県生駒市真弓4-4-2		34.717772	135.732967	"https://www.google.com/maps/@34.717556,135.7329364,3a,25.2y,4.31h,95.44t/data=!3m6!1e1!3m4!1syeUYlmelyUxOdtMR1IYKzw!2e0!7i16384!8i8192"				4		ペンギン・ハイウェイ	ペンギンハイウェイ	アオヤマ君が憧れるお姉さんが勤めている宇宙ステーションみたいな歯科医院（「ミヤタ歯科医院」）のイメージモデル。				イコマシ	ヘ	29	8	5	
1042	0014	完了	奈良県	生駒市	北大和グランド裏の山	630-0131	奈良県生駒市上町		34.721300	135.736085	-						ペンギン・ハイウェイ	ペンギンハイウェイ	アオヤマ君とウチダ君が発見したペンギンの行列が走っていた場所で、金網フェンス沿いの山道をアオヤマ君が「ペンギン・ハイウェイ」と称していました。				イコマシ	ヘ	29	8	5	
