作品No.	聖地No.	確定	都道府県	市区郡	聖地名	郵便番号	住所	住所２	座標：緯度	座標：経度	SV	倍率	SV過去	Fov	Zoom	電話番号	作品	作品名フリガナ	備考	公式サイトURL	情報参照元URL	備考2	市区町村読み仮名	作品名50音	県順	市順	域順	実在
0790	0001	完了	東京都	千代田区	日本武道館	102-0091	東京都千代田区北の丸公園2-3		35.693401	139.749855	"https://www.google.co.jp/maps/@35.6930389,139.749115,3a,56.1y,65.0h,106.0t/data=!3m8!1e1!3m6!1sCAoSLEFGMVFpcE5ZSkZnSWd6TG1RaWJtWkxnNFhzbzUzenU1bHNXRTFNeDZqVHhz!2e10!3e11!6shttps:%2F%2Flh5.googleusercontent.com%2Fp%2FCAoSLEFGMVFpcE5ZSkZnSWd6TG1RaWJtWkxnNFhzbzUzenU1bHNXRTFNeDZqVHhz%3Dw203-h100-k-no-pi3.2298243-ya284.51715-ro0.5069233-fo100!7i5376!8i2688 "						ボールルームへようこそ	ボールルームヘヨウコソ	第15話で、仙石要・本郷千鶴ペアが出場した「第38回／2018年 日本インターナショナルダンス選手権大会」の会場。				チヨダク	ホ	13	17	2	
0790	0002	完了	東京都	江東区	ホテルイースト21東京	135-0016	東京都江東区東陽6-3-3		35.674693	139.815187	-						ボールルームへようこそ	ボールルームヘヨウコソ	第7話で、富士田多々良・赤城真子ペアと赤城賀寿・花岡雫ペアが対決した「天平杯」の会場のモデルで、入口前の噴水が描かれていました。	https://www.hotel-east21.co.jp/			コウトウク	ホ	13	8	2	
0790	0003	完了	東京都	文京区	後楽園ホール	112-0004	東京都文京区後楽1-3-61	東京ドームシティ内	35.704278	139.751939	-	17					ボールルームへようこそ	ボールルームヘヨウコソ	第12話で、海外遠征から帰国した仙石要が出場していた試合の会場で、赤城賀寿と一緒に仙石のダンスを見に来た富士田多々良が、本郷千鶴と遭遇していました。				ブンキョウク	ホ	13	21	2	
0790	0004	完了	東京都	墨田区	JR 錦糸町駅	130-0013	東京都墨田区錦糸1-2		35.696428	139.813991	"https://www.google.co.jp/maps/@35.695796,139.8139471,3a,15y,9.13h,94.68t/data=!3m6!1e1!3m4!1suZ1ZzyhzI7PqwJ5e3KV1lg!2e0!7i13312!8i6656"						ボールルームへようこそ	ボールルームヘヨウコソ	第14話で、初めてのノービス戦の会場へと向かう富士田多々良と緋山千夏が利用していた駅で、南口前が描かれていました。				スミダク	ホ	13	13	2	
0790	0005	完了	東京都	墨田区	すみだ産業会館 サンライズホール	130‐0022	東京都墨田区江東橋3-9-10	墨田区・丸井共同開発ビル8～9F	35.694965	139.813685	"https://www.google.co.jp/maps/@35.6956046,139.8135833,3a,35y,150.79h,121.59t/data=!3m6!1e1!3m4!1sgO2YCUmOSqUI84RnSqvWOw!2e0!7i13312!8i6656"					03-3635-4351	ボールルームへようこそ	ボールルームヘヨウコソ	第14話で、富士田多々良と緋山千夏が初めて出場したノービス戦の会場。	http://sumidasangyokaikan.jp			スミダク	ホ	13	13	2	
0790	0006	完了	東京都	渋谷区	東京体育館メインアリーナ	151-0051	東京都渋谷区千駄ヶ谷1−17−1		35.679760	139.712489	"https://www.google.co.jp/maps/@35.6805965,139.7115069,3a,36.8y,136.13h,96.26t/data=!3m6!1e1!3m4!1sj7s_uYlRZcmS5cqAS0iNbQ!2e0!7i13312!8i6656"	16		120	3		ボールルームへようこそ	ボールルームヘヨウコソ	第3話で、富士田多々良たちが兵藤清春・花岡雫ペアの応援に来ていた「第37回 三笠宮杯 全日本ダンス・スポーツ選手権」の会場で、兵藤のトラブルで、急遽多々良がワルツに出場させられていました。				シブヤク	ホ	13	10	2	
0790	0007	完了	東京都	世田谷区	駒沢オリンピック公園総合運動場  体育館	154-0013	東京都世田谷区駒沢公園1-1		35.624818	139.660791	"https://www.google.co.jp/maps/@35.6244617,139.6618794,2a,39y,298.75h,98.22t/data=!3m7!1e1!3m5!1sZfu7Rh9hCHGp3tQ6frwWAg!2e0!6s%2F%2Fgeo0.ggpht.com%2Fcbk%3Fpanoid%3DZfu7Rh9hCHGp3tQ6frwWAg%26output%3Dthumbnail%26cb_client%3Dmaps_sv.tactile.gps%26thumb%3D2%26w%3D203%26h%3D100%26yaw%3D331.0481%26pitch%3D0%26thumbfov%3D100!7i13312!8i6656"						ボールルームへようこそ	ボールルームヘヨウコソ	第17～21話で、富士田多々良と緋山千夏が出場した「第66回東京都民ダンススポーツ大会」の会場。				セタガヤク	ホ	13	14	2	
0790	0008	完了	東京都	板橋区	カフェ プース	173-0016	東京都板橋区中板橋29-10		35.756264	139.694886	"https://www.google.co.jp/maps/@35.7561993,139.6950281,3a,44.1y,302.01h,95.44t/data=!3m7!1e1!3m5!1sPlwpFEaylwTBOYhClkaX7g!2e0!6s%2F%2Fgeo3.ggpht.com%2Fcbk%3Fpanoid%3DPlwpFEaylwTBOYhClkaX7g%26output%3Dthumbnail%26cb_client%3Dmaps_sv.tactile.gps%26thumb%3D2%26w%3D203%26h%3D100%26yaw%3D35.28057%26pitch%3D0%26thumbfov%3D100!7i13312!8i6656?dcr=0"						ボールルームへようこそ	ボールルームヘヨウコソ	第14話で、「小笠原ダンススタジオ」へのレッスン料を自分で払うために富士田多々良がバイトを始めた店。	https://cafe-pousse.jimdo.com			イタバシク	ホ	13	3	2	
0790	0009	完了	東京都	板橋区	東武 中板橋駅	173-0021	東京都板橋区弥生町33-1		35.755813	139.695590	"https://www.google.co.jp/maps/@35.7558386,139.6956724,3a,90y,221.3h,94.39t/data=!3m6!1e1!3m4!1syd8GTKwdPIbamtdFkeYGaw!2e0!7i13312!8i6656"						ボールルームへようこそ	ボールルームヘヨウコソ	第4話で、退院して富士田多々良の家を訪れた兵藤清春を多々良が送っていた駅。北口とホームが描かれていました。				イタバシク	ホ	13	3	2	
0790	0010	完了	東京都	羽村市	JR 羽村駅	205-0014	東京都羽村市羽東1-7-26		35.758412	139.316153	"https://www.google.co.jp/maps/@35.7581071,139.3163128,3a,32.2y,334.76h,88.42t/data=!3m7!1e1!3m5!1sy0JHyRuV4ngLL1_XsbbBLg!2e0!6s%2F%2Fgeo1.ggpht.com%2Fcbk%3Fpanoid%3Dy0JHyRuV4ngLL1_XsbbBLg%26output%3Dthumbnail%26cb_client%3Dmaps_sv.tactile.gps%26thumb%3D2%26w%3D203%26h%3D100%26yaw%3D180.08807%26pitch%3D0%26thumbfov%3D100!7i13312!8i6656"						ボールルームへようこそ	ボールルームヘヨウコソ	第13話で、本郷千鶴に会うために小笠原ダンススタジオを訪れていた緋山千夏が帰るシーンで描かれていた駅。東口階段前が描かれていました。				ハムラシ	ホ	13	39	2	
0790	0011	完了	東京都	羽村市	羽村ダンススクール	205-0011	東京都羽村市五ノ神1-8-16		35.757832	139.316621	"https://www.google.co.jp/maps/@35.757724,139.3166102,3a,48.6y,349.6h,102.29t/data=!3m6!1e1!3m4!1saf3p9q6tFwWPEJh_VSUB9w!2e0!7i13312!8i6656"						ボールルームへようこそ	ボールルームヘヨウコソ	第1話で、富士田多々良が花岡雫が入っていくのを目撃して、ダンスを始めるきっかけとなった「小笠原ダンススタジオ」のモデル。作中ではビルや線路など大分改変されていますが、線路沿いの道や、駅の形状などが一致します。	http://hamura2150.o.oo7.jp/			ハムラシ	ホ	13	39	2	
0790	0012	完了	静岡県	静岡市	グランシップ（静岡県コンベンションアーツセンター）	422-8019	静岡県静岡市駿河区東静岡2-3-1		34.985683	138.417126	"https://www.google.co.jp/maps/@34.9840831,138.4150878,3a,28y,40.7h,104.14t/data=!3m6!1e1!3m4!1sPGSJo8dg2LqRIYT_FeWD_w!2e0!7i13312!8i6656"					054-203-5710	ボールルームへようこそ	ボールルームヘヨウコソ	第15話で、富士田多々良と緋山千夏が兵藤マリサ先生に内緒で出場した「2018 ダンススポーツグランプリ in 静岡」の会場。	http://www.granship.or.jp/			シズオカシ	ホ	22	15	3	
0790	0013	完了	静岡県	静岡市	JR 東静岡駅	420-0813	静岡県静岡市葵区長沼584-8		34.984920	138.413437	"https://www.google.co.jp/maps/@34.9848492,138.4131407,3a,15y,149.0h,91.0t/data=!3m8!1e1!3m6!1sCAoSLEFGMVFpcFBxTXM1TFJiTGU3NDB4MjdtR0M4X2ZwZXZMbGRyNXRXWFpkRWlf!2e10!3e11!6shttps:%2F%2Flh5.googleusercontent.com%2Fp%2FCAoSLEFGMVFpcFBxTXM1TFJiTGU3NDB4MjdtR0M4X2ZwZXZMbGRyNXRXWFpkRWlf%3Dw203-h100-k-no-pi-0-ya21.25187-ro-0-fo100!7i8704!8i4352 "						ボールルームへようこそ	ボールルームヘヨウコソ	第15話で、「2018 ダンススポーツグランプリ in 静岡」に出場するために静岡に来た富士田多々良と緋山千夏が降りていた駅。	http://railway.jr-central.co.jp/station-guide/shizuoka/higashi-shizuoka/			シズオカシ	ホ	22	15	3	
