作品No.	聖地No.	確定	都道府県	市区郡	聖地名	郵便番号	住所	住所２	座標：緯度	座標：経度	SV	倍率	SV過去	Fov	Zoom	電話番号	作品	作品名フリガナ	備考	公式サイトURL	情報参照元URL	備考2	市区町村読み仮名	作品名50音	県順	市順	域順	実在
0829	0001	完了	北海道	札幌市	札幌市時計台	060-0001	北海道札幌市中央区北一条西2		43.062594	141.353635	"https://www.google.co.jp/maps/@43.06257,141.353542,3a,75y,90t/data=!3m5!1e2!3m3!1s566161!2e1!3e10?hl=ja"	17.0		0		011-231-0838	ママレード・ボーイ	ママレードボーイ	第7話の私立桐稜大学附属高等学校の修学旅行で小石川光希たちが訪れていた場所。	http://www15.ocn.ne.jp/~tokeidai/			サッポロシ	マ	1	1	1	
0829	0002	完了	北海道	札幌市	旧北海道庁	060-0003	北海道札幌市中央区北三条西6		43.063942	141.347982	"https://www.google.co.jp/maps/@43.0640546,141.3487037,3a,75y,256.29h,93.89t/data=!3m5!1e1!3m3!1sfvwfHtXhdBuMr4yQNiyK7Q!2e0!3e5?hl=ja"	16.0		120	1.6		ママレード・ボーイ	ママレードボーイ	第7話の私立桐稜大学附属高等学校の修学旅行で小石川光希たちが訪れていた場所。				サッポロシ	マ	1	1	1	
0829	0003	完了	北海道	札幌市	JR 札幌駅	060-0005	北海道札幌市中央区北五条西2		43.068598	141.350806	-	15.0		0			ママレード・ボーイ	ママレードボーイ	第7話の私立桐稜大学附属高等学校の修学旅行で、小石川光希たちが利用していた駅。旧駅舎なので現在とは全く外観が異なります。				サッポロシ	マ	1	1	1	
0829	0004	完了	北海道	札幌市	札幌テレビ塔	060-0042	北海道札幌市中央区大通西1-3		43.061093	141.356411	"https://www.google.co.jp/maps/@43.060953,141.35524,3a,75y,75.91h,125.93t/data=!3m4!1e1!3m2!1s3Rht02QZUIk7i1bP3pWykg!2e0?hl=ja"	16.0		120	2.5		ママレード・ボーイ	ママレードボーイ	第7話の私立桐稜大学附属高等学校の修学旅行で小石川光希たちが訪れていた場所。大通公園の噴水越しの外観に、展望台などが描かれていました。				サッポロシ	マ	1	1	1	
0829	0005	完了	北海道	札幌市	大通公園	060-0042	北海道札幌市中央区大通西2		43.060626	141.352895	"https://www.google.co.jp/maps/@43.060665,141.352935,3a,75y,90t/data=!3m5!1e2!3m3!1s36824599!2e1!3e10?hl=ja"			0			ママレード・ボーイ	ママレードボーイ	第7話の私立桐稜大学附属高等学校の修学旅行で小石川光希たちが訪れていた場所。				サッポロシ	マ	1	1	1	
0829	0006	完了	北海道	札幌市	北海道大学 ポプラ並木	060-0808	北海道札幌市北区北八条西5		43.073761	141.337918	"https://www.google.co.jp/maps/@43.07343,141.338149,3a,75y,328.39h,101.35t/data=!3m5!1e1!3m3!1syeJemmRspjEKoSF8DueS5g!2e0!3e5?hl=ja"	15.0		120	3	011-716-2111	ママレード・ボーイ	ママレードボーイ	第7話の私立桐稜大学附属高等学校の修学旅行で小石川光希たちが訪れていた場所で、構内のポプラ並木が描かれていました。	http://www.hokudai.ac.jp/			サッポロシ	マ	1	1	1	
0829	0007	完了	北海道	函館市	函館国際ホテル	040-0064	北海道函館市大手町5-10		41.769547	140.722273	"https://www.google.co.jp/maps/@41.768596,140.722153,3a,75y,16.4h,105.02t/data=!3m4!1e1!3m2!1sZtB5Hb9NFR_bGM0wXJVbSg!2e0?hl=ja"	15.0		120		0138-23-5151	ママレード・ボーイ	ママレードボーイ	第7話の私立桐稜大学附属高等学校の修学旅行で、小石川光希たちが宿泊していたホテル。	http://www.hakodate-kokusai.jp/			ハコダテシ	マ	1	4	1	
0829	0008	完了	北海道	函館市	函館山頂上展望台	040-0000	北海道函館市函館山		41.759414	140.704393	"https://www.google.co.jp/maps/@41.759478,140.704565,3a,75y,90t/data=!3m5!1e2!3m3!1s66159282!2e1!3e10?hl=ja"	17.0		0			ママレード・ボーイ	ママレードボーイ	第7話の私立桐稜大学附属高等学校の修学旅行で、小石川光希たちが訪れていた場所で、ここから函館の夜景を眺めていました。				ハコダテシ	マ	1	4	1	
0829	0009	完了	北海道	函館市	五稜郭	040-0001	北海道函館市五稜郭町44		41.79696	140.756814	"https://www.google.co.jp/maps/@41.796752,140.756793,1382m/data=!3m1!1e3?hl=ja"	15.0		0		0138-31-5505	ママレード・ボーイ	ママレードボーイ	第7話の私立桐稜大学附属高等学校の修学旅行で、小石川光希たちが訪れていた場所。光希たちは、五稜郭タワー展望台から五稜郭を見下ろしていました。1階の土産売場なども描かれていました。				ハコダテシ	マ	1	4	1	
0829	0010	完了	北海道	函館市	トラピスチヌ修道院	042-0914	北海道函館市上湯川町346		41.787837	140.822513	"https://www.google.co.jp/maps/@41.788085,140.822003,3a,75y,90t/data=!3m5!1e2!3m3!1s9019146!2e1!3e10?hl=ja"	15.0		0			ママレード・ボーイ	ママレードボーイ	第7話の私立桐稜大学附属高等学校の修学旅行で、小石川光希たちが訪れていた場所。				ハコダテシ	マ	1	4	1	
