作品No.	聖地No.	確定	都道府県	市区郡	聖地名	郵便番号	住所	住所２	座標：緯度	座標：経度	SV	倍率	SV過去	Fov	Zoom	電話番号	作品	作品名フリガナ	備考	公式サイトURL	情報参照元URL	備考2	市区町村読み仮名	作品名50音	県順	市順	域順	実在
0841	0001	完了	北海道	札幌市	札幌市時計台	060-0001	北海道札幌市中央区北一条西2		43.062594	141.353635	"https://www.google.co.jp/maps/@43.0624501,141.3532002,3a,30y,63.8h,111.77t/data=!3m6!1e1!3m4!1sFztRumz1qm-8gjACmwEuQw!2e0!7i16384!8i8192"	17.0		120	1.6	011-231-0838	ミス・モノクローム -The Animation- 2	ミスモノクロームジアニメーションツー	第1話のミス・モノクロームとマネオが、ファーストアルバムを全国に売り歩いていた場所の一つ。	http://www15.ocn.ne.jp/~tokeidai/			サッポロシ	ミ	1	1	1	
0841	0002	完了	北海道	札幌市	札幌ドーム	062-0045	北海道札幌市豊平区羊ケ丘1		43.014993	141.409843	"https://www.google.co.jp/maps/@43.0122546,141.4119961,196a,35y,331.64h,56.14t/data=!3m1!1e3"	14.0		0		011-850-1000	ミス・モノクローム -The Animation- 2	ミスモノクロームジアニメーションツー	第3話で、ミス・モノクロームのファーストライブツアーの会場として押さえた9か所の会場の一つ。なぜか実物よりもはるかに巨大なかたちで描かれていました。	http://www.sapporo-dome.co.jp/			サッポロシ	ミ	1	1	1	
0841	0003	完了	北海道	稚内市	宗谷岬	098-6758	北海道稚内市宗谷岬		45.522729	141.936598	"https://www.google.co.jp/maps/@45.5222831,141.9365636,3a,15y,0.19h,89.65t/data=!3m6!1e1!3m4!1soJBA23Sd0EX3uv1KLNXr5g!2e0!7i16384!8i8192"	13.0		0			ミス・モノクローム -The Animation- 2	ミスモノクロームジアニメーションツー	第1話のミス・モノクロームとマネオが、ファーストアルバムを全国に売り歩いていた場所の一つ。				ワッカナイシ	ミ	1	14	1	
0841	0004	完了	埼玉県	さいたま市	さいたまスーパーアリーナ	330-9109	埼玉県さいたま市中央区新都心8		35.895069	139.630726	"https://www.google.co.jp/maps/@35.8933404,139.6297876,3a,45y,31.55h,104.71t/data=!3m6!1e1!3m4!1szRy_jSmnz9MbAru016HKyw!2e0!7i16384!8i8192"	15.0		0			ミス・モノクローム -The Animation- 2	ミスモノクロームジアニメーションツー	第3話で紺野やよいが、ミス・モノクロームのファーストライブツアーの会場として押さえた9か所の会場の一つ。なぜか実物よりもはるかに巨大なかたちで描かれていました。	http://www.saitama-arena.co.jp/			サイタマシ	ミ	11	1	2	
0841	0005	完了	埼玉県	所沢市	西武プリンスドーム	359-1153	埼玉県所沢市上山口2135		35.768521	139.420521	"https://www.google.co.jp/maps/@35.7705903,139.4190588,62a,35y,149.9h,79.09t/data=!3m1!1e3"	15.0		0		04-2925-1141	ミス・モノクローム -The Animation- 2	ミスモノクロームジアニメーションツー	第3話で紺野やよいが、ミス・モノクロームのファーストライブツアーの会場として押さえた9か所の会場の一つ。なぜか実物よりもはるかに巨大なかたちで描かれていました。	http://www.seibulions.jp/stadium/			トコロザワシ	ミ	11	15	2	
0841	0006	完了	千葉県	千葉市	幕張メッセ	261-0023	千葉県千葉市美浜区中瀬2-1		35.646974	140.034528	"https://www.google.co.jp/maps/@35.648427,140.035742,3a,42.8y,253.19h,102.3t/data=!3m6!1e1!3m4!1sGbZTtIbPGG-WIKFdp7pcEw!2e0!7i13312!8i6656"	15.0		120	2	043-296-0001	ミス・モノクローム -The Animation- 2	ミスモノクロームジアニメーションツー	第3話で紺野やよいが、ミス・モノクロームのファーストライブツアーの会場として押さえた9か所の会場の一つ。なぜか実物よりもはるかに巨大なかたちで描かれていました。	http://www.m-messe.co.jp/			チバシ	ミ	12	1	2	
0841	0007	完了	東京都	江東区	東京ビッグサイト（東京国際展示場）	135-0063	東京都江東区有明3-11-1		35.629204	139.794756	-	15		120	1		ミス・モノクローム -The Animation- 2	ミスモノクロームジアニメーションツー	第3話で紺野やよいが、ミス・モノクロームのファーストライブツアーの会場として押さえた9か所の会場の一つ。なぜか実物よりもはるかに巨大なかたちで描かれていました。				コウトウク	ミ	13	8	2	
0841	0008	完了	東京都	文京区	東京ドーム	112-0004	東京都文京区後楽1-3-61		35.70565	139.751919	"https://www.google.co.jp/maps/@35.7036042,139.7542294,3a,17.1y,313.13h,95.56t/data=!3m6!1e1!3m4!1s9d4QMjqgMquY3lLW2rJjBw!2e0!7i13312!8i6656"	16		0			ミス・モノクローム -The Animation- 2	ミスモノクロームジアニメーションツー	第3話で紺野やよいが、ミス・モノクロームのファーストライブツアーの会場として押さえた9か所の会場の一つ。なぜか実物よりもはるかに巨大なかたちで描かれていました。第10話では、KIKUKO握手会の会場として同じカットが出てきました。				ブンキョウク	ミ	13	21	2	
0841	0009	完了	東京都	文京区	第二音羽ビル	112-0013	東京都文京区音羽1-2-2		35.711551	139.731456	"https://www.google.co.jp/maps/@35.7112211,139.7313322,3a,32.3y,31.71h,118.11t/data=!3m6!1e1!3m4!1sC5eWNMAcMiDEiC098tfZvw!2e0!7i13312!8i6656!6m1!1e1"	18		120	1.5		ミス・モノクローム -The Animation- 2	ミスモノクロームジアニメーションツー	第11話から登場した、モノクロームがファーストアルバムを出すことになったレコード会社「ヘイミンレコード」の社屋のモデル。リアルの方のモノクロームのCDを発売元であるキングレコードの入っている第三音羽ビルの隣の建物で、第三音羽ビル側に設置されているKING RECORDSの看板が、「HEIMIN RECORDS」と文字を変えて、第二音羽ビルに設置されていおり、第二音羽ビル6Fに会社を構える講談社ビーシーが出版する「ベストカー」の屋上看板の文字が「ヘイミン」になっています。				ブンキョウク	ミ	13	21	2	
0841	0010	完了	愛知県	名古屋市	名古屋城	460-0031	愛知県名古屋市中区本丸		35.185561	136.899094	"https://www.google.co.jp/maps/@35.1850681,136.9004046,3a,24y,287.5h,100.22t/data=!3m6!1e1!3m4!1spIJlosdXTrMDKxX_Fd7j7w!2e0!7i13312!8i6656"						ミス・モノクローム -The Animation- 2	ミスモノクロームジアニメーションツー	第1話のミス・モノクロームとマネオが、ファーストアルバムを全国に売り歩いていた場所の一つ。				ナゴヤシ	ミ	23	1	3	
