作品No.	聖地No.	確定	都道府県	市区郡	聖地名	郵便番号	住所	住所2	座標：緯度	座標：経度	SV	倍率	SV過去	Fov	Zoom	電話番号	作品	作品名フリガナ	備考	公式サイトURL	情報参照元URL	備考2	市区町村読み仮名	作品名50音	県順	市順	域順	実在
0886	0025	完了	東京都	八王子市	京王電鉄 高尾山口駅	193-0844	東京都八王子市高尾町		35.632243	139.269937	-				4		ヤマノススメ	ヤマノススメ	第8話で、高尾山を登りに行くあおいとひなたが利用していた駅。<br />ホームと駅舎が描かれていました。<br />※作中に描かれている旧駅舎は解体済で、2015年4月24日から新駅舎となっています。				ハチオウジシ	ヤ	13	38	2	解体
0886	0017	完了	東京都	八王子市	高尾山麓氷川神社　一の鳥居	193-0844	東京都八王子市高尾町		35.632855	139.270773	"https://www.google.co.jp/maps/@35.6329454,139.2702128,2a,45y,114.84h,98.5t/data=!3m6!1e1!3m4!1sz0UOlMec2fHO7VL-EqSyNQ!2e0!7i13312!8i6656?hl=ja"						ヤマノススメ	ヤマノススメ	第8話のサブタイトルバックで、高尾山口駅のホームから見下ろす鳥居やトリックアート美術館、ホテルバニラスウィート、正面の山などが描かれていました。				ハチオウジシ	ヤ	13	38	2	
0886	0026	完了	東京都	八王子市	高尾登山電鉄 清滝駅	193-0844	東京都八王子市高尾町		35.631209	139.267032	"https://www.google.co.jp/maps/@35.6312025,139.2673057,3a,47.4y,275.6h,102.7t/data=!3m6!1e1!3m4!1skMzaQ9HKLSil_FzCEJkSNw!2e0!7i16384!8i8192?hl=ja"						ヤマノススメ	ヤマノススメ	第8話で、倉上ひなたが雪村あおいに登山鉄道に乗ってみるかと誘っていた駅。				ハチオウジシ	ヤ	13	38	2	
0886	0041	完了	東京都	八王子市	ムササビ像	193-0844	東京都八王子市高尾町		35.631310	139.267490	"https://www.google.co.jp/maps/@35.631257,139.2674933,3a,15y,347.81h,81.14t/data=!3m6!1e1!3m4!1sD3L7DuUgN-XAMzGwFURJUg!2e0!7i16384!8i8192?hl=ja"				5		ヤマノススメ	ヤマノススメ	第8話の高尾山に登る前のカットの一つに描かれていた清滝駅前にある像。				ハチオウジシ	ヤ	13	38	2	
0886	0042	完了	東京都	八王子市	もみじ通り	193-0844	東京都八王子市高尾町		35.631912	139.269725	-						ヤマノススメ	ヤマノススメ	第8話で、高尾山を登りに行くあおいとひなたが、高尾山口駅から清滝駅前に向かう2人が歩いていた通り。				ハチオウジシ	ヤ	13	38	2	
0886	0043	完了	東京都	八王子市	高尾山一号路　曲がり角	193-0844	東京都八王子市高尾町		35.634395	139.260013	"https://www.google.co.jp/maps/@35.6343487,139.2600303,2a,48.9y,31.52h,85.15t/data=!3m7!1e1!3m5!1sFfcvzWnXiaP4bBtEvZyypg!2e0!6s%2F%2Fgeo1.ggpht.com%2Fcbk%3Fpanoid%3DFfcvzWnXiaP4bBtEvZyypg%26output%3Dthumbnail%26cb_client%3Dmaps_sv.tactile.gps%26thumb%3D2%26w%3D203%26h%3D100%26yaw%3D306.59344%26pitch%3D0%26thumbfov%3D100!7i13312!8i6656?hl=ja"						ヤマノススメ	ヤマノススメ	第8話の高尾山登山で、テンションの高い雪村あおいが先行して登ってくる姿が描かれていた曲がり角。				ハチオウジシ	ヤ	13	38	2	
0886	0024	完了	東京都	八王子市	高尾山駅展望台　ベンチ	193-0844	東京都八王子市高尾町		35.630992	139.256586	"https://www.google.co.jp/maps/@35.6310242,139.2564803,2a,90y,105.2h,79.07t/data=!3m7!1e1!3m5!1s3NUdndbhUdZ8Na1gXerjsA!2e0!3e5!7i13312!8i6656?hl=ja"				1		ヤマノススメ	ヤマノススメ	第8話で、雪村あおいと倉上ひなたがお団子を食べていた案内標識横のベンチです。				ハチオウジシ	ヤ	13	38	2	
0886	0023	完了	東京都	八王子市	十一丁目茶屋の脇の露店	193-0844	東京都八王子市高尾町		35.630257	139.255268	"https://www.google.co.jp/maps/@35.6302621,139.2553474,2a,28.4y,227.12h,80.36t/data=!3m7!1e1!3m5!1sxJ5XFQst40OLN4rZtZol9w!2e0!3e5!7i13312!8i6656?hl=ja"						ヤマノススメ	ヤマノススメ	第8話で、雪村あおいが倉上ひなたへ団子のお礼にムササビのマスコットキーホルダーを買っていた、十一丁目茶屋の脇でパラソルを広げている売店。				ハチオウジシ	ヤ	13	38	2	
0886	0021	完了	東京都	八王子市	たこ杉	193-0844	東京都八王子市高尾町		35.630167	139.254449	"https://www.google.co.jp/maps/@35.6301542,139.2543994,2a,49.7y,60.81h,95.89t/data=!3m6!1e1!3m4!1s14axuOtJJHO5ZcGMDdwnJg!2e0!7i13312!8i6656?hl=ja"						ヤマノススメ	ヤマノススメ	第8話の高尾山登山で、、展望台から高野山薬王院へ向かう雪村あおいが倉上ひなたがこの木の脇の道を歩く姿が描かれていました。				ハチオウジシ	ヤ	13	38	2	
0886	0022	完了	東京都	八王子市	ひっぱり蛸	193-0844	東京都八王子市高尾町		35.630145	139.254419	"https://www.google.co.jp/maps/@35.6301542,139.2543994,2a,22.5y,81.51h,78.81t/data=!3m6!1e1!3m4!1s14axuOtJJHO5ZcGMDdwnJg!2e0!7i13312!8i6656?hl=ja"				5		ヤマノススメ	ヤマノススメ	第8話で、雪村あおいと倉上ひなたが頭をなでていた運を引き寄せるというタコ像。				ハチオウジシ	ヤ	13	38	2	
0886	0044	完了	東京都	八王子市	天狗の腰掛杉	193-0844	東京都八王子市高尾町		35.626964	139.250120	"https://www.google.co.jp/maps/@35.6269412,139.2501072,2a,36.3y,48.43h,90.51t/data=!3m6!1e1!3m4!1ss8HfZYuf9lIhFeJdt8HYnQ!2e0!7i13312!8i6656?hl=ja"						ヤマノススメ	ヤマノススメ	第8話の高尾山登山で、展望台から高野山薬王院へ向かう雪村あおいが倉上ひなたが見上げていた大樹。				ハチオウジシ	ヤ	13	38	2	
0886	0027	完了	東京都	八王子市	高尾山 大見晴園地（国定公園の標識脇）	193-0844	東京都八王子市高尾町		35.624978	139.243518	"https://www.google.co.jp/maps/@35.6250123,139.2435244,2a,28y,217.3h,84.59t/data=!3m7!1e1!3m5!1s_mXLSUnJ4jggE0tzUnAEtw!2e0!3e5!7i13312!8i6656?hl=ja"						ヤマノススメ	ヤマノススメ	第8話の高尾山登山で、高野山薬王院から移動して来た大見晴園地シーンの冒頭カットで描かれていた場所。				ハチオウジシ	ヤ	13	38	2	
0886	0028	完了	東京都	八王子市	高尾山 大見晴園地 標柱	193-0844	東京都八王子市高尾町		35.624531	139.243146	"https://www.google.co.jp/maps/@35.6246777,139.2431718,2a,20y,207.66h,85.83t/data=!3m7!1e1!3m5!1s4VpQY05XHYYN52yt1XtkdQ!2e0!3e5!7i13312!8i6656?hl=ja"						ヤマノススメ	ヤマノススメ	第8話の高尾山登山で、高野山薬王院から移動して来た大見晴園地シーンの冒頭カットで描かれていた標柱。				ハチオウジシ	ヤ	13	38	2	
0886	0029	完了	東京都	八王子市	明治の森高尾国定公園の標識	193-0844	東京都八王子市高尾町		35.625014	139.243446	"https://www.google.co.jp/maps/@35.6249538,139.2434824,2a,37.2y,358.07h,109.12t/data=!3m7!1e1!3m5!1sUrjR9cgupx-NxbKl8yO9Bg!2e0!3e5!7i13312!8i6656"						ヤマノススメ	ヤマノススメ	第8話の高尾山登山で、高野山薬王院から移動して来た大見晴園地シーンの冒頭カットで描かれていた標識。				ハチオウジシ	ヤ	13	38	2	
0886	0020	完了	東京都	八王子市	高尾山 大見晴園地 東屋	193-0844	東京都八王子市高尾町		35.624745	139.242757	"https://www.google.co.jp/maps/@35.6247309,139.2428951,2a,30.1y,272.29h,82.73t/data=!3m7!1e1!3m5!1sFrmpVFRG4aFlFeakRi1MAA!2e0!3e5!7i13312!8i6656"						ヤマノススメ	ヤマノススメ	第9話の高尾山登山で、雪村あおいと倉上ひなたが弁当を食べていた場所で、あおいがなかなか渡せずにいたムササビのマスコットキーホルダーをひなたにプレゼントしていました。				ハチオウジシ	ヤ	13	38	2	
0886	0030	完了	東京都	八王子市	琵琶滝	193-0844	東京都八王子市高尾町		35.628774	139.258822	-						ヤマノススメ	ヤマノススメ	第10話の高尾山登山で、雪村あおいと倉上ひなたが途中で出会った青羽ここなと一緒に眺めていた滝。				ハチオウジシ	ヤ	13	38	2	
0886	0031	完了	東京都	八王子市	尾山琵琶滝水行道場の石柱	193-0844	東京都八王子市高尾町		35.630614	139.262304	"https://www.google.co.jp/maps/@35.6306412,139.2622825,3a,18y,196.77h,93.3t/data=!3m6!1e1!3m4!1sGPt2HQo8Kvn1CqUElmg49g!2e0!7i16384!8i8192?hl=ja"						ヤマノススメ	ヤマノススメ	第10話の高尾山登山で、雪村あおいと倉上ひなたが途中で出会った青羽ここなと一緒に下りてきた登山口シーンで描かれていた「尾山琵琶滝水行道場」と刻まれた錫杖型の石柱。周辺の自然研究6号路の案内板や民家なども描かれていました。				ハチオウジシ	ヤ	13	38	2	
