作品No.	聖地No.	確定	都道府県	市区郡	聖地名	郵便番号	住所	住所２	座標：緯度	座標：経度	SV	倍率	SV過去	Fov	Zoom	電話番号	作品	作品名フリガナ	備考	公式サイトURL	情報参照元URL	備考2	市区町村読み仮名	作品名50音	県順	市順	域順	実在
1234	0001	完了	埼玉県	飯能市	第二天覧山	357-0002	埼玉県飯能市中居		35.866699	139.327489	-						ヤマノススメ おもいでプレゼント	ヤマノススメオモイデプレゼント	「夏 ここなの8/31」で、青羽ここなが街をぶらつくシーンで訪れ、「第二天覧山」の標柱を見て天覧山に第二があることに驚いていました。				ハンノウシ	ヤ	11	16	2	
1234	0002	完了	埼玉県	飯能市	坂道	357-0006	埼玉県飯能市中山		35.864833	139.325221	"https://www.google.co.jp/maps/@35.8650624,139.32522,3a,57y,210.64h,85.69t/data=!3m6!1e1!3m4!1sHZXzIFaSvQKsqSaApaRAPw!2e0!7i13312!8i6656"						ヤマノススメ おもいでプレゼント	ヤマノススメオモイデプレゼント	「夏 ここなの8/31」の青羽ここなが街をぶらつくシーンで、加治神社から第二天覧山方面に向かうここなが歩いていた場所。				ハンノウシ	ヤ	11	16	2	
1234	0003	完了	埼玉県	飯能市	聖望学園中学校・高等学校	357-0006	埼玉県飯能市中山292		35.859683	139.324542	"https://www.google.co.jp/maps/@35.8594071,139.323694,3a,15y,76.86h,93.89t/data=!3m6!1e1!3m4!1sOv10bN0lUqF0yl1nQRPPyg!2e0!7i16384!8i8192?hl=ja"				5		ヤマノススメ おもいでプレゼント	ヤマノススメオモイデプレゼント	雪村あおい、倉上ひなた、斎藤楓が通う学校のモデル。				ハンノウシ	ヤ	11	16	2	
1234	0004	完了	埼玉県	飯能市	加治神社	357-0006	埼玉県飯能市中山716	加治神社	35.864310	139.324283	-						ヤマノススメ おもいでプレゼント	ヤマノススメオモイデプレゼント	「夏 ここなの8/31」で、青羽ここなが参拝していた神社で、回想シーンでは、幼い頃のここなが母親と狛犬の笑い声の真似をしていました。				ハンノウシ	ヤ	11	16	2	
1234	0005	完了	埼玉県	飯能市	加治神社　鳥居	357-0006	埼玉県飯能市中山716	加治神社	35.863499	139.324232	"https://www.google.co.jp/maps/@35.8633799,139.3242255,3a,42y,1.33h,95.82t/data=!3m6!1e1!3m4!1sxg66MlF-kGyy-lKbwEUKoA!2e0!7i16384!8i8192"						ヤマノススメ おもいでプレゼント	ヤマノススメオモイデプレゼント	「夏 ここなの8/31」の回想シーンで、幼い頃の青羽ここなが母親と一緒に訪れた神社の鳥居。				ハンノウシ	ヤ	11	16	2	
1234	0006	完了	埼玉県	飯能市	本橋渓水筆塚	357-0006	埼玉県飯能市中山719	中山児童遊園	35.864102	139.323997	"https://www.google.co.jp/maps/@35.8637854,139.3236932,3a,15y,34.79h,95.34t/data=!3m6!1e1!3m4!1seJ6XQU0OThjn_5y8YYswMQ!2e0!7i13312!8i6656"				5		ヤマノススメ おもいでプレゼント	ヤマノススメオモイデプレゼント	「夏 ここなの8/31」の青羽ここなが街をぶらつくシーンで、「筆塚」と刻まれた文字は読めても由来がわからず不思議そうに見ていた石碑。				ハンノウシ	ヤ	11	16	2	
1234	0007	完了	埼玉県	飯能市	観音寺　鐘撞き堂	357-0031	埼玉県飯能市山手町5-17		35.856022	139.312968	"https://www.google.co.jp/maps/@35.8559627,139.3129499,3a,50.3y,20.96h,104.15t/data=!3m6!1e1!3m4!1sp7nbe0T1m6qVekB9eaVqTA!2e0!7i16384!8i8192"						ヤマノススメ おもいでプレゼント	ヤマノススメオモイデプレゼント	「夏 ここなの8/31」で、青羽ここなが、雪村あおいや倉上ひなたに会えるのを期待して訪れていた場所で、残念ながら2人には会えず、子猫に遭遇していました。<br />街を巡った後に戻ってきたここなが夕焼けの中を野良猫を抱いて佇んでいるところへ、あおいとひなたがここなを探しにやって来て、一緒にシュークリームを食べていました。				ハンノウシ	ヤ	11	16	2	
1234	0008	完了	埼玉県	飯能市	観音寺　植木鉢	357-0031	埼玉県飯能市山手町5-17		35.856194	139.312887	-						ヤマノススメ おもいでプレゼント	ヤマノススメオモイデプレゼント	「夏 ここなの8/31」で、青羽ここなが、子猫を見かけて後をついていった場所。				ハンノウシ	ヤ	11	16	2	
1234	0009	完了	埼玉県	飯能市	観音寺　渡り廊下の下	357-0031	埼玉県飯能市山手町5-17		35.856365	139.312692	-						ヤマノススメ おもいでプレゼント	ヤマノススメオモイデプレゼント	「夏 ここなの8/31」で、子猫を見かけて後をついて行く青羽ここなが、子猫に続いて下を潜っていた場所。				ハンノウシ	ヤ	11	16	2	
1234	0010	完了	埼玉県	飯能市	観音寺　地蔵	357-0031	埼玉県飯能市山手町5-17		35.856476	139.312738	-						ヤマノススメ おもいでプレゼント	ヤマノススメオモイデプレゼント	「夏 ここなの8/31」の青羽ここなが境内で見かけた子猫の後をついて行くシーンで描かれていた、たくさんの地蔵が立ち並ぶ場所。				ハンノウシ	ヤ	11	16	2	
