作品No.	聖地No.	確定	都道府県	市区郡	聖地名	郵便番号	住所	住所２	座標：緯度	座標：経度	SV	倍率	SV過去	Fov	Zoom	電話番号	作品	作品名フリガナ	備考	公式サイトURL	情報参照元URL	備考2	市区町村読み仮名	作品名50音	県順	市順	域順	実在
1057	0001	完了	東京都	豊島区	東急ハンズ池袋店前から望むサンシャイン60	170-0013	東京都豊島区東池袋1-28		35.729942	139.716133	"https://www.google.co.jp/maps/@35.7302894,139.7164413,3a,66y,119.19h,127.14t/data=!3m9!1e1!3m7!1sCAoSLEFGMVFpcFBCZ3lEYjRpVno4YUV0cjJFSVpnMXFYMnpKWjAzV1VqQnJ0ZlZq!2e10!3e11!5s20140401T000000!6shttps:%2F%2Flh5.googleusercontent.com%2Fp%2FAF1QipPBgyDb4iVz8aEtr2EIZg1qX2zJZ03WUjBrtfVj%3Dw203-h100-k-no-pi-0-ya13.30396-ro-0-fo100!7i5792!8i2896"						ヤマノススメ サードシーズン	ヤマノススメサードシーズン	第7話で、アルバイトが入っていると雪村あおいに誘いを断られた倉上ひなたが一人で遊びに行った池袋シーンの冒頭カットで描かれていた場所。<br />東急ハンズ前からサンシャイン60を正面に望む構図で、左手にトヨタ自動車池袋ビル、右手に東急ハンズのビルが描かれていました。				トシマク	ヤ	13	18	2	
1057	0002	完了	東京都	豊島区	ブルーシール 池袋サンシャインシティ店	170-0013	東京都豊島区東池袋3-1-1	サンシャインシティ 専門店街アルパ B1F	35.729766	139.716558	-						ヤマノススメ サードシーズン	ヤマノススメサードシーズン	第7話で、アルバイトが入っていると雪村あおいに誘いを断られた倉上ひなたが一人で遊びに行った池袋で、1時間待ちしてアイスを食べていた店。<br />第10話では、あおいがみお、かすみ、ゆりの3人に誘われて4人で遊びに行った池袋でアイスを食べていたのも、この店でした。				トシマク	ヤ	13	18	2	
1057	0003	完了	東京都	豊島区	サンシャインシティ 噴水広場	170-0013	東京都豊島区東池袋3-1-2	サンシャインシティ 専門店街アルパ B1F	35.729115	139.718864	"https://www.google.co.jp/maps/@35.7290851,139.7189421,3a,45.5y,307.65h,70.64t/data=!3m8!1e1!3m6!1sCAoSLEFGMVFpcE5YMlFEUnN0WDdYaWVsS0U2VjU0cHRRc2UtYzF3TzJ0ZTgwTWdN!2e10!3e11!6shttps:%2F%2Flh5.googleusercontent.com%2Fp%2FAF1QipNX2QDRstX7XielKE6V54ptQse-c1wO2te80MgM%3Dw203-h100-k-no-pi5.0137796-ya47.050564-ro1.6545873-fo100!7i2508!8i1254"						ヤマノススメ サードシーズン	ヤマノススメサードシーズン	第7話で、アルバイトが入っていると雪村あおいに誘いを断られた倉上ひなたが一人で遊びに行った池袋で、プラネタリウム帰りのひなたが一人寂しく歩いていた場所。				トシマク	ヤ	13	18	2	
1057	0004	完了	東京都	豊島区	コニカミノルタプラネタリウム満天	170-0013	東京都豊島区東池袋3-1-3	ワールドインポートマートビル屋上	35.728725	139.719931	-						ヤマノススメ サードシーズン	ヤマノススメサードシーズン	第7話で、アルバイトが入っていると雪村あおいに誘いを断られた倉上ひなたが一人で観に行ったプラネタリウム。<br />第10話では、あおいがみお、かすみ、ゆりの3人に誘われて4人で観に行っていました。				トシマク	ヤ	13	18	2	
1057	0005	完了	東京都	豊島区	マツモトキヨシ 池袋東口店前から望むサンシャイン60	171-0022	東京都豊島区南池袋1-27		35.729632	139.712487	"https://www.google.co.jp/maps/@35.729687,139.7122294,3a,19y,91.7h,111.35t/data=!3m6!1e1!3m4!1scqC_FXF-ZegeA9tyJDbZfg!2e0!7i13312!8i6656"				4.5		ヤマノススメ サードシーズン	ヤマノススメサードシーズン	第10話で、一人飯能に残る倉上ひなたのシーンから、池袋に遊びに行った雪村ひなたのシーンへの場面転換カットで描かれていたビル群。<br />マツモトキヨシ越しに、サンシャイン60やビックカメラ池袋東口カメラ館などのビルが描かれていました。<br />※マツモトキヨシの上の看板が2枚あることや、ビックカメラの屋上看板が赤いことなどから、2014年頃より以前の姿で描かれているようです。				トシマク	ヤ	13	18	2	
1057	0006	完了	東京都	八王子市	高尾登山電鉄 清滝駅	193-0844	東京都八王子市高尾町		35.631198	139.267025	"https://www.google.co.jp/maps/@35.6312315,139.2674028,3a,35y,268.71h,100.31t/data=!3m6!1e1!3m4!1sPi8LMU1X6BWw2gnlCaAENw!2e0!7i16384!8i8192?hl=ja"				3.5		ヤマノススメ サードシーズン	ヤマノススメサードシーズン	オープニングの八合目のカットで描かれていた駅。<br />シリーズ別作品では登場していますが、本作品の本編中には出てきていません。				ハチオウジシ	ヤ	13	38	2	
1057	0007	完了	東京都	武蔵村山市	スターバックス むさし村山青梅街道店	208-0022	東京都武蔵村山市榎3−2−３		35.751081	139.387470	"https://www.google.co.jp/maps/@35.7507109,139.3878808,3a,15y,329.41h,92.1t/data=!3m6!1e1!3m4!1sTHhJGvv-h-kJEFl6tueEqw!2e0!7i16384!8i8192"				5		ヤマノススメ サードシーズン	ヤマノススメサードシーズン	第6話で、倉上ひなたの父親から「山コーヒー」を勧められた雪村あおいが、ひなたと一緒に「山コーヒー」を楽しむためにコーヒーの勉強に訪れた店で、店内で勉強中の斎藤楓と笹原ゆうかと遭遇していました。<br />作中では、店名が「SMIRAL COFFEE」になっていました。				ムサシムラヤマシ	ヤ	13	49	2	
1057	0008	完了	茨城県	つくば市	ガマ洞窟　巨大ガマ像	300-4352	茨城県つくば市筑波1		36.220669	140.118606	"https://www.google.co.jp/maps/@36.2199094,140.1189425,3a,15y,338.89h,101.89t/data=!3m6!1e1!3m4!1srhU9ZTfwkBhXi2C86cp6zA!2e0!7i13312!8i6656?hl=ja"				5		ヤマノススメ サードシーズン	ヤマノススメサードシーズン	第1話で、筑波山に夜景を見に来た雪村あおいと倉上ひなたが、つつじヶ丘駅前に降り立ったシーンの挿入カットで描かれていた場所。つつじヶ丘駅辺りから洞窟側を望む構図で、ガマ像や周囲の鳥居や階段、森などが描かれていました。				ツクバシ	ヤ	8	19	2	
1057	0009	完了	茨城県	つくば市	筑波山ロープウェイ つつじヶ丘駅	300-4352	茨城県つくば市筑波1		36.219717	140.119027	"https://www.google.co.jp/maps/@36.2199094,140.1189425,3a,65y,205.17h,108.51t/data=!3m6!1e1!3m4!1srhU9ZTfwkBhXi2C86cp6zA!2e0!7i13312!8i6656?hl=ja"				2.5		ヤマノススメ サードシーズン	ヤマノススメサードシーズン	第1話で、筑波山に夜景を見に来た雪村あおいと倉上ひなたが利用していた駅。				ツクバシ	ヤ	8	19	2	
1057	0010	完了	茨城県	つくば市	筑波山つつじヶ丘登山口	300-4352	茨城県つくば市筑波1		36.220173	140.118679	"https://www.google.com/maps/@36.220142,140.1187135,2a,62.5y,299.05h,92.02t/data=!3m5!1e1!3m3!1sml_xMFR_RAwSncXlzvsI2g!2e0!6s%2F%2Fgeo3.ggpht.com%2Fcbk%3Fpanoid%3Dml_xMFR_RAwSncXlzvsI2g%26output%3Dthumbnail%26cb_client%3Dmaps_sv.tactile.gps%26thumb%3D2%26w%3D203%26h%3D100%26yaw%3D63.029964%26pitch%3D0%26thumbfov%3D100"				2.5		ヤマノススメ サードシーズン	ヤマノススメサードシーズン	第1話で、筑波山に夜景を見に来た雪村あおいと倉上ひなたが、登山を始めた場所。				ツクバシ	ヤ	8	19	2	
1057	0011	完了	茨城県	つくば市	ガマ洞窟　金のガマ像	300-4352	茨城県つくば市筑波1		36.220565	140.118443	"https://www.google.co.jp/maps/@36.2206705,140.1184238,2a,23.4y,173.31h,70.87t/data=!3m6!1e1!3m4!1s64AuDZ4Ac6d1uo0tAyXYlQ!2e0!7i13312!8i6656?hl=ja"				4		ヤマノススメ サードシーズン	ヤマノススメサードシーズン	第1話で、雪村あおいと倉上ひなたの筑波登山シーンで描かれていたガマ像。				ツクバシ	ヤ	8	19	2	
1057	0012	完了	茨城県	つくば市	ジャンボスベリ台	300-4352	茨城県つくば市筑波1		36.220572	140.118500	"https://www.google.co.jp/maps/@36.2206083,140.1184204,2a,15y,130.74h,76.18t/data=!3m6!1e1!3m4!1sdDOq1yY8hdMbb3DRm54WpA!2e0!7i13312!8i6656?hl=ja"				5		ヤマノススメ サードシーズン	ヤマノススメサードシーズン	第1話で、雪村あおいと倉上ひなたの筑波登山シーンで描かれていた滑り台。				ツクバシ	ヤ	8	19	2	
1057	0013	完了	茨城県	つくば市	筑波山登山道	300-4352	茨城県つくば市筑波1		36.220782	140.118428	"https://www.google.co.jp/maps/@36.2207827,140.1184279,2a,64.7y,188.3h,79.36t/data=!3m6!1e1!3m4!1sqWNkntqG1YLs8T0vzqjn0w!2e0!7i13312!8i6656?hl=ja"						ヤマノススメ サードシーズン	ヤマノススメサードシーズン	第1話で、筑波山に夜景を見に来た雪村あおいと倉上ひなたが上っていた登山道。座標地点辺りから振り向いて南側を見下ろす構図で山裾が描かれていました。				ツクバシ	ヤ	8	19	2	
1057	0014	完了	茨城県	つくば市	筑波山登山道　東屋付近	300-4352	茨城県つくば市筑波1		36.221971	140.116847	"https://www.google.co.jp/maps/@36.2219257,140.1169173,2a,75y,288.36h,73.47t/data=!3m6!1e1!3m4!1sxD3k6QDjfLpd_9nvpj4Qbw!2e0!7i13312!8i6656?hl=ja"				2		ヤマノススメ サードシーズン	ヤマノススメサードシーズン	第1話で、夕方から登山をスタートした雪村あおいと倉上ひなたが、下山中の父子と挨拶を交わしていた場所。				ツクバシ	ヤ	8	19	2	
1057	0015	完了	茨城県	つくば市	弁慶茶屋跡	300-4352	茨城県つくば市筑波1		36.223976	140.110673	"https://www.google.co.jp/maps/@36.2239915,140.1106571,2a,15y,234.78h,90.37t/data=!3m6!1e1!3m4!1s2Xhj1RfBt_HKd5IE0aoHzw!2e0!7i13312!8i6656?hl=ja"				5		ヤマノススメ サードシーズン	ヤマノススメサードシーズン	第1話で、筑波山に夜景を見に来た雪村あおいと倉上ひなたが小休止していた場所。<br />案内標識やテーブル、イスなどが描かれていました。				ツクバシ	ヤ	8	19	2	
1057	0016	完了	茨城県	つくば市	弁慶七戻り	300-4352	茨城県つくば市筑波1		36.224187	140.111297	"https://www.google.co.jp/maps/@36.2241951,140.1111267,2a,59.3y,89.83h,97.01t/data=!3m6!1e1!3m4!1sGpQAa-asXRvSO4fqG6p80w!2e0!7i13312!8i6656"				2.5		ヤマノススメ サードシーズン	ヤマノススメサードシーズン	第1話で、雪村あおいと倉上ひなたの筑波登山シーンで描かれていた巨石。				ツクバシ	ヤ	8	19	2	
1057	0017	完了	茨城県	つくば市	母の胎内潜り	300-4352	茨城県つくば市筑波1		36.224398	140.111489	"https://www.google.co.jp/maps/@36.2244309,140.1114404,2a,40.1y,22.38h,81.17t/data=!3m6!1e1!3m4!1shJouqmK6FVKPvPL5geKuNw!2e0!7i13312!8i6656"						ヤマノススメ サードシーズン	ヤマノススメサードシーズン	第1話で、雪村あおいと倉上ひなたの筑波登山シーンで描かれていた巨石。				ツクバシ	ヤ	8	19	2	
1057	0018	完了	茨城県	つくば市	陰陽石	300-4352	茨城県つくば市筑波1		36.224464	140.111167	"https://www.google.co.jp/maps/@36.2244708,140.1111587,2a,75y,15.83h,109.67t/data=!3m7!1e1!3m5!1sDx8X_iahtJmdlSZ_NuU8Rw!2e0!6s%2F%2Fgeo1.ggpht.com%2Fcbk%3Fpanoid%3DDx8X_iahtJmdlSZ_NuU8Rw%26output%3Dthumbnail%26cb_client%3Dmaps_sv.tactile.gps%26thumb%3D2%26w%3D203%26h%3D100%26yaw%3D116.82175%26pitch%3D0%26thumbfov%3D100!7i13312!8i6656"				2		ヤマノススメ サードシーズン	ヤマノススメサードシーズン	第1話で、雪村あおいと倉上ひなたの筑波登山シーンで描かれていた巨石。				ツクバシ	ヤ	8	19	2	
1057	0019	完了	茨城県	つくば市	標高750m標識	300-4352	茨城県つくば市筑波1		36.224441	140.111029	"https://www.google.co.jp/maps/@36.2244404,140.1110301,2a,48.2y,319.73h,104.28t/data=!3m6!1e1!3m4!1sC3NhszhzT63rA209rHmRXQ!2e0!7i13312!8i6656"						ヤマノススメ サードシーズン	ヤマノススメサードシーズン	第1話で、雪村あおいと倉上ひなたの筑波登山シーンで、標識越しに岩場を登る2人の姿が描かれていました。				ツクバシ	ヤ	8	19	2	
1057	0020	完了	茨城県	つくば市	出船入船	300-4352	茨城県つくば市筑波1		36.224738	140.110713	"https://www.google.co.jp/maps/@36.2247397,140.1107216,2a,43.8y,235.29h,98.35t/data=!3m7!1e1!3m5!1srF3A1XoyAtpGRImUhASMrg!2e0!6s%2F%2Fgeo0.ggpht.com%2Fcbk%3Fpanoid%3DrF3A1XoyAtpGRImUhASMrg%26output%3Dthumbnail%26cb_client%3Dmaps_sv.tactile.gps%26thumb%3D2%26w%3D203%26h%3D100%26yaw%3D344.4152%26pitch%3D0%26thumbfov%3D100!7i13312!8i6656?hl=ja"						ヤマノススメ サードシーズン	ヤマノススメサードシーズン	第1話で、雪村あおいと倉上ひなたの筑波登山シーンで描かれていた巨石。				ツクバシ	ヤ	8	19	2	
1057	0021	完了	茨城県	つくば市	裏面大黒	300-4352	茨城県つくば市筑波1		36.224875	140.110335	"https://www.google.co.jp/maps/@36.2248742,140.1103351,2a,75y,355.99h,112.4t/data=!3m6!1e1!3m4!1s-S8r0a13HAkpPiQ5oOFxbg!2e0!7i13312!8i6656"				2		ヤマノススメ サードシーズン	ヤマノススメサードシーズン	第1話で、雪村あおいと倉上ひなたの筑波登山シーンで描かれていた巨石。				ツクバシ	ヤ	8	19	2	
1057	0022	完了	茨城県	つくば市	北斗岩	300-4352	茨城県つくば市筑波1		36.225064	140.108713	"https://www.google.co.jp/maps/@36.2250501,140.1087189,2a,59.1y,19.32h,76.93t/data=!3m6!1e1!3m4!1s77mgvK4eix6jZVuFl560Zw!2e0!7i13312!8i6656?hl=ja"				2.5		ヤマノススメ サードシーズン	ヤマノススメサードシーズン	第1話で、雪村あおいと倉上ひなたの筑波登山シーンで描かれていた巨石。				ツクバシ	ヤ	8	19	2	
1057	0023	完了	茨城県	つくば市	小原木神社	300-4352	茨城県つくば市筑波1		36.225081	140.108741	"https://www.google.co.jp/maps/@36.2250938,140.10889,2a,42y,230.68h,102.7t/data=!3m6!1e1!3m4!1sfnWP8madcF4CQLXzClf3TQ!2e0!7i13312!8i6656"						ヤマノススメ サードシーズン	ヤマノススメサードシーズン	第1話で、雪村あおいと倉上ひなたの筑波登山シーンで描かれていた北斗岩の脇にある社。				ツクバシ	ヤ	8	19	2	
1057	0024	完了	茨城県	つくば市	分岐点の方向案内板	300-4352	茨城県つくば市筑波1		36.225574	140.106550	"https://www.google.co.jp/maps/@36.2255992,140.1065422,2a,22.8y,118.29h,89.11t/data=!3m6!1e1!3m4!1s2tXOfWDI7ZwwJs6x9J4KRQ!2e0!7i13312!8i6656"				4		ヤマノススメ サードシーズン	ヤマノススメサードシーズン	第1話で、雪村あおいと倉上ひなたの筑波登山シーンで描かれていた方向案内板。				ツクバシ	ヤ	8	19	2	
1057	0025	完了	茨城県	つくば市	女体山山頂前の階段	300-4352	茨城県つくば市筑波1		36.225580	140.106485	"https://www.google.co.jp/maps/@36.2255739,140.1065499,2a,37y,182.63h,113.95t/data=!3m6!1e1!3m4!1sbsfoYVz5PFDx9rBQlNhLpQ!2e0!7i13312!8i6656?hl=ja"						ヤマノススメ サードシーズン	ヤマノススメサードシーズン	第1話で、雪村あおいと倉上ひなたの筑波登山シーンで描かれていた山頂前の階段。				ツクバシ	ヤ	8	19	2	
1057	0026	完了	茨城県	つくば市	筑波山 女体山山頂	300-4352	茨城県つくば市筑波1		36.225368	140.106665	"https://www.google.co.jp/maps/@36.2253145,140.106709,2a,75y,192.54h,68.97t/data=!3m6!1e1!3m4!1se035Hs4jUBYGGQa24jKkkw!2e0!7i13312!8i6656"						ヤマノススメ サードシーズン	ヤマノススメサードシーズン	第1話で、雪村あおいと倉上ひなたが辿り着いた筑波山山頂。「日本百名山 筑波山」の標識や、女体山御本殿、眺望案内板の他、山頂から眼下に広がる関東平野の夜景が描かれていました。				ツクバシ	ヤ	8	19	2	
1057	0027	完了	茨城県	つくば市	女体山駅前の階段坂	300-4352	茨城県つくば市筑波1		36.225486	140.106186	"https://www.google.co.jp/maps/@36.2254867,140.106187,3a,90y,175.6h,71.63t/data=!3m6!1e1!3m4!1sCAoSLEFGMVFpcE04QXp6MXlZTWtfeGpCbDZtMnVZMk1hOG5VekV6WHo0THZ1OFRxl6m2uY2Ma8nUzEzXz4Lvu8Tq!2e10!7i5376!8i2688"						ヤマノススメ サードシーズン	ヤマノススメサードシーズン	第1話で、筑波山（女体山）山頂）から、筑波山ロープウェイ 女体山駅へ向かう雪村あおいと倉上ひなたが下っていた階段坂。				ツクバシ	ヤ	8	19	2	
1057	0028	完了	茨城県	つくば市	筑波山ロープウェイ 女体山駅	300-4352	茨城県つくば市筑波1		36.225043	140.106371	"https://www.google.co.jp/maps/@36.2247954,140.106244,3a,15y,322.98h,96.58t/data=!3m6!1e1!3m4!1sCAoSLEFGMVFpcFBBSGFHWWdhb2xZdmJQUGJjMmlIM2E0dnYtZ2J5bUROM20tbk1XiH3a4vv-gbymDN3m-nMW!2e10!7i5376!8i2688"				5		ヤマノススメ サードシーズン	ヤマノススメサードシーズン	第1話で、筑波山（女体山山頂）からの帰りに雪村あおいと倉上ひなたが利用したロープウェイの駅。				ツクバシ	ヤ	8	19	2	
1057	0029	完了	埼玉県	飯能市	東飯能1号踏切	357-0004	埼玉県飯能市新町2		35.854669	139.325739	-						ヤマノススメ サードシーズン	ヤマノススメサードシーズン	第4話で、クラスでは倉上ひなたとしかまともに話したことがなかった雪村あおいが、クラスメイトのみお、かすみ、ゆりの3人と放課後に遊びに行くことになり、不安になりながらカラオケ店に向かうシーンで描かれていた踏切。				ハンノウシ	ヤ	11	16	2	
1057	0030	完了	埼玉県	飯能市	聖望学園中学校・高等学校	357-0006	埼玉県飯能市中山292		35.859746	139.324705	"https://www.google.co.jp/maps/@35.8594,139.3237078,3a,15y,80.11h,93.08t/data=!3m6!1e1!3m4!1s-4Wm2SeOtqyZWfCecO41DQ!2e0!7i13312!8i6656"				5		ヤマノススメ サードシーズン	ヤマノススメサードシーズン	雪村あおいと倉上ひなたが通う高校のモデル。				ハンノウシ	ヤ	11	16	2	
1057	0031	完了	埼玉県	飯能市	観音寺 鐘撞き堂	357-0031	埼玉県飯能市山手町5-17		35.856022	139.312968	"https://www.google.co.jp/maps/@35.8559117,139.31317,3a,37y,325.79h,76.63t/data=!3m8!1e1!3m6!1sCAoSLEFGMVFpcE5yY2tlblVwRVQ5OXBPbHdYV0stZVgyNjlMeU5CTVhxdVNmSEdx!2e10!3e11!6shttps:%2F%2Flh5.googleusercontent.com%2Fp%2FAF1QipNrckenUpET99pOlwXWK-eX269LyNBMXquSfHGq%3Dw203-h100-k-no-pi-0-ya249.27773-ro0-fo100!7i5376!8i2688?hl=ja"				3.5		ヤマノススメ サードシーズン	ヤマノススメサードシーズン	第8話で、学校帰りの雪村あおいと倉上ひなたが話をしていた場所。<br />同じ日に黒崎ほのかと群馬の伊香保温泉に行く約束をしているあおいと、青羽ここなと群馬の赤城山登山に登る約束をしている倉上ひなたが、2人とも合流して一緒に行きたいと思いながらも、微妙な会話のすれ違いから別々に行くことになってしまっていました。<br />エンディングでも描かれていました。<br />第10話で、両親と映画を行く日を間違えてクラスメイトのみお、かすみ、ゆりの誘いを断り、あおいも3人と一緒に池袋へ遊びに行ってしまって、休日に一人になってしまったひなたが、ここなを誘おうと電話をかけるも繋がらなかったのも、この場所でした。<br />オープニングやエンディングでも描かれていました。				ハンノウシ	ヤ	11	16	2	
1057	0034	完了	埼玉県	飯能市	飯能商工会議所横の駐車場	357-0032	埼玉県飯能市本町1		35.854458	139.315903	"https://www.google.co.jp/maps/@35.854377,139.3159339,3a,26y,0.69h,90.48t/data=!3m6!1e1!3m4!1shbXCFUXeSuedTv5dooB7GQ!2e0!7i13312!8i6656"				4		ヤマノススメ サードシーズン	ヤマノススメサードシーズン	第10話で、両親と映画を行く日を間違えてクラスメイトのみお、かすみ、ゆりの誘いを断り、雪村あおいも3人と一緒に池袋へ遊びに行ってしまって、休日に一人になってしまった倉上ひなたが、一人で街をぶらつくシーンで、ひなたが写真を撮っていた場所。				ハンノウシ	ヤ	11	16	2	
1057	0035	完了	埼玉県	飯能市	近松屋呉服店	357-0032	埼玉県飯能市本町1-5		35.854397	139.316230	"https://www.google.co.jp/maps/@35.8543022,139.3162314,3a,15y,0.17h,87t/data=!3m6!1e1!3m4!1sRFephQoN_fl2fmLRLWXdOw!2e0!7i13312!8i6656?hl=ja"				5		ヤマノススメ サードシーズン	ヤマノススメサードシーズン	第3話で、飯能アルプスを踏破するため、雪村あおいが飯能駅へ急ぐシーンで、背景にこの店のシャッターが描かれていました。シャッターに描かれた天覧山や多峯主山が作中でも忠実に再現されていました。				ハンノウシ	ヤ	11	16	2	
1057	0036	完了	埼玉県	飯能市	山二鋼材 前	357-0032	埼玉県飯能市本町1-9		35.854452	139.315862	"https://www.google.co.jp/maps/@35.8544275,139.315861,3a,25.2y,12.23h,95.04t/data=!3m6!1e1!3m4!1s4kmujwabuXVdq7NOBOsapQ!2e0!7i13312!8i6656"				4		ヤマノススメ サードシーズン	ヤマノススメサードシーズン	第10話で、両親と映画を行く日を間違えてクラスメイトのみお、かすみ、ゆりの誘いを断り、雪村あおいも3人と一緒に池袋へ遊びに行ってしまって、休日に一人で街をぶらついていた倉上ひなたが、図書館帰りに遭遇した斎藤楓と笹原ゆうかに声をかけられ、楓の家での勉強会に来ないかと誘われていた場所。				ハンノウシ	ヤ	11	16	2	
1057	0032	完了	埼玉県	飯能市	JR 東飯能駅	357-0034	埼玉県飯能市東町1-5		35.852474	139.325706	"https://www.google.com/maps/@35.8525203,139.3255444,3a,25y,107.5h,91.67t/data=!3m6!1e1!3m4!1sYWToKc1DPPW7AoUT3HoYug!2e0!7i13312!8i6656"				4		ヤマノススメ サードシーズン	ヤマノススメサードシーズン	第8話で、赤城登山に向かう倉上ひなたと青羽ここなが、まだ暗い早朝に待ち合わせをしていた駅で、西口やホームなどが描かれていました。<br />第11話で、キャンプをして瑞牆山と金峰山に登りに行く雪村あおいたち一行が待ち合わせしていた駅で、第12話で、登山帰りの一行が別れていたのもこの駅でした。				ハンノウシ	ヤ	11	16	2	
1057	0037	完了	埼玉県	飯能市	SHIDAX 飯能クラブ	357-0034	埼玉県飯能市東町7-7		35.853420	139.321359	"https://www.google.co.jp/maps/@35.8532523,139.3214735,3a,32.4y,337.43h,150.4t/data=!3m6!1e1!3m4!1sgPxiq377mzdS6cEQZeFwfg!2e0!7i13312!8i6656?hl=ja"				3.5		ヤマノススメ サードシーズン	ヤマノススメサードシーズン	第4話で、雪村あおいと倉上ひなたが、クラスメイトのみお、かすみ、ゆりの3人と一緒に歌を歌いに行ったカラオケボックス。	https://www.shidax.co.jp/karaoke/shop/41810.php			ハンノウシ	ヤ	11	16	2	
1057	0038	完了	埼玉県	飯能市	割岩橋	357-0037	埼玉県飯能市稲荷町25		35.854067	139.310776	-						ヤマノススメ サードシーズン	ヤマノススメサードシーズン	第1話冒頭のサブタイトルバックに描かれていた橋。<br />オープニングでも描かれていました。				ハンノウシ	ヤ	11	16	2	
1057	0039	完了	埼玉県	飯能市	杉山フルイ店	357-0038	埼玉県飯能市仲町5		35.853171	139.319135	"https://www.google.co.jp/maps/@35.8530937,139.3190819,3a,22.2y,53.31h,86.12t/data=!3m6!1e1!3m4!1sW4nb8zVHae4OvSI9kc2iFw!2e0!7i13312!8i6656"				4		ヤマノススメ サードシーズン	ヤマノススメサードシーズン	第4話で、カラオケ帰りの雪村あおいたち一行が商店街を歩くシーンで背景に描かれていた店。<br />※2017年に閉店済。				ハンノウシ	ヤ	11	16	2	閉店
