作品No.	聖地No.	確定	都道府県	市区郡	聖地名	郵便番号	住所	住所２	座標：緯度	座標：経度	SV	倍率	SV過去	Fov	Zoom	電話番号	作品	作品名フリガナ	備考	公式サイトURL	情報参照元URL	備考2	市区町村読み仮名	作品名50音	県順	市順	域順	実在
0926	0001	完了	東京都	千代田区	JR 東京駅 丸の内駅舎（北口）	100-0005	東京都千代田区丸の内1-9-1		35.682241	139.766337	"https://www.google.co.jp/maps/@35.6822191,139.7663767,2a,39.6y,110.42h,87.89t/data=!3m6!1e1!3m4!1sI6hpb8qbdk_sm7QbMfm_cw!2e0!7i13312!8i6656?hl=ja"	18		0			ラブライブ！	ラブライブ	第10話で、合宿に向かうμ's一行が集合していた場所で、絢瀬絵里の提案で「先輩」呼びをやめようと話していました。				チヨダク	ラ	13	17	2	
0926	0002	完了	東京都	千代田区	昌平橋ビル 前	101-0021	東京都千代田区外神田1-1		35.698459	139.769278	"https://www.google.co.jp/maps/@35.6984756,139.7689977,3a,49y,70.54h,80.92t/data=!3m6!1e1!3m4!1sDTtZD2C2xdLlXl7kjxoQUg!2e0!7i13312!8i6656?hl=ja"						ラブライブ！	ラブライブ	第9話で、メイド喫茶でアルバイトをしていた南ことりから、いろんな想いを聞きた帰りの高坂穂乃果、園田海未、絢瀬絵里の3人が歩いていた場所。<br />※ビル脇の階段部分が描かれていた昌平橋ビルは、2016年に解体済。				チヨダク	ラ	13	17	2	
0926	0021	完了	東京都	千代田区	エディオンAKIBA 前	101-0021	東京都千代田区外神田1‐2‐9		35.697930	139.771050	"https://www.google.co.jp/maps/@35.6978502,139.7708617,3a,15y,54.56h,94.11t/data=!3m6!1e1!3m4!1sQ0UKSKkMRlnPxEcA9zqy0A!2e0!7i13312!8i6656"						ラブライブ！	ラブライブ	第9話で、メイド喫茶でアルバイトをしていた南ことりから、いろんな想いを聞きた帰りの高坂穂乃果、園田海未、絢瀬絵里の3人が歩いていた場所。				チヨダク	ラ	13	17	2	
0926	0004	完了	東京都	千代田区	AKIHABARAゲーマーズ本店 前	101-0021	東京都千代田区外神田1-14-7	宝田ビル	35.698250	139.771690	"https://www.google.co.jp/maps/@35.6981464,139.7718081,3a,24.2y,323.47h,86.65t/data=!3m6!1e1!3m4!1spdOWA6Of84B9MM2phaa2IA!2e0!7i16384!8i8192"						ラブライブ！	ラブライブ	第3話で、高坂穂乃果、園田海未、南ことりの3人がライブのチラシを配りに訪れた場所。人の多さに怖気づいた海未が、現実逃避してガチャポンを回していました。<br />第6話では、μ'sのセンターを決めるため、矢澤にこ主導でカラオケ、ダンスゲームをするも決着がつかず、オーラで決めると言ってメンバーを連れて来て、にこがみんなにチラシ配り対決の説明をしていました。<br />第13話で、久しぶりに放課後をクラスの友人たちと過ごした高坂穂乃果が、帰りに友人たちと別れていたのも、この店前でした。				チヨダク	ラ	13	17	2	
0926	0005	完了	東京都	千代田区	昌平橋	101-0021	東京都千代田区外神田2		35.698454	139.768722	"https://www.google.co.jp/maps/@35.6987457,139.7688252,3a,29.9y,192.65h,95.7t/data=!3m6!1e1!3m4!1sN4l_NCuxIoc4Wm338P_eQw!2e0!7i13312!8i6656?hl=ja"	17		120			ラブライブ！	ラブライブ	第1話で、国立音ノ木坂学院の廃校の危機を回避する手がかりを見つけようと、朝早く起きて「UTX学園」に向かう高坂穂乃果が、JR総武本線の下を潜って橋の方に走ってくる姿が描かれていました。<br />第9話で、メイド喫茶でアルバイトをしていた南ことりから、いろんな想いを聞きた帰りの高坂穂乃果、園田海未、絢瀬絵里の3人が渡っていたのも、この橋でした。<br />第12話では、文化祭のライブ時に風邪で倒れてしまった穂乃果を見舞いに高坂家を訪れた帰りの小泉花陽、星空凛、西木野真姫、矢澤にこの4人がこの橋で立ち話をしていました。				チヨダク	ラ	13	17	2	
0926	0006	完了	東京都	千代田区	男坂 前	101-0021	東京都千代田区外神田2-7		35.701355	139.768337	"https://www.google.co.jp/maps/@35.7014048,139.7683996,3a,50.1y,260.41h,84.93t/data=!3m7!1e1!3m5!1sCjRyQPqcz0y-rHJoKo5B-A!2e0!6s%2F%2Fgeo0.ggpht.com%2Fcbk%3Fpanoid%3DCjRyQPqcz0y-rHJoKo5B-A%26output%3Dthumbnail%26cb_client%3Dmaps_sv.tactile.gps%26thumb%3D2%26w%3D203%26h%3D100%26yaw%3D104.72128%26pitch%3D0%26thumbfov%3D100!7i16384!8i8192?hl=ja"	18		120			ラブライブ！	ラブライブ	第2話で、作曲の依頼を断ったものの、高坂穂乃果の言葉がひかかっていた西木野真姫が、学校帰りに穂乃果たちの練習を覗き見していた場所で、東條希に見つかっていました。				チヨダク	ラ	13	17	2	
0926	0007	完了	東京都	千代田区	明神男坂	101-0021	東京都千代田区外神田2-16		35.70144	139.768117	"https://www.google.co.jp/maps/@35.7014048,139.7683996,3a,35.1y,281.14h,102.48t/data=!3m6!1e1!3m4!1sCjRyQPqcz0y-rHJoKo5B-A!2e0!7i16384!8i8192?hl=ja"	18		120			ラブライブ！	ラブライブ	高坂穂乃果たちが、毎日朝の通学前と放課後にこの階段で走り込み、体力づくりをしていた階段。<br />第2話で、スクールアイドルを目指すことになった高坂穂乃果が、南ことりと共に園田海未の指導のもとで走り込みをしており、以降各話で登場し、シリーズを通して定番のトレーニングスポットとなっています。				チヨダク	ラ	13	17	2	
0926	0008	完了	東京都	千代田区	男坂 上	101-0021	東京都千代田区外神田2-16-2		35.701488	139.76794	"https://www.google.co.jp/maps/@35.701388,139.7678584,3a,30.2y,18.46h,92.15t/data=!3m7!1e1!3m5!1sgYmCYueueaS7aFsrZX5KSg!2e0!6s%2F%2Fgeo3.ggpht.com%2Fcbk%3Fpanoid%3DgYmCYueueaS7aFsrZX5KSg%26output%3Dthumbnail%26cb_client%3Dmaps_sv.tactile.gps%26thumb%3D2%26w%3D203%26h%3D100%26yaw%3D254.95216%26pitch%3D0%26thumbfov%3D100!7i16384!8i8192?hl=ja"	18		0			ラブライブ！	ラブライブ	高坂穂乃果たちが、毎日朝の通学前と放課後の階段で走り込みでへたり込んでいたり、ダンスレッスンなどをしていた場所。<br />坂上の空間が、μ'sの定番の練習場所となっており、各話で度々登場しています。				チヨダク	ラ	13	17	2	
0926	0009	完了	東京都	千代田区	神田明神	101-0021	東京都千代田区外神田2-16-2		35.701982	139.767887	"https://www.google.co.jp/maps/@35.7016676,139.7678547,3a,30y,4.56h,98.32t/data=!3m6!1e1!3m4!1s4IBqiNo-GdsWQSabHZx45g!2e0!7i13312!8i6656?hl=ja"	17		0		03-3254-0753	ラブライブ！	ラブライブ	第2話で、スクールアイドルを目指すことになった高坂穂乃果が、南ことりと共に、園田海未から特訓を受けていた神社で、3人で初ライブの成功を祈願していました。<br />第3話でも、夜の神社で3人が初ライブの成功祈願をしていました。<br />作中では東條希が巫女姿で手伝いをしています。	http://www.kandamyoujin.or.jp/	http://www.kandamyoujin.or.jp/		チヨダク	ラ	13	17	2	
0926	0025	完了	東京都	千代田区	MIS秋葉原店前の交差点	101-0021	東京都千代田区外神田3-4		35.700861	139.770459	-						ラブライブ！	ラブライブ	第9話で、内緒にしていたメイドバイト中に高坂穂乃果たちに遭遇して逃げ出した南ことりが、追いかけてくる穂乃果と園田海未から逃げていた交差点。<br />秋葉原ジャンク通りを南側から逃げてきたことりと、追いかける穂乃果と海未が、この交差点を西側へ左折して走る姿が描かれていました。<br />ミナリンスキー逃亡経路⑤				チヨダク	ラ	13	17	2	
