作品No.	聖地No.	確定	都道府県	市区郡	聖地名	郵便番号	住所	住所２	座標：緯度	座標：経度	SV	倍率	SV過去	Fov	Zoom	電話番号	作品	作品名フリガナ	備考	公式サイトURL	情報参照元URL	備考2	市区町村読み仮名	作品名50音	県順	市順	域順	実在
0925	0001	完了	北海道	函館市	函館山展望台	040-0000	北海道函館市函館山		41.759461	140.704600	"https://www.google.co.jp/maps/@41.7594276,140.7047159,3a,29.2y,58.0h,78.0t/data=!3m8!1e1!3m6!1sCAoSLEFGMVFpcFBXVlFqOUZUUVpCMzZBcy1qN0hLTmhqT0NkVlllYkpQWFZybUwy!2e10!3e11!6shttps:%2F%2Flh5.googleusercontent.com%2Fp%2FCAoSLEFGMVFpcFBXVlFqOUZUUVpCMzZBcy1qN0hLTmhqT0NkVlllYkpQWFZybUwy%3Dw203-h100-k-no-pi-0-ya338.24518-ro-0-fo100!7i14000!8i7000 "					0138-23-6288	ラブライブ！ サンシャイン!! 第2期	ラブライブサンシャイン	第9話で、黒澤ルビィと鹿角理亞が、黒澤ダイヤと鹿角聖良を招いて、クリスマスプレゼントとしてライブに招待することを告げていた場所。他のAqoursメンバーもサプライズでやって来ていて、みんなで夜景を眺めていました。				ハコダテシ	ラ	1	4	1	
0925	0002	完了	北海道	函館市	五稜郭タワー	040-0001	北海道函館市五稜郭町43-9		41.794664	140.753942	"https://www.google.co.jp/maps/@41.7950316,140.7527393,3a,46y,114.3h,112.13t/data=!3m7!1e1!3m5!1sGdRVrRidk-Fll8xzTM5CyA!2e0!6s%2F%2Fgeo1.ggpht.com%2Fcbk%3Fpanoid%3DGdRVrRidk-Fll8xzTM5CyA%26output%3Dthumbnail%26cb_client%3Dmaps_sv.tactile.gps%26thumb%3D2%26w%3D203%26h%3D100%26yaw%3D149.08954%26pitch%3D0%26thumbfov%3D100!7i13312!8i6656?hl=ja"					0138-51-4785	ラブライブ！ サンシャイン!! 第2期	ラブライブサンシャイン	第8話で、ゲストとして招待されたラブライブ！北海道地区予選後に、Aqours一行が観光で訪れた観光スポット。西側の駐車場から見上げる構図で描かれていました。				ハコダテシ	ラ	1	4	1	
0925	0003	完了	北海道	函館市	五稜郭タワー 展望室	040-0001	北海道函館市五稜郭町43-9		41.794731	140.754025	"https://www.google.co.jp/maps/@41.7947639,140.7539925,2a,43y,43.04h,74.4t/data=!3m6!1e1!3m4!1ss2X1z0IK86kbHjDtcMWq8g!2e0!7i13312!8i6656?hl=ja"					0138-51-4785	ラブライブ！ サンシャイン!! 第2期	ラブライブサンシャイン	第8話で、ゲストとして招待されたラブライブ！北海道地区予選後に、Aqours一行が観光で訪れた観光スポット。松浦果南がチャレンジしていたシースルーフロアは展望1階、渡辺曜がかっこいいと言ってた土方歳三之像は展望2階になります（作中ではなぜか座像から立像に描き変えられています）。				ハコダテシ	ラ	1	4	1	
0925	0004	完了	北海道	函館市	函館市電 杉並町停留所付近	040-0003	北海道函館市松陰町1-31		41.788699	140.758105	"https://www.google.co.jp/maps/@41.7886143,140.7586857,3a,15y,77.82h,88.97t/data=!3m6!1e1!3m4!1sFbAnnmQDD6-9G9KBfxUHRw!2e0!7i13312!8i6656"						ラブライブ！ サンシャイン!! 第2期	ラブライブサンシャイン	第8話で、ゲストとして招待されたラブライブ！北海道地区予選後の移動シーンで、Aqours一行が乗る路面電車が走っていた場所。西側から停留所を望む構図で描かれていました。				ハコダテシ	ラ	1	4	1	
0925	0005	完了	北海道	函館市	JR 函館駅	040-0063	北海道函館市若松町12-13		41.773672	140.726437	"https://www.google.co.jp/maps/@41.7735324,140.726821,3a,43y,303.31h,105.37t/data=!3m6!1e1!3m4!1srcSLNJ7NwMHsvEVcvqT6vA!2e0!7i13312!8i6656"						ラブライブ！ サンシャイン!! 第2期	ラブライブサンシャイン	第8話冒頭で、ゲストとして招待されたラブライブ！北海道地区予選を見るためにやって来た北海道で、Aqours一行が遭難コントをしていた場所。				ハコダテシ	ラ	1	4	1	
0925	0006	完了	北海道	函館市	函館アリーナ	042-0932	北海道函館市湯川町1-32-2		41.782025	140.783389	"https://www.google.co.jp/maps/@41.7816691,140.7831327,3a,50.3y,53.98h,100.78t/data=!3m6!1e1!3m4!1sKNPjhXQklNGFvcMRa0RrUQ!2e0!7i13312!8i6656"					0138-57-3141	ラブライブ！ サンシャイン!! 第2期	ラブライブサンシャイン	第8話。Aqours一行がゲストとして招待されたラブライブ！北海道地区予選の会場となった施設のモデル。作中では建物外観はかなり改変されています。				ハコダテシ	ラ	1	4	1	
0925	0007	完了	北海道	函館市	函館空港	042-0952	北海道函館市高松町511		41.775834	140.816446	"https://www.google.co.jp/maps/@41.7758348,140.8168147,3a,22.3y,266.59h,92.07t/data=!3m6!1e1!3m4!1sLNDJ5HclPKYMsI3yTw5y0w!2e0!7i13312!8i6656"						ラブライブ！ サンシャイン!! 第2期	ラブライブサンシャイン	第9話で、鹿角理亞と曲作りをするために居残ることになった黒澤ルビィ、津島善子、国木田花丸の3人が、内浦に帰るメンバーを空港出入口前で見送っていました。同話での後半で、黒澤ダイヤが、ルビィたちを迎えに再び北海道に来たシーンでも同じ場所が描かれていました。	https://www.airport.ne.jp			ハコダテシ	ラ	1	4	1	
0925	0008	完了	北海道	函館市	交差点（八幡坂通）	040-0053	北海道函館市末広町		41.765746	140.713843	"https://www.google.co.jp/maps/@41.765883,140.7140216,3a,46.4y,207.25h,91.58t/data=!3m6!1e1!3m4!1sQRS9gyPRRw8oQklOsITHqA!2e0!7i13312!8i6656"						ラブライブ！ サンシャイン!! 第2期	ラブライブサンシャイン	第8話で、夜中に一人で鹿角姉妹の実家に向う黒澤ルビィが信号待ちしていた交差点。<br />第9話冒頭で、ルビィと鹿角理亞が歌を歌おうとしていた場所も、同話のラストで、Saint Aqours Snowが「Hakodate Christmas Illumination」のクリスマス・フェスティバルに出演して、ルビィと鹿角理亞が作った曲を披露していたのもこの交差点でした。				ハコダテシ	ラ	1	4	1	
0925	0009	完了	北海道	函館市	金森赤煉瓦倉庫	040-0053	北海道函館市末広町14-12		41.766647	140.716252	"https://www.google.co.jp/maps/@41.766932,140.7166887,3a,44y,222.3h,96.59t/data=!3m6!1e1!3m4!1sDpRf1s_sCliblWqevafccQ!2e0!7i13312!8i6656"					0138-27-5530	ラブライブ！ サンシャイン!! 第2期	ラブライブサンシャイン	第8話で、黒澤ルビィが、夜中に一人で鹿角姉妹の実家を訪れて誘い出した鹿角理亞と一緒に歩いていた場所。				ハコダテシ	ラ	1	4	1	
0925	0010	完了	北海道	函館市	ラッキーピエロ ベイサイド本店	040-0053	北海道函館市末広町23-18		41.765770	140.714950	"https://www.google.co.jp/maps/@41.7659153,140.7150675,3a,40y,202.69h,103.06t/data=!3m6!1e1!3m4!1sRGbVebsuJgpXN71QvpbBTA!2e0!7i13312!8i6656?hl=ja"					0138-26-2099	ラブライブ！ サンシャイン!! 第2期	ラブライブサンシャイン	第8話で、鹿角姉妹の実家の甘味処で、鹿角理亞のスクールアイドルを辞める発言を聞いてしまったAqours一行が、沈んだ気分でお茶していた店。<br />第9話では、新しい曲作りに協力をすることになった黒澤ルビィが、助っ人を頼んだ津島善子と国木田花丸を理亞に引き合わせていたのもこの店で、店内の木馬やレジなども描かれていました。	http://luckypierrot.jp/shop/bayarea/			ハコダテシ	ラ	1	4	1	
