作品No.	聖地No.	確定	都道府県	市区郡	聖地名	郵便番号	住所	住所２	座標：緯度	座標：経度	SV	倍率	SV過去	Fov	Zoom	電話番号	作品	作品名フリガナ	備考	公式サイトURL	情報参照元URL	備考2	市区町村読み仮名	作品名50音	県順	市順	域順	実在
0963	0001	完了	東京都	練馬区	勝美青果店	178-0063	東京都練馬区東大泉1-32-8	橋本ビル1F	35.750507	139.587193	"https://www.google.co.jp/maps/@35.750605,139.587144,3a,35.4y,137.86h,86.98t/data=!3m4!1e1!3m2!1sK70M6oWdlFiS2aZmW-FYzQ!2e0"					03-3922-5337	ロボットガールズZ	ロボットガールズゼット	第4話であしゅら男爵たちが、「光子力町大運動会」の参加券がもうなくなってしまったことを聞かされていた店。				ネリマク	ロ	13	20	2	
0963	0002	完了	東京都	練馬区	交差点（都道24号線）	178-0063	東京都練馬区東大泉1-37		35.751035	139.585653	"https://www.google.co.jp/maps/@35.751068,139.585496,3a,35.6y,94.13h,104.23t/data=!3m4!1e1!3m2!1sMDHAFDIo2zmc112HSiBMHA!2e0"						ロボットガールズZ	ロボットガールズゼット	第4話の「光子力町大運動会」で、グレンダさんと乗っていたスペイザーをガイちゃんに撃墜され、一人難を逃れたZちゃんが着地した交差点で、背景に中央ビルやドラゴンスクエアなどの建物が描かれていました。				ネリマク	ロ	13	20	2	
0963	0003	完了	東京都	練馬区	福のから大泉学園店	178-0063	東京都練馬区東大泉1-37-4		35.750270	139.586011	"https://www.google.co.jp/maps/@35.750263,139.585909,3a,16.7y,100.75h,93.98t/data=!3m4!1e1!3m2!1sZZL7tDuRNrgL04DISKbExg!2e0"					03-5935-9523	ロボットガールズZ	ロボットガールズゼット	第4話の「光子力町大運動会」で、Zちゃんが取り押さえていたガイちゃんに、顔を蹴られて逃げられていたシーンの背景に描かれていた店。				ネリマク	ロ	13	20	2	
0963	0004	完了	東京都	練馬区	通り	178-0063	東京都練馬区東大泉2-7		35.752184	139.594124	"https://www.google.co.jp/maps/@35.752233,139.594189,3a,45.9y,219.65h,102.28t/data=!3m4!1e1!3m2!1sRu7T0ty0oOQOhDWYV_RwNw!2e0"						ロボットガールズZ	ロボットガールズゼット	第4話で、「光子力町大運動会」のマラソンに参加したZちゃんたちが走っていた通りで、ところ青果や天寿司、ユニクロなどが描かれていました。				ネリマク	ロ	13	20	2	
0963	0005	完了	東京都	練馬区	ところ青果	178-0063	東京都練馬区東大泉2-9-21	ところビル	35.752111	139.594174	"https://www.google.co.jp/maps/@35.752136,139.594242,3a,43y,276.28h,88.64t/data=!3m4!1e1!3m2!1s6rCc0AUech7Ki4tBUi94Qg!2e0"					03-3921-5848	ロボットガールズZ	ロボットガールズゼット	第0話で、ラーメン屋で食い逃げをしたガラダK7とダブラスM2を狙って放ったZちゃんの「ロケットパンチ」が、避けられ、勢い余って爆破されてしまった八百屋。第1話では同じくガラダK7とダブラスM2を狙って放ったグレちゃんの「サンダーブレーク」の直撃や、「グレートタイフーン」によって吹っ飛ばされたガイアQ5が突っ込んだことによって破壊されていました。	http://tokoro-s.com/62967/			ネリマク	ロ	13	20	2	
0963	0006	完了	東京都	練馬区	リヴィンオズ大泉	178-0063	東京都練馬区東大泉2-10		35.752630	139.595146	"https://www.google.co.jp/maps/@35.752826,139.59498,3a,45y,145.92h,91.28t/data=!3m4!1e1!3m2!1sQ07VAAKT0DvIk9xWSbTauA!2e0"						ロボットガールズZ	ロボットガールズゼット	第0話、第1話でダブラスM2が両手のパペットからビームを放つシーンで背景に描かれていた他、作中度々ちらちらと背景に描かれていました。第8話では、「超合繊維ニューZ」の口上をしているシーンで、入口付近が描かれていました。作中では名前が「LOVIN」に変えられていました。				ネリマク	ロ	13	20	2	
0963	0007	完了	東京都	練馬区	おだふじ	178-0063	東京都練馬区東大泉2-15-151F		35.753699	139.596938	"https://www.google.co.jp/maps/@35.753772,139.596818,3a,45y,132.24h,93.96t/data=!3m4!1e1!3m2!1swVlYkwEdxDfYox_Qmgboaw!2e0"					03-5387-4123	ロボットガールズZ	ロボットガールズゼット	第4話で、「光子力町大運動会」への参加を命じるあしゅら男爵に、ガラダK7とダブラスM2が、商店街で買い物をしないと参加券がもらえないと報告していたシーンの背景に描かれてた店。	http://odafuji.jp/			ネリマク	ロ	13	20	2	
0963	0008	完了	東京都	練馬区	住宅街（愛身堂東映通接骨院 前）	178-0063	東京都練馬区東大泉2-18		35.753556	139.596373	"https://www.google.co.jp/maps/@35.753517,139.596311,3a,43.7y,57.08h,94.35t/data=!3m4!1e1!3m2!1stFB3L_tSCbeZ3hMT1Pecig!2e0"						ロボットガールズZ	ロボットガールズゼット	第4話でようやく「光子力町大運動会」の参加券を手に入れたあしゅら男爵たちが、喜び勇んで大会会場に向かっていた場所。				ネリマク	ロ	13	20	2	
0963	0009	完了	東京都	練馬区	オズスタジオシティ 前	178-0063	東京都練馬区東大泉2-34		35.75267	139.594637	"https://www.google.co.jp/maps/@35.7525106,139.5944286,3a,75y,61.66h,97.64t/data=!3m4!1e1!3m2!1sfg4GKeDRIKAlBrrxLSG_9g!2e0?hl=ja"						ロボットガールズZ	ロボットガールズゼット	オープニングでジャックとメリーの移動販売車が停まっていたいるカットの場所。第8話で暗黒大将軍が登場していたのもこの場所でした。				ネリマク	ロ	13	20	2	
0963	0010	完了	東京都	練馬区	パティスリーKAMITANI	178-0063	東京都練馬区東大泉4-27-40	ＳＦＣビル1F	35.752040	139.585752	"https://www.google.co.jp/maps/@35.751986,139.585828,3a,26.3y,274.93h,88.39t/data=!3m4!1e1!3m2!1si48dmO73sPcnL0W0y2WGJA!2e0"					03-3922-2780	ロボットガールズZ	ロボットガールズゼット	第4話の「光子力町大運動会」で、マラソンの途中で抜け出したバラたんが、グレちゃんの見ている前で好物のスイーツを見せびらかすように食べたことでいがみ合い、ビンタの応酬をしていた背景に描かれていた店。	http://kamitani.cart.fc2.com/			ネリマク	ロ	13	20	2	
