作品No.	聖地No.	確定	都道府県	市区郡	聖地名	郵便番号	住所	住所２	座標：緯度	座標：経度	SV	倍率	SV過去	Fov	Zoom	電話番号	作品	作品名フリガナ	備考	公式サイトURL	情報参照元URL	備考2	市区町村読み仮名	作品名50音	県順	市順	域順	実在
0959	0001	完了	埼玉県	所沢市	所沢航空記念公園	359-0042	埼玉県所沢市並木1-13		35.795918	139.473775	"https://www.google.co.jp/maps/@35.795685,139.473858,3a,37.5y,346.8h,81.11t/data=!3m5!1e1!3m3!1s3kb6SJEhdJIUDcEyiJCVRA!2e0!3e5?hl=ja"	17.0		120	3	04-2996-2225	ローリング☆ガールズ	ローリングガールズ	第2話で、森友望未、小坂結季奈、響逢衣、御園千綾の4人が偶然にも揃い、互いに自己紹介をしていた公園。スペースシャトル型のバッテリーカーも実在します。				トコロザワシ	ロ	11	15	2	
0959	0002	完了	埼玉県	所沢市	圏央所沢病院	359-1106	埼玉県所沢市東狭山ヶ丘4-2692-1		35.810273	139.427712	"https://www.google.co.jp/maps/@35.81057,139.428388,3a,62.4y,258.13h,90.28t/data=!3m4!1e1!3m2!1sMOoBX0_Jm2K3pVM4K8YtMg!2e0?hl=ja"	17.0		120	1.7	04-2920-0500	ローリング☆ガールズ	ローリングガールズ	第2話で、対決の末に壮絶な相打ちに終わった宇徳真茶未と執行玖仁子が入院していた病院。作中では病院名が「所沢防衛大病院」になっていました。	http://www.ken-o-tokorozawa-hosp.com/			トコロザワシ	ロ	11	15	2	
0959	0003	完了	埼玉県	所沢市	ファルマン通り交差点	359-1116	埼玉県所沢市東町12		35.790837	139.469926	"https://www.google.co.jp/maps/@35.790894,139.469733,3a,90y,112.72h,92.87t/data=!3m4!1e1!3m2!1sBsfCHoNVJP5fdQf3p5LEVA!2e0"	17.0		120	3		ローリング☆ガールズ	ローリングガールズ	第1話の森友望未の学校帰りシーンの挿入カットで描かれていた交差点。第2話では、望未がマッチャグリーンに代わって他団の揉め事を解決しに向かうシーンでこの交差点をバイクで走り抜けていました。				トコロザワシ	ロ	11	15	2	
0959	0004	完了	埼玉県	所沢市	まぼろし軒 	359-1125	埼玉県所沢市南住吉21-40		35.784175	139.467013	"https://www.google.co.jp/maps/@35.784281,139.467083,3a,33.2y,208.17h,87.58t/data=!3m4!1e1!3m2!1spG2cMYB9ii_SFdsM6zBmow!2e0"	18.0		120	3	04-2923-4738	ローリング☆ガールズ	ローリングガールズ	第1話で宇徳真茶未と執行玖仁子がラーメンの大食い？対決をしていた店。	http://www.maboroshiken.com/			トコロザワシ	ロ	11	15	2	
0959	0005	完了	東京都	千代田区	JR 東京駅	100-0005	東京都千代田区丸の内1-9-1		35.680517	139.765701	"https://www.google.co.jp/maps/@35.680452,139.765103,3a,47.9y,78.89h,104.82t/data=!3m4!1e1!3m2!1sKQx5PpKjWjB8AkCs4EwA8w!2e0?hl=ja"	18		120	1		ローリング☆ガールズ	ローリングガールズ	第3話で羽原アキの石「ドローム・バーサーカー」窃盗容疑で森友望未たちが幽閉されていた東京・オールウェイズ・コミマの施設のモデル。				チヨダク	ロ	13	17	2	
0959	0006	完了	東京都	千代田区	警視庁 庁舎	100-8929	東京都千代田区霞が関2-1-1		35.676773	139.752214	"https://www.google.co.jp/maps/@35.67746,139.753654,3a,43.1y,238.25h,106.8t/data=!3m4!1e1!3m2!1sMPH-3fNn7Hu4oCVVUn9aaA!2e0?hl=ja"	16		120	2	03-3581-4321	ローリング☆ガールズ	ローリングガールズ	第1話でかわいくペイントされた庁舎が、同じく萌えイラストまで描かれた東京メトロ桜田門駅5番出入口越しに見上げる構図で描かれていました。				チヨダク	ロ	13	17	2	
0959	0007	完了	東京都	江東区	東京ビッグサイト（東京国際展示場）	135-0063	東京都江東区有明3-11-1		35.629204	139.794756	"https://www.google.co.jp/maps/@35.629509,139.794807,2a,90y,90t/data=!3m5!1e2!3m3!1s11742278!2e1!3e10"	15		0		03-5530-1112	ローリング☆ガールズ	ローリングガールズ	第1話。実際の建物よりな何十倍も大きく雲をも超える大きさで描かれていました。				コウトウク	ロ	13	8	2	
0959	0008	完了	東京都	台東区	浅草寺 雷門	111-0032	東京都台東区浅草2-3-1		35.711138	139.796377	"https://www.google.co.jp/maps/@35.711066,139.796328,3a,64.6y,13.7h,95.8t/data=!3m5!1e1!3m3!1sXWlsnPwcVD5a_317fVD7Ng!2e0!3e5?hl=ja"	18		120	1		ローリング☆ガールズ	ローリングガールズ	第3話で羽原アキの石「ドローム・バーサーカー」の窃盗容疑を晴らすため、羽原アキのなくした石を森友望未たちが探していた場所。				タイトウク	ロ	13	15	2	
0959	0009	完了	東京都	東村山市	八国山緑地	189-0026	東京都東村山市多摩湖町4		35.768251	139.450354	-						ローリング☆ガールズ	ローリングガールズ	第1話でマッチャグリーンと執行玖仁子が戦っていた場所。	http://www.sayamaparks.com/hachikokuyama/		場所未特定。座標かなりアバウト	ヒガシムラヤマシ	ロ	13	41	2	
0959	0010	完了	愛知県	名古屋市	名古屋城	460-0031	愛知県名古屋市中区本丸		35.185561	136.899094	"https://www.google.co.jp/maps/@35.185312,136.900097,3a,47.9y,273.2h,99.35t/data=!3m5!1e1!3m3!1sV9mADAzDBwc18Q00qejxaA!2e0!3e5"						ローリング☆ガールズ	ローリングガールズ	第6話で、旧愛知の国家自警団「愛知てんむす」と旧三重の国家自警団「三重モータース」のレース対決のゴールになっていた城。				ナゴヤシ	ロ	23	1	3	
0959	0011	完了	京都府	京都市	南禅寺 水路閣	606-8435	京都府京都市左京区南禅寺福地町		35.010605	135.79403	"https://www.google.co.jp/maps/@35.010732,135.793708,3a,50.7y,139.26h,105.17t/data=!3m5!1e1!3m3!1sU5_7TKTOZbIAAAQZWvEXsw!2e0!3e11?hl=ja"						ローリング☆ガールズ	ローリングガールズ	第8話の御園千綾の能力で見た一条美沙の回想シーンで、美沙と豆千代が、豆千代の母親に見つからないようにかくれんぼをしていた場所。				キョウトシ	ロ	26	10	5	
0959	0012	完了	京都府	京都市	金閣寺	603-8361	京都府京都市北区金閣寺町1		35.039497	135.728445	"https://www.google.co.jp/maps/@35.038905,135.728685,3a,15y,341.07h,95.6t/data=!3m5!1e1!3m3!1ss-2B9xDTVsoAAAQZW8pD6w!2e0!3e11"	13.0					ローリング☆ガールズ	ローリングガールズ	第7話で一条美沙がライブ（Kinkakuji Rock）				キョウトシ	ロ	26	10	5	
0959	0013	完了	京都府	京都市	清水寺	605-0862	京都府京都市東山区清水1-294		34.994841	135.784988	"https://www.google.co.jp/maps/@34.994856,135.785046,2a,90y,90t/data=!3m5!1e2!3m3!1s17345770!2e1!3e10!"	15.0					ローリング☆ガールズ	ローリングガールズ	第8話で京都の自警団「鴨川ロッカーズ」主催の「清水寺ロックフェス」の会場となっていた寺。				キョウトシ	ロ	26	10	5	
0959	0014	完了	京都府	京都市	清水寺 仁王門	605-0862	京都府京都市東山区清水1-294		34.995424	135.783334	"https://www.google.co.jp/maps/@34.995494,135.782986,3a,37.2y,109.07h,105.04t/data=!3m5!1e1!3m3!1sw3lb0Fe1iBzIKS04gbjyfA!2e0!3e5?hl=ja"						ローリング☆ガールズ	ローリングガールズ	第8話で京都の自警団「鴨川ロッカーズ」主催の「清水寺ロックフェス」の会場シーンで描かれていた門。				キョウトシ	ロ	26	10	5	
0959	0015	完了	京都府	京都市	三十三間堂	605-0941	京都府京都市東山区三十三間堂廻り町657		34.987853	135.771749	"https://www.google.co.jp/maps/@34.987765,135.772377,3a,75y,292.62h,90t/data=!3m4!1e1!3m2!1sMrFH3Sf6VxLS9u9JUC46Gg!2e0?hl=ja"						ローリング☆ガールズ	ローリングガールズ	第7話で酒呑童子が手配して堂内の千手観音像を全部ミサイルに改造させていました。作中では名前が「三十四間堂」になっていました。	http://sanjusangendo.jp/			キョウトシ	ロ	26	10	5	
0959	0016	完了	広島県	廿日市市	厳島神社	739-0588	広島県廿日市市宮島町1-1		34.295833	132.32	"https://www.google.co.jp/maps/@34.297846,132.318083,3a,21.6y,154.98h,99.21t/data=!3m5!1e1!3m3!1snFL8hD_JaDsAAAQYanqZow!2e0!3e11?hl=ja"	14.0					ローリング☆ガールズ	ローリングガールズ	第9話で、広島の自警団「石作ストーンズ」の本拠地となっていた場所。				ハツカイチシ	ロ	34	3	6	
