作品No.	聖地No.	確定	都道府県	市区郡	聖地名	郵便番号	住所	住所２	座標：緯度	座標：経度	SV	倍率	SV過去	Fov	Zoom	電話番号	作品	作品名フリガナ	備考	公式サイトURL	情報参照元URL	備考2	市区町村読み仮名	作品名50音	県順	市順	域順	実在
0072	0001	完了	東京都	府中市	京王 府中駅	183-0023	東京都府中市宮町1		35.671408	139.48044	"https://www.google.co.jp/maps/@35.6712467,139.4805288,3a,24y,350.04h,90.99t/data=!3m6!1e1!3m4!1sE5Moq8j_rNdn4ZTKD6Xh_g!2e0!7i13312!8i6656"				4.5		一週間フレンズ。	イッシュウカンフレンズ	第2話で長谷祐樹と藤宮香織が、カラオケ屋に行くシーンで描かれていた駅。				フチュウシ	イ	13	44	2	
0072	0031	完了	東京都	府中市	サイゼリア 府中西府店	183-0031	東京都府中市西府町2-5-7		35.674114	139.457642	"https://www.google.co.jp/maps/@35.6740322,139.4575751,3a,75y,47.48h,95.16t/data=!3m6!1e1!3m4!1sAIBRvl7BfOMRO_3uvstfXw!2e0!7i16384!8i8192"						一週間フレンズ。	イッシュウカンフレンズ	第11話で、長谷祐樹と九条一が、藤宮香織の過去を聞くために、小学校時代の女友達を呼び出していたファミレス。<br />偶然女友達だけで遊んでいた藤宮香織一行がやって来て、会話を聞いてしまっていました。				フチュウシ	イ	13	44	2	
0072	0039	完了	東京都	府中市	分倍河原駅前バス停	183-0021	東京都府中市片町3-26		35.667948	139.469507	"https://www.google.co.jp/maps/@35.6681425,139.4694985,3a,48.2y,157.48h,86.28t/data=!3m6!1e1!3m4!1sl9hPjYC12jcZDPRW1eOXYQ!2e0!7i13312!8i6656"						一週間フレンズ。	イッシュウカンフレンズ	第11話で、小学校時代の女友達から藤宮香織の記憶ががなくなってしまう原因を聞き出したものの、香織本人に話を聞かれて泣かせてしまった長谷祐樹と九条一が話していたバス停。				フチュウシ	イ	13	44	2	
0072	0002	完了	東京都	日野市	京王 南平駅	191-0041	東京都日野市南平6-9-31		35.654555	139.391993	"https://www.google.co.jp/maps/@35.6544333,139.3920901,3a,49y,291.48h,94.61t/data=!3m6!1e1!3m4!1s1N2h1BSc3Jkbg__ov1I3Bg!2e0!7i16384!8i8192?hl=ja"						一週間フレンズ。	イッシュウカンフレンズ	エンディングカットで描かれていた場所その1。<br />第4話では、長谷祐樹が、藤宮香織の落とした日記ノートを探すシーンでも駅から出てくる祐樹の姿が描かれていました。作中では駅前に交番がある設定になっていましたが、実際には交番はありません。同話のラストでは、改札で祐樹が香織を見送るシーンが描かれていました。<br />第7話では、終業式の学校帰りに香織を追いかけて来た祐樹が、駅前で夏休みも会おうと香織に話していました。<br />第12話のラストで、雪の積もった街のカットでも、エンディングカットと同じ構図で描かれていました。<br />作中では駅名が「緑川駅」になっています。				ヒノシ	イ	13	43	2	
0072	0003	完了	東京都	日野市	エルムコート	191-0041	東京都日野市南平6-10		35.657242	139.391789	"https://www.google.co.jp/maps/@35.6573394,139.3917287,3a,49.6y,130.21h,82.57t/data=!3m6!1e1!3m4!1svdAjvsa4b3Y5dzFqZLAYSA!2e0!7i16384!8i8192"						一週間フレンズ。	イッシュウカンフレンズ	第4話で、桐生将吾に対する嫉妬心から出た長谷祐樹の言葉に傷つき、学校を早退して一人寂しく帰る藤宮香織が歩いていたシーンで描かれていたマンション。B棟とC棟の間にある広場です。				ヒノシ	イ	13	43	2	
0072	0004	完了	東京都	日野市	多摩川沿いの道（駐車場前）	191-0041	東京都日野市南平6-10		35.656794	139.391456	"https://www.google.co.jp/maps/@35.6569498,139.3915184,3a,45y,141.3h,79.18t/data=!3m6!1e1!3m4!1sMAPT7oP5T-uMiyvATpPrNQ!2e0!7i13312!8i6656"						一週間フレンズ。	イッシュウカンフレンズ	第4話で、桐生将吾に対する嫉妬心から出た長谷祐樹の言葉に傷つき、学校を早退して一人寂しく帰る藤宮香織が歩いていたシーンで描かれていた道。道路から駐車場側を望む構図で描かれていました。				ヒノシ	イ	13	43	2	
0072	0005	完了	東京都	日野市	多摩川沿いの道	191-0041	東京都日野市南平6-10		35.656508	139.391314	"https://www.google.co.jp/maps/@35.6569498,139.3915184,3a,48.2y,205.05h,89.22t/data=!3m6!1e1!3m4!1sMAPT7oP5T-uMiyvATpPrNQ!2e0!7i13312!8i6656"						一週間フレンズ。	イッシュウカンフレンズ	第4話で、桐生将吾に対する嫉妬心から出た長谷祐樹の言葉に傷つき、学校を早退して一人寂しく帰る藤宮香織が歩いていたシーンで描かれていた道。				ヒノシ	イ	13	43	2	
0072	0006	完了	東京都	日野市	南平駅 駅前	191-0041	東京都日野市南平6-14		35.654674	139.391701	-						一週間フレンズ。	イッシュウカンフレンズ	第4話で、桐生将吾に対する嫉妬心から出た長谷祐樹の言葉に傷つき、学校を早退して一人寂しく帰る藤宮香織が歩いていたシーンで描かれていた場所。北東側の水路から道路を望む構図で描かれていました。				ヒノシ	イ	13	43	2	
0072	0007	完了	東京都	日野市	駐車場	191-0041	東京都日野市南平6-22		35.655215	139.391144	"https://www.google.co.jp/maps/@35.6550204,139.3912892,3a,20y,327.9h,91.09t/data=!3m6!1e1!3m4!1sP650iYjiGgL3k9suxz28Dw!2e0!7i13312!8i6656"				4.5		一週間フレンズ。	イッシュウカンフレンズ	第4話で、桐生将吾に対する嫉妬心から出た長谷祐樹の言葉に傷つき、学校を早退して一人寂しく帰る藤宮香織が歩いていたシーンで描かれていた駐車場。				ヒノシ	イ	13	43	2	
0072	0008	完了	東京都	日野市	カーブミラー	191-0041	東京都日野市南平6-22		35.655360	139.391118	"https://www.google.co.jp/maps/@35.6553661,139.3911396,3a,49.9y,237.84h,105.58t/data=!3m6!1e1!3m4!1stwArGT9I0ar_ZQMFNQik7Q!2e0!7i13312!8i6656"						一週間フレンズ。	イッシュウカンフレンズ	第4話で、桐生将吾に対する嫉妬心から出た長谷祐樹の言葉に傷つき、学校を早退して一人寂しく帰る藤宮香織が歩いていたシーンで描かれていたカーブミラー。				ヒノシ	イ	13	43	2	
