作品No.	聖地No.	確定	都道府県	市区郡	聖地名	郵便番号	住所	住所２	座標：緯度	座標：経度	SV	倍率	SV過去	Fov	Zoom	電話番号	作品	作品名フリガナ	備考	公式サイトURL	情報参照元URL	備考2	市区町村読み仮名	作品名50音	県順	市順	域順	実在
0462	0001	完了	東京都	新宿区	東京都庁第一本庁舎	160-0023	東京都新宿区西新宿2-8-1		35.689575	139.691701	"https://www.google.co.jp/maps/@35.689615,139.692525,3a,75y,90t/data=!3m5!1e2!3m3!1s96191465!2e1!3e10"	16.0					世界征服 謀略のズヴィズダー	セカイセイフクボウリャクノズヴィズダー	第10話でホワイトイーグレットが、ホワイトファルコンと都知事（地紋京志郎）から、ホワイトライトの指揮官に任命されるシーンで描かれていました。第11話では都知事の政見放送シーンでも同じカットが描かれていました。				シンジュクク	セ	13	11	2	
0462	0002	完了	東京都	立川市	タチヒゴルフ練習場 前	190-0011	東京都立川市高松町1-300-1		35.713513	139.416580	"https://www.google.co.jp/maps/@35.713713,139.416655,3a,75y,193.51h,97.37t/data=!3m4!1e1!3m2!1sVRFkbb-ljth35MdtSJN6Qg!2e0"						世界征服 謀略のズヴィズダー	セカイセイフクボウリャクノズヴィズダー	第2話で地紋明日汰が鹿羽逸花に連れられズヴィズダーの秘密基地にやって来るシーンで拝啓に描かれていたゴルフ練習場。※2013年9月に閉店し、ネットも撤去されてしまいました。				タチカワシ	セ	13	34	2	解体
0462	0003	完了	東京都	立川市	立川駅 北口ペデストリアンデッキ	190-0012	東京都立川市曙町2-4		35.699037	139.414491	"https://www.google.co.jp/maps/@35.698968,139.414455,3a,75y,252.93h,98.73t/data=!3m4!1e1!3m2!1sBgD5eDrTn_gUMIQFzQSqtQ!2e0?hl=ja"						世界征服 謀略のズヴィズダー	セカイセイフクボウリャクノズヴィズダー	第1話冒頭の立川駅のカット。座標地点の高架歩道から駅ビルを望む構図で描かれており、作画ではデッキアーチの形状と色がアレンジされていました。				タチカワシ	セ	13	34	2	
0462	0004	完了	東京都	立川市	立川駅 北口ペデストリアンデッキ	190-0012	東京都立川市曙町2-4		35.698608	139.413422	-						世界征服 謀略のズヴィズダー	セカイセイフクボウリャクノズヴィズダー	第1話冒頭で勢いで家出をし、腹を空かせた地紋明日汰が腰かけていた場所。				タチカワシ	セ	13	34	2	
0462	0005	完了	東京都	立川市	立川駅 北口ペデストリアンデッキ	190-0012	東京都立川市曙町2-4		35.698706	139.413693	-						世界征服 謀略のズヴィズダー	セカイセイフクボウリャクノズヴィズダー	第12話で星宮ケイト像が建造されていた場所。				タチカワシ	セ	13	34	2	
0462	0006	完了	東京都	立川市	ナカムラビル	190-0012	東京都立川市曙町2-6-10		35.699342	139.413894	"https://www.google.co.jp/maps/@35.69917,139.414051,3a,75y,328.88h,106.7t/data=!3m4!1e1!3m2!1sP4KU1UnlX4RStqYy3BWj5Q!2e0?hl=ja"						世界征服 謀略のズヴィズダー	セカイセイフクボウリャクノズヴィズダー	第1話で戒厳令が出たものの家出中のために行く宛てのない地紋明日汰がトボトボと歩いていたシーンで描かれていたビル。看板は漫画喫茶になっていたりと大分改変されていました。				タチカワシ	セ	13	34	2	
0462	0007	完了	東京都	立川市	OSドラッグ 前	190-0012	東京都立川市曙町2-7-21		35.699442	139.41406	"https://www.google.co.jp/maps/@35.6991397,139.4138694,2a,15y,24.02h,83.17t/data=!3m6!1e1!3m4!1sRl9vnVnJOUcTIZnhcWFygg!2e0!7i16384!8i8192"						世界征服 謀略のズヴィズダー	セカイセイフクボウリャクノズヴィズダー	第1話で戒厳令が出たものの家出中のために行く宛てのない地紋明日汰がトボトボと歩いていた場所。歩道橋上から見下ろす構図で描かれていました。				タチカワシ	セ	13	34	2	
0462	0008	完了	東京都	立川市	ばりき家	190-0012	東京都立川市曙町2-11-8		35.700142	139.415197	"https://www.google.co.jp/maps/@35.700316,139.415165,3a,75y,151.38h,92.59t/data=!3m4!1e1!3m2!1sgFDii17q69buSZl44xnUXg!2e0?hl=ja"						世界征服 謀略のズヴィズダー	セカイセイフクボウリャクノズヴィズダー	第1話で戒厳令が出たものの家出中のために行く宛てのない地紋明日汰がトボトボと歩いていたシーンで描かれていた店。作中では店名が「牛丼はらたま」になっていましたが、この店名は「うる星やつら2 ビューティフル・ドリーマー」でサクラが経営していた店の名前。				タチカワシ	セ	13	34	2	
0462	0009	完了	東京都	立川市	立川グランドホテル	190-0012	東京都立川市曙町2-14-16		35.700002	139.415527	"https://www.google.co.jp/maps/@35.700282,139.415699,3a,75y,197.14h,105.29t/data=!3m4!1e1!3m2!1seCR6cYN7hJEaQA7jHqfaEw!2e0?hl=ja"					042-525-1121	世界征服 謀略のズヴィズダー	セカイセイフクボウリャクノズヴィズダー	第1話で戒厳令が出たものの家出中のために行く宛てのない地紋明日汰が、近づく東京都軍の車両に気づいて路地に身を隠したシーンで、向かい側に描かれていた建物。	http://tachikawa.khgrp.co.jp/			タチカワシ	セ	13	34	2	
0462	0010	完了	東京都	立川市	ダイエー立川店脇の路地	190-0012	東京都立川市曙町2-18-18		35.700473	139.415787	"https://www.google.co.jp/maps/@35.700282,139.415699,3a,75y,21.73h,87.57t/data=!3m4!1e1!3m2!1seCR6cYN7hJEaQA7jHqfaEw!2e0?hl=ja"						世界征服 謀略のズヴィズダー	セカイセイフクボウリャクノズヴィズダー	第1話で戒厳令が出たものの家出中のために行く宛てのない地紋明日汰が、近づく東京都軍の車両に気づいて身を隠した路地。				タチカワシ	セ	13	34	2	
