作品No.	聖地No.	確定	都道府県	市区郡	聖地名	郵便番号	住所	住所２	座標：緯度	座標：経度	SV	倍率	SV過去	Fov	Zoom	電話番号	作品	作品名フリガナ	備考	公式サイトURL	情報参照元URL	備考2	市区町村読み仮名	作品名50音	県順	市順	域順	実在
0147	0001	完了	埼玉県	川越市	ユナイテッド・シネマ ウニクス南古谷	350-0026	埼玉県川越市泉町1	ウニクス南古谷内	35.903908	139.515257	"https://www.google.co.jp/maps/@35.903563,139.516597,3a,75y,270.06h,95.81t/data=!3m4!1e1!3m2!1siqo0Pdt5Xaln_niVTHxg7g!2e0?hl=ja"	17.0		120	4.5		俺の彼女と幼なじみが修羅場すぎる	オレノカノジョトオサナナジミガシュラバスギル	第8話で季堂鋭太、冬海愛衣、遊井カオルの3人が	http://www.unitedcinemas.jp/minamifuruya/	http://www.unitedcinemas.jp/minamifuruya/		クワゴエシ	オ	11	20	2	
0147	0002	完了	千葉県	柏市	ガスト柏店	277-0005	千葉県柏市柏1-6-10		35.859922	139.972995	"https://www.google.co.jp/maps/@35.859863,139.973146,3a,75y,282.74h,107.64t/data=!3m4!1e1!3m2!1shSJ5fHhx8KwdGDdOo3gTUg!2e0?hl=ja"	18.0		120	1	04-7168-5453	俺の彼女と幼なじみが修羅場すぎる	オレノカノジョトオサナナジミガシュラバスギル	第8話で季堂鋭太が冬海愛衣と映画に行くことについて、「自演乙の会」が会議をしていたファミレスのモデル。作中では店名が「ジャスト」になっていました。	http://sp.chizumaru.com/dbh/skylark/detailmap.aspx?account=skylark&accmd=0&arg=&c1=&c2=0&c3=&c4=&c5=&c6=&c7=&c8=&c9=&c10=&c11=&c12=&c13=&c14=&c15=&c16=&c17=&c18=&c19=&c20=&c21=&c22=&c23=&c24=&c25=&c26=&c27=&c28=&c29=&c30=&mode=12&key=%94%90%8Es&pg=1&adr=&orgpg=1&comp=5&bid=017908	http://sp.chizumaru.com/dbh/skylark/detailmap.aspx?account=skylark&accmd=0&arg=&c1=&c2=0&c3=&c4=&c5=&c6=&c7=&c8=&c9=&c10=&c11=&c12=&c13=&c14=&c15=&c16=&c17=&c18=&c19=&c20=&c21=&c22=&c23=&c24=&c25=&c26=&c27=&c28=&c29=&c30=&mode=12&key=%94%90%8Es&pg=1&adr=&orgpg=1&comp=5&bid=017908		カシワシ	オ	12	14	2	
0147	0003	完了	千葉県	柏市	市進予備校 柏校	277-0852	千葉県柏市旭町1-6-18	鈴木第二ビル	35.86142	139.969479	"https://www.google.co.jp/maps/@35.861295,139.969567,3a,75y,332.49h,127.28t/data=!3m4!1e1!3m2!1swnMUyL-oz2ifsdq9YUYBrA!2e0?hl=ja"	17.0		120	1.3	0120-79-5515	俺の彼女と幼なじみが修羅場すぎる	オレノカノジョトオサナナジミガシュラバスギル	第7～9話で季堂鋭太、冬海愛衣、遊井カオルの3人が夏季講習に参加していた「羽根ノ山ゼミナール」のモデル。南方向へ走っていきました。	http://www.ichishin.co.jp/kyoshitsu/Y203.html	http://www.ichishin.co.jp/kyoshitsu/Y203.html		カシワシ	オ	12	14	2	
0147	0004	完了	東京都	新宿区	カフェプランツ 新宿店	160-0023	東京都新宿区西新宿1-1-3	小田急百貨店新宿店本館 屋上	35.691703	139.699683	-					050-5797-6939	俺の彼女と幼なじみが修羅場すぎる	オレノカノジョトオサナナジミガシュラバスギル	第7話で夏川真涼が季堂鋭太を呼び出し、冬海愛衣の弱みを探るよう命令していたカフェのモデル。第8話で真涼が鋭太から愛衣の彼氏についての調査報告をさせていたのも同じ喫茶店でした。その後も度々登場していました。作中では店名が「CAFE VERTU」になっていました。				シンジュクク	オ	13	11	2	
0147	0005	完了	東京都	杉並区	都道427号線	166-0014	東京都杉並区松ノ木1-2		35.685546	139.642375	"https://www.google.co.jp/maps/@35.685571,139.642351,3a,75y,327.11h,93.52t/data=!3m4!1e1!3m2!1sXZCrmCZOfQqVmv_UXiKYbw!2e0?hl=ja"						俺の彼女と幼なじみが修羅場すぎる	オレノカノジョトオサナナジミガシュラバスギル	第1話の登校シーンで描かれていた道路。				スギナミク	オ	13	12	2	
0147	0006	完了	東京都	杉並区	都道7号線	166-0016	東京都杉並区成田西		35.691871	139.633017	"https://www.google.co.jp/maps/@35.691864,139.633177,3a,75y,319.1h,91.78t/data=!3m4!1e1!3m2!1s8EZuvL0DAB5giyVyVUIfhg!2e0?hl=ja"						俺の彼女と幼なじみが修羅場すぎる	オレノカノジョトオサナナジミガシュラバスギル	第1話の登校シーンで描かれていた道路。				スギナミク	オ	13	12	2	
0147	0007	完了	東京都	杉並区	都道427号線	168-0061	東京都杉並区大宮1-5		35.68283	139.642898	"https://www.google.co.jp/maps/@35.682783,139.642972,3a,75y,314.57h,87.4t/data=!3m4!1e1!3m2!1sLUMiUCsu3yK9A8Uh2Ikxmw!2e0?hl=ja"						俺の彼女と幼なじみが修羅場すぎる	オレノカノジョトオサナナジミガシュラバスギル	第1話の下校シーンで、季堂鋭太と夏川真涼が腕を組んで歩いていた場所。作中では左右反転して描かれていました。				スギナミク	オ	13	12	2	
0147	0008	完了	東京都	杉並区	和田掘公園	168-0061	東京都杉並区大宮2-26		35.683441	139.642405	"https://www.google.co.jp/maps/@35.683455,139.64258,3a,75y,277.89h,92.41t/data=!3m5!1e1!3m3!1scTUcAqy4Lb1AYjEb8jrRsA!2e0!3e5?hl=ja"						俺の彼女と幼なじみが修羅場すぎる	オレノカノジョトオサナナジミガシュラバスギル	第5話でラブレターを貰ったことを隠す季堂鋭太が、夏川真涼から詰問を受けていた公園のモデル。実際には2人が座っていたベンチはありませんが、敷地の形状、樹木、車止めポール、自動販売機の位置などは一致します。※工事が行われて作画の様子と様変わりしてしまいました。				スギナミク	オ	13	12	2	
0147	0009	完了	東京都	豊島区	Milkyway	170-0013	東京都豊島区東池袋1-12-8	富士喜ビル2F	35.729367	139.714277	"https://www.google.co.jp/maps/@35.729427,139.714026,3a,75y,83.22h,103.23t/data=!3m4!1e1!3m2!1sBaW2ROndJ7vwCih1et9osQ!2e0?hl=ja"	17.0				03-3985-7194	俺の彼女と幼なじみが修羅場すぎる	オレノカノジョトオサナナジミガシュラバスギル	第8話で予備校帰りの季堂鋭太、冬海愛衣、遊井カオルの3人が寄った喫茶店。作中では、外観から内装まで忠実に再現されていましたが、店名だけは「MILKY PARLOUR」に変えられていました。	http://www10.ocn.ne.jp/~milky91f/	http://www10.ocn.ne.jp/~milky91f/		トシマク	オ	13	18	2	
0147	0010	完了	東京都	府中市	京王 府中駅	183-0023	東京都府中市宮町1		35.672599	139.4802	"https://www.google.co.jp/maps/@35.672836,139.480428,3a,75y,217.41h,106.41t/data=!3m4!1e1!3m2!1sbYO0g7CLm0qnut7U6vx4EQ!2e0?hl=ja"						俺の彼女と幼なじみが修羅場すぎる	オレノカノジョトオサナナジミガシュラバスギル	第4話の春咲千和と坂上拓也のデート、第8話の季堂鋭太と冬海愛衣のデート、第10話の鋭太と千和の買い物の待ち合わせとなった駅。第9話本編冒頭のカットにも登場していました。第11話では「自演乙の会」の合宿の集合場所となっていました。いずれも駅舎北口側の外観が描かれています。作中では駅名が「羽根ノ山駅」に変えられていました。				フチュウシ	オ	13	44	2	
0147	0011	完了	東京都	府中市	京王 府中駅 南口ペデストリアンデッキ	183-0023	東京都府中市宮町1		35.671392	139.480413	-						俺の彼女と幼なじみが修羅場すぎる	オレノカノジョトオサナナジミガシュラバスギル	第4話の春咲千和と坂上拓也のデートの日に寝坊をしてしまった季堂鋭太が駈け過ぎていた場所。				フチュウシ	オ	13	44	2	
0147	0012	完了	東京都	府中市	京王 府中駅 北口ペデストリアンデッキ1	183-0023	東京都府中市宮町1		35.672424	139.480442	-						俺の彼女と幼なじみが修羅場すぎる	オレノカノジョトオサナナジミガシュラバスギル	第4話の春咲千和と坂上拓也のデートの確認のために駅にやって来た季堂鋭太に、同じく駅に来ていた夏川真涼が声をかけていた場所。				フチュウシ	オ	13	44	2	
0147	0013	完了	東京都	府中市	京王 府中駅 北口ペデストリアンデッキ2	183-0023	東京都府中市宮町1		35.672424	139.480442	-						俺の彼女と幼なじみが修羅場すぎる	オレノカノジョトオサナナジミガシュラバスギル	第4話のデートで春咲千和が坂上拓也を待っていた場所。作中では時計になっていましたが、実際にはモニュメントが立っています。ここで季堂鋭太たちと坂上たちとの戦いが繰り広げられました。第8話では映画を見に行く季堂鋭太、冬海愛衣、遊井カオルの3人が同じ場所に待ち合わせていました、作中では駅名も「羽根ノ山駅」に変えられていました。				フチュウシ	オ	13	44	2	
0147	0014	完了	東京都	府中市	京王 府中駅 北口ペデストリアンデッキ3	183-0023	東京都府中市宮町1		35.672574	139.480559	-						俺の彼女と幼なじみが修羅場すぎる	オレノカノジョトオサナナジミガシュラバスギル	第4話のデートで春咲千和が坂上拓也を待っているのを、季堂鋭太と夏川真涼が監視していた場所。第10話では、同じ場所で、鋭太と千和が待ち合わせていたところへ、真涼が乱入して三角関係になっているのを、秋篠姫香と冬海愛衣が監視していました。				フチュウシ	オ	13	44	2	
0147	0015	完了	東京都	府中市	京王 府中駅 北口ペデストリアンデッキ4	183-0023	東京都府中市宮町1		35.672574	139.480559	-						俺の彼女と幼なじみが修羅場すぎる	オレノカノジョトオサナナジミガシュラバスギル	第8話で夏川真涼が、季堂鋭太と冬海愛衣、遊井カオルと春咲千和のWデートの監視及び携帯電話から千和への指示をしていた場所。半円形の花壇に腰掛けていました。				フチュウシ	オ	13	44	2	
