作品No.	聖地No.	確定	都道府県	市区郡	聖地名	郵便番号	住所	住所２	座標：緯度	座標：経度	SV	倍率	SV過去	Fov	Zoom	電話番号	作品	作品名フリガナ	備考	公式サイトURL	情報参照元URL	備考2	市区町村読み仮名	作品名50音	県順	市順	域順	実在
0794	0001		岐阜県	岐阜市	忠節用水分水樋門（ロボット水門）	500-8002	岐阜県岐阜市御手洗		35.436475	136.774051	"https://www.google.co.jp/maps/@35.43629,136.773157,3a,15y,78.57h,86.75t/data=!3m4!1e1!3m2!1sdqwlRcWGMJuUKLiQh2o5HQ!2e0?hl=ja"						僕らはみんな河合荘	ボクラハミンナカワイソウ	第4話				ギフシ	ホ	21	1	3	
0794	0002	完了	岐阜県	岐阜市	長良橋	500-8009	岐阜県岐阜市湊町		35.438677	136.773390	"https://www.google.co.jp/maps/@35.438225,136.773747,3a,37.5y,310.49h,83.11t/data=!3m4!1e1!3m2!1sJISVlpX-zztDbLwmX2U9sg!2e0"						僕らはみんな河合荘	ボクラハミンナカワイソウ	第1話の学校帰りのシーンで宇佐和成が渡っていた橋。				ギフシ	ホ	21	1	3	
0794	0003		岐阜県	岐阜市	長良川 川岸	500-8009	岐阜県岐阜市湊町		35.438405	136.772997							僕らはみんな河合荘	ボクラハミンナカワイソウ	第1話で宇佐和成が、男（健二）にフラれてやけ酒をしている錦野麻弓に遭遇した場所。				ギフシ	ホ	21	1	3	
0794	0004		岐阜県	岐阜市	階段	500-8009	岐阜県岐阜市湊町		35.438177	136.773178	"https://www.google.co.jp/maps/@35.438123,136.772986,3a,37.5y,74.98h,88.9t/data=!3m4!1e1!3m2!1sTVr2rMdi-eRhtAC77tpjoQ!2e0?hl=ja"						僕らはみんな河合荘	ボクラハミンナカワイソウ	第1話。				ギフシ	ホ	21	1	3	
0794	0005	完了	岐阜県	岐阜市	川原町	500-8007	岐阜県岐阜市元浜町		35.435624	136.769519	"https://www.google.co.jp/maps/@35.435575,136.769499,3a,37.5y,43.08h,93.63t/data=!3m4!1e1!3m2!1saoBDIHh92f6X0F1ND0-UqQ!2e0"						僕らはみんな河合荘	ボクラハミンナカワイソウ	第1話の学校帰りのシーンで描かれていた町並み。				ギフシ	ホ	21	1	3	
0794	0006		岐阜県	岐阜市	三洋堂書店 長良店	502-0814	岐阜県岐阜市福光西2-5-16		35.453892	136.768055	"https://www.google.co.jp/maps/@35.45407,136.768353,3a,75y,229.55h,96.05t/data=!3m4!1e1!3m2!1sDrQGy1uPQ-hB3eL0v0oNNA!2e0?hl=ja"					058-294-3734	僕らはみんな河合荘	ボクラハミンナカワイソウ	第4話。作中では店名が「海洋堂書店」になっていました。	http://www.sanyodo.co.jp/shops/053/			ギフシ	ホ	21	1	3	
0794	0007	完了	岐阜県	岐阜市	東材木町交差点	500-8029	岐阜県岐阜市東材木町		35.435318	136.769480	"https://www.google.co.jp/maps/@35.435486,136.769493,3a,37.5y,184.36h,84.84t/data=!3m4!1e1!3m2!1sU5gmw7l5eLlURid8u-GSkQ!2e0"						僕らはみんな河合荘	ボクラハミンナカワイソウ	第1話の学校帰りのシーンで、美登里橋から北側の交差点を望む構図で描かれていました。				ギフシ	ホ	21	1	3	
0794	0008		岐阜県	岐阜市	駐車場前	500-8046	岐阜県岐阜市米屋町		35.429790	136.766381	"https://www.google.co.jp/maps/@35.429749,136.7663,3a,75y,62.36h,91.64t/data=!3m4!1e1!3m2!1s5PcP7lkruUvsQODIkZFQ2g!2e0?hl=ja"						僕らはみんな河合荘	ボクラハミンナカワイソウ	第4話。自動販売機の陰に身を隠していた場所。				ギフシ	ホ	21	1	3	
0794	0009		岐阜県	岐阜市	桂翠館	500-8046	岐阜県岐阜市米屋町2		35.429989	136.766564	-						僕らはみんな河合荘	ボクラハミンナカワイソウ	オープニング。※2014年4月30日に閉店済。				ギフシ	ホ	21	1	3	閉店
0794	0010	完了	岐阜県	岐阜市	踏切	500-8178	岐阜県岐阜市清住町2		35.411489	136.761984	"https://www.google.co.jp/maps/@35.411825,136.761942,3a,37.5y,164.77h,94.1t/data=!3m4!1e1!3m2!1sOBiZlMzp5b3n02eE8pfOBg!2e0?hl=ja"						僕らはみんな河合荘	ボクラハミンナカワイソウ	第1話の学校帰りのシーンで宇佐和成が渡っていた踏切。北側から線路を望む構図で、東洋健康ランドの看板、三共社などが描かれていました。				ギフシ	ホ	21	1	3	
0794	0011		岐阜県	岐阜市	名鉄岐阜駅 出入口1 階段	500-8833	岐阜県岐阜市神田町9-1		35.411738	136.759480	"https://www.google.co.jp/maps/@35.411775,136.759313,3a,30y,115.87h,89.43t/data=!3m4!1e1!3m2!1sqwCrai3VGCLlcafLDS7-lw!2e0"						僕らはみんな河合荘	ボクラハミンナカワイソウ	第1話。				ギフシ	ホ	21	1	3	
