作品No.	聖地No.	確定	都道府県	市区郡	聖地名	郵便番号	住所	住所２	座標：緯度	座標：経度	SV	倍率	SV過去	Fov	Zoom	電話番号	作品	作品名フリガナ	備考	公式サイトURL	情報参照元URL	備考2	市区町村読み仮名	作品名50音	県順	市順	域順	実在
1133	0001	完了	愛知県	名古屋市	名古屋駅桜通口前の交差点	450-0002	愛知県名古屋市中村区名駅1-1		35.171182	136.883735	"https://www.google.co.jp/maps/@35.1708914,136.8839866,3a,49.8y,196.09h,106.73t/data=!3m7!1e1!3m5!1shYllh9PaElyJauUKkIAKAg!2e0!6s%2F%2Fgeo0.ggpht.com%2Fcbk%3Fpanoid%3DhYllh9PaElyJauUKkIAKAg%26output%3Dthumbnail%26cb_client%3Dmaps_sv.tactile.gps%26thumb%3D2%26w%3D203%26h%3D100%26yaw%3D255.16815%26pitch%3D0%26thumbfov%3D100!7i16384!8i8192"						八十亀ちゃんかんさつにっき	ヤトガメチャンカンサツニッキ	第1話で、転校初日の陣界斗が、学校帰りに名古屋文化を味わえると思っていた期待が裏切れたことを愚痴りながら渡っていた交差点。				ナゴヤシ	ヤ	23	1	3	
1133	0002	完了	愛知県	名古屋市	名古屋駅桜通口前の歩道（モニュメント「飛翔」前）	450-0002	愛知県名古屋市中村区名駅1-1		35.170879	136.883901	"https://www.google.co.jp/maps/@35.1710104,136.8835897,3a,29y,61.14h,96.09t/data=!3m6!1e1!3m4!1szECfMl4KW_PsGP2Jr-Z_KA!2e0!7i13312!8i6656"				4		八十亀ちゃんかんさつにっき	ヤトガメチャンカンサツニッキ	第1話で、転校初日の陣界斗が、学校帰りに八十亀最中と出会っていた場所。<br />第3話では、八十亀が界斗に名古屋駅の写真撮影スポットとして「飛翔」を紹介していました。				ナゴヤシ	ヤ	23	1	3	
1133	0003	完了	愛知県	名古屋市	金時計	450-0002	愛知県名古屋市中村区名駅1-1-4	名古屋駅構内	35.170854	136.882939	"https://www.google.co.jp/maps/@35.1707635,136.8828441,2a,25.9y,29.95h,92.92t/data=!3m6!1e1!3m4!1ssA_3QmtjGo95cHakk4YRHQ!2e0!7i13312!8i6656"						八十亀ちゃんかんさつにっき	ヤトガメチャンカンサツニッキ	第3話で、名古屋駅で撮影勝負をすることになった陣界斗と八十亀最中が待ち合わせをしていた場所。<br />正確には、界斗は「名駅（名古屋駅）」で待ち合わせと言われていただけで、八十亀によれば、「名駅で待ち合わせ言うたら、金時計しかにゃーがね」とのこと。				ナゴヤシ	ヤ	23	1	3	
1133	0004	完了	愛知県	名古屋市	ナナちゃん	450-0002	愛知県名古屋市中村区名駅1-2-1	名鉄百貨店本店	35.168385	136.884775	-						八十亀ちゃんかんさつにっき	ヤトガメチャンカンサツニッキ	第3話で、陣界斗が八十亀最中に紹介されていた名古屋駅の写真撮影スポットの一つ。八十亀によると、真下から上を見上げるのが通過儀礼とのこと。				ナゴヤシ	ヤ	23	1	3	
1133	0005	完了	愛知県	名古屋市	モード学園スパイラルタワーズ	450-0002	愛知県名古屋市中村区名駅4-27-1		35.168119	136.885696	"https://www.google.co.jp/maps/@35.1691452,136.8849838,3a,53.5y,145.79h,117.51t/data=!3m6!1e1!3m4!1sBkPRFboLKB25FIYII1qNKw!2e0!7i16384!8i8192"						八十亀ちゃんかんさつにっき	ヤトガメチャンカンサツニッキ	第3話で、陣界斗と八十亀最中が名古屋駅へ撮影勝負に訪れていたシーンで描かれていたビル。				ナゴヤシ	ヤ	23	1	3	
1133	0006	完了	愛知県	名古屋市	ヨシヅヤ 名古屋名西店	451-0064	愛知県名古屋市西区名西2-33-8		35.190138	136.878540	"https://www.google.co.jp/maps/@35.1912901,136.8781913,3a,32y,180.89h,101.42t/data=!3m6!1e1!3m4!1snwXoeHjrPqiGuHUOrNeeZA!2e0!7i16384!8i8192"				3.5		八十亀ちゃんかんさつにっき	ヤトガメチャンカンサツニッキ	第6話で、陣界斗と八十亀最中がスガキヤを訪れるシーンで描かれていた、スガキヤがフードコートに入っているデパート。				ナゴヤシ	ヤ	23	1	3	
1133	0007	完了	愛知県	名古屋市	スガキヤ 名西ヨシヅヤ店	451-0064	愛知県名古屋市西区名西2-33-8	ヨシヅヤ名古屋名西店1F	35.190209	136.877790	-						八十亀ちゃんかんさつにっき	ヤトガメチャンカンサツニッキ	第6話で、陣界斗と八十亀最中がラーメンを食べに訪れていた店。八十亀はアイスクリームも食べていました。				ナゴヤシ	ヤ	23	1	3	
1133	0008	完了	愛知県	名古屋市	KOMEHYO 名古屋本店 カメラ・楽器館	460-0011	愛知県名古屋市中区大須2-19-22		35.159512	136.900989	-						八十亀ちゃんかんさつにっき	ヤトガメチャンカンサツニッキ	第8話で、陣界斗と八十亀最中がカメラを買いに訪れていた店。				ナゴヤシ	ヤ	23	1	3	
1133	0009	完了	愛知県	名古屋市	大須新天地通（万松寺前）	460-0011	愛知県名古屋市中区大須3-29		35.159192	136.904942	"https://www.google.co.jp/maps/@35.1592891,136.9049691,3a,37y,191.64h,87.55t/data=!3m6!1e1!3m4!1sSrqDn29zYsBxdeqBxQojhA!2e0!7i13312!8i6656"						八十亀ちゃんかんさつにっき	ヤトガメチャンカンサツニッキ	第9話で、八十亀最中たちが万松寺のからくり人形を眺めていた場所で、寝坊してパジャマ姿のまま泣いて謝る笹津やん菜と遭遇していました。				ナゴヤシ	ヤ	23	1	3	
1133	0010	完了	愛知県	名古屋市	万松寺からくり人形	460-0011	愛知県名古屋市中区大須3-29-12		35.159230	136.904638	-						八十亀ちゃんかんさつにっき	ヤトガメチャンカンサツニッキ	第9話で、14時に八十亀最中たちが見上げていた、壁から出てきて舞を舞う信長のからくり人形のある建物。からくり人形部分は、商店街内からでも見ることができます。				ナゴヤシ	ヤ	23	1	3	
