作品No.	聖地No.	確定	都道府県	市区郡	聖地名	郵便番号	住所	住所２	座標：緯度	座標：経度	SV	倍率	SV過去	Fov	Zoom	電話番号	作品	作品名フリガナ	備考	公式サイトURL	情報参照元URL	備考2	市区町村読み仮名	作品名50音	県順	市順	域順	実在
1302	0001	完了	東京都	千代田区	椿屋珈琲 有楽町茶寮	100-0006	東京都千代田区有楽町2-7-1	有楽町イトシア 2F	35.674009	139.763119	-						冴えない彼女の育てかた Fine	サエナイヒロインノソダテカタフィーネ	エンディング後のシーンで、安芸倫也が、澤村・スペンサー・英梨々、霞ヶ丘詩羽、波島伊織との新作ゲームの打ち合わせをしていた喫茶店。				チヨダク	サ	13	17	2	
1302	0002	完了	東京都	千代田区	AKIBAカルチャーズ劇場	101-0021	東京都千代田区外神田1-7-6	AKIBAカルチャーズZONE B1F	35.699512	139.770397	-						冴えない彼女の育てかた Fine	サエナイヒロインノソダテカタフィーネ	冒頭で、氷堂美智留がギター兼ボーカルを務めるバンド「icy tail」のワンマンライブが行われていた劇場。				チヨダク	サ	13	17	2	
1302	0003	完了	東京都	千代田区	銀星	101-0021	東京都千代田区外神田3-6-14	高木ビル 1F	35.702286	139.770007	"https://www.google.co.jp/maps/@35.702233,139.7700754,3a,44y,319.35h,81.54t/data=!3m6!1e1!3m4!1sO_lJmRrVF0p28oZ4hxliZQ!2e0!7i13312!8i6656"						冴えない彼女の育てかた Fine	サエナイヒロインノソダテカタフィーネ	叶巡璃15（巡璃個別ルート開始）のシナリオに行き詰まっている安芸倫也が、紅坂朱音にシナリオを見てもらっていた店。				チヨダク	サ	13	17	2	
1302	0004	完了	東京都	中央区	隅田川テラス（勝鬨橋付近）	104-0045	東京都中央区築地7-18		35.664124	139.776141	-						冴えない彼女の育てかた Fine	サエナイヒロインノソダテカタフィーネ	エンディング後の霞ヶ丘詩羽によるプロットシーンで、夢を諦めサラリーマンになった安芸倫也と、詩羽が再会して『東京ラブストーリー』のテーマ曲「ラブ・ストーリーは突然に」が流れていた場所。				チュウオウク	サ	13	16	2	
1302	0005	完了	東京都	文京区	春日通り（モスバーガー 茗荷谷店前）	112-0002	東京都文京区小石川5-4		35.716904	139.738221	"https://www.google.co.jp/maps/@35.7167313,139.7384268,3a,15y,318.5h,92.65t/data=!3m6!1e1!3m4!1sogQ28mQfrp5CU9L1077iXg!2e0!7i16384!8i8192"						冴えない彼女の育てかた Fine	サエナイヒロインノソダテカタフィーネ	霞ヶ丘詩羽のマンション前で遭遇した安芸倫也と紅坂朱音のドライブシーンで、車中からリアガラス越しに望む、モスバーガー、庄や 茗荷谷店などの看板や小石川ビルなどのビル群が描かれていました。				ブンキョウク	サ	13	21	2	
1302	0006	完了	東京都	文京区	お茶の水女子大学附属高等学校前の交差点	112-0012	東京都文京区大塚2-20		35.719883	139.733519	"https://www.google.co.jp/maps/@35.7197473,139.7337962,3a,15y,302.19h,91.73t/data=!3m6!1e1!3m4!1stI61PMb97bni7b4S1C9Uvg!2e0!7i16384!8i8192"						冴えない彼女の育てかた Fine	サエナイヒロインノソダテカタフィーネ	霞ヶ丘詩羽のマンション前で遭遇した安芸倫也と紅坂朱音のドライブシーンで、2人の乗る車が信号待ちで停車していた交差点。<br />中央分離帯や道路標識、信号機の位置などは改変されていますが、美津野商亊本社ビル、Fine Crest 護国寺といった春日通り沿いに建ち並ぶビル群は忠実に描かれていました。				ブンキョウク	サ	13	21	2	
1302	0007	完了	東京都	文京区	春日通り（第21宮庭マンション前）	112-0012	東京都文京区大塚4-51		35.724746	139.730505	"https://www.google.co.jp/maps/@35.7244061,139.7306368,3a,26y,344.4h,97.91t/data=!3m6!1e1!3m4!1s796D7Nfa-AjqcqvY4Mg6IA!2e0!7i13312!8i6656"						冴えない彼女の育てかた Fine	サエナイヒロインノソダテカタフィーネ	霞ヶ丘詩羽のマンション前で遭遇した安芸倫也と紅坂朱音のドライブシーンで、車中からフロントガラス越しに望む道路案内標識や、第21宮庭マンションなどのビル群が描かれていました。				ブンキョウク	サ	13	21	2	
1302	0008	完了	東京都	北区	旧古河庭園	114-0024	東京都北区西ケ原1-27-39		35.743064	139.745973	"https://www.google.co.jp/maps/@35.7427864,139.7462754,3a,24y,326.58h,100.78t/data=!3m6!1e1!3m4!1s5CWNvPPpeuvrDFM9k8aGSA!2e0!7i13312!8i6656"				4.5		冴えない彼女の育てかた Fine	サエナイヒロインノソダテカタフィーネ	脳梗塞で倒れてしまった紅坂朱音のサポートをするために「紅朱企画」のアシスタントプロデューサーになった安芸倫也が、澤村・スペンサー・英梨々、霞ヶ丘詩羽と共に『フィールズ・クロニクルXIII』の制作をしていた澤村家の屋敷の外観モデル。				キタク	サ	13	7	2	
1302	0009	完了	東京都	江東区	東京ビッグサイト	135-0063	東京都江東区有明3-11-1		35.631664	139.797596	"https://www.google.co.jp/maps/@35.6326837,139.7917257,3a,29y,158.97h,96.74t/data=!3m6!1e1!3m4!1s6hEDlKEe78d9Tpi4_RFk4Q!2e0!7i16384!8i8192"				4		冴えない彼女の育てかた Fine	サエナイヒロインノソダテカタフィーネ	安芸倫也たち「blessing software」が新作ゲーム『冴えない彼女の育てかた』を販売した冬コミの会場。				コウトウク	サ	13	8	2	
1302	0010	完了	東京都	新宿区	カフェ・ド・ボア 新宿駅前店	160-0022	東京都新宿区新宿3-24-4		35.692574	139.700988	"https://www.google.co.jp/maps/@35.6924664,139.7009766,3a,49y,2.1h,108.9t/data=!3m6!1e1!3m4!1somFn_aXTvFzj2rklwe0SCg!2e0!7i13312!8i6656"						冴えない彼女の育てかた Fine	サエナイヒロインノソダテカタフィーネ	エンディング後の霞ヶ丘詩羽によるプロットシーンで、夢を諦めサラリーマンになった安芸倫也と加藤恵が口論していた喫茶店。<br />※移転済。				シンジュクク	サ	13	11	2	移転
1302	0011	完了	東京都	新宿区	東京アニメーションカレッジ専門学校	161-0033	東京都新宿区下落合1-1-8		35.715507	139.704289	"https://www.google.co.jp/maps/@35.715452,139.7039291,3a,70y,80.45h,101.41t/data=!3m6!1e1!3m4!1sNTZWFb5y_vsv0Bq-4oTz-Q!2e0!7i16384!8i8192"				2		冴えない彼女の育てかた Fine	サエナイヒロインノソダテカタフィーネ	安芸倫也たちが通う「私立豊ヶ崎学園」のモデル。				シンジュクク	サ	13	11	2	
1302	0012	完了	東京都	新宿区	高戸橋	169-0075	東京都新宿区高田馬場2-5		35.714807	139.711479	"https://www.google.co.jp/maps/@35.7146621,139.7108605,3a,18y,75.01h,93.73t/data=!3m6!1e1!3m4!1s6FpmXEWyH4piBIscs2sNZg!2e0!7i16384!8i8192"				2		冴えない彼女の育てかた Fine	サエナイヒロインノソダテカタフィーネ	安芸倫也が加藤恵の手を引いて冬コミへ向かうシーンで、2人が渡っていた橋。				シンジュクク	サ	13	11	2	
1302	0013	完了	東京都	杉並区	住宅地	167-0051	東京都杉並区荻窪4-14		35.700988	139.621329	"https://www.google.co.jp/maps/@35.700958,139.6212499,3a,30y,52.94h,93.33t/data=!3m6!1e1!3m4!1s5j39jbBA1wCT9EzytDy3Ow!2e0!7i16384!8i8192"						冴えない彼女の育てかた Fine	サエナイヒロインノソダテカタフィーネ	安芸倫也と加藤恵が名前で呼び合うようになった翌日の通学シーンで、倫也が恵に声をかけて2人で歩いていた場所。<br />倫也が大阪へ行ってしまった後の学校帰りシーンで、お怒り中の恵を心配した氷堂美智留と波島出海が、ゲーム制作を進めようと説得していたのもこの場所でした。<br />作中では道の北側が学校の敷地になっている設定になっていました。				スギナミク	サ	13	12	2	
1302	0014	完了	東京都	豊島区	タリーズコーヒー 大塚店	170-0005	東京都豊島区南大塚3-53-11	今井三菱ビル1F	35.730408	139.728933	"https://www.google.co.jp/maps/@35.7304561,139.7291128,3a,38y,240.96h,91.27t/data=!3m6!1e1!3m4!1sIiZ1VwRWzQpLFwIka4_uEA!2e0!7i16384!8i8192"						冴えない彼女の育てかた Fine	サエナイヒロインノソダテカタフィーネ	安芸倫也が、脳梗塞で入院した紅坂朱音の助っ人として進捗確認に行った波島伊織から、『フィールズ・クロニクルXIII』の進捗状況を聞かされていた喫茶店。<br />作中では店名が「Tree's」になっていました。				トシマク	サ	13	18	2	
1302	0015	完了	東京都	豊島区	六ッ又歩道橋	170-0012	東京都豊島区上池袋2		35.734578	139.716043	-						冴えない彼女の育てかた Fine	サエナイヒロインノソダテカタフィーネ	エンディング後のシーンで、澤村・スペンサー・英梨々、霞ヶ丘詩羽、波島伊織との新作ゲームの打ち合わせ帰りに、池袋駅前で合流した加藤恵と自宅へ帰る安芸倫也が、2人で渡っていた歩道橋。<br />キービジュアルで、登場人物たちが並ぶ姿が描かれていたのも、この歩道橋でした。				トシマク	サ	13	18	2	
1302	0016	完了	東京都	豊島区	池袋駅 前	171-0022	東京都豊島区南池袋1-28		35.730684	139.712623	"https://www.google.co.jp/maps/@35.7306469,139.7125495,3a,30y,28.53h,83.54t/data=!3m7!1e1!3m5!1szqJFhRn6eGdL5pHiNI38Ig!2e0!5s20190701T000000!7i13312!8i6656"						冴えない彼女の育てかた Fine	サエナイヒロインノソダテカタフィーネ	澤村・スペンサー・英梨々、霞ヶ丘詩羽、波島伊織との新作ゲームの打ち合わせ帰りの安芸倫也を、加藤恵が待っていた場所。				トシマク	サ	13	18	2	
1302	0017	完了	東京都	豊島区	南池袋公園	171-0022	東京都豊島区南池袋2-22-1		35.727701	139.714148	"https://www.google.co.jp/maps/@35.7275493,139.7140002,3a,18.1y,30.18h,93.77t/data=!3m6!1e1!3m4!1sFGp99te9zeKfSJCD-_aqeA!2e0!7i16384!8i8192"				5		冴えない彼女の育てかた Fine	サエナイヒロインノソダテカタフィーネ	安芸倫也が、ゲーム制作のロケハンという名目で、加藤恵の誕生日である9月23日土曜日午後1時にデートの待ち合わせをしていた公園。<br />倫也が来れなくなってデートはなしになっていました。				トシマク	サ	13	18	2	
1302	0018	完了	東京都	豊島区	都電 雑司ヶ谷停留場	171-0022	東京都豊島区南池袋4-11		35.724264	139.718053	-						冴えない彼女の育てかた Fine	サエナイヒロインノソダテカタフィーネ	叶巡璃15（巡璃個別ルート開始）のシナリオをようやく書き上げた安芸倫也が、加藤恵とその後の展開を叶巡璃16の本読みをしながら相談していた停留場。<br />脳梗塞で倒れてしまった紅坂朱音のサポートを頼まれた安芸倫也が、加藤恵に大阪へ行くことを話していたのもこの停留場でした。				トシマク	サ	13	18	2	
1302	0019	完了	東京都	豊島区	雑司ヶ谷踏切	171-0022	東京都豊島区南池袋4-11		35.724164	139.717887	"https://www.google.co.jp/maps/@35.7241376,139.7181358,3a,25y,277.25h,90.58t/data=!3m6!1e1!3m4!1s5VmF60o9p_J39baaMCHu_Q!2e0!7i16384!8i8192"						冴えない彼女の育てかた Fine	サエナイヒロインノソダテカタフィーネ	脳梗塞で倒れてしまった紅坂朱音のサポートを頼まれ大阪に行くことになったスーツ姿の安芸倫也が、学校に向かう加藤恵にそのことを伝えに来たシーンで、踏切を挟んで対峙する2人の姿が描かれていました。				トシマク	サ	13	18	2	
1302	0020	完了	東京都	豊島区	富士見坂（シャトー富士見坂前）	171-0033	東京都豊島区高田1-23		35.716026	139.717267	"https://www.google.co.jp/maps/@35.71604,139.7172697,3a,36.2y,30.92h,91.43t/data=!3m6!1e1!3m4!1sTCKM3HaABm6udKL9G-BN4g!2e0!7i16384!8i8192"						冴えない彼女の育てかた Fine	サエナイヒロインノソダテカタフィーネ	安芸倫也たち「blessing software」が新作ゲーム『冴えない彼女の育てかた』の手伝いをした帰りの澤村・スペンサー・英梨々、霞ヶ丘詩羽が歩いていた場所で、泣きじゃくる英梨々を詩羽が抱きしめながら、倫也のライバルとして全力で先へ進んで倫也を待っていようと励ましていました。				トシマク	サ	13	18	2	
1302	0021	完了	東京都	豊島区	都民住宅高田壱番館前の三叉路	171-0033	東京都豊島区高田1-24		35.715543	139.716927	"https://www.google.co.jp/maps/@35.715563,139.7169553,3a,65y,223.07h,92.79t/data=!3m6!1e1!3m4!1saomiOqwpXFgKl87B54fgtQ!2e0!7i16384!8i8192"						冴えない彼女の育てかた Fine	サエナイヒロインノソダテカタフィーネ	本作品のクライマックスである安芸倫也が加藤恵に告白するシーンが描かれていた交差点。				トシマク	サ	13	18	2	
1302	0022	完了	東京都	豊島区	のぞき坂	171-0033	東京都豊島区高田2-17		35.718052	139.714097	"https://www.google.co.jp/maps/@35.7171914,139.7136623,3a,23y,19.75h,94.21t/data=!3m6!1e1!3m4!1sF9EY36n5r9CzXkj8x55olQ!2e0!7i16384!8i8192"				4.5		冴えない彼女の育てかた Fine	サエナイヒロインノソダテカタフィーネ	テレビアニメ第1期で安芸倫也が加藤恵を見てゲーム制作を始めるきっかけとなった坂道で、作品のキーとなっている舞台。<br />本作品では、恵が「あなただけのメインヒロインになれたかな？」と語りかける本編ラストシーンで、出会いのシーンを再現するかのように、恵が坂の上から倫也を見下ろす姿が描かれていました。				トシマク	サ	13	18	2	
1302	0023	完了	東京都	練馬区	関グリーンンハイツ	177-0051	東京都練馬区関町北4-26		35.728612	139.566995	"https://www.google.co.jp/maps/@35.7287402,139.5669446,3a,47y,170.64h,96.97t/data=!3m6!1e1!3m4!1sE8AGYg5uOqTQFvDw8wz7QQ!2e0!7i16384!8i8192"						冴えない彼女の育てかた Fine	サエナイヒロインノソダテカタフィーネ	エンディング後の霞ヶ丘詩羽によるプロットシーンで、夢を諦めサラリーマンになった安芸倫也が帰ってきたアパート。				ネリマク	サ	13	20	2	
1302	0024	完了	東京都	西東京市	コメダ珈琲店 保谷店	202-0014	東京都西東京市富士町3-1-19		35.732163	139.563328	"https://www.google.co.jp/maps/@35.7319641,139.5635107,3a,46y,315.35h,100.59t/data=!3m6!1e1!3m4!1sXLIkzbRHgA-qlHJqHAm-mg!2e0!7i16384!8i8192"						冴えない彼女の育てかた Fine	サエナイヒロインノソダテカタフィーネ	安芸倫也が加藤恵に、ようやく書き上げた叶巡璃15（巡璃個別ルート開始）のシナリオを見せていた喫茶店。<br />テレビシリーズ第1期、第2期にも登場したシリーズではお馴染みの店です。				ニシトウキョウシ	サ	13	37	2	
