作品No.	聖地No.	確定	都道府県	市区郡	聖地名	郵便番号	住所	住所２	座標：緯度	座標：経度	SV	倍率	SV過去	Fov	Zoom	電話番号	作品	作品名フリガナ	備考	公式サイトURL	情報参照元URL	備考2	市区町村読み仮名	作品名50音	県順	市順	域順	実在
0618	0007	完了	三重県	北牟婁郡	長島造船所	519-3205	三重県北牟婁郡紀北町長島		34.195949	136.322820	"https://www.google.co.jp/maps/@34.1965874,136.3233627,3a,32y,216.99h,92.19t/data=!3m6!1e1!3m4!1sln1b5RKZKcPhbO3a40eDFQ!2e0!7i16384!8i8192"						凪のあすから	ナギノアスカラ	第5話で、夜中にいなくなった潮留美海を探していた先島光たちが、自分から光たちの前に姿を現した美海から事情を聞いていた場所で、絶対に帰らないと言う美海につき合って、光たちが野宿をしていました。<br />第16話で、光の制服を仕立てるために行った街で、久沼さゆとケンカして先に帰って来た美海が逃げ込んでいたのもこの場所でした。<br />第11～12話、第24～25話で「おふねひき」の準備シーンの舞台となっていたのも、この造船所でした。<br />※廃業済。				キタムログン	ナ	24	20	3	
0618	0012	完了	三重県	北牟婁郡	赤羽踏切	519-3205	三重県北牟婁郡紀北町長島		34.196535	136.321398	"https://www.google.co.jp/maps/@34.1966168,136.3213353,3a,44.9y,155.5h,86.55t/data=!3m6!1e1!3m4!1sM3B6v9IueSsF-6o0wnjcmA!2e0!7i16384!8i8192"						凪のあすから	ナギノアスカラ	第5話で、比良平ちさきが木原紡に先島光のことが好きだと話しているのを聞いてしまい、慌てて逃げ出した向井戸まなかを、追いかけて来たちさきが踏切前で引き止め、忘れてくれるよう頼んでいました。<br />同話で、夜中にいなくなった潮留美海を探していた光たちが、美海と遭遇していたのもこの踏切前でした。<br />第17話で、5年ぶりに再会した光がまなかへの想いを語るのを聞いてしまった美海が、学校帰りに物憂げな表情で渡っていたのもこの踏切でした。<br />第24話では、この踏切を挟んで久沼さゆが5年の間懐き続けていた想いを伊佐木要にぶつけ、そんなさゆに応えて要も本音を吐露していました。<br />第25話冒頭では、造船所で「おふねひき」の準備をする光たちに差し入れを持ってきた潮留みをりが、潮留晃を連れて踏切を渡っていました。<br />後期オープニングでも、美海、さゆ、比良平ちさきの3人が踏切前に立つカットが描かれていました。<br />造船所の前という立地や、倉庫の位置などの他は、大きく改変されており、一致度はかなり低めです。				キタムログン	ナ	24	20	3	
0618	0006	完了	三重県	熊野市	熊野漁業協同組合 二木島支所	519-4204	三重県熊野市二木島町		33.939092	136.181035	"https://www.google.co.jp/maps/@33.9390442,136.1811902,3a,86.2y,278.11h,88.78t/data=!3m6!1e1!3m4!1sdg69wjeHpxyQ3CrpYrCalg!2e0!7i13312!8i6656"						凪のあすから	ナギノアスカラ	第3話で、先島光たちが、先島あかりが村を追放になｒそうになっている原因となった地上の男（潮留至）を調べに訪れた「鴛大師漁協」の建物モデル。<br />第7話では、光の父親（先島灯）たち「汐鹿生」の代表者たちと、漁協の組合員たちとによる「おふねひき」についての話し合いが行われていました。<br />第11話では、「ぬくみ雪」による寒冷に怖気づいた漁協の組合員たちや青年部の人たちが、光を呼んで「おふねひき」をやって欲しいと頼み込んでいました。<br />第14話では、「おふねひき」での事故後のシーンで、避難してきた人々が心配そうに海を眺める姿が描かれていました。<br />第15話では、5年ぶりに目覚めた光が漁協の人たちと再会していました。<br />第17話では、光に続いて目覚めた伊佐木要が保護され、光たちが会いに訪れていました。<br />全体感は大分異なりますが、入口の波型の庇や屋根の上に突き出した柱、隣接する倉庫など部分的な要素は残されています。				クマノシ	ナ	24	19	3	
0618	0003	完了	三重県	熊野市	国道311号（魚作商店前）	519-4206	三重県熊野市新鹿町		33.930160	136.146172	"https://www.google.co.jp/maps/@33.9300756,136.1460696,3a,50y,53.16h,95.07t/data=!3m6!1e1!3m4!1s8CkyRtJhFzt-LW037S7F6A!2e0!7i13312!8i6656"						凪のあすから	ナギノアスカラ	第14話で、木原紡の祖父（木原勇）の入院している病院帰りの比良平ちさきが、駅前で遭遇した狭山旬の車に乗せてもらい、一緒に「サヤマート」へ向かうシーンで描かれていた場所のモデル。				クマノシ	ナ	24	19	3	
0618	0004	完了	三重県	熊野市	里川橋	519-4206	三重県熊野市新鹿町		33.930325	136.146385	"https://www.google.co.jp/maps/@33.9305582,136.1465544,3a,15y,215.52h,90.14t/data=!3m6!1e1!3m4!1swxmTnYqPuzBj8iPQI-A_1Q!2e0!7i13312!8i6656"				5		凪のあすから	ナギノアスカラ	第17話で、学校帰りの久沼さゆが、先島光、潮留美海と別れていた場所。				クマノシ	ナ	24	19	3	
0618	0008	完了	三重県	熊野市	商店	519-4206	三重県熊野市新鹿町		33.930166	136.145585	"https://www.google.co.jp/maps/@33.9302166,136.1455497,3a,36y,104.31h,80.24t/data=!3m6!1e1!3m4!1sntQ_8UTjUdmnsnO2tgXtWw!2e0!7i13312!8i6656"						凪のあすから	ナギノアスカラ	第5話の先島光たちが夜中にいなくなった潮留美海を手分けして探していたシーンで、向井戸まなかと比良平ちさきが、暖簾をしまおうとしていた店のおばさんに聞き込みをしていた「福澤食堂」のモデル。				クマノシ	ナ	24	19	3	
0618	0009	完了	三重県	熊野市	住宅地	519-4206	三重県熊野市新鹿町		33.931230	136.146887	"https://www.google.co.jp/maps/@33.9310618,136.1471061,3a,15y,318.99h,89.22t/data=!3m6!1e1!3m4!1sTJ7z-4AinIoIJFG7R_XnAQ!2e0!7i13312!8i6656"				5		凪のあすから	ナギノアスカラ	第10話で、地上が滅びるという話を聞いた久沼さゆが、いつ死んじゃうかわからないからと形見分けリストを作っていた場所のモデル。<br />呑気に「美海のいちご鉛筆わたしにちょうだい」と聞くさゆに、とてもそんな気になれない潮留美海が「怖くないの？」と聞き返していました。				クマノシ	ナ	24	19	3	
0618	0010	完了	三重県	熊野市	里川沿いの堤防	519-4206	三重県熊野市新鹿町		33.929668	136.146442	"https://www.google.co.jp/maps/@33.9298547,136.1459142,3a,15y,108.12h,92.99t/data=!3m6!1e1!3m4!1s0Htt6pU8gabWsYzbrS8_og!2e0!7i13312!8i6656"				5		凪のあすから	ナギノアスカラ	第14話で、木原紡の祖父（木原勇）の入院している病院帰りの比良平ちさきが、駅前で遭遇した狭山旬の車に乗せてもらい、一緒に「サヤマート」へ向かうシーンで描かれていた場所のモデル。<br />車が通っていた場所は、実際には堤防脇の小道で車が通れるような場所ではありません。作中では大きな柱が描き足されていました。				クマノシ	ナ	24	19	3	
0618	0002	完了	三重県	熊野市	国道311号線（CAFE天女座の案内板）	519-4207	三重県熊野市波田須町		33.913315	136.137341	"https://www.google.co.jp/maps/@33.9134161,136.1372756,3a,32y,146.23h,87.53t/data=!3m6!1e1!3m4!1s7JJ4GfIPNzGOMFX_lJGYjA!2e0!7i13312!8i6656"						凪のあすから	ナギノアスカラ	後期オープニングの冒頭カットで描かれていた場所。<br />作中ではCAFE天女座の看板の文字が「人魚座」になっていました。				クマノシ	ナ	24	19	3	
0618	0005	完了	三重県	熊野市	旧波田須小学校	519-4207	三重県熊野市波田須町602		33.913607	136.136731	-						凪のあすから	ナギノアスカラ	「汐鹿生村立波路中学校」のモデル。第18話では、潮留美海が訪れたシーンで音楽室などが描かれていました。<br />本編では使われなかった先行PVのみに登場するカットでは、向井戸まなかが講堂のステージから先島光ひとりを前に何かを演じようとする姿が描かれていました。				クマノシ	ナ	24	19	3	
0618	0001	完了	三重県	熊野市	JR 波田須駅	519-4207	三重県熊野市波田須町713		33.910264	136.138361	-						凪のあすから	ナギノアスカラ	第5話の先島光たちが夜中にいなくなった潮留美海を手分けして探していたシーンで、先島光と伊佐木要がホームの周囲を探す姿が描かれていました。<br />本編では使われなかった先行PVのみに登場するカットでは、水に浸かったホーム前の線路のレールの上を歩く光と向井戸まなかの姿が描かれています。				クマノシ	ナ	24	19	3	
0618	0011	完了	三重県	熊野市	鬼ヶ城	519-4323	三重県熊野市木本町		33.889957	136.115312	"https://www.google.co.jp/maps/@33.8903538,136.1162219,2a,44.6y,53.63h,89.23t/data=!3m6!1e1!3m4!1suYiVeTSUdMpjfs3wDGoAwg!2e0!7i13312!8i6656"						凪のあすから	ナギノアスカラ	後期オープニングで、伊佐木要が一人で石段を下りる姿が描かれていた場所。				クマノシ	ナ	24	19	3	
