作品No.	聖地No.	確定	都道府県	市区郡	聖地名	郵便番号	住所	住所２	座標：緯度	座標：経度	SV	倍率	SV過去	Fov	Zoom	電話番号	作品	作品名フリガナ	備考	公式サイトURL	情報参照元URL	備考2	市区町村読み仮名	作品名50音	県順	市順	域順	実在
1293	0001	完了	滋賀県	大津市	京阪電鉄 穴太駅	520-0114	滋賀県大津市穴太2-8-1		35.055603	135.864810	"https://www.google.co.jp/maps/@35.0560666,135.8650376,3a,15y,201.21h,89.02t/data=!3m6!1e1!3m4!1svMFTYfhgnsWgODMGNtingQ!2e0!7i16384!8i8192"				5		小鳥遊六花・改 ～劇場版 中二病でも恋がしたい！～	タカナシリッカカイゲキジョウバンチュウニビョウデモコイガシタイ	学校に向かう富樫勇太が小鳥遊六花に遭遇していた駅。学校帰りには、勇太が六花にホームの自動販売機でジュースを奢っていました。<br />総集編シーンです。				オオツシ	タ	25	1	5	
1293	0002	完了	滋賀県	大津市	日本基督教団堅田教会	520-0242	滋賀県大津市本堅田3-18-6		35.114090	135.916194	"https://www.google.co.jp/maps/@35.1138783,135.91623,3a,40y,346.57h,102.15t/data=!3m6!1e1!3m4!1scy5jPWrjIto0y1OTYvbLgg!2e0!7i13312!8i6656"						小鳥遊六花・改 ～劇場版 中二病でも恋がしたい！～	タカナシリッカカイゲキジョウバンチュウニビョウデモコイガシタイ	冒頭で小鳥遊六花と富樫勇太の結婚式の会場となっていた教会。<br />劇場版新作映像シーンです。				オオツシ	タ	25	1	5	
1293	0003	完了	滋賀県	大津市	瀬田川大橋	520-0831	滋賀県大津市松原町10		34.978067	135.906962	"https://www.google.co.jp/maps/@34.9780278,135.9058359,3a,43.1y,359.3h,84.13t/data=!3m6!1e1!3m4!1sbAcJTKtvMeaL8YihwuaxYQ!2e0!7i13312!8i6656"						小鳥遊六花・改 ～劇場版 中二病でも恋がしたい！～	タカナシリッカカイゲキジョウバンチュウニビョウデモコイガシタイ	富樫勇太と小鳥遊六花が学校の通学の際に渡っていた橋。<br />勇太と恋人同士になって中二病を卒業した六花を元に戻そうと、橋の上で待ち構えていた凸守早苗が、学校に向かう途中の六花を襲撃していました。<br />総集編シーンです。				オオツシ	タ	25	1	5	
1293	0004	完了	滋賀県	大津市	瀬田川大橋の下	520-0831	滋賀県大津市松原町10		34.978131	135.907974	-						小鳥遊六花・改 ～劇場版 中二病でも恋がしたい！～	タカナシリッカカイゲキジョウバンチュウニビョウデモコイガシタイ	富樫勇太と小鳥遊六花が、お互いに想いを告白し恋人の契約を結んでいた場所。<br />総集編シーンです。				オオツシ	タ	25	1	5	
1293	0005	完了	滋賀県	大津市	京阪電鉄 石山駅	520-0832	滋賀県大津市粟津町2		34.979453	135.899966	"https://www.google.co.jp/maps/@34.9795548,135.899996,3a,24.8y,187.08h,86.21t/data=!3m6!1e1!3m4!1skzGOWEG1vXGBjrllTHmRYw!2e0!7i13312!8i6656"				4.5		小鳥遊六花・改 ～劇場版 中二病でも恋がしたい！～	タカナシリッカカイゲキジョウバンチュウニビョウデモコイガシタイ	夏休みに富樫勇太たち一行が小鳥遊六花の祖父母の家に向かうシーンや、互いに相手のことが好きだということに気づいた勇太と六花が、互いに切り出せずにいる様子が描かれていたシーンで、駅前のパーゴラの下のベンチが描かれていました。<br />総集編シーンです。				オオツシ	タ	25	1	5	
1293	0006	完了	滋賀県	大津市	京阪電鉄石山坂本線（トンネル道前）	520-0833	滋賀県大津市晴嵐2-2		34.981673	135.896068	"https://www.google.co.jp/maps/@34.981544,135.8962862,3a,36y,311.65h,94.73t/data=!3m6!1e1!3m4!1swsitqec6ayxoY-gZCX3gqA!2e0!7i13312!8i6656"						小鳥遊六花・改 ～劇場版 中二病でも恋がしたい！～	タカナシリッカカイゲキジョウバンチュウニビョウデモコイガシタイ	エンディング後の七宮智音の登場シーンで、七宮が乗る電車が富樫勇太たちの暮らす街に向かう様子が描かれていました。<br />劇場版新作映像シーンです。				オオツシ	タ	25	1	5	
1293	0007	完了	滋賀県	大津市	檜山神社	520-2132	滋賀県大津市神領1-1		34.974990	135.913451	-						小鳥遊六花・改 ～劇場版 中二病でも恋がしたい！～	タカナシリッカカイゲキジョウバンチュウニビョウデモコイガシタイ	小鳥遊六花たちが、六花の数学の試験での赤点回避を祈願しに訪れていた神社。<br />別シーンでは、富樫勇太に恋をした六花が、勇太に対するドキドキを取り除くために満月の夜に勇太を呼び出し、凸守早苗と共に襲っていました。<br />総集編シーンです。				オオツシ	タ	25	1	5	
1293	0008	完了	滋賀県	大津市	唐橋公園　ステージ	520-2134	滋賀県大津市瀬田1-27		34.9767	135.908199	-						小鳥遊六花・改 ～劇場版 中二病でも恋がしたい！～	タカナシリッカカイゲキジョウバンチュウニビョウデモコイガシタイ	第4話で、丹生谷森夏が富樫勇太から回収した「Mabinogion」を七輪で燃やしていた場所。<br />総集編シーンです。				オオツシ	タ	25	1	5	
1293	0009	完了	滋賀県	大津市	唐橋公園　ベンチ	520-2134	滋賀県大津市瀬田1-27		34.977136	135.908304	-						小鳥遊六花・改 ～劇場版 中二病でも恋がしたい！～	タカナシリッカカイゲキジョウバンチュウニビョウデモコイガシタイ	富樫勇太と小鳥遊六花が、夜の公園でコンビニで買ったおにぎりや唐揚げを食べていたベンチ。<br />総集編シーンです。				オオツシ	タ	25	1	5	
1293	0010	完了	滋賀県	近江八幡市	旧伊庭家住宅	521-1343	滋賀県近江八幡市安土町小中193		35.138526	136.136259	"https://www.google.co.jp/maps/@35.1387422,136.1358588,3a,21y,117.4h,95.04t/data=!3m6!1e1!3m4!1sryak3yVyMzvMhhnwZpQbSQ!2e0!7i13312!8i6656"				4.5		小鳥遊六花・改 ～劇場版 中二病でも恋がしたい！～	タカナシリッカカイゲキジョウバンチュウニビョウデモコイガシタイ	富樫勇太が、小鳥遊六花の一人暮らしを認めてもらおうと説得に訪れていた六花の祖父母の家のモデル。				オウミハチマンシ	タ	25	8	5	
1293	0011	完了	滋賀県	蒲生郡	旧鎌掛小学校	529-1631	滋賀県蒲生郡日野町鎌掛2362		34.98864	136.260126	"https://www.google.co.jp/maps/@34.9882681,136.2602279,3a,30y,343.28h,94.06t/data=!3m6!1e1!3m4!1sBNyoHhrxbs5Z9FGUZM4jtQ!2e0!7i13312!8i6656"						小鳥遊六花・改 ～劇場版 中二病でも恋がしたい！～	タカナシリッカカイゲキジョウバンチュウニビョウデモコイガシタイ	富樫勇太たちの通う「私立銀杏学園」のモデル。				ガモウグン	タ	25	10	5	
1293	0012	完了	京都府	京都市	桃山南団地	612-8017	京都府京都市伏見区桃山南大島町		34.923736	135.789404	"https://www.google.co.jp/maps/@34.9236934,135.7896002,3a,82.8y,160.43h,108.11t/data=!3m6!1e1!3m4!1siAvT75MRglWwF2bxO-Fieg!2e0!7i13312!8i6656"				1		小鳥遊六花・改 ～劇場版 中二病でも恋がしたい！～	タカナシリッカカイゲキジョウバンチュウニビョウデモコイガシタイ	富樫家や小鳥遊家が暮らす団地のモデル。富樫家は204号室、小鳥遊家は304号室ですが、棟を特定できる情報は作中には見られませんでした。<br />総集編シーンです。				キョウトシ	タ	26	10	5	
