作品No.	聖地No.	確定	都道府県	市区郡	聖地名	郵便番号	住所	住所２	座標：緯度	座標：経度	SV	倍率	SV過去	Fov	Zoom	電話番号	作品	作品名フリガナ	備考	公式サイトURL	情報参照元URL	備考2	市区町村読み仮名	作品名50音	県順	市順	域順	実在
1150	0014	完了	東京都	千代田区	警視庁本部庁舎	100-0013	東京都千代田区霞が関2-1-1		35.676998	139.752294	"https://www.google.co.jp/maps/@35.677779,139.7536711,3a,34y,236.02h,110.1t/data=!3m6!1e1!3m4!1sB0tKsJfBi787ihAdrk6S7w!2e0!7i13312!8i6656"						劇場版 シティーハンター 新宿PRIVATE EYES	ゲキジョウバンシティーハンターシンジュクプライベートアイズ	誰かに狙われていると相談に訪れるも対応してくれない警察に呆れて出ていく進藤亜衣が、野上冴子とすれ違っていた庁舎。				チヨダク	ケ	13	17	2	
1150	0001	完了	東京都	渋谷区	Suicaのペンギン広場	151-0051	東京都渋谷区千駄ケ谷5-24		35.687925	139.701213	"https://www.google.com/maps/@35.6880674,139.7013514,2a,24.1y,206.69h,92.8t/data=!3m6!1e1!3m4!1s3wXj84K-MFTonW8K8RXtVg!2e0!7i13312!8i6656"						劇場版 シティーハンター 新宿PRIVATE EYES	ゲキジョウバンシティーハンターシンジュクプライベートアイズ	事件が解決した後のラストシーンで、進藤亜衣が冴羽獠と槇村香に香のウエディングドレス姿の写真を渡して別れていた広場。				シブヤク	ケ	13	10	2	
1150	0029	完了	東京都	渋谷区	甲州街道（バスタ新宿前）	151-0051	東京都渋谷区千駄ヶ谷5-24		35.688948	139.700410	"https://www.google.com/maps/@35.6889752,139.700225,3a,28.9y,83.28h,92t/data=!3m6!1e1!3m4!1szV-KsK9OiHGRzHASiJNTow!2e0!7i16384!8i8192"						劇場版 シティーハンター 新宿PRIVATE EYES	ゲキジョウバンシティーハンターシンジュクプライベートアイズ	冴羽遼をおびき出す餌にするため、進藤亜衣がドミナテックの車両から放り出されていた場所。直後にドローンからの銃撃を受けていました。				シブヤク	ケ	13	10	2	
1150	0002	完了	東京都	渋谷区	バスタ新宿	151-0051	東京都渋谷区千駄ヶ谷5-24-55		35.688448	139.700952	"https://www.google.co.jp/maps/@35.6888132,139.7003889,2a,53y,109.15h,87.13t/data=!3m6!1e1!3m4!1st6AGBbozX4eFYvniT65NNA!2e0!7i13312!8i6656"						劇場版 シティーハンター 新宿PRIVATE EYES	ゲキジョウバンシティーハンターシンジュクプライベートアイズ	ドローンの襲撃を受けた冴羽獠と進藤亜衣が逃げ込んだ施設。<br />甲州街道沿いの西側エスカレーターを上り、3階通路を東側へ駆け抜け、さらにエスカレーターを上って4階の高速バスのりばへ向かっていました。<br />作中では名前が「バステ新宿」になっていました。				シブヤク	ケ	13	10	2	
1150	0026	完了	東京都	渋谷区	バスタ新宿　A3高速バスのりば	151-0051	東京都渋谷区千駄ヶ谷5-24-55	バスタ新宿 4F	35.688365	139.701019	-						劇場版 シティーハンター 新宿PRIVATE EYES	ゲキジョウバンシティーハンターシンジュクプライベートアイズ	ドローンの襲撃から逃げる冴羽獠と進藤亜衣が、高速バスに乗り込んでいた場所。ここから施設内の通路を下って甲州街道に出ていました。				シブヤク	ケ	13	10	2	
1150	0003	完了	東京都	新宿区	新宿御苑	160-0014	東京都新宿区内藤町11		35.685266	139.710044	"https://www.google.co.jp/maps/@35.6874122,139.7138548,3a,39.3y,196.02h,93.62t/data=!3m6!1e1!3m4!1sP_aLH7EpJmvyfgZzoaTAGA!2e0!7i16384!8i8192"						劇場版 シティーハンター 新宿PRIVATE EYES	ゲキジョウバンシティーハンターシンジュクプライベートアイズ	バスに乗ってドローンから逃走する冴羽獠が門を突き破って逃げ込み、後半の戦闘シーンの舞台となっていた公園のモデル。<br />作中では園名が「新宿遊園」になっており、立地及び旧大木戸門、大木戸門ゲート以外はほぼ創作で、敷地内にはドミナテックの高層ビルが建っている設定になっていました。				シンジュクク	ケ	13	11	2	
1150	0024	完了	東京都	新宿区	新宿ゴールデン街	160-0021	東京都新宿区歌舞伎町1-2		35.693813	139.704181	"https://www.google.com/maps/@35.6938217,139.7041274,3a,49.1y,103.48h,110.68t/data=!3m6!1e1!3m4!1skksrW8mO0IDLhNzVOibcsQ!2e0!7i16384!8i8192"						劇場版 シティーハンター 新宿PRIVATE EYES	ゲキジョウバンシティーハンターシンジュクプライベートアイズ	モデルの仕事帰りの進藤亜衣と冴羽獠が、迫りくる男たちを避けて逃げ込んだ飲み屋街。<br />各店舗の看板や路地など一致する店が各所に確認できます。				シンジュクク	ケ	13	11	2	
1150	0025	完了	東京都	新宿区	新宿サブナード 13番出入口	160-0021	東京都新宿区歌舞伎町1-5		35.693354	139.703028	-						劇場版 シティーハンター 新宿PRIVATE EYES	ゲキジョウバンシティーハンターシンジュクプライベートアイズ	モデルの仕事帰りの進藤亜衣と冴羽獠が、迫りくる男たちから逃げ出し、地下道から地上に駆け出ていた場所。				シンジュクク	ケ	13	11	2	
1150	0012	完了	東京都	新宿区	ゴジラヘッド	160-0021	東京都新宿区歌舞伎町1-18-8	新宿東宝ビル	35.695091	139.701878	"https://www.google.co.jp/maps/@35.694414,139.7017741,3a,16y,15.87h,118.94t/data=!3m6!1e1!3m4!1sM_Ki6DkU033yNgAZdiUhnA!2e0!7i16384!8i8192"						劇場版 シティーハンター 新宿PRIVATE EYES	ゲキジョウバンシティーハンターシンジュクプライベートアイズ	冒頭のカーチェイスシーンで、体制を崩し誤って発射したロケット弾が破壊しそうになっていたオブジェ。<br />冴羽獠が着弾寸前のロケット団を狙撃して破壊を免れ、爆炎がゴジラが吐いた炎のように見える演出になっていました。				シンジュクク	ケ	13	11	2	
1150	0013	完了	東京都	新宿区	セントラルロード	160-0021	東京都新宿区歌舞伎町1-17		35.693977	139.701618	"https://www.google.co.jp/maps/@35.6941304,139.7016538,3a,43y,193.61h,87.84t/data=!3m6!1e1!3m4!1s14vpBOjPayktIJuO5Lk_Qg!2e0!7i13312!8i6656"						劇場版 シティーハンター 新宿PRIVATE EYES	ゲキジョウバンシティーハンターシンジュクプライベートアイズ	冒頭のカーチェイスシーンで、槇村香が乗る車（ミニクーパー）が逃げ込んだ通り。<br />通りに進入したドン・キホーテ 新宿歌舞伎町店横から、突き当りの新宿東宝ビル前までの通りの様子が忠実に描かれていました。<br />後半のドミナテックによる電波妨害で携帯電話が圏外になって不振がる人々のカットの一つでも、この通りが描かれていました。				シンジュクク	ケ	13	11	2	
