作品No.	聖地No.	確定	都道府県	市区郡	聖地名	郵便番号	住所	住所２	座標：緯度	座標：経度	SV	倍率	SV過去	Fov	Zoom	電話番号	作品	作品名フリガナ		公式サイトURL	情報参照元URL	備考2	市区町村読み仮名	作品名50音	県順	市順	域順	実在
1230	0001	完了	東京都	世田谷区	邪宗門 世田谷店 	155-0033	東京都世田谷区代田1-31-1		35.653114	139.66515	"https://www.google.co.jp/maps/@35.6530778,139.6651604,3a,75y,0.73h,88.88t/data=!3m6!1e1!3m4!1sVz7D7FNsPPXbF6YjzNVt-g!2e0!7i13312!8i6656?hl=ja"				2		劇場版 境界の彼方 -I’LL BE HERE- 未来篇	ゲキジョウバンキョウカイノカナタアイルビーヒアミライヘン	新堂彩華が経営する「新堂写真館」の建物モデルで、テレビ版では作品のメイン舞台の一つでしたが、本作品では、冒頭で彩華が水撒きをするカットや、名瀬博臣が彩華と異界士を襲っている謎の黒い影について話していたシーンで登場。外観から内装までかなり忠実に描かれています。<br />作中では近鉄南大阪線 線路脇が立地となっており、この建物に描き変えられています。				セタガヤク	ケ	13	14	2	
1230	0002	完了	京都府	京都市	宇治川大橋	612-8157	京都府京都市伏見区向島大黒		34.916864	135.744519	"https://www.google.co.jp/maps/@34.9154771,135.7444591,3a,75y,3.6h,84.98t/data=!3m6!1e1!3m4!1s_dJIX-w1bkTcurMLYEibEw!2e0!7i16384!8i8192"				2		劇場版 境界の彼方 -I’LL BE HERE- 未来篇	ゲキジョウバンキョウカイノカナタアイルビーヒアミライヘン	呪印の反応を頼りに名瀬泉を車で追跡していた名瀬博臣が、橋の上で待ち構えていた新堂彩華に遭遇していた橋。<br />名瀬泉が居たのが、羽束師橋であることから、北方向へ向けて走っていたものと思われます。				キョウトシ	ケ	26	10	5	
1230	0003	完了	京都府	京都市	羽束師橋（歩道橋）	612-8484	京都府京都市伏見区羽束師鴨川町		34.930656	135.733079	"https://www.google.co.jp/maps/@34.9307187,135.7329455,3a,25y,119.74h,92.45t/data=!3m6!1e1!3m4!1sfWhKfGO3GZrD625miz1-fw!2e0!7i13312!8i6656"				4		劇場版 境界の彼方 -I’LL BE HERE- 未来篇	ゲキジョウバンキョウカイノカナタアイルビーヒアミライヘン	名瀬博臣が呪印の反応を頼りに追跡していた名瀬泉がうずくまっていた橋。				キョウトシ	ケ	26	10	5	
1230	0004	完了	奈良県	奈良市	二条町交差点	630-8002	奈良県奈良市二条町1-2		34.693955	135.788641	"https://www.google.co.jp/maps/@34.6939809,135.788459,3a,26.5y,86.2h,94.97t/data=!3m6!1e1!3m4!1spRxj4Fj9F-gfYBrbqLimTw!2e0!7i16384!8i8192"				4		劇場版 境界の彼方 -I’LL BE HERE- 未来篇	ゲキジョウバンキョウカイノカナタアイルビーヒアミライヘン	名瀬博臣が呪印を施し追い詰めた名瀬泉が姿を消した後の夜の街のカットの一つで描かれていた交差点。<br />夜の街カット②				ナラシ	ケ	29	1	5	
1230	0005	完了	奈良県	奈良市	西大寺1号踏切	630-8003	奈良県奈良市佐紀町		34.690720	135.788689	"https://www.google.co.jp/maps/@34.6907345,135.7886791,3a,70y,123.08h,96.01t/data=!3m6!1e1!3m4!1s-8w0-S_LzquWk4owZi2COg!2e0!7i13312!8i6656"				2.5		劇場版 境界の彼方 -I’LL BE HERE- 未来篇	ゲキジョウバンキョウカイノカナタアイルビーヒアミライヘン	エンディングカットの一つで、文芸部一行に伊波桜、新堂愛、卒業した名瀬博臣を含めた6人が楽しそうに渡る姿が描かれていた踏切。				ナラシ	ケ	29	1	5	
1230	0006	完了	奈良県	奈良市	サイゼリヤ JR奈良三条通り店	630-8244	奈良県奈良市三条町491-1	浅川ハーベストビル1F	34.681835	135.821585	"https://www.google.co.jp/maps/@34.681972,135.821539,3a,48.9y,146.48h,97.38t/data=!3m4!1e1!3m2!1sziaslSuKS6PAWIfw_Zp0NA!2e0?hl=ja"						劇場版 境界の彼方 -I’LL BE HERE- 未来篇	ゲキジョウバンキョウカイノカナタアイルビーヒアミライヘン	神原秋人が栗山未来に食事を御馳走して話しをしていたファミリーレストラン。<br />作中では店名が「アイゼリヤ」になっていました。				ナラシ	ケ	29	1	5	
1230	0007	完了	奈良県	奈良市	奈良ホテル	630-8301	奈良県奈良市高畑町1096		34.67981	135.834033	"https://www.google.co.jp/maps/@34.6793428,135.8340758,3a,15y,330.89h,94.03t/data=!3m6!1e1!3m4!1sXy0M0zFJvrRpQmJdurix7g!2e0!7i13312!8i6656"				5		劇場版 境界の彼方 -I’LL BE HERE- 未来篇	ゲキジョウバンキョウカイノカナタアイルビーヒアミライヘン	名瀬家の屋敷のモデル。				ナラシ	ケ	29	1	5	
1230	0008	完了	奈良県	奈良市	サンタウンアカデミー高の原 裏	631-0805	奈良県奈良市右京1-2		34.720676	135.790116	"https://www.google.co.jp/maps/@34.7206447,135.7901251,3a,29y,358.06h,86.83t/data=!3m6!1e1!3m4!1sV-rDgR74swNsf7az6_fHIA!2e0!7i16384!8i8192"						劇場版 境界の彼方 -I’LL BE HERE- 未来篇	ゲキジョウバンキョウカイノカナタアイルビーヒアミライヘン	名瀬泉に襲われた神原秋人と栗山未来を助けに来た名瀬博臣が、泉と戦っていた場所。				ナラシ	ケ	29	1	5	
1230	0009	完了	奈良県	奈良市	サンタウンプラザ すずらん館横の道	631-0805	奈良県奈良市右京1-3		34.722988	135.788654	"https://www.google.co.jp/maps/@34.7232821,135.788669,3a,20y,176.68h,90.66t/data=!3m6!1e1!3m4!1sJSO4B1n_OKe8nXwICgp0WQ!2e0!7i13312!8i6656"				4.5		劇場版 境界の彼方 -I’LL BE HERE- 未来篇	ゲキジョウバンキョウカイノカナタアイルビーヒアミライヘン	神原秋人と栗山未来のファミレス帰りシーンの冒頭カットで描かれていた通り。2人が渡っていた平城２号歩行者専用道路の歩道橋から望む景色です。				ナラシ	ケ	29	1	5	
1230	0010	完了	奈良県	奈良市	公園（平城第2ショッピングセンター内）	631-0805	奈良県奈良市右京1-3-1		34.720826	135.789189	-						劇場版 境界の彼方 -I’LL BE HERE- 未来篇	ゲキジョウバンキョウカイノカナタアイルビーヒアミライヘン	ファミレス帰りの神原秋人と栗山未来が話をしていた夜桜に囲まれた、天女の壁画が印象的な公園。				ナラシ	ケ	29	1	5	
1230	0011	完了	奈良県	奈良市	魚貴	631-0805	奈良県奈良市右京1-3-1-3-113		34.72089	135.78906	-						劇場版 境界の彼方 -I’LL BE HERE- 未来篇	ゲキジョウバンキョウカイノカナタアイルビーヒアミライヘン	第1～2話で登場した栗山未来の住むアパートのモデル。<br />店の裏側の従業員用の出入口がアパートの玄関のように描かれていました。				ナラシ	ケ	29	1	5	
1230	0012	完了	奈良県	奈良市	ローソン 高の原中央病院 前	631-0805	奈良県奈良市右京1-3-2		34.721575	135.789758	-						劇場版 境界の彼方 -I’LL BE HERE- 未来篇	ゲキジョウバンキョウカイノカナタアイルビーヒアミライヘン	ファミレス帰りの神原秋人と栗山未来が歩いていた場所の一つ。<br />作中では店名が「LOMSAN」になっていました。				ナラシ	ケ	29	1	5	
1230	0013	完了	奈良県	奈良市	サンタウンプラザ すずらん館前広場	631-0805	奈良県奈良市右京1-3-4		34.723299	135.789280	"https://www.google.co.jp/maps/@34.723481,135.7893811,3a,35y,192.12h,85.8t/data=!3m6!1e1!3m4!1s50xGpsFYpQZ5NUVVNVEmIw!2e0!7i13312!8i6656?hl=ja"						劇場版 境界の彼方 -I’LL BE HERE- 未来篇	ゲキジョウバンキョウカイノカナタアイルビーヒアミライヘン	ファミレス帰りの神原秋人と栗山未来が歩いていた広場。広場越しの背景にサンタウンプラザ すずらん館の建物が描かれていました。<br />挿入カットで描かれていた新聞販売機のニュースくん（作中では「新聞くん」）も実在します。				ナラシ	ケ	29	1	5	
1230	0014	完了	奈良県	奈良市	平城２号歩行者専用道路　スロープ折返し	631-0805	奈良県奈良市右京1-4		34.723186	135.788749	"https://www.google.co.jp/maps/@34.7232822,135.7887627,3a,38.7y,175.74h,78.96t/data=!3m6!1e1!3m4!1smw3alWO2HS4CKI1mEUEZXw!2e0!7i13312!8i6656"						劇場版 境界の彼方 -I’LL BE HERE- 未来篇	ゲキジョウバンキョウカイノカナタアイルビーヒアミライヘン	ファミレス帰りの神原秋人と栗山未来が歩いていた歩道橋の先のスロープ。				ナラシ	ケ	29	1	5	
1230	0015	完了	奈良県	奈良市	平城２号歩行者専用道路　歩道橋	631-0805	奈良県奈良市右京1-4		34.723280	135.788650	"https://www.google.co.jp/maps/@34.7232831,135.7885409,3a,29.4y,265.92h,87.12t/data=!3m6!1e1!3m4!1s3JRDmeVqL_k4TSyZUsDMuQ!2e0!7i13312!8i6656"						劇場版 境界の彼方 -I’LL BE HERE- 未来篇	ゲキジョウバンキョウカイノカナタアイルビーヒアミライヘン	ファミレス帰りの神原秋人と栗山未来が歩いていた歩道橋の先の歩道橋。				ナラシ	ケ	29	1	5	
