作品No.	聖地No.	確定	都道府県	市区郡	聖地名	郵便番号	住所	住所２	座標：緯度	座標：経度	SV	倍率	SV過去	Fov	Zoom	電話番号	作品	作品名フリガナ	備考	公式サイトURL	情報参照元URL	備考2	市区町村読み仮名	作品名50音	県順	市順	域順	実在
0668	0001	完了	東京都	中央区	聖路加タワー	104-0044	東京都中央区明石町8-1		35.667033	139.778639	"https://www.google.co.jp/maps/@35.6613973,139.7758104,3a,21y,10.19h,93.2t/data=!3m6!1e1!3m4!1sSoTrie0ZR4teveOo0CkKJA!2e0!7i13312!8i6656"	17			4.5		化物語	バケモノガタリ	"ひたぎオープニング（第2,6,7,11,12話）で最後のタイトルが出ているカットに登場しています。タイトル左側のビルは興和住生築地ビルです。<br />勝鬨橋東詰付近から撮影された景色かと思われます。"	http://www.sltowers.co.jp/	http://www.sltowers.co.jp/		チュウオウク	ハ	13	16	2	
0668	0002	完了	東京都	中央区	興和住生築地ビル	104-0045	東京都中央区築地7-18-24		35.664342	139.775681	"https://www.google.co.jp/maps/@35.6613973,139.7758104,3a,21y,10.19h,93.2t/data=!3m6!1e1!3m4!1sSoTrie0ZR4teveOo0CkKJA!2e0!7i13312!8i6656"	17			4.5		化物語	バケモノガタリ	"ひたぎオープニング（第2,6,7,11,12話）で最後のタイトルが出ているカットに登場しています。タイトル右側のビルは聖路加タワーです。<br />勝鬨橋東詰付近から撮影された景色かと思われます。"				チュウオウク	ハ	13	16	2	
0668	0004	完了	東京都	港区	新橋駅・汐留駅間のペデストリアンデッキ	105-0021	東京都港区東新橋1-6		35.665086	139.760375	"https://www.google.com/maps/@35.6651784,139.7602078,2a,75y,127.54h,85.15t/data=!3m6!1e1!3m4!1seBIyewNp5yfxCEHRJ5GgFg!2e0!7i13312!8i6656"				2		化物語	バケモノガタリ	第14話で、阿良々木暦がブラック羽川と一緒に忍野忍を探すシーンの挿入カットで描かれていた高架通路。				ミナトク	ハ	13	22	2	
0668	0036	完了	東京都	港区	シオサイト地下通路	105-0021	東京都港区東新橋1-8		35.664507	139.761697	-						化物語	バケモノガタリ	第14話の阿良々木暦がブラック羽川と一緒に忍野忍を探すシーンで、ブラック羽川が阿良々木に吸血鬼が血を吸う意味を話していた場所のモデル。<br />無数の円柱と床の模様が赤い画面に描かれていました。				ミナトク	ハ	13	22	2	
0668	0037	完了	東京都	港区	東京汐留ビルディング	105-0021	東京都港区東新橋1-9-1		35.662866	139.760402	-						化物語	バケモノガタリ	第14話の阿良々木暦がブラック羽川と一緒に忍野忍を探すシーンの挿入カットで、吹き抜けエレベータースペースが描かれていました。				ミナトク	ハ	13	22	2	
0668	0038	完了	東京都	港区	グローバル・ビジネス・コンプレックス横の階段	105-0021	東京都港区東新橋1-9-1		35.662481	139.760928	-						化物語	バケモノガタリ	第14話の阿良々木暦がブラック羽川と一緒に忍野忍を探すシーンで、ブラック羽川が阿良々木に忍の気持ちに鈍感だと指摘していた階段。				ミナトク	ハ	13	22	2	
0668	0003	完了	東京都	港区	東京ツインパークス	105-0021	東京都港区東新橋1-10		35.66077	139.759869	"https://www.google.co.jp/maps/@35.6598019,139.7578831,3a,26.4y,68.66h,110.25t/data=!3m6!1e1!3m4!1sKIHk6W52d_j8ogzVh1KmIA!2e0!7i16384!8i8192"	17			4		化物語	バケモノガタリ	"ひたぎOP（第2,6,7,11話）で、巨大ひたぎがビルの後ろから姿を現すカットで実写写真が加工して使われていた2棟のビル。<br />パークコート浜離宮ザ・タワー前の交差点からビルを見上げる構図で、左右反転した写真が使われていました。"				ミナトク	ハ	13	22	2	
0668	0005	完了	東京都	港区	宇部三菱セメント 前	105-0022	東京都港区海岸3-21-23		35.638653	139.756930	"https://www.google.com/maps/@35.638998,139.7562733,3a,36y,127.77h,92.71t/data=!3m6!1e1!3m4!1sowe-UPrsg00-ktOWbZbGPg!2e0!7i16384!8i8192"	17					化物語	バケモノガタリ	第15話のエピローグで、阿良々木暦が、戦場ヶ原ひたぎ、羽川翼、神原駿河を連れて再び忍野メメが住処にしていた学習塾跡を訪ねるシーンの挿入カットで描かれていた場所。<br />作中では左右を反転して描かれていました。				ミナトク	ハ	13	22	2	
0668	0041	完了	東京都	台東区	東武伊勢崎線 隅田川橋梁	111-0033	東京都台東区花川戸1-1		35.712207	139.800815	"https://www.google.com/maps/@35.7119614,139.8005551,2a,53y,40.22h,98.66t/data=!3m6!1e1!3m4!1sRwh4__Vj4BTFFaixKuL5Bw!2e0!7i13312!8i6656"						化物語	バケモノガタリ	"つばさオープニング（第14,15話）の冒頭で、実写写真の橋が赤く塗られて使われてた橋梁。"				タイトウク	ハ	13	15	2	
0668	0029	完了	東京都	江東区	辰巳の森緑道公園　連絡橋	135-0053	東京都江東区辰巳2-9		35.644920	139.812732	"https://www.google.co.jp/maps/@35.6449647,139.8128161,2a,75y,188.77h,96.49t/data=!3m6!1e1!3m4!1sr2agQOfFsyDm_AjpBMBJgw!2e0!7i13312!8i6656"				2		化物語	バケモノガタリ	"実写版つばさオープニング（第11,13話）のビジュアルディレクターのテロップが出ていたカットで、公園の東西をつなぐ連絡橋越しに首都高の高架道路を望む実写写真が使われていました。"				コウトウク	ハ	13	8	2	
0668	0028	完了	東京都	江東区	春海橋公園　階段	135-0061	東京都江東区豊洲2-3		35.652951	139.792631	"https://www.google.co.jp/maps/@35.652939,139.7927097,2a,33y,275.6h,62.46t/data=!3m6!1e1!3m4!1s3mfJLn38fy9DbcwnrbNWpQ!2e0!7i13312!8i6656"						化物語	バケモノガタリ	"実写版つばさオープニング（第11,13話）冒頭の「實寫版OPENING」のテロップが出ていたカットで、階段の実写写真が使われていました。"				コウトウク	ハ	13	8	2	
0668	0030	完了	東京都	江東区	春海橋公園　遊歩道	135-0061	東京都江東区豊洲2-3		35.654259	139.791148	"https://www.google.co.jp/maps/@35.6542537,139.7911399,2a,80y,229.04h,55.13t/data=!3m6!1e1!3m4!1s4jcqja2RBltnf9mO6EfFhg!2e0!7i13312!8i6656"				1		化物語	バケモノガタリ	"実写版つばさオープニング（第11,13話）の音響監督、音楽、音楽制作のテロップが出ていたカットで、海沿いの遊歩道から柵越しに晴海大橋を正面に望む実写写真が使われていました。"				コウトウク	ハ	13	8	2	
0668	0027	完了	東京都	江東区	豊洲公園　花木とモニュメント広場	135-0061	東京都江東区豊洲2-3		35.654023	139.792253	"https://www.google.co.jp/maps/@35.6540475,139.7923619,3a,18y,245.53h,79.52t/data=!3m6!1e1!3m4!1s2397mip2pQ62IRO0PEX5cg!2e0!7i13312!8i6656"				5		化物語	バケモノガタリ	"実写版つばさオープニング（第11,13話）の「化物語實寫版OP」のテロップが出ていたカットで、広場の木製サークルテーブル・ベンチの実写写真が使われていました。"				コウトウク	ハ	13	8	2	
0668	0032	完了	東京都	江東区	東雲キャナルコートCODAN　1街区（螺旋階段）	135-0062	東京都江東区東雲1-9		35.646339	139.803562	-						化物語	バケモノガタリ	"実写版つばさオープニング（第11,13話）のビジュアルエフェクト、撮影監督、編集のテロップが出ていたカットでマンション敷地内の螺旋階段の実写写真が使われていました。"				コウトウク	ハ	13	8	2	
0668	0031	完了	東京都	江東区	東雲キャナルコートCODAN　2街区	135-0062	東京都江東区東雲1-9		35.646488	139.804332	-						化物語	バケモノガタリ	"実写版つばさオープニング（第11,13話）のキャラクター原案、キャラクターデザイン・総作画監督のテロップが出ていたカットでマンションの実写写真が使われていました。"				コウトウク	ハ	13	8	2	
0668	0006	完了	東京都	江東区	ホテルトラスティ東京ベイサイド	135-0063	東京都江東区有明3-1-15		35.628587	139.787158	"https://www.google.com/maps/@35.6288684,139.7846832,2a,30.2y,87.18h,105.35t/data=!3m6!1e1!3m4!1sGzoIT49hdDJw5cKlJKt9GQ!2e0!7i13312!8i6656"	17				03-6700-0001	化物語	バケモノガタリ	第15話で、ブラック羽川が、阿良々木暦を恋人にした戦場ヶ原ひたぎが電光石火だったと語るシーンの羽川の背景や、阿良々木の首筋を噛み切ったブラック羽川が「確實ニ、殺ス。」と宣言した際の挿入カットで描かれていた建物。	http://www.trusty.jp/tokyobayside/	http://www.trusty.jp/tokyobayside/		コウトウク	ハ	13	8	2	
0668	0007	完了	東京都	江東区	東雲ジャンクション	135-0063	東京都江東区有明1		35.640418	139.794887	"https://www.google.com/maps/@35.6401814,139.7952177,3a,41.4y,134.33h,103.09t/data=!3m6!1e1!3m4!1sEDJA6iOKSyQLKKsSqNXqJw!2e0!7i16384!8i8192"	17					化物語	バケモノガタリ	第15話のエピローグのカットで描かれていた高架道路。<br />座標地点あたりから見たアングルのようです。				コウトウク	ハ	13	8	2	
0668	0008	完了	東京都	江東区	シンボルプロムナード公園　夢の大橋	135-0064	東京都江東区青海1		35.628693	139.784374	"https://www.google.com/maps/@35.6285935,139.7841838,2a,53y,235.98h,95.61t/data=!3m6!1e1!3m4!1scU24lv2iCXC7aGYh4SRqIg!2e0!7i13312!8i6656"	16					化物語	バケモノガタリ	第14～15話のブラック羽川と阿良々木暦との対決の場所。特徴的な八球街灯が各カットで象徴的に描かれていました。				コウトウク	ハ	13	8	2	
0668	0009	完了	東京都	江東区	パレットタウン 大観覧車	135-0064	東京都江東区青海1-3-15		35.626324	139.782123	"https://www.google.co.jp/maps/@35.6266802,139.7811637,2a,24.3y,108.17h,110.39t/data=!3m6!1e1!3m4!1s0RMrCfoOg-u4d0f-fq6dSg!2e0!7i13312!8i6656"	17			4		化物語	バケモノガタリ	第15話で、阿良々木暦とブラック羽川が対決した夢の大橋シーンで阿良々木暦の背景や挿入カットで描かれていた大観覧車。<br />つばさオープニング（第14～15話）のシリーズディレクターのテロップが出ていたカットでは、大観覧車の実写写真が使われていました。				コウトウク	ハ	13	8	2	
0668	0010	完了	東京都	大田区	羽田空港	144-0041	東京都大田区羽田空港		35.551712	139.783975	-	12					化物語	バケモノガタリ	第15話の阿良々木暦とブラック羽川の対決シーンのカットに新管制塔と旧管制塔が描かれていました。				オオタク	ハ	13	5	2	
0668	0011	完了	東京都	目黒区	東急柿の木坂線No.1鉄塔	152-0022	東京都目黒区柿の木坂1		35.620784	139.67906	"https://www.google.co.jp/maps/@35.6208972,139.6790824,3a,36y,199.64h,131.02t/data=!3m6!1e1!3m4!1sQ-jEtGtXVHpc3DEbMQZIiw!2e0!7i16384!8i8192"	18.0					化物語	バケモノガタリ	"ひたぎオープニング（第2,6,7,11,12話）の原作のテロップの出ていたカットで実写写真が使われていた鉄塔。"				メグロク	ハ	13	23	2	
0668	0024	完了	東京都	目黒区	東急柿の木坂線No.1鉄塔前の道	152-0022	東京都目黒区柿の木坂1		35.620808	139.679010	"https://www.google.co.jp/maps/@35.6209145,139.6790996,3a,47.8y,186.22h,84.39t/data=!3m6!1e1!3m4!1sa0mMpQ-ynNp460Rxd5UxRA!2e0!7i13312!8i6656"						化物語	バケモノガタリ	第6話冒頭で、八九寺真宵と歩いていた阿良々木暦が、2人を後ろから飛び越えて現れた神原駿河の名乗りを受けていた場所。				メグロク	ハ	13	23	2	
0668	0012	完了	東京都	目黒区	稲荷橋	152-0022	東京都目黒区柿の木坂1		35.620193	139.678598	"https://www.google.co.jp/maps/@35.620444,139.6786599,3a,26.9y,193.44h,84.89t/data=!3m6!1e1!3m4!1skqT_FO66aNWlXhyp89ysrg!2e0!7i13312!8i6656"	17.0			4		化物語	バケモノガタリ	第6話で、阿良々木暦と神原駿河が世間話をしていた橋。				メグロク	ハ	13	23	2	
0668	0013	完了	東京都	新宿区	イーストデッキから望む線路	160-0022	東京都新宿区新宿3		35.686952	139.701456	-	16.0					化物語	バケモノガタリ	"ひたぎオープニング（第2,6,7,11,12話）の音響監督、音楽、音楽制作のテロップの出ていたカットで、高島屋タイムズスクエア本館とサザンテラスの連絡通路から見下ろした線路の実写写真が使われていました。"				シンジュクク	ハ	13	11	2	
0668	0039	完了	東京都	新宿区	新宿アイランド　パティオ	160-0023	東京都新宿区西新宿6-5-1		35.692944	139.693631	"https://www.google.com/maps/@35.6928184,139.6935311,2a,34.8y,28.27h,81.86t/data=!3m6!1e1!3m4!1saqGsdvLnPK-ilUfHO14FNA!2e0!7i13312!8i6656"						化物語	バケモノガタリ	第14話の阿良々木暦が自転車に乗って忍野忍を探し回るシーンの挿入カットで、地面に放射状の模様が描かれた円形広場が描かれていました。				シンジュクク	ハ	13	11	2	
