作品No.	聖地No.	確定	都道府県	市区郡	聖地名	郵便番号	住所	住所２	座標：緯度	座標：経度	SV	倍率	SV過去	Fov	Zoom	電話番号	作品	作品名フリガナ	備考	公式サイトURL	情報参照元URL	備考2	市区町村読み仮名	作品名50音	県順	市順	域順	実在
0845	0001	完了	神奈川県	鎌倉市	喫茶ミンカ	247-0062	神奈川県鎌倉市山ノ内377-2		35.335426	139.547154	"https://www.google.co.jp/maps/@35.3353472,139.5469721,3a,50.9y,57.34h,101.75t/data=!3m7!1e1!3m5!1smHutMo6VITT2B8eTSMxpOg!2e0!3e2!7i13312!8i6656"					0467-50-0221	南鎌倉高校女子自転車部	ミナミカマクラコウコウジョシジドウシャブ	第１話冒頭の通学シーンで出てきた舞春ひろみの家のモデル。				カマクラシ	ミ	14	11	2	
0845	0002	完了	神奈川県	鎌倉市	三河屋本店	248-0005	神奈川県鎌倉市雪ノ下1-9-23		35.322678	139.554104	"https://www.google.co.jp/maps/@35.3225646,139.5542062,3a,17.8y,335.07h,91.03t/data=!3m6!1e1!3m4!1smfkTnNN-i2ug8oQRSjObdA!2e0!7i13312!8i6656"					0467-22-0024	南鎌倉高校女子自転車部	ミナミカマクラコウコウジョシジドウシャブ	第2話のラストで出てきた秋月巴の家である酒屋のモデル。作中では店名が「弁天」になっていました。				カマクラシ	ミ	14	11	2	
0845	0003	完了	神奈川県	鎌倉市	江ノ島電鉄 鎌倉駅	248-0012	神奈川県鎌倉市御成町1-15		35.318961	139.550141	"https://www.google.co.jp/maps/@35.3188435,139.5499072,3a,31.5y,76.63h,99.85t/data=!3m6!1e1!3m4!1sdJz3Dl-URHUeBKehcP5oUQ!2e0!7i13312!8i6656"						南鎌倉高校女子自転車部	ミナミカマクラコウコウジョシジドウシャブ	第2話で、舞春ひろみが鎌倉案内をしてもらう秋月巴と待ち合わせをしていた駅。				カマクラシ	ミ	14	11	2	
0845	0004	完了	神奈川県	鎌倉市	nui-nui 1st.	248-0006	神奈川県鎌倉市小町1-13-10		35.316993	139.551117	"https://www.google.co.jp/maps/@35.3169743,139.5510473,3a,46y,59.79h,86.46t/data=!3m6!1e1!3m4!1snOjHJXPP5_mWO5QtM3ZK7g!2e0!7i13312!8i6656"					090-9388-6927	南鎌倉高校女子自転車部	ミナミカマクラコウコウジョシジドウシャブ	第2話で、舞春ひろみと秋月巴がレンタサイクルを借りていた店のモデル。				カマクラシ	ミ	14	11	2	
0845	0005	完了	神奈川県	鎌倉市	下馬交差点	248-0012	神奈川県鎌倉市御成町3		35.315745	139.550067	"https://www.google.co.jp/maps/@35.3158633,139.5501701,3a,41.6y,251.68h,97.99t/data=!3m6!1e1!3m4!1shSVHt7sVXsRNEWi2mhIZ7g!2e0!7i13312!8i6656"						南鎌倉高校女子自転車部	ミナミカマクラコウコウジョシジドウシャブ	第2話で、舞春ひろみと秋月巴と、新たに加わった森四季先生の3人が鎌倉観光に出かけるシーンの冒頭カットで、鎌倉KFビルと湘南信用金庫のビルなどが描かれていた交差点。				カマクラシ	ミ	14	11	2	
0845	0006	完了	神奈川県	鎌倉市	タウンハウス ノア鎌倉	248-0012	神奈川県鎌倉市御成町12-8		35.319444	139.549400	"https://www.google.co.jp/maps/@35.3192785,139.5492806,3a,50.3y,22.63h,94.03t/data=!3m6!1e1!3m4!1sxhUYOtOCqNd_4SjOlcopNw!2e0!7i13312!8i6656"						南鎌倉高校女子自転車部	ミナミカマクラコウコウジョシジドウシャブ	第2話で、渋滞中の道路で車に乗った神倉冬音と、その横を自転車で走り抜けた比嘉夏海がニアミスしていたシーンで背景に描かれていた建物。				カマクラシ	ミ	14	11	2	
0845	0007	完了	神奈川県	鎌倉市	さくら貝の歌 歌碑 前	248-0014	神奈川県鎌倉市由比ガ浜4		35.309151	139.545342	"https://www.google.co.jp/maps/@35.309319,139.5455353,3a,15y,226.3h,87.83t/data=!3m6!1e1!3m4!1so1jIFOJBO-EwzhU04gGhqQ!2e0!7i13312!8i6656"						南鎌倉高校女子自転車部	ミナミカマクラコウコウジョシジドウシャブ	第2話で、神倉冬音が小鳥を撮影しようとしていた場所。				カマクラシ	ミ	14	11	2	
0845	0008	完了	神奈川県	鎌倉市	滑川交差点	248-0014	神奈川県鎌倉市由比ガ浜4		35.309197	139.545364	"https://www.google.co.jp/maps/@35.3093926,139.5453806,3a,30.4y,21.8h,93.67t/data=!3m6!1e1!3m4!1sp7Mxf6qyBQiJa5wcJvG3rQ!2e0!7i13312!8i6656"						南鎌倉高校女子自転車部	ミナミカマクラコウコウジョシジドウシャブ	第2話で、小鳥を撮影しようとしていた神倉冬音と、自転車に乗って鎌倉観光に向かう舞春ひろみたちがとニアミスしていた交差点。				カマクラシ	ミ	14	11	2	
0845	0009		神奈川県	鎌倉市	タウンハウスノア鎌倉	248-0014	神奈川県鎌倉市由比ガ浜4		35.309775	139.541603	"https://www.google.co.jp/maps/@35.3097475,139.5418667,3a,25.9y,289.35h,84.47t/data=!3m6!1e1!3m4!1sH24bIowcwdudjT2lz0Opfg!2e0!7i13312!8i6656"						南鎌倉高校女子自転車部	ミナミカマクラコウコウジョシジドウシャブ	第2話で、渋滞中の道路で車に乗った神倉冬音と、その横を自転車で走り抜けた比嘉夏海がニアミスしていた場所。実際には存在しないマンション（タウンハウスノア鎌倉）が描き足されていました。				カマクラシ	ミ	14	11	2	
0845	0010	完了	神奈川県	鎌倉市	鎌倉海浜公園 江ノ電100型車両「タンコロ」	248-0014	神奈川県鎌倉市由比ガ浜4-6		35.310366	139.542593	-						南鎌倉高校女子自転車部	ミナミカマクラコウコウジョシジドウシャブ	第2話で、秋月巴の案内で、舞春ひろみと森四季先生が3人で訪れていた鎌倉観光カットの場所その1。				カマクラシ	ミ	14	11	2	
