作品No.	聖地No.	確定	都道府県	市区郡	聖地名	郵便番号	住所	住所２	座標：緯度	座標：経度	SV	倍率	SV過去	Fov	Zoom	電話番号	作品	作品名フリガナ	備考	公式サイトURL	情報参照元URL	備考2	市区町村読み仮名	作品名50音	県順	市順	域順	実在
0860	0006	完了	東京都	千代田区	JR 東京駅	100-0005	東京都千代田区丸の内1-9		35.681370	139.766073	"https://www.google.com/maps/@35.6817352,139.7647595,3a,55.2y,106.48h,92.6t/data=!3m6!1e1!3m4!1sEc6hamjsH5j1v4kHgdYLuQ!2e0!7i16384!8i8192"						名探偵コナン	メイタンテイコナン	第943話で、「月島のブー」こともんじゃ焼き屋の毒島豊子からの調査依頼で、毛利小五郎と江戸川コナンが容疑者の1人である「月島のフー」こと布田英子に話を聞きに来た場所。				チヨダク	メ	13	17	2	
0860	0004	完了	東京都	千代田区	警視庁 庁舎	100-0013	東京都千代田区霞が関2-1-1		35.676773	139.752214	"https://www.google.co.jp/maps/@35.6778065,139.7535539,3a,29.1y,228.0h,109.0t/data=!3m6!1e1!3m4!1sQJ9RPJFPNbCDGDd4yaFkRw!2e0!7i13312!8i6656"						名探偵コナン	メイタンテイコナン	メインキャらくたーである警視庁刑事部捜査第一課強行犯捜査三係の目黒十三警部が本庁勤務のため、各話の捜査会議シーンなどで度々登場する庁舎。				チヨダク	メ	13	17	2	
0860	0001	完了	東京都	千代田区	日本武道館	102-0091	東京都千代田区北の丸公園2-3	北の丸公園内	35.6934	139.749851		16					名探偵コナン	メイタンテイコナン	第81話「人気アーティスト誘拐事件（前編）」の冒頭で、江戸川コナンが、なぜか武道館前で少年探偵団のメンバーたちと缶蹴りをしていて、人気ユニット「TWO－MIX」のライブを見に来た毛利蘭と鈴木園子に遭遇し、さらには高山みなみとも遭遇していました。「TWO－MI」。ちなみに「TWO－MIX」は、江戸川コナン役の高山みなみがメンバーとなっている実在のユニットで、本人役で一人二役で出演していました。				チヨダク	メ	13	17	2	
0860	0005	完了	東京都	中央区	東京メトロ 月島駅	104-0052	東京都中央区月島2-1		35.664084	139.784618	"https://www.google.co.jp/maps/@35.6640065,139.7845598,3a,38.3y,27.48h,100.04t/data=!3m6!1e1!3m4!1s4ftWk4qWOoaMTLcvLkYUOA!2e0!7i16384!8i8192"						名探偵コナン	メイタンテイコナン	第943話で、月島もんじゃ豊子の店に招待された毛利小五郎が、江戸川コナンを連れて月島へやって来たシーンで、小五郎が招待ハガキの住所を確認していた場所。				チュウオウク	メ	13	16	2	
0860	0008	完了	東京都	中央区	和光本館	104-8105	東京都中央区銀座4-5-11		35.671538	139.765048	"https://www.google.co.jp/maps/@35.6710664,139.7651032,3a,15y,355.63h,121.75t/data=!3m6!1e1!3m4!1sjEgpqzcr2P1Yega0NQpcKQ!2e0!7i16384!8i8192"				5		名探偵コナン	メイタンテイコナン	第943話で、「月島のブー」こともんじゃ焼き屋の毒島豊子からの調査依頼で、毛利小五郎と江戸川コナンが「月島のスー」こと周防友子に話を聞きに来たシーンの冒頭カットで描かれていたビル。				チュウオウク	メ	13	16	2	
0860	0002	完了	東京都	港区	増上寺	105-0011	東京都港区芝公園4-7-35		35.657443	139.749470	"https://www.google.co.jp/maps/@35.6573673,139.7495821,2a,48y,285.89h,90.73t/data=!3m6!1e1!3m4!1sJNoOGxGj3qgYQqdQzAchvg!2e0!7i13312!8i6656"						名探偵コナン	メイタンテイコナン	第902話「妃弁護士SOS（後編）」で、教会の鐘の音が届いた時間差から割り出した毛利探偵事務所から1キロ圏内という距離と、東都タワーが見える場所というヒントから、誘拐された妃英理が監禁されているであろう場所へ向かう江戸川コナンが、毛利蘭と毛利小五郎を引き連れてやって来た寺。ここで、サッカーボールを蹴り当てて鳴らした鐘の音で、再び距離（寺から約340m圏内）を割り出すものの、該当する「分禄町」と「須単町」の2つの町のどちらなのか、決め手に欠けて手詰まりのコナンに、妃から、さらなるヒントを込めた暗号メールが届いていました。作中では寺名が「僧上寺」（漢字は原作から）になっていました。				ミナトク	メ	13	22	2	
0860	0007	完了	東京都	江東区	豊洲市場	135-0061	東京都江東区豊洲6-3		35.645351	139.786804	"https://www.google.com/maps/@35.6460007,139.7862701,3a,26.6y,136.94h,90.63t/data=!3m6!1e1!3m4!1s_t50RHVdw1kwhd-MU4bUCA!2e0!7i16384!8i8192"				3.5		名探偵コナン	メイタンテイコナン	第943話で、「月島のブー」こともんじゃ焼き屋の毒島豊子からの調査依頼で、毛利小五郎と江戸川コナンがマグロの卸をしている「月島のウー」こと宇賀神京子に話を聞きに来た場所。				コウトウク	メ	13	8	2	
0860	0010	完了	東京都	渋谷区	明治神宮　一の鳥居	151-8557	東京都渋谷区代々木神園町1-1		35.670133	139.701878	"https://www.google.co.jp/maps/@35.6704167,139.7017999,3a,35.1y,170.79h,97.45t/data=!3m6!1e1!3m4!1s0CRvIDKYk2WBoFOBIWs5fg!2e0!7i16384!8i8192"						名探偵コナン	メイタンテイコナン	第785話「太閤恋する名人戦（前編）」で、山梨のホテルで名人戦２日目となる対局中のプロ棋士・羽田秀吉が、恋人である婦警・宮本由美が誘拐した「首無し棋士」を名乗る者かからの脅迫状を受け取り、犯人から与えられたヒントからタクシーで2時間かけてやって来た神社で、鳥居付近で偶然パワースポット巡りをしていた江戸川コナンたち一行と遭遇していました。				シブヤク	メ	13	10	2	
0860	0011	完了	東京都	渋谷区	明治神宮　清正井	151-8557	東京都渋谷区代々木神園町1-1		35.674771	139.698683	"https://www.google.co.jp/maps/@35.6748351,139.6987128,3a,38.5y,257.08h,57.31t/data=!3m6!1e1!3m4!1svEDU3E4GTstbyPsyRSjiiw!2e0!7i16384!8i8192"						名探偵コナン	メイタンテイコナン	第785話「太閤恋する名人戦（前編）」で、山梨のホテルで名人戦２日目となる対局中のプロ棋士・羽田秀吉が、恋人である婦警・宮本由美が誘拐した「首無し棋士」を名乗る者かからの脅迫状に記されたヒント「七つの神社の内の一つが、盗賊に襲われ宝物殿が二日で空になり、井戸に身を潜めていた神主の娘も連れ去られた。」の謎を、明治神宮の境内で遭遇した江戸川コナンたちの協力で解いて訪れ、裏に記号の描かれた香車の駒を発見していました。				シブヤク	メ	13	10	2	
0860	0003	完了	東京都	西多摩郡	JR 奥多摩駅	198-0212	東京都西多摩郡奥多摩町氷川210		35.809229	139.096679	"https://www.google.co.jp/maps/@35.8089428,139.096558,3a,29.3y,21.94h,100.51t/data=!3m6!1e1!3m4!1sRHKuK2CgGgraRB_UVRFqew!2e0!7i13312!8i6656"				4		名探偵コナン	メイタンテイコナン	第912話「モデルになった探偵団」で、洋画家の北園清峰が殺された事件で、容疑者の一人である西山大樹が、事件当日、奥穂湖で江戸川コナンたち少年探偵団一行をモデルに絵を描いていたことから、アリバイ確認のために、高木刑事とコナンたち少年探偵団一行が訪れた駅。<br />作中では駅名が「奥穂湖駅」になっていました。<br />絵を描いた奥穂湖のモデルは奥多摩湖で、峰谷橋も描かれていますが、作中のような拾い岸辺は存在しません。				ニシタマグン	メ	13	50	2	
