作品No.	聖地No.	確定	都道府県	市区郡	聖地名	郵便番号	住所	住所２	座標：緯度	座標：経度	SV	倍率	SV過去	Fov	Zoom	電話番号	作品	作品名フリガナ	備考	公式サイトURL	情報参照元URL	備考2	市区町村読み仮名	作品名50音	県順	市順	域順	実在
0862	0001	完了	栃木県	日光市	花衣の館 日光千姫物語	321-1432	栃木県日光市安川町6-48		36.752890	139.597381	"https://www.google.co.jp/maps/@36.753274,139.597133,3a,65y,150.72h,98.93t/data=!3m4!1e1!3m2!1s7MqmUQEv3D2VRs8OiBvdiQ!2e0"	17.0		120	2.2	0288-54-1010	名探偵コナン 異次元の狙撃手	メイタンテイコナンイジゲンノスナイパー	狙撃事件の連続殺人犯に狙われていた一人であるビル・マーフィーが宿泊していたホテルで、外観が忠実に描かれていました。				ニッコウシ	メ	9	6	2	
0862	0002	完了	東京都	千代田区	警視庁 庁舎	100-8929	東京都千代田区霞が関2-1-1		35.676773	139.752214	"https://www.google.co.jp/maps/@35.6778065,139.7535539,3a,29.1y,228.0h,109.0t/data=!3m6!1e1!3m4!1sQJ9RPJFPNbCDGDd4yaFkRw!2e0!7i13312!8i6656"	16		120	3	03-3581-4321	名探偵コナン 異次元の狙撃手	メイタンテイコナンイジゲンノスナイパー	捜査関係者による捜査会議が行われるシーンで、頻繁に登場していました。				チヨダク	メ	13	17	2	
0862	0003	完了	東京都	港区	東京湾2号埋立地（日の出駅前の倉庫群）	105-0022	東京都港区海岸2-7		35.649949	139.760375	"https://www.google.co.jp/maps/@35.6392248,139.7581017,1173a,20y,41.39t/data=!3m1!1e3"	17		0			名探偵コナン 異次元の狙撃手	メイタンテイコナンイジゲンノスナイパー	作中では座標地点辺りで犯人の車が爆破して海に吹き飛ばされており、上空からのカットでパトカーが現場に集まって来る様子が描かれていました。作中では座標地点あたりで				ミナトク	メ	13	22	2	
0862	0004	完了	東京都	台東区	アメ横センタービル 巨大モニター	110-0005	東京都台東区上野4-7-8		35.709938	139.774516	"https://www.google.co.jp/maps/@35.71023,139.774541,3a,60y,186.9h,89.54t/data=!3m4!1e1!3m2!1sZ-wg59mLEGY5CTYbkXLpWA!2e0"	18		120	3		名探偵コナン 異次元の狙撃手	メイタンテイコナンイジゲンノスナイパー	第3の狙撃事件で、一連の事件の容疑者だったティモシー・ハンターと殺害されたニュース、第4の狙撃事件でビル・マーフィーが殺害されたニュースがが流されていた巨大モニターで、アメ横や上中のゲートが描かれていました。				タイトウク	メ	13	15	2	
0862	0005	完了	東京都	台東区	雷門交差点	111-0032	東京都台東区浅草1-3		35.710872	139.796290	"https://www.google.co.jp/maps/@35.710741,139.796298,3a,65.1y,343.55h,85.97t/data=!3m4!1e1!3m2!1sCAoSLEFGMVFpcFBFT3h5YTRLazJMWEhid2psVjJlTnNwRTU4UWFUYlZpd3NRSjZI!2e0"	18		120	1.5		名探偵コナン 異次元の狙撃手	メイタンテイコナンイジゲンノスナイパー	第1の射撃事件で逃走する犯人の元へ、各地からパトカーが急行してくるシーンで描かれていた通り。				タイトウク	メ	13	15	2	
0862	0006	完了	東京都	台東区	浅草寺	111-0032	東京都台東区浅草2-3-1		35.714731	139.796756	"https://www.google.co.jp/maps/@35.714493,139.796334,3a,70y,96.0h,101.0t/data=!3m5!1e1!3m3!1swS3NmNF8yJReF95ShUEr-A!2e0!3e5"	16		120	4		名探偵コナン 異次元の狙撃手	メイタンテイコナンイジゲンノスナイパー	無差別殺人を行うという噂が広まるシーンで、殺人の起こる候補地の一つとして出て来た場所。エンディングの実写映像中には境内や雷門などが出てきました。				タイトウク	メ	13	15	2	
0862	0007	完了	東京都	台東区	蔵前橋	111-0051	東京都台東区蔵前2-1		35.700975	139.793424	"https://www.google.co.jp/maps/@35.701737,139.793782,3a,60y,217.63h,90.19t/data=!3m5!1e1!3m3!1sAzYvRabembI7708ltBZStg!2e0!3e5"	15		120	3		名探偵コナン 異次元の狙撃手	メイタンテイコナンイジゲンノスナイパー	第1の狙撃事件で逃走する犯人が西側から来て待ち構えるパトカーと追って来たパトカーの挟み撃ちにされたものの、手榴弾を使ってパトカーを爆破して逃げ去った橋。				タイトウク	メ	13	15	2	
0862	0008	完了	東京都	墨田区	隅田川 フロート船	130-0001	東京都墨田区吾妻橋1		35.709276	139.797714	"https://www.google.co.jp/maps/@35.709621,139.798476,3a,60y,116.0h,100.0t/data=!3m5!1e1!3m3!1s3UnVKKnUYDoHflGAv9c-JQ!2e0!3e5"	17		120	3		名探偵コナン 異次元の狙撃手	メイタンテイコナンイジゲンノスナイパー	第3の狙撃事件で、連続狙撃犯がティモシー・ハンターを狙撃した場所で、この船上から見える首都高速6号向島線の高架道路が描かれていました。				スミダク	メ	13	13	2	
0862	0009	完了	東京都	墨田区	駒形橋	130-0001	東京都墨田区吾妻橋1		35.708308	139.797458	"https://www.google.co.jp/maps/@35.708127,139.797713,3a,30y,290.39h,95.24t/data=!3m4!1e1!3m2!1sp5YDGd_Bx3OC7341gZLwgw!2e0"	16		120	5		名探偵コナン 異次元の狙撃手	メイタンテイコナンイジゲンノスナイパー	第4の狙撃事件で、連続狙撃犯が、吾妻橋にいた江戸川コナンと、東武スカイツリーライン（作中では「東都鉄道」）隅田川橋梁を走行中の特急線車内にいるビル・マーフィーを狙撃した橋。小嶋元太たちが作った東京スウイツリー（作中では「東京ベルツリータワー」）周辺の模型で、狙撃ポイントとサイコロの秘密に気づいたコナンが、最後のターゲットであるジャック・ウォルツが狙われると思われる地点へ急行する際にスケボーで渡っていたのもこの橋でした。				スミダク	メ	13	13	2	
0862	0010	完了	東京都	墨田区	吾妻橋	130-0001	東京都墨田区吾妻橋1		35.709957	139.799335	"https://www.google.co.jp/maps/@35.709712,139.799598,3a,50y,344.0h,98.0t/data=!3m4!1e1!3m2!1sF5FI36i67sIGDh5c-rgtgA!2e0"	16		120	3		名探偵コナン 異次元の狙撃手	メイタンテイコナンイジゲンノスナイパー	第4の狙撃事件で、駒形橋から連続狙撃犯がビル・マーフィーを狙っていることに気づいた江戸川コナンが、スケボーと巨大サッカーボールを使って狙撃を妨害していた橋。初弾は阻止したものの、マーフィーに狙われていることを気づかせようと必死になるあまり、次弾がマーフィーではなく自分を狙っていることに気づかないコナンを、間一髪のところで世良真純が身を挺して庇い、左肩に被弾していました。				スミダク	メ	13	13	2	
