作品No.	聖地No.	確定	都道府県	市区郡	聖地名	郵便番号	住所	住所２	座標：緯度	座標：経度	SV	倍率	SV過去	Fov	Zoom	電話番号	作品	作品名フリガナ	備考	公式サイトURL	情報参照元URL	備考2	市区町村読み仮名	作品名50音	県順	市順	域順	実在
0861	0001	完了	東京都	千代田区	警視庁 庁舎	100-8929	東京都千代田区霞が関2-1-1		35.676773	139.752214	"https://www.google.co.jp/maps/@35.677563,139.753678,3a,32.2y,236.64h,109.91t/data=!3m4!1e1!3m2!1sVKL8GCQe8J1wVbnSNySNag!2e0?hl=ja"	16		120	3	03-3581-4321	名探偵コナン 迷宮の十字路	メイタンテイコナンメイキュウノクロスロード	物語序盤で目暮十三や白鳥任三郎たちが、東京・大阪・京都で殺害された5人の男が、窃盗団「源氏蛍」のメンバーだったことが判明したことについて、警視庁・大阪府警・京都府警合同による記者会見発表をしていた場所。後半でも目暮警部が東京で殺害された3人の男が身に着けていたものを見て				チヨダク	メ	13	17	2	
0861	0002	完了	京都府	京都市	四条烏丸交差点	600-8008	京都府京都市下京区長刀鉾町		35.003612	135.759843	"https://www.google.co.jp/maps/@35.003688,135.759813,3a,45y,345.48h,120.05t/data=!3m4!1e1!3m2!1sItVJkTsXjv0fjpXDmI_4dA!2e0"						名探偵コナン 迷宮の十字路	メイタンテイコナンメイキュウノクロスロード	江戸川コナンと服部平次が、事件の推理を話しながら佛光寺へ向かって歩いているシーンで、三菱東京UFJ銀行京都中央支店前にある四条通りと烏丸通りの道路標識越しに、三井住友銀行京都支店の建物が描かれていました。				キョウトシ	メ	26	10	5	
0861	0003	完了	京都府	京都市	五条大橋	600-8017	京都府京都市下京区下材木町		34.995853	135.767708	"https://www.google.co.jp/maps/@34.995788,135.767814,3a,44y,20h,81.28t/data=!3m4!1e1!3m2!1s92HzMwDiNbTX4dCe912gfQ!2e0?hl=ja"						名探偵コナン 迷宮の十字路	メイタンテイコナンメイキュウノクロスロード	江戸川コナンが、山王寺の仏像を盗んだ窃盗団「源氏蛍」の手掛かりを求め、源義経や弁慶に関わりのある場所ということで訪れ、服部平次に遭遇していた橋。				キョウトシ	メ	26	10	5	
0861	0004	完了	京都府	京都市	五条大橋脇の階段	600-8017	京都府京都市下京区下材木町		34.996033	135.767598	"https://www.google.co.jp/maps/@34.996041,135.767481,3a,26.2y,117.61h,84.77t/data=!3m4!1e1!3m2!1swO6VSDLFHU3CuT2CuSka9A!2e0"						名探偵コナン 迷宮の十字路	メイタンテイコナンメイキュウノクロスロード	五条大橋で遭遇した江戸川コナンと服部平次が、互いに五条大橋に来た経緯を話していた場所。				キョウトシ	メ	26	10	5	
0861	0005	完了	京都府	京都市	五条大橋　牛若丸・弁慶像	600-8020	京都府京都市下京区御影堂前町		34.995845	135.766742	"https://www.google.co.jp/maps/@34.9959064,135.7667308,3a,15y,115.21h,91.32t/data=!3m6!1e1!3m4!1sdcwgueFfc9h75si4ohg0FQ!2e0!7i13312!8i6656"						名探偵コナン 迷宮の十字路	メイタンテイコナンメイキュウノクロスロード	江戸川コナンが五条大橋を訪れるシーンで、手前のグリーンベルト内にある像が描かれていました。				キョウトシ	メ	26	10	5	
0861	0006	完了	京都府	京都市	本山佛光寺	600-8084	京都府京都市下京区新開町397		35.000703	135.762830	"https://www.google.co.jp/maps/@35.0007125,135.7631197,3a,28y,267.49h,93.19t/data=!3m6!1e1!3m4!1s8QfL28iYJnd7xzux1DmFQg!2e0!7i16384!8i8192"					075-341-3321	名探偵コナン 迷宮の十字路	メイタンテイコナンメイキュウノクロスロード	絵の謎を解いた江戸川コナンと服部平次が、宝（盗まれた仏像）の隠し場所だと思って訪れた寺。	http://www.bukkoji.or.jp/			キョウトシ	メ	26	10	5	
0861	0007	完了	京都府	京都市	JR 京都駅	600-8214	京都府京都市下京区東塩小路高倉町8-3		34.985458	135.757756	"https://www.google.co.jp/maps/@34.9861972,135.7590031,2a,75y,178.52h,108.43t/data=!3m6!1e1!3m4!1sM6KiFStuB0M77kEj-d_gdg!2e0!7i13312!8i6656"						名探偵コナン 迷宮の十字路	メイタンテイコナンメイキュウノクロスロード	山王寺の僧・竜円に招かれ、京都にやって来た毛利小五郎と江戸川コナン、毛利蘭、鈴木園子の4人が下り立った駅。ラストシーンの大団円もこの駅の新幹線ホームでした。				キョウトシ	メ	26	10	5	
0861	0008	完了	京都府	京都市	京都タワー	600-8216	京都府京都市下京区東塩小路町721-1		34.987548	135.759352	"https://www.google.co.jp/maps/@34.9862338,135.7591204,2a,36y,6.6h,112.74t/data=!3m6!1e1!3m4!1sxSKXxZAwmFDHnWlb8YogkA!2e0!7i13312!8i6656"	14.0					名探偵コナン 迷宮の十字路	メイタンテイコナンメイキュウノクロスロード	物語冒頭の京都での殺人事件のシーン冒頭に描かれていた塔。				キョウトシ	メ	26	10	5	
0861	0009	完了	京都府	京都市	五條天神社	600-8459	京都府京都市下京区天神前町351-2		34.998665	135.754914	"https://www.google.co.jp/maps/@34.9986533,135.7551894,3a,75y,276.88h,90.78t/data=!3m6!1e1!3m4!1s4AO35_npgRl8f650yumqLw!2e0!7i16384!8i8192"						名探偵コナン 迷宮の十字路	メイタンテイコナンメイキュウノクロスロード	山王寺の仏像を盗んだ窃盗団「源氏蛍」の手掛かりを求め、江戸川コナンと服部平次が訪れた神社で、「義経記」における源義経と弁慶の出会いの場所。				キョウトシ	メ	26	10	5	
0861	0010	完了	京都府	京都市	梅小路公園	600-8835	京都府京都市下京区観喜寺町56-3		34.986633	135.745341	-					075-352-2500	名探偵コナン 迷宮の十字路	メイタンテイコナンメイキュウノクロスロード	服部平次と能面の男が対決していた場所で、翌日、遠山和葉が、証拠品となる砕けた能面の破片を探していました。				キョウトシ	メ	26	10	5	
0861	0011	完了	京都府	京都市	僧正ガ谷不動堂	601-1111	京都府京都市左京区鞍馬本町		35.120020	135.767305	-						名探偵コナン 迷宮の十字路	メイタンテイコナンメイキュウノクロスロード	山王寺の仏像を盗んだ窃盗団「源氏蛍」の手掛かりを求め、江戸川コナンと服部平次が訪れた場所で、平次がバイクスーツの男に矢を射かけられていました。				キョウトシ	メ	26	10	5	
0861	0012	完了	京都府	京都市	鞍馬寺 仁王門	601-1111	京都府京都市左京区鞍馬本町		35.114301	135.772940	"https://www.google.co.jp/maps/@35.1137143,135.7732751,3a,40y,327.22h,94.54t/data=!3m6!1e1!3m4!1sQRgPmR5NE8VfmwRGkfMzxg!2e0!7i13312!8i6656"						名探偵コナン 迷宮の十字路	メイタンテイコナンメイキュウノクロスロード	僧正ガ谷不動堂で、服部平次に矢を射かけてバイクに乗って逃げるバイクスーツの男を、平次と江戸川コナンがバイクで追うシーンの挿入カットで描かれていた場所。				キョウトシ	メ	26	10	5	
0861	0013	完了	京都府	京都市	府道38号線（多聞堂前）	601-1111	京都府京都市左京区鞍馬本町		35.113200	135.773382	"https://www.google.co.jp/maps/@35.113195,135.773422,3a,90y,301.05h,91.23t/data=!3m4!1e1!3m2!1sijZZWmB_FhUjG4JTX8zk9g!2e0"						名探偵コナン 迷宮の十字路	メイタンテイコナンメイキュウノクロスロード	僧正ガ谷不動堂で、服部平次に矢を射かけてバイクに乗って逃げるバイクスーツの男を、平次と江戸川コナンがバイクで追うシーンの挿入カットで描かれていた場所。				キョウトシ	メ	26	10	5	
