作品No.	聖地No.	確定	都道府県	市区郡	聖地名	郵便番号	住所	住所２	座標：緯度	座標：経度	SV	倍率	SV過去	Fov	Zoom	電話番号	作品	作品名フリガナ	備考	公式サイトURL	情報参照元URL	備考2	市区町村読み仮名	作品名50音	県順	市順	域順	実在
0226	0001	完了	東京都	千代田区	牛込橋	102-0071	東京都千代田区富士見2-9		35.700092	139.743362	"https://www.google.co.jp/maps/@35.700139,139.743383,3a,63.6y,216.32h,80.63t/data=!3m4!1e1!3m2!1sDTVMVeTTf5RhujR62isGow!2e0?hl=ja"	17		120	3		君のいる町（OVA版第1期）	キミノイルマチ	第2話で、すれ違いや行き違いを繰り返した挙句にようやく再会を果たした桐島青大と枝葉柚希が話をしていた橋。柚希が桐島家に初めてやって来た時から好きだったと話す青大に対し、柚希がもっと以前の幼い頃に2人は出会っていて、その時から好きだったという思い出話をしていました。				チヨダク	キ	13	17	2	
0226	0002	完了	東京都	千代田区	線路沿いの道	102-0072	東京都千代田区飯田橋4-10		35.701397	139.744778	"https://www.google.co.jp/maps/@35.701118,139.744593,3a,36.1y,19.47h,80.18t/data=!3m4!1e1!3m2!1sgDJLk8VCk1TELUEMezBrHw!2e0?hl=ja"	17		120	2.5		君のいる町（OVA版第1期）	キミノイルマチ	第2話で、すれ違いや行き違いを繰り返した挙句にようやく再会した桐島青大と枝葉柚希が、話をしながら歩いていた道で、クジラの絵の描かれた壁や周囲の建物まで忠実に描かれていました。				チヨダク	キ	13	17	2	
0226	0003	完了	東京都	千代田区	JR 飯田橋駅	102-0072	東京都千代田区飯田橋4		35.702155	139.745139	"https://www.google.co.jp/maps/@35.702305,139.745114,3a,30.1y,158.08h,101.77t/data=!3m4!1e1!3m2!1sAiqyieSii965dFK42S3zwg!2e0?hl=ja"	17		120	2		君のいる町（OVA版第1期）	キミノイルマチ	第2話で、修学旅行で東京に来ていた桐島青大が、夜中にホテルを抜け出し、枝葉柚希の家まで会いに行ったものの会うことができず、街中を当てもなく探し回った挙句にやってきた駅で、ホテルに行って青大が自分の家に向かったことを聞いて戻って来ていた柚希と、遂に再会を果たし、券売機前で人目も憚らず抱き合っていました。				チヨダク	キ	13	17	2	
0226	0004	完了	東京都	文京区	東京ドーム	112-0004	東京都文京区後楽1-3-61		35.70565	139.751919	"https://www.google.co.jp/maps/@35.703794,139.753587,3a,75y,90t/data=!3m5!1e2!3m3!1s71162347!2e1!3e10?hl=ja"	16		0			君のいる町（OVA版第1期）	キミノイルマチ	第1話の修学旅行で桐島青大				ブンキョウク	キ	13	21	2	
0226	0005	完了	東京都	文京区	東京ドームホテル 前	112-8562	東京都文京区後楽1-3-61		35.703083	139.752622	"https://www.google.co.jp/maps/@35.702978,139.752828,3a,44.2y,303.06h,90.74t/data=!3m4!1e1!3m2!1smQI7pKfQiuoChLoAA2SL6g!2e0?hl=ja"	17		120	3		君のいる町（OVA版第1期）	キミノイルマチ	第2話で、枝葉柚希に会いに行くためにホテルを抜け出した桐島青大が、走り出てくるシーンでホテル前が描かれていました。				ブンキョウク	キ	13	21	2	
0226	0006	完了	東京都	渋谷区	SHIBUYA109	150-0043	東京都渋谷区道玄坂2-29-1		35.659576	139.698953	"https://www.google.co.jp/maps/@35.659475,139.700498,3a,30.1y,270h,104.53t/data=!3m4!1e1!3m2!1srjiGjgtzshK-mU4qTLcjmw!2e0?hl=ja"	17		120	3		君のいる町（OVA版第1期）	キミノイルマチ	第1話Bパート冒頭で、修学旅行初日に会えなかった桐島青大が、枝葉柚希に「今日は絶対に会おうな。」とメールを打つシーンの渋谷の街のカットで描かれていました。				シブヤク	キ	13	10	2	
0226	0007	完了	東京都	新宿区	JR 新宿駅	160-0022	東京都新宿区新宿3		35.691387	139.701059	-						君のいる町（OVA版第1期）	キミノイルマチ	修学旅行2日目に、桐島青大が神咲七海から頼まれて、七海の東京の友人の前で彼氏のフリをするが、電車で帰る友人を手を繋いで見送った2人の姿を、偶然向かいのホームにいた枝葉柚希に目撃されてしまった駅。青大と七海がいたのは15番線（山手線池袋方面）で、柚希がいたのは14番線（山手線渋谷方面）でした。			地下なので座標は適当	シンジュクク	キ	13	11	2	
0226	0008	完了	東京都	新宿区	飯田橋交差点歩道橋	162-0822	東京都新宿区下宮比町1		35.702792	139.744844	"https://www.google.co.jp/maps/@35.7026263,139.7446468,3a,23.6y,13.47h,101.96t/data=!3m4!1e1!3m2!1sr8MQaejgbeTHkvl28SUfXQ!2e0"						君のいる町（OVA版第1期）	キミノイルマチ	第1話で枝葉柚希が、修学旅行で東京に来た桐島青大から会いたいというメールを受けていた歩道橋。				シンジュクク	キ	13	11	2	
0226	0009	完了	東京都	新宿区	善国寺	162-0825	東京都新宿区神楽坂5-36		35.701570	139.739528	"https://www.google.co.jp/maps/@35.701645,139.739548,3a,40.2y,205.64h,97.89t/data=!3m4!1e1!3m2!1smmSO2zLk8x52urECRisbmQ!2e0"					03-3269-0641	君のいる町（OVA版第1期）	キミノイルマチ	第2話で、修学旅行で東京に来ていた桐島青大が、夜中にホテルを抜け出し、枝葉柚希の家まで会いに行ったものの会うことができず、街中を当てもなく探し回るシーンの冒頭カットで描かれてた神社。	http://www.kagurazaka-bishamonten.com/			シンジュクク	キ	13	11	2	
0226	0010	完了	東京都	新宿区	西武 高田馬場駅 早稲田口 前	169-0075	東京都新宿区高田馬場1-35		35.713380	139.704472	"https://www.google.co.jp/maps/@35.713369,139.704559,3a,41.9y,124.94h,102.4t/data=!3m4!1e1!3m2!1sb1kF85MdaVojUgrUnnxPjA!2e0"						君のいる町（OVA版第1期）	キミノイルマチ	第2話の回想シーンで、桐島青大と枝葉柚希が待ち合わせをしていた場所。早稲田口や、平和の女神像や名店ビル、FIビル、伊勢浪ビルなどの駅前風景が描かれていました。				シンジュクク	キ	13	11	2	
