作品No.	聖地No.	確定	都道府県	市区郡	聖地名	郵便番号	住所	住所2	座標：緯度	座標：経度	SV	倍率	SV過去	Fov	Zoom	電話番号	作品	作品名フリガナ	備考	公式サイトURL	情報参照元URL	備考2	市区町村読み仮名	作品名50音	県順	市順	域順	実在
0227	0001	完了	秋田県	北秋田市	秋田内陸縦貫鉄道 前田南駅	018-4514	秋田県北秋田市五味堀字堂ノ前		40.050727	140.402456	-	13.0					君の名は。	キミノナハ	立花瀧に会いにいくため、東京に向かう宮永三葉が電車に乗り込んでいた駅。				キタアキタシ	キ	5	9	1	
0227	0002	完了	東京都	千代田区	JR 東京駅	100-0005	東京都千代田区丸の内1-9		35.681393	139.766068	"https://www.google.co.jp/maps/@35.6809291,139.764368,167a,35y,77.81h,43.95t/data=!3m1!1e3?hl=ja"						君の名は。	キミノナハ	一人で糸守町を探すために飛騨へ向かう立花瀧を、同行しようと奥寺ミキ先輩と藤井司が待ち構えていた駅。この駅から新幹線に乗って飛騨へ旅立っていました。				チヨダク	キ	13	17	2	
0227	0003	完了	東京都	千代田区	一口坂交差点	102-0073	東京都千代田区九段北4-1		35.692490	139.740676	"https://www.google.co.jp/maps/@35.692619,139.7412893,3a,51.4y,84.36h,105.39t/data=!3m6!1e1!3m4!1s5aeNN9OQfj0KQalaPTnerw!2e0!7i13312!8i6656"				3		君の名は。	キミノナハ	立花瀧が飛騨に行ってから5年の月日が経った街のカットで、タクシーの車内越しに見た桜とビル群が描かれていた通り。停車したタクシーの前を人々が渡っていたので、北側車線で交差点の西側に停車している設定ですが、作画通りのビルの角度にするには、交差点を東に渡ってリード東京ビル前辺りから見あげた方が近い構図になります。				チヨダク	キ	13	17	2	
0227	0004	完了	東京都	千代田区	弁慶橋北詰め	102-0094	東京都千代田区紀尾井町1		35.679065	139.736329	"https://www.google.co.jp/maps/@35.6793675,139.7362815,3a,22y,161.0h,109.0t/data=!3m6!1e1!3m4!1s8znL-NS5uJKCq6szhTKyUw!2e0!7i13312!8i6656"				4		君の名は。	キミノナハ	就職活動中の立花瀧が奥寺ミキと再会したシーンの挿入カットで描かれていた場所。街灯越しに、プルデンシャルタワーや東急プラザ赤坂、赤坂Bizタワー、B.I.C赤坂ビルのサトウ製薬のビル看板などが描かれていました。				チヨダク	キ	13	17	2	
0227	0005	完了	東京都	港区	ホテルニューオータニ	102-0094	東京都千代田区紀尾井町4-1		35.681089	139.734158	"https://www.google.co.jp/maps/@35.6789593,139.7330338,3a,25.6y,14.0h,106.0t/data=!3m6!1e1!3m4!1s8HF241Ef6Aa9jQBnhzqkkQ!2e0!7i13312!8i6656"				5	03-3265-1111	君の名は。	キミノナハ	就職活動中の立花瀧が再会した奥寺ミキと歩いていたシーンで、高速道路越しに描かれていた建物。	http://www.newotani.co.jp/tokyo/			ミナトク	キ	13	22	2	
0227	0006	完了	東京都	港区	六本木ヒルズノースタワー	106-0032	東京都港区六本木6-2-31		35.661801	139.730136	"https://www.google.co.jp/maps/@35.6636336,139.7306777,3a,15y,196.05h,107.41t/data=!3m6!1e1!3m4!1stMuIupDHwGqIFprj007kXw!2e0!7i13312!8i6656"			41			君の名は。	キミノナハ	立花瀧が奥寺ミキ先輩とデートシーンで、美術館から歩道橋へ移動する間の挿入カットで描かれていたビル。コインパーク 六本木7丁目第2（六本木7-15-10）から望む構図かと思われます。				ミナトク	キ	13	22	2	
0227	0007	完了	東京都	港区	六本木ヒルズ展望台 東京シティビュー	106-0032	東京都港区六本木6-10−1	森タワー52F	35.660414	139.729248	-						君の名は。	キミノナハ	立花瀧と奥寺ミキ先輩とデートで、最初に訪れた展望ルーム。				ミナトク	キ	13	22	2	
0227	0008	完了	東京都	港区	国立新美術館	106-0032	東京都港区六本木7-22-2		35.665167	139.726367	-						君の名は。	キミノナハ	立花瀧が奥寺ミキ先輩とデートしていた場所で、「郷愁」と題された写真展で展示されていた飛騨の写真に見覚えのある景色を見つけた瀧が足を止めて見入っていました。	http://www.nact.jp/			ミナトク	キ	13	22	2	
0227	0009	完了	東京都	港区	サロン・ド・テ ロンド	106-0032	東京都港区六本木7-22-2	国立新美術館2F	35.664801	139.726019	-					03-5770-8162 	君の名は。	キミノナハ	立花瀧と奥寺ミキ先輩のデートで、2人がランチを食べていた店。	https://www.hiramatsurestaurant.jp/nacc-rond/			ミナトク	キ	13	22	2	
0227	0010	完了	東京都	港区	紀伊国坂	107-0051	東京都港区元赤坂2-1		35.679275	139.732825	"https://www.google.co.jp/maps/@35.6790639,139.7329409,3a,17.8y,343.19h,96.21t/data=!3m6!1e1!3m4!1sPi6Dt4T7KRbQSGqgUypmAA!2e0!7i13312!8i6656"				5		君の名は。	キミノナハ	飛騨から帰ってきて5年後、就職活動中の立花瀧が再会した奥寺ミキと歩いていた道。				ミナトク	キ	13	22	2	
0227	0011	完了	東京都	港区	喰違土手	107-0051	東京都港区元赤坂2-1		35.680908	139.731584	"https://www.google.co.jp/maps/@35.6808345,139.7316699,3a,33y,320.08h,88.07t/data=!3m6!1e1!3m4!1sIbvOZGq_-a0rnzzNspECIQ!2e0!7i13312!8i6656"				4		君の名は。	キミノナハ	飛騨から帰ってきて5年後、就職活動中の立花瀧が再会した奥寺ミキと夕景を眺めていた場所。				ミナトク	キ	13	22	2	
