作品No.	聖地No.	確定	都道府県	市区郡	聖地名	郵便番号	住所	住所２	座標：緯度	座標：経度	SV	倍率	SV過去	Fov	Zoom	電話番号	作品	作品名フリガナ	備考	公式サイトURL	情報参照元URL	備考2	市区町村読み仮名	作品名50音	県順	市順	域順	実在	重要度
1076	0019	完了	広島県	広島市	スイーツパラダイス 広島パルコ店	730-0035	広島県広島市中区本通10-1	広島PARCO本館 B1F	34.392221	132.462055	-						君の膵臓をたべたい	キミノスイゾウヲタベタイ	「僕」と山内桜良が一ケーキを食べに行ったスイーツパラダイスの作画モデルの一つ。<br />富山県内にはスイーツパラダイスはなく、全国20店舗の内装は全て異なる中、テーブルと椅子、ソファが作中のものと一致するのはこの店舗のみになります。作中の店舗は地上１階だったり、椅子とテーブル以外は一致しなかったりするので、あくまで作画モデルの一つだと思われます。				ヒロシマシ	キ	34	1	6		3
1076	0016	完了	福井県	福井市	幸橋	918-8003	福井県福井市毛矢2-1		36.060281	136.215668	-						君の膵臓をたべたい	キミノスイゾウヲタベタイ	エンディング前の生前の山内桜良と「僕」の回想シーンで、桜の花びらが舞う中、2人が微妙な距離感を保ちつつ佇んでいた橋。<br />序盤シーンで、学校帰りの「僕」に桜良が病気のことを内緒にしてくれるようにと頼み、言うような相手（友達）もいないと答える「僕」に、桜良が「私が残りの人生で一緒に遊んであげようか」と言って、2人の不思議な関係が始まったのも、この橋の脇でした。<br />「僕」が山内家で「共病文庫」を読んで泣いていたシーンでも、雨が次第に上がっていく街のカットで橋が描かれていました。				フクイシ	キ	18	1	4		4
1076	0017	完了	福井県	福井市	足羽川遊歩道	918-8003	福井県福井市毛矢2-1		36.060431	136.214930	-						君の膵臓をたべたい	キミノスイゾウヲタベタイ	学校帰りの「僕」を待っていた山内桜良が病気のことを内緒にしてくれるようにと頼んでいた川沿いの桜並木。<br />山内家で「共病文庫」を託された帰りの「僕」が歩いていたのもこの道でした。				フクイシ	キ	18	1	4		4
1076	0001	完了	富山県	高岡市	JR 能町駅	933-0003	富山県高岡市能町1438		36.768815	137.040139	-						君の膵臓をたべたい	キミノスイゾウヲタベタイ	福岡旅行帰りに「僕」が下車し、山内桜良と別れていた駅。				タカオカシ	キ	16	7	4		2
1076	0018	完了	富山県	高岡市	高岡駅前	933-0023	富山県高岡市末広町1		36.742682	137.014913	"https://www.google.com/maps/@36.742982,137.0147974,3a,17.2y,166.21h,93.42t/data=!3m6!1e1!3m4!1s0Ez8z-GnC5Lp5aVQsVf03A!2e0!7i16384!8i8192"				5		君の膵臓をたべたい	キミノスイゾウヲタベタイ	ラストで、以前のままであれば行動を起こさなかったはずの「僕」が、店を出ていった滝本恭子を追いかけるシーンで描かれていた駅前風景。				タカオカシ	キ	16	7	4		1
1076	0002	完了	富山県	高岡市	ウイング・ウイング高岡広場	933-0023	富山県高岡市末広町1-8		36.742549	137.014622	"https://www.google.com/maps/@36.7423611,137.0147702,3a,24y,325.7h,90.74t/data=!3m6!1e1!3m4!1s4HnfJ3Xxzv942oPgnNxx5w!2e0!7i16384!8i8192"				4		君の膵臓をたべたい	キミノスイゾウヲタベタイ	ラストで、以前のままであれば行動を起こさなかったはずの「僕」が、店を出ていった滝本恭子を追いかけ、友達になって欲しいとお願いしていた広場。				タカオカシ	キ	16	7	4		4
1076	0015	完了	富山県	高岡市	末広坂	933-0023	富山県高岡市末広町14		36.744927	137.013129	"https://www.google.com/maps/@36.7452389,137.0129107,3a,18.1y,144.4h,93.19t/data=!3m6!1e1!3m4!1sFg4GWCgkqdSt8Vk-L_ZZ3w!2e0!7i13312!8i6656"						君の膵臓をたべたい	キミノスイゾウヲタベタイ	連休に電車で遠出すると山内桜良に呼び出された「僕」が待ち合わせ場所の駅に向かうシーンで、「僕」が乗る路面電車が通りを走る様子が描かれていた場所。<br />末広坂の下方から末広町交差点越しに万葉線 末広町停留場を望む構図で、左右反転して描かれていました。				タカオカシ	キ	16	7	4		2
1076	0003	完了	富山県	高岡市	高岡駅口交差点	933-0029	富山県高岡市御旅屋町		36.742965	137.015978	"https://www.google.com/maps/@36.7429713,137.016269,3a,24y,253.29h,87.93t/data=!3m6!1e1!3m4!1s1vpevPgFG2LDJaKgPK_0Gg!2e0!7i16384!8i8192"				4		君の膵臓をたべたい	キミノスイゾウヲタベタイ	商店街で老婆に因縁をつけて金を要求していた男たちを撃退した山内桜良が、警察に呼び止められるも「僕」を連れて走って逃げてきた場所。				タカオカシ	キ	16	7	4		3
1076	0004	完了	富山県	高岡市	高岡市民病院	933-0064	富山県高岡市宝町4-1		36.756159	137.028607	"https://www.google.com/maps/@36.7564099,137.0272469,3a,29.2y,92.17h,98.93t/data=!3m6!1e1!3m4!1sQ3LSRaTD-kbXn7fO5NPuhQ!2e0!7i13312!8i6656"				4		君の膵臓をたべたい	キミノスイゾウヲタベタイ	4月に盲腸の手術の抜糸のために学校を休んで訪れた「僕」が、山内桜良が綴る秘密の日記帳「共病文庫」を拾った病院で、山内桜良が通院・入院していました。<br />作中では病院名が「北蔵市民病院」になっていました。				タカオカシ	キ	16	7	4		4
1076	0005	完了	富山県	高岡市	松太枝浜海水浴場	933-0133	富山県高岡市太田		36.824364	137.024130	-						君の膵臓をたべたい	キミノスイゾウヲタベタイ	「僕」と山内桜良が一緒に行った海のシーンで、桜良が「僕」に夏にやりたいことを話していた場所。<br />2人が座っていたベンチは実在しません。				タカオカシ	キ	16	7	4		0
