作品No.	聖地No.	確定	都道府県	市区郡	聖地名	郵便番号	住所	住所２	座標：緯度	座標：経度	SV	倍率	SV過去	Fov	Zoom	電話番号	作品	作品名フリガナ	備考	公式サイトURL	情報参照元URL	備考2	市区町村読み仮名	作品名50音	県順	市順	域順	実在
0356	0001	完了	東京都	千代田区	東京国際フォーラム	100-0005	東京都千代田区丸の内3-5-1		35.67657	139.764287		17		0			咲-Saki-阿知賀編 episode of side-A	サキアチカヘンエピソードオブサイドエー	第4話から始まった「第71回全国高等学校麻雀選手権大会」の会場。トーナメントの抽選会場ともなっていました。第4話、第11話でホールA入口が描かれていました。	http://www.t-i-forum.co.jp/	http://www.t-i-forum.co.jp/		チヨダク	サ	13	17	2	
0356	0002		東京都	千代田区	東京国際フォーラム 1	100-0005	東京都千代田区丸の内3-5-1		35.67657	139.764287	"https://www.google.co.jp/maps/@35.675247,139.765053,3a,75y,334.63h,108.58t/data=!3m4!1e1!3m2!1s5uyMbYuhIVwXigzifel2CA!2e0?hl=ja"	17		120	2.5		咲-Saki-阿知賀編 episode of side-A	サキアチカヘンエピソードオブサイドエー	第16話のサブタイトルがテロップされているカットで、ライトアップされた夜の東京国際フォーラムが描かれていました。				チヨダク	サ	13	17	2	
0356	0003		東京都	千代田区	東京国際フォーラム 2	100-0005	東京都千代田区丸の内3-5-1		35.67657	139.764287	"https://www.google.co.jp/maps/@35.677192,139.767116,3a,75y,251.77h,96.32t/data=!3m4!1e1!3m2!1s1oz9i1XPYX1cO3xxQToYoA!2e0?hl=ja"	17		120	3		咲-Saki-阿知賀編 episode of side-A	サキアチカヘンエピソードオブサイドエー	第3話で鍛冶橋交差点辺りから見た 東京国際フォーラムと住友不動産丸の内ビルが描かれていました。				チヨダク	サ	13	17	2	
0356	0004	完了	東京都	千代田区	晴海通り	100-0006	東京都千代田区有楽町		35.673993	139.760942				0			咲-Saki-阿知賀編 episode of side-A	サキアチカヘンエピソードオブサイドエー	第4話で赤土晴絵が熊倉トシと会うシーンの挿入カットで南東の数寄屋橋方向を望んだ構図で描かれていました。				チヨダク	サ	13	17	2	
0356	0005	完了	東京都	千代田区	ザ・ペニンシュラ東京	100-0006	東京都千代田区有楽町1-8-1		35.674729	139.760647		17		0		03-6270-2888	咲-Saki-阿知賀編 episode of side-A	サキアチカヘンエピソードオブサイドエー	第4話で「千里山女子高校麻雀部」の宿泊先として登場。ビル外観からロビーにある目玉のようなオブジェまで、忠実に再現されていました。				チヨダク	サ	13	17	2	
0356	0006	完了	東京都	千代田区	キクマサ 居酒屋	100-0006	東京都千代田区有楽町2-9-16		35.674993	139.763584		19		0		03-3214-3996	咲-Saki-阿知賀編 episode of side-A	サキアチカヘンエピソードオブサイドエー	第4話で赤土晴絵が熊倉トシと会っていた「居酒屋なしも」のモデル。				チヨダク	サ	13	17	2	
0356	0007	完了	東京都	千代田区	ザ・ペニンシュラ東京	100-0006	東京都千代田区有楽町1-8-1		35.674727	139.76066	"https://www.google.co.jp/maps/@35.675181,139.759606,3a,75y,122.79h,133.3t/data=!3m4!1e1!3m2!1siG2n-LA0dc0ZxZhQBb9Aqw!2e0?hl=ja"	17		120	1	03-6270-2888	咲-Saki-阿知賀編 episode of side-A	サキアチカヘンエピソードオブサイドエー					チヨダク	サ	13	17	2	
0356	0008		東京都	千代田区	日比谷公園 有楽門	100-0012	東京都千代田区日比谷公園1		35.675012	139.759161	"https://www.google.co.jp/maps/@35.675022,139.759122,3a,75y,110.44h,108.45t/data=!3m5!1e1!3m3!1smXFQ55mn1T8ruMqz7sh4nQ!2e0!3e5?hl=ja"	17		120	1.4	03-3501-6428	咲-Saki-阿知賀編 episode of side-A	サキアチカヘンエピソードオブサイドエー	第16話エンディング。出入口にある街灯越しに、ザ・ペニンシュラ東京、日比谷サンケイビル、日比谷マリンビルの3つのビルを見上げる構図で描かれていました。				チヨダク	サ	13	17	2	
0356	0009	完了	東京都	千代田区	日比谷公会堂	100-0012	東京都千代田区日比谷公園1-3		35.671925	139.755586	"https://www.google.co.jp/maps/@35.672086,139.755309,3a,61.5y,129.72h,86.86t/data=!3m5!1e1!3m3!1s3x5j_AzpoLUYL4i5V9vZsg!2e0!3e5?hl=ja"	18		120	3		咲-Saki-阿知賀編 episode of side-A	サキアチカヘンエピソードオブサイドエー	第7話で高鴨穏乃たちが東京のラーメンを食べに行くために歩いていて、赤土晴絵と熊倉トシを目撃し、東横桃子と蒲原智美に遭遇した場所。				チヨダク	サ	13	17	2	
0356	0010	完了	東京都	千代田区	日比谷公会堂 裏	100-0012	東京都千代田区日比谷公園1-3		35.671791	139.75599	"https://www.google.co.jp/maps/@35.671787,139.756154,3a,75y,289.48h,95.47t/data=!3m5!1e1!3m3!1sAFSDYqOD_To2hr_nH8VXHQ!2e0!3e5?hl=ja"	18		120	3		咲-Saki-阿知賀編 episode of side-A	サキアチカヘンエピソードオブサイドエー	第7話で高鴨穏乃たちが東京のラーメンを食べに行くために歩いていて、赤土晴絵と熊倉トシを目撃し、東横桃子と蒲原智美に遭遇した場所。				チヨダク	サ	13	17	2	
