作品No.	聖地No.	確定	都道府県	市区郡	聖地名	郵便番号	住所	住所２	座標：緯度	座標：経度	SV	倍率	SV過去	Fov	Zoom	電話番号	作品	作品名フリガナ	備考	公式サイトURL	情報参照元URL	備考2	市区町村読み仮名	作品名50音	県順	市順	域順	実在
0910	0002	完了	京都府	京都市	真橋	600-8001	京都府京都市下京区真町		35.004291	135.770478	"https://www.google.co.jp/maps/@35.0043091,135.7704939,3a,34y,187.76h,77.47t/data=!3m6!1e1!3m4!1s7B5bfHgwmu5bnc4yX58rFw!2e0!7i13312!8i6656"						四畳半神話大系	ヨジョウハンシンワタイケイ	第2話の映画サークル「みそぎ」の撮影シーンで、私が川から這い上がろうとする姿が描かれていた橋。<br />第9話で、賀茂大橋で羽貫涼子に声をかけられた私が、飲みに出かけるシーンの場面転換カットで、橋脇のゴミ箱が描かれていました。				キョウトシ	ヨ	26	10	5	
0910	0003	完了	京都府	京都市	花遊小路	600-8002	京都府京都市下京区御旅町		35.003838	135.767812	-						四畳半神話大系	ヨジョウハンシンワタイケイ	第4話で、明石さんと一緒に「幻の亀の子束子」を探すことになった私が聞き込みをする姿が、細い路地から四条通りを望む構図で描かれていました。				キョウトシ	ヨ	26	10	5	
0910	0004	完了	京都府	京都市	和泉屋町 町家	600-8014	京都府京都市下京区和泉屋町		35.000409	135.769461	-						四畳半神話大系	ヨジョウハンシンワタイケイ	第2話冒頭で、私と小津が盗撮していた城ヶ崎マサキ先輩の下宿先のモデル。<br />鴨川側から望む外観の他、部屋内も忠実に描かれていました。				キョウトシ	ヨ	26	10	5	
0910	0005	完了	京都府	京都市	佛光寺　大師堂	600-8084	京都府京都市下京区新開町397		35.000671	135.762358	-						四畳半神話大系	ヨジョウハンシンワタイケイ	第4話で、「幻の亀の子束子」を探す私と明石さんが情報収集をしていた商店街から、束子を売っている古道具屋シーンの場面転換カットで描かれていた寺。				キョウトシ	ヨ	26	10	5	
0910	0006	完了	京都府	京都市	京都中央郵便局 脇	600-8216	京都府京都市下京区東塩小路町		34.986210	135.757145	"https://www.google.co.jp/maps/@34.9861647,135.7565797,3a,52.1y,73.45h,87.61t/data=!3m6!1e1!3m4!1smBJt_nn1ZSNTPx0LIdtKdw!2e0!7i16384!8i8192"						四畳半神話大系	ヨジョウハンシンワタイケイ	第8話で、「もちぐまん」の着ぐるみショーで明石さんを助けたことで気を良くした私が、帰りにショーを見ていた子どもたちが乗るバスを見て手を振っていた場所。				キョウトシ	ヨ	26	10	5	
0910	0007	完了	京都府	京都市	京都タワー	600-8216	京都府京都市下京区東塩小路町721-1		34.987558	135.759333	"https://www.google.co.jp/maps/@34.9869797,135.7601218,3a,65y,306.76h,113.11t/data=!3m6!1e1!3m4!1syV-1QytKK2ADTg96On8z4w!2e0!7i13312!8i6656"						四畳半神話大系	ヨジョウハンシンワタイケイ	第6話、第8話の、羽貫涼子からの飲みの誘いを断ったものの、エロ歯科医の魔の手から救うべく、意を決した私が羽貫がいるであろうホテルのラウンジに向かうシーンでタワーが描かれていました。				キョウトシ	ヨ	26	10	5	
0910	0008	完了	京都府	京都市	京都中央郵便局前の郵便ポスト	600-8216	京都府京都市下京区東塩小路町843-12		34.986381	135.757393	"https://www.google.co.jp/maps/@34.986398,135.7575264,3a,15y,272.27h,85.86t/data=!3m6!1e1!3m4!1syO7zNADeuIukCuO4ovWMiQ!2e0!7i13312!8i6656"				5		四畳半神話大系	ヨジョウハンシンワタイケイ	第8話で、私が樋口恵子なる女性への手紙を初めて投函していたポスト。				キョウトシ	ヨ	26	10	5	
0910	0009	完了	京都府	京都市	JR 京都駅	600-8216	京都府京都市下京区東塩小路町901		34.985976	135.759004	"https://www.google.co.jp/maps/@34.9860362,135.7588037,2a,40.3y,91.18h,120.77t/data=!3m6!1e1!3m4!1sGHH_g_QByI2oaKxfR6D1Rw!2e0!7i13312!8i6656"						四畳半神話大系	ヨジョウハンシンワタイケイ	第4話の、樋口清太郎師匠か修行と称して私たちに無意義なことをさせたが、ほとんど意味不明であったと語るモノローグシーンで、水着に浮き輪姿の私が、外国人に「Where is a beach?」と聞いている姿が描かれていました。				キョウトシ	ヨ	26	10	5	
0910	0010	完了	京都府	京都市	室町小路広場	600-8216	京都府京都市下京区東塩小路町901		34.985948	135.758195	-						四畳半神話大系	ヨジョウハンシンワタイケイ	第8話で、私がアルバイトで出演していた「もちぐまん」の着ぐるみショーのステージで、高校時代の明石さんを言い寄る男たちから助けていました。				キョウトシ	ヨ	26	10	5	
0910	0011	完了	京都府	京都市	四条河原町交差点	600-8441	京都府京都市下京区真町		35.003735	135.769033	"https://www.google.co.jp/maps/@35.003738,135.7688894,3a,42.1y,65.02h,106.47t/data=!3m6!1e1!3m4!1s07_zY8K0IV3N-Nae7jF8SQ!2e0!7i13312!8i6656"						四畳半神話大系	ヨジョウハンシンワタイケイ	第4話で、樋口清太郎師匠から「幻の亀の子束子」を手に入れたいと聞かされた私が街を歩いていたシーンで、空に浮かぶ巨大な束子が描かれていた交差点。<br />同話の、樋口清太郎師匠から手に入れるよう言い渡された「幻の亀の子束子」を探す私が、明石さんと遭遇して一緒に探すのを手伝ってもらうシーンでは、信号機越しにコトクロス阪急河原町を正面に周囲のビル群が描かれていました。				キョウトシ	ヨ	26	10	5	
0910	0012	完了	京都府	京都市	河原町通り（四条河原町阪急前）	600-8510	京都府京都市下京区真町68		35.003403	135.769459	"https://www.google.co.jp/maps/@35.0031286,135.7694664,3a,42y,347.27h,90.88t/data=!3m6!1e1!3m4!1shjyUCtcgv-HbprAGelpxgg!2e0!7i13312!8i6656"						四畳半神話大系	ヨジョウハンシンワタイケイ	第4話で、「幻の亀の子束子」を探す私と明石さんが情報収集をするために歩いていた場所。<br />※四条河原町阪急は2010年8月22日閉店済。<br />※大時計も撤去済。				キョウトシ	ヨ	26	10	5	
