作品No.	聖地No.	確定	都道府県	市区郡	聖地名	郵便番号	住所	住所２	座標：緯度	座標：経度	SV	倍率	SV過去	Fov	Zoom	電話番号	作品	作品名フリガナ	備考	公式サイトURL	情報参照元URL	備考2	市区町村読み仮名	作品名50音	県順	市順	域順	実在
0622	0001		神奈川県	横浜市	住宅街	221-0065	神奈川県横浜市神奈川区白楽		35.488671	139.62795	"https://www.google.co.jp/maps/@35.488731,139.627839,3a,75y,118.15h,94.81t/data=!3m4!1e1!3m2!1sgmrzCG8ZlpBvyRCihzb7rQ!2e0?hl=ja"						夏のあらし！	ナツノアラシ					ヨコハマシ	ナ	14	1	2	
0622	0002		神奈川県	横浜市	階段	221-0065	神奈川県横浜市神奈川区白楽		35.488219	139.628204	"https://www.google.co.jp/maps/@35.488208,139.62813,3a,75y,53.48h,87.73t/data=!3m4!1e1!3m2!1sK1tvSqcOOC9s3NbBblHRJw!2e0?hl=ja"						夏のあらし！	ナツノアラシ					ヨコハマシ	ナ	14	1	2	
0622	0003		神奈川県	横浜市	高架線路	221-0065	神奈川県横浜市神奈川区白楽16		35.486767	139.628162	"https://www.google.co.jp/maps/@35.486667,139.627835,3a,75y,77.8h,93.51t/data=!3m4!1e1!3m2!1sVtDi_-vCFCFPtXyZU5JyRQ!2e0?hl=ja"						夏のあらし！	ナツノアラシ					ヨコハマシ	ナ	14	1	2	
0622	0004		神奈川県	横浜市	坂道	221-0065	神奈川県横浜市神奈川区白楽90		35.487039	139.62942	"https://www.google.co.jp/maps/@35.486999,139.629225,3a,75y,85.35h,84.06t/data=!3m4!1e1!3m2!1sqI8RJLQi6lMsTmRjqmiwFg!2e0?hl=ja"						夏のあらし！	ナツノアラシ					ヨコハマシ	ナ	14	1	2	
0622	0005		神奈川県	横浜市	東急 大倉山駅	222-0037	神奈川県横浜市港北区大倉山1-1-1		35.522028	139.629917	-	12.0					夏のあらし！	ナツノアラシ	改札				ヨコハマシ	ナ	14	1	2	
0622	0006		神奈川県	横浜市	高架下	222-0037	神奈川県横浜市港北区大倉山1-1-1		35.521449	139.630335	"https://www.google.co.jp/maps/@35.521625,139.62991,3a,75y,261.82h,95.22t/data=!3m4!1e1!3m2!1shL5A_RC4GhVnO94CX_kDvA!2e0?hl=ja"						夏のあらし！	ナツノアラシ	大倉山駅の高架下越しにクスリのカツマタ大倉山店（作中では「クスリのミツマタ」）が描かれてみました。				ヨコハマシ	ナ	14	1	2	
0622	0007		神奈川県	横浜市	Be We Flower'S大倉山店	222-0037	神奈川県横浜市港北区大倉山1-17-10‎	茶々の木ビル1F	35.521048	139.631002	"https://www.google.co.jp/maps/@35.521077,139.631101,3a,75y,280.02h,89.73t/data=!3m4!1e1!3m2!1sTFDi6XFymHT4gs7M62NJNg!2e0?hl=ja"					090-6304-1943	夏のあらし！	ナツノアラシ		http://www.bewe.jp/original15.html			ヨコハマシ	ナ	14	1	2	
0622	0008		神奈川県	横浜市	有限会社 大伸	222-0037	神奈川県横浜市港北区大倉山1-2-1	メリア・マローネ1F	35.521336	139.630729	"https://www.google.co.jp/maps/@35.521257,139.630752,3a,75y,345.25h,93.74t/data=!3m4!1e1!3m2!1seEAKHyoY_1-XLkW_5kpBfQ!2e0?hl=ja"					045-545-2383	夏のあらし！	ナツノアラシ	歩く2人の背景に描かれていた不動産屋。作中では会社名が「大奥」になっていました。				ヨコハマシ	ナ	14	1	2	
0622	0009		神奈川県	横浜市	大倉山駅 前	222-0037	神奈川県横浜市港北区大倉山1-17		35.521449	139.630335	https://www.google.co.jp/maps/preview?hl=ja						夏のあらし！	ナツノアラシ	座標地点辺りから駅方向を望む構図で通りが描かれていました。作中では美林の文字が「美鈴」に、横浜銀行の文字が「横池」になっていました。				ヨコハマシ	ナ	14	1	2	
0622	0010	完了	神奈川県	横浜市	大山1	222-0037	神奈川県横浜市港北区大倉山		35.524652	139.628355		16.0					夏のあらし！	ナツノアラシ	エンディングに使われている実写加工画像のロケ地。この地点から後ろ向きに道を下っていくような視点で撮影されています。				ヨコハマシ	ナ	14	1	2	
0622	0011	完了	神奈川県	横浜市	大山2	222-0037	神奈川県横浜市港北区大倉山		35.523626	139.628596		16.0					夏のあらし！	ナツノアラシ	エンディングに使われている実写加工画像のロケ地。この地点から階段を登り大倉山記念館前まで撮影されています。				ヨコハマシ	ナ	14	1	2	
0622	0012		神奈川県	横浜市	大山3	222-0037	神奈川県横浜市港北区大倉山		35.525245	139.627818		16.0					夏のあらし！	ナツノアラシ					ヨコハマシ	ナ	14	1	2	
