作品No.	聖地No.	確定	都道府県	市区郡	聖地名	郵便番号	住所	住所２	座標：緯度	座標：経度	SV	倍率	SV過去	Fov	Zoom	電話番号	作品	作品名フリガナ	備考	公式サイトURL	情報参照元URL	備考2	市区町村読み仮名	作品名50音	県順	市順	域順	実在
0623	0013	完了	熊本県	八代市	JR 八代駅	866-0831	熊本県八代市萩原町1-1-1		32.503825	130.621572	"https://www.google.co.jp/maps/@32.503629,130.621259,3a,20y,54.54h,93.39t/data=!3m6!1e1!3m4!1sHa6avQSSm4t3Do7stXK0Pw!2e0!7i13312!8i6656"	12.0			4.5		夏目友人帳	ナツメユウジンチョウ	第9話のラストで、柊をめぐる一件が片付いた後に夏目貴志が名取周一を見送った「何樫駅」のモデル。				ヤツシロシ	ナ	43	2	8	
0623	0014	完了	熊本県	八代市	JR 瀬戸石駅	869-5221	熊本県八代市坂本町川嶽3145		32.371542	130.646114	-	13.0					夏目友人帳	ナツメユウジンチョウ	第5話で、夏目貴志が祖母・夏目レイコの遺品の中から見つけた古い切符が気になってやって来た廃駅「森口駅」のモデルで、レイコを待ち続けていた妖・さんとと出会っていました。<br />さんとが座っていたベンチこそありませんが、待合室（撤去済）などは忠実に再現されています。				ヤツシロシ	ナ	43	2	8	
0623	0005	完了	熊本県	人吉市	JR 大畑駅	868-0812	熊本県人吉市大野町		32.164775	130.787703	"https://www.google.co.jp/maps/@32.1647083,130.787724,3a,75y,344.5h,90.01t/data=!3m6!1e1!3m4!1sIt1rSuQq14cofYEPWPH6LQ!2e0!7i13312!8i6656"	12.0			2		夏目友人帳	ナツメユウジンチョウ	第7話で、子狐が夏目貴志に会いに行くため、人に化けて列車に乗った駅。				ヒトヨシシ	ナ	43	3	8	
0623	0006	完了	熊本県	人吉市	隠れ里の湯 移設復元校舎	868-0813	熊本県人吉市矢岳町3248		32.121520	130.796209	-					0966-23-1111	夏目友人帳	ナツメユウジンチョウ	第4話で、夏目貴志が参加した肝試しの会場となっていた旧校舎のモデル。<br />委員長の笹田純が、幼少時に参加した肝試しでなくした母の形見のお守りを見つけてくれた妖の時雨お礼を言いたいと願い、何度も旧校舎に来て時雨を探していたことが語られていました。	http://kakuresatonoyu.jp/			ヒトヨシシ	ナ	43	3	8	
0623	0001	完了	熊本県	人吉市	むつみ橋	868-0043	熊本県人吉市東間上町		32.202014	130.764263	-						夏目友人帳	ナツメユウジンチョウ	第6話で、二葉ダムが干上がっている間だけ外に出られる妖の燕の、昔の恩人である谷尾崎に会いたいという願いを叶えるべく、北本篤史から教えてもらった住所に向かう夏目貴志と燕が駆け渡っていた橋。<br />下流（北方）の田町橋東詰辺りから望む構図で、橋を含む遠景が描かれてました。				ヒトヨシシ	ナ	43	3	8	
0623	0008	完了	熊本県	人吉市	東間小学校前バス停 前	868-0044	熊本県人吉市東間下町		32.204725	130.766421	"https://www.google.co.jp/maps/@32.2049461,130.7663384,3a,15.7y,162.33h,90.59t/data=!3m6!1e1!3m4!1sqvwvLpmDrpxiei-IId4O2w!2e0!7i13312!8i6656"				5		夏目友人帳	ナツメユウジンチョウ	第6話で、二葉ダムが干上がっている間だけ外に出られる妖の燕が、夏目貴志の協力で昔の恩人である谷尾崎に会っていた場所。谷尾崎には燕の姿が見えなかったので、燕が一方的に何やら話しかけている姿が描かれていました。				ヒトヨシシ	ナ	43	3	8	
0623	0002	完了	熊本県	人吉市	仏像	868-0045	熊本県人吉市浪床町‎		32.205303	130.76639	"https://www.google.co.jp/maps/@32.2054797,130.7662279,3a,23.3y,155.33h,93.09t/data=!3m6!1e1!3m4!1sBul5Nb8QzIh_eM4O9YoLAg!2e0!7i13312!8i6656"	17.0			4		夏目友人帳	ナツメユウジンチョウ	第6話で、二葉ダムが干上がっている間だけ外に出られる妖の燕の、昔の恩人である谷尾崎に会いたいという願いを叶えるべく、夏目貴志と燕が北本篤史から教えてもらった住所に向かうシーンで描かれていた仏像。				ヒトヨシシ	ナ	43	3	8	
0623	0003	完了	熊本県	人吉市	天狗橋	868-0085	熊本県人吉市中神町1		32.225708	130.713678	-	14.0					夏目友人帳	ナツメユウジンチョウ	夏目貴志の通学路としてシリーズを通して度々登場しているお馴染みの橋。<br />第3話では、夏目に妖怪退治をする人間を退治して欲しいと頼みに来た中級妖怪（つるつる、牛）が、幟や傘を持って学校に向かう夏目の露払いを勝手にはじめ、夏目にこの橋で「よせ！迷惑だ」と怒鳴られていました。学校帰りにもこの橋で中級妖怪が待っているのを見て、諦めて話を聞くことにしていました。<br />第10話では、この橋で西村悟、北本篤史と別れた後の夏目が、病んでしまった蒼琴弾きの妖・アサギを助けようと、夏目の体を奪おうとする傘を持った妖のアカガネと遭遇していました。				ヒトヨシシ	ナ	43	3	8	
0623	0004	完了	熊本県	人吉市	美庵珈	868-0086	熊本県人吉市下原田町1089-1		32.228658	130.719724	"https://www.google.co.jp/maps/@32.2284806,130.7199109,3a,46.2y,326.53h,96.1t/data=!3m6!1e1!3m4!1s_9HDQ_O9zU5bfQYX8WuoIQ!2e0!7i13312!8i6656"					0966-24-5868	夏目友人帳	ナツメユウジンチョウ	第9話で、名取周一がお祓い稼業を手伝わないかと夏目貴志を誘っていた喫茶店。<br />外観は細部で一致するところが無くはないという程度で、構造自体は大分違いますが、内装はかなり似ているようです。				ヒトヨシシ	ナ	43	3	8	
0623	0007	完了	熊本県	球磨郡	雨宮神社	868-0093	熊本県球磨郡相良村川辺		32.251322	130.812165	"https://www.google.co.jp/maps/@32.2507441,130.8137915,3a,58y,283.16h,95.52t/data=!3m6!1e1!3m4!1sFp0M-BMDHndzXe3SavRJjA!2e0!7i13312!8i6656"	13.0					夏目友人帳	ナツメユウジンチョウ	第2話で、夏目貴志とニャンコ先生が訪れた「露神の祠」のある森のモデル。雨乞い祈願の神社とのことで、作中のお話とも合致します。				クマグン	ナ	43	22	8	
0623	0009	完了	熊本県	球磨郡	国道219号線（COLORS・あさぎり企画前）	868-0408	熊本県球磨郡あさぎり町免田東1718		32.234993	130.894209	"https://www.google.co.jp/maps/@32.235118,130.894164,3a,90y,141.23h,92.8t/data=!3m4!1e1!3m2!1sQBTU1BLEnCXOABVenS3mNQ!2e0"				1	0966-43-1181	夏目友人帳	ナツメユウジンチョウ	第9話の学校帰りのシーンで、後ろをついてくる名取周一のために周囲の人々から注目されるのを嫌がる夏目貴志が、もっと離れて歩いて欲しいと頼むのに対し、名取が「きらめいててゴメン」と抜群の返答をしていた場所。<br />あさぎり企画（作中では「ノワール」）はブライダルプロデュースの店で、COLORSはブティック とのこと。				クマグン	ナ	43	22	8	
