作品No.	聖地No.	確定	都道府県	市区郡	聖地名	郵便番号	住所	住所２	座標：緯度	座標：経度	SV	倍率	SV過去	Fov	Zoom	電話番号	作品	作品名フリガナ	備考	公式サイトURL	情報参照元URL	備考2	市区町村読み仮名	作品名50音	県順	市順	域順	実在
0626	0029	完了	東京都	目黒区	旧前田侯爵邸 洋館	153-0041	東京都目黒区駒場4ｰ3ｰ55	目黒区立駒場公園	35.662145	139.680170	-						夏目友人帳 伍	ナツメユウジンチョウゴ	第8話の祓い屋の会合シーンで、名取周一が祓い屋たちから、唯一親交のあった祓い屋の拓磨洋介が妖怪に襲われ怪我をしたとの話を聞いていた屋敷内のモデル。				メグロク	ナ	13	23	2	
0626	0001	完了	東京都	杉並区	ファミリーマート阿佐谷南三丁目店	166-0004	東京都杉並区阿佐谷南3-31-11	エスポワール1F	35.702483	139.636089	"https://www.google.co.jp/maps/@35.7024905,139.636264,3a,80y,280.15h,109.97t/data=!3m6!1e1!3m4!1s_sg-5KDNCyL-GqBCmKITPw!2e0!7i13312!8i6656"					03-5347-9610	夏目友人帳 伍	ナツメユウジンチョウゴ	特別篇「ニャンコ先生とはじめてのおつかい」で、名取周一が子供のころからこれだけはやめられないと言ってぱくりんチョコを買っていたコンビニ「Pamily Mart」のモデル。				スギナミク	ナ	13	12	2	
0626	0028	完了	東京都	小金井市	江戸東京たてもの園　高橋是清邸	184-0005	東京都小金井市桜町3-7-1		35.716186	139.513300	"https://www.google.co.jp/maps/@35.7162706,139.5132565,3a,22y,163.75h,99.8t/data=!3m6!1e1!3m4!1s_OwTCXEpJicvJ5LTrrNR_Q!2e0!7i13312!8i6656"						夏目友人帳 伍	ナツメユウジンチョウゴ	第8話で描かれていた名取周一の実家の屋敷の玄関部分のモデル。<br />作中では左右反転して作画されているようです。				コガネイシ	ナ	13	30	2	
0626	0002	完了	神奈川県	足柄下郡	三河屋旅館	250-0406	神奈川県足柄下郡箱根町小涌谷503		35.237021	139.046444	"https://www.google.co.jp/maps/@35.2368564,139.0470623,3a,31.1y,274.63h,105.55t/data=!3m6!1e1!3m4!1sSufsFwF4mmPRTL9CdyioIA!2e0!7i13312!8i6656"					0460-82-2231	夏目友人帳 伍	ナツメユウジンチョウゴ	第10話で、藤原塔子が友人との旅行で宿泊していた旅館のモデル。	http://www.hakone-mikawaya.com/			アシガラシモグン	ナ	14	25	2	
0626	0003	完了	鳥取県	鳥取市	仁風閣	680-0011	鳥取県鳥取市東町2-121		35.507187	134.237527	"https://www.google.co.jp/maps/@35.5068733,134.2376894,3a,28y,337h,98.6t/data=!3m6!1e1!3m4!1sxDSPCBXEPJqgRK5Hh0x8JA!2e0!7i13312!8i6656"						夏目友人帳 伍	ナツメユウジンチョウゴ	第8話で、名取周一や的場静司が参加していた祓い屋の会合の会場となっていた屋敷。				トットリシ	ナ	31	1	6	
0626	0004	完了	熊本県	熊本市	JR 熊本駅	860-0047	熊本県熊本市西区春日3-15-1		32.790206	130.689225	-						夏目友人帳 伍	ナツメユウジンチョウゴ	第3話で、未熟な祓い人が不完全な封印で妖怪を壺に閉じ込めた現場に遭遇した夏目貴志が、壺を持って名取周一に相談すべくやって来た駅。<br />西口駅前、815系の電車とホームが描かれていました。				クマモトシ	ナ	43	1	8	
0626	0005	完了	熊本県	熊本市	雁木坂	860-0078	熊本県熊本市中央区京町1-8		32.812985	130.703052	-						夏目友人帳 伍	ナツメユウジンチョウゴ	第3話で、不完全な封印で壺に封じられた妖怪の取扱いを相談するために、名取周一の家に向かう夏目貴志が上っていた階段。				クマモトシ	ナ	43	1	8	
0626	0026	完了	熊本県	熊本市	JR鹿児島本線加勢川橋梁	861-4115	熊本県熊本市南区川尻4-8		32.737650	130.679448	-						夏目友人帳 伍	ナツメユウジンチョウゴ	第3話の妖が封印された壺について相談をしに名取周一のマンションを訪れた帰りのシーンで、夏目貴志が乗る電車が渡っていた橋。				クマモトシ	ナ	43	1	8	
0626	0027	完了	熊本県	熊本市	浜戸川の土手（硴江堰付近）	861-4165	熊本県熊本市南区富合町硴江		32.711013	130.657122	"https://www.google.co.jp/maps/@32.7110931,130.6572727,3a,44.1y,199.25h,89.35t/data=!3m6!1e1!3m4!1sbkRi8HKXaOzq0WU5EgFA_Q!2e0!7i13312!8i6656"						夏目友人帳 伍	ナツメユウジンチョウゴ	第8話で、高校時代の名取周一が物思いに耽っていた土手で、川を眺める的場静司を目撃していました。<br />背景には硴江堰が描かれています。				クマモトシ	ナ	43	1	8	
0626	0006	完了	熊本県	上益城郡	幣立神宮	861-3905	熊本県上益城郡山都町大野698		32.686261	131.135434	"https://www.google.co.jp/maps/@32.6860886,131.1354229,3a,21.1y,12.05h,101t/data=!3m7!1e1!3m5!1sjiqjFim-kAGSAO-rgq8xyQ!2e0!5s20131201T000000!7i13312!8i6656"					0967-83-0159	夏目友人帳 伍	ナツメユウジンチョウゴ	第3話で、的場静司から手紙を受け取った夏目貴志が、相談をしようとニャンコ先生を探しに訪れ、祓い人が妖怪を封じている現場に遭遇していた場所。<br />鳥居と医石段が描かれていました。				カミマシキグン	ナ	43	19	8	
