作品No.	聖地No.	確定	都道府県	市区郡	聖地名	郵便番号	住所	住所２	座標：緯度	座標：経度	SV	倍率	SV過去	Fov	Zoom	電話番号	作品	作品名フリガナ	備考	公式サイトURL	情報参照元URL	備考2	市区町村読み仮名	作品名50音	県順	市順	域順	実在
0627	0011	完了	東京都	北区	旧古河邸	114-0024	東京都北区西ケ原1-27-39	旧古河庭園	35.743030	139.745965	"https://www.google.co.jp/maps/@35.742771,139.7458546,3a,36.5y,19.07h,102.88t/data=!3m7!1e1!3m5!1saPJyFuFhXzos58AFNWx1gw!2e0!6s%2F%2Fgeo1.ggpht.com%2Fcbk%3Fpanoid%3DaPJyFuFhXzos58AFNWx1gw%26output%3Dthumbnail%26cb_client%3Dmaps_sv.tactile.gps%26thumb%3D2%26w%3D203%26h%3D100%26yaw%3D5.0521665%26pitch%3D0%26thumbfov%3D100!7i13312!8i6656"						夏目友人帳 陸	ナツメユウジンチョウロク	第4話冒頭で、夏目貴志が観に行った名取周一主演の映画「きらめき探偵 THE MOVIE」のワンシーンで背景に描かれていた洋館のモデル。				キタク	ナ	13	7	2	
0627	0022	完了	熊本県	熊本市	白川ちゃりんぽみち	860-0039	熊本県熊本市中央区川端町		32.792671	130.695075	-						夏目友人帳 陸	ナツメユウジンチョウロク	第10話で、藤原塔子の作ったジャムを届けるために名取周一のマンションに向かう夏目貴志が、迎えに来た名取と遭遇していた場所。				クマモトシ	ナ	43	1	8	
0627	0023	完了	熊本県	熊本市	地蔵	860-0082	熊本県熊本市西区池田1-15		32.824323	130.705429	"https://www.google.co.jp/maps/@32.824342,130.7054108,3a,15y,110.06h,60.6t/data=!3m6!1e1!3m4!1sx90yUDIAju5qraX3pZO9LQ!2e0!7i13312!8i6656"				5		夏目友人帳 陸	ナツメユウジンチョウロク	第4話で、夏目貴志が、商店街で拾った名取周一の紙人形に書かれていた「桜洗塚十四時」が気がかりで、指定の場所にやって来たものの、雨の中で傘も忘れてきたために難渋していたシーンの挿入カットで描かれていた地蔵。				クマモトシ	ナ	43	1	8	
0627	0014	完了	熊本県	熊本市	かんかん坂（カーブミラー脇）	860-0082	熊本県熊本市西区池田1-17		32.823471	130.703635	"https://www.google.co.jp/maps/@32.8235977,130.7034991,3a,15y,135.73h,91.59t/data=!3m6!1e1!3m4!1s9dReOp76eUuO4WXOMU8Wkw!2e0!7i13312!8i6656"						夏目友人帳 陸	ナツメユウジンチョウロク	第4話で、夏目貴志が、商店街で拾った名取周一の紙人形に書かれていた「桜洗塚十四時」が気がかりで、指定の場所にやって来たものの、雨の中で傘も忘れてきたために難渋していた場所で、夏目が困っている様子を見かねた拓磨月子に声をかけられていました。				クマモトシ	ナ	43	1	8	
0627	0016	完了	熊本県	熊本市	坂道	860-0082	熊本県熊本市西区池田1-21		32.824497	130.702245	"https://www.google.co.jp/maps/@32.8242179,130.7022584,3a,23.4y,346.48h,85.65t/data=!3m6!1e1!3m4!1sENeeQ38MJaxav1T1dTwhUQ!2e0!7i13312!8i6656"						夏目友人帳 陸	ナツメユウジンチョウロク	第5話のラストで、祓い屋と元式たちの事件が解決し、拓磨家を後にした夏目貴志と名取周一が歩いていた坂道。				クマモトシ	ナ	43	1	8	
0627	0018	完了	熊本県	熊本市	かんかん坂	860-0082	熊本県熊本市西区池田1-21		32.824271	130.702231	"https://www.google.co.jp/maps/@32.8244756,130.7021139,3a,15y,148.25h,93.32t/data=!3m7!1e1!3m5!1sz8RcYrorRXwR5YGnCXEiCg!2e0!6s%2F%2Fgeo1.ggpht.com%2Fcbk%3Fpanoid%3Dz8RcYrorRXwR5YGnCXEiCg%26output%3Dthumbnail%26cb_client%3Dmaps_sv.tactile.gps%26thumb%3D2%26w%3D203%26h%3D100%26yaw%3D109.46885%26pitch%3D0%26thumbfov%3D100!7i13312!8i6656"						夏目友人帳 陸	ナツメユウジンチョウロク	第5話のラストで、祓い屋と元式たちの事件が解決して拓磨家を後にし、笑顔で夏目貴志を見送った名取周一が、式たちに夏目が大事に隠しているものを調べるよう命じていた場所。				クマモトシ	ナ	43	1	8	
0627	0017	完了	熊本県	熊本市	韓・池1号踏切	860-0082	熊本県熊本市西区池田2-43		32.824534	130.702073	"https://www.google.co.jp/maps/@32.8243784,130.702182,3a,19y,330.87h,86.73t/data=!3m6!1e1!3m4!1sop1HGzNh564oXwCPtq3Jiw!2e0!7i13312!8i6656"						夏目友人帳 陸	ナツメユウジンチョウロク	第5話ラストで、祓い屋と元式たちの事件が解決して拓磨家を後にし、名取周一と別れた夏目貴志が渡っていた踏切。				クマモトシ	ナ	43	1	8	
0627	0001	完了	熊本県	熊本市	サンロード新市街前の交差点	860-0803	熊本県熊本市中央区新市街7		32.799197	130.705162	"https://www.google.co.jp/maps/@32.7992201,130.7052386,3a,28.4y,252.34h,91.52t/data=!3m6!1e1!3m4!1sk-7lwTsyPQl_WyFDrMKsVw!2e0!7i13312!8i6656"						夏目友人帳 陸	ナツメユウジンチョウロク	第4話で、名取周一主演の映画「きらめき探偵 THE MOVIE」を観た映画館帰りに、夏目貴志が名取の紙人形を見つけていた交差点。				クマモトシ	ナ	43	1	8	
0627	0002	完了	熊本県	熊本市	Denkikan	860-0803	熊本県熊本市中央区新市街8-2	デンキカンビル2F	32.798934	130.706059	"https://www.google.co.jp/maps/@32.7991231,130.7059285,3a,22.1y,134.06h,94.82t/data=!3m6!1e1!3m4!1sjVA9Ct8JOdFfLor14gjcHg!2e0!7i13312!8i6656"					096-352-2121	夏目友人帳 陸	ナツメユウジンチョウロク	第4話で、夏目貴志が、名取周一主演の映画「きらめき探偵 THE MOVIE」を観ていた映画館。	http://www.denkikan.com/			クマモトシ	ナ	43	1	8	
0627	0015	完了	熊本県	熊本市	イタリアン・トマト CafeJr. 熊本下通店	860-0807	熊本県熊本市中央区下通1-12-1		32.800114	130.708174	"https://www.google.co.jp/maps/@32.8000808,130.7080459,3a,19.4y,61.29h,90.08t/data=!3m6!1e1!3m4!1sGSQTzfI4mdBgd-qbRU4vNw!2e0!7i13312!8i6656"						夏目友人帳 陸	ナツメユウジンチョウロク	第4話で、名取周一主演の映画を観た映画館帰りに雨に降られた夏目貴志が、この店の脇で雨宿りする姿が描かれていました。<br />作中では店の位置が商店街の入口付近に変えられています。<br />※2019年8月25日閉店済。				クマモトシ	ナ	43	1	8	閉店
0627	0003	完了	熊本県	八代市	日本製紙八代工場	866-0823	熊本県八代市十条町2-2		32.505764	130.619929	"https://www.google.co.jp/maps/@32.5033973,130.6216121,3a,18.5y,334.46h,99.85t/data=!3m6!1e1!3m4!1s50nazuB7p2Jx-MyJXa4ZrA!2e0!7i16384!8i8192"						夏目友人帳 陸	ナツメユウジンチョウロク	第3話で、夏目貴志が田沼要を連れて柴田に会いに来た駅シーンの挿入カットで描かれていた工場の煙突のモデル。実際に八代駅前から駅舎越しに煙突が望めます。				ヤツシロシ	ナ	43	2	8	
