作品No.	聖地No.	確定	都道府県	市区郡	聖地名	郵便番号	住所	住所２	座標：緯度	座標：経度	SV	倍率	SV過去	Fov	Zoom	電話番号	作品	作品名フリガナ	備考	公式サイトURL	情報参照元URL	備考2	市区町村読み仮名	作品名50音	県順	市順	域順	実在
0577	0001		北海道	札幌市	アイアール南郷VII	003-0022	北海道札幌市白石区南郷通（南）7丁目南1-11-2		43.039016	141.409407	"https://www.google.co.jp/maps/@43.0391454,141.4094373,3a,90y,196.26h,100.18t/data=!3m4!1e1!3m2!1sIRyR0u5KtsHijCJLS_PTqw!2e0"	18.0		120	1.5		天体のメソッド	テンタイノメソッド	第3話。汐音のアパートのモデル。隣接する建物は作中とは全く異なります。				サッポロシ	テ	1	1	1	
0577	0002		北海道	札幌市	旧北海道庁	060-0003	北海道札幌市中央区北三条西6		43.063942	141.347982	"https://www.google.co.jp/maps/@43.0641607,141.3495371,3a,41y,260.25h,90.27t/data=!3m4!1e1!3m2!1sxe-lRYSRPDBsM6KWXV1f3g!2e0?hl=ja"	16.0		120	3		天体のメソッド	テンタイノメソッド	第2話。「北美中学校」のモデルで、庁舎内も忠実に描かれていました。				サッポロシ	テ	1	1	1	
0577	0003	完了	北海道	札幌市	JR 札幌駅 南口 バスターミナル	060-0005	北海道札幌市中央区北五条西2		43.067759	141.351426		15.0		0			天体のメソッド	テンタイノメソッド	第1話				サッポロシ	テ	1	1	1	
0577	0004		北海道	札幌市	東急ハンズ札幌店	060-0061	北海道札幌市中央区南一条西6-4-1		43.058321	141.348806	"https://www.google.co.jp/maps/@43.058502,141.348793,3a,49.3y,170.78h,113.66t/data=!3m4!1e1!3m2!1sHt1tbX620Wu5HsAlJZz-Kw!2e0"	17.0		120	1	011-218-6111	天体のメソッド	テンタイノメソッド	第8話	http://sapporo.tokyu-hands.co.jp/			サッポロシ	テ	1	1	1	
0577	0005		北海道	虻田郡	JR 豊浦駅	049-5412	北海道虻田郡豊浦町旭町		42.579674	140.715652	"https://www.google.co.jp/maps/@42.5804577,140.7144651,3a,22.7y,124.78h,98.74t/data=!3m6!1e1!3m4!1srjfGhwbX02fl4TH2IL8Z-g!2e0!7i13312!8i6656?dcr=0"						天体のメソッド	テンタイノメソッド	第7話で、お墓参りに向かう古宮乃々香一行が立ち寄った乗継ぎ駅。				アブタグン	テ	1	40	1	
0577	0006		北海道	虻田郡	とうやこ幼稚園	049-5605	北海道虻田郡洞爺湖町高砂町127-9		42.551442	140.776011		16.0		0			天体のメソッド	テンタイノメソッド	第4話。「きりやこ幼稚園」のモデル。作中通りの廃園で、建物の損傷から打ち捨てられた幼稚園バスなども完全再現されています。				アブタグン	テ	1	40	1	
0577	0007		北海道	虻田郡	とうや・水の駅	049-5802	北海道虻田郡洞爺湖町洞爺町100		42.646783	140.832782		17.0		0		0142-89-3108	天体のメソッド	テンタイノメソッド	第7話。「幌美内駅」の駅舎のモデル。※Blu-ray版で修正されたもので、TV放映版では、香川県観音寺のJR豊浜駅がモデルに作画されていました。				アブタグン	テ	1	40	1	
0577	0008		北海道	虻田郡	赤川一号橋	049-5604	北海道虻田郡洞爺湖町栄町		42.548275	140.769167	"https://www.google.co.jp/maps/@42.5483318,140.7691866,3a,30.4y,174.57h,89.26t/data=!3m6!1e1!3m4!1sI70E9a6Q3RX3AiacptuhrA!2e0!7i13312!8i6656?dcr=0"						天体のメソッド	テンタイノメソッド	エンディング				アブタグン	テ	1	40	1	
0577	0009		北海道	虻田郡	洞爺駅 跨線橋	049-5611	北海道虻田郡洞爺湖町旭町		42.550780	140.764211	"https://www.google.co.jp/maps/@42.5510518,140.7638143,3a,36y,150.11h,106.03t/data=!3m6!1e1!3m4!1s294tnfH4h4FxMgbRJMY7Cw!2e0!7i13312!8i6656?dcr=0"						天体のメソッド	テンタイノメソッド	エンディング				アブタグン	テ	1	40	1	
0577	0010		北海道	虻田郡	彫刻「回生」	049-5721	北海道虻田郡洞爺湖町洞爺湖温泉		42.566135	140.817029	"https://www.google.co.jp/maps/@42.5659202,140.8168494,3a,18.2y,35.6h,87.21t/data=!3m4!1e1!3m2!1shfF3qvw0P7kMhJXfnB3ziQ!2e0"	17.0		120	5		天体のメソッド	テンタイノメソッド	第2話				アブタグン	テ	1	40	1	
0577	0011		北海道	虻田郡	彫刻「旅ひとり」	049-5721	北海道虻田郡洞爺湖町洞爺湖温泉		42.566216	140.821931	-	17.0		0			天体のメソッド	テンタイノメソッド	第2話				アブタグン	テ	1	40	1	
0577	0012		北海道	虻田郡	彫刻「風」	049-5721	北海道虻田郡洞爺湖町洞爺湖温泉		42.566143	140.817965	"https://www.google.co.jp/maps/@42.5658641,140.8180268,3a,15y,347.03h,86.79t/data=!3m4!1e1!3m2!1sqRko6JM5kVoUwMcpj3JxvQ!2e0"	17.0		120	5		天体のメソッド	テンタイノメソッド	第4話				アブタグン	テ	1	40	1	
0577	0013		北海道	虻田郡	彫刻「湖畔にて」	049-5721	北海道虻田郡洞爺湖町洞爺湖温泉		42.566186	140.826188							天体のメソッド	テンタイノメソッド	第5話				アブタグン	テ	1	40	1	
0577	0014		北海道	虻田郡	彫刻「「THE EARTH VIBRATION とうや」	049-5721	北海道虻田郡洞爺湖町洞爺湖温泉		42.561208	140.849113							天体のメソッド	テンタイノメソッド	第3話				アブタグン	テ	1	40	1	
0577	0015		北海道	虻田郡	床丹橋	049-5721	北海道虻田郡洞爺湖町洞爺湖温泉		42.564693	140.816686	"https://www.google.co.jp/maps/@42.5646834,140.8166609,3a,49.4y,0.05h,74.61t/data=!3m4!1e1!3m2!1sTDqf2cecjU6OPMkgpJn8TA!2e0"	16.0		120	2		天体のメソッド	テンタイノメソッド	第2話				アブタグン	テ	1	40	1	
0577	0016	完了	北海道	虻田郡	洞爺湖	049-5721	北海道虻田郡洞爺湖町洞爺湖温泉		42.579058	140.851849	"https://www.google.com/maps/@42.5599278,140.8078611,3a,75y,90t/data=!3m5!1e2!3m3!1s-BlScBIoL_dg%2FUCEcmThXemI%2FAAAAAAAAXmA%2FQ0WPg6RPGUU!2e4!3e15?hl=ja"	10.0		0			天体のメソッド	テンタイノメソッド	物語の舞台である「霧弥湖」のモデル。				アブタグン	テ	1	40	1	
0577	0017	完了	北海道	虻田郡	三豊トンネル	049-5721	北海道虻田郡洞爺湖町洞爺湖温泉		42.569822	140.798630	"https://www.google.co.jp/maps/@42.5699327,140.7987583,3a,37.5y,53.76h,93.27t/data=!3m4!1e1!3m2!1sTvCI0caQbEIwHnvfuV1g7w!2e0"	15.0		120	3		天体のメソッド	テンタイノメソッド	第1話で古宮乃々香が父親と共に霧弥湖町に引っ越してくるシーンで通っていたトンネル。洞爺湖側の出入り口になります。				アブタグン	テ	1	40	1	
0577	0018		北海道	虻田郡	桟橋	049-5721	北海道虻田郡洞爺湖町洞爺湖温泉		42.646004	140.833162							天体のメソッド	テンタイノメソッド	オープニング				アブタグン	テ	1	40	1	
0577	0019		北海道	虻田郡	洞爺小公園・中央公園	049-5721	北海道虻田郡洞爺湖町洞爺湖温泉		42.645810	140.832083							天体のメソッド	テンタイノメソッド					アブタグン	テ	1	40	1	
0577	0020		北海道	虻田郡	洞爺湖温泉バスターミナル	049-5721	北海道虻田郡洞爺湖町洞爺湖温泉		42.564309	140.817537							天体のメソッド	テンタイノメソッド	第3話				アブタグン	テ	1	40	1	
0577	0021	完了	北海道	虻田郡	金比羅火口展望台	049-5721	北海道虻田郡洞爺湖町洞爺湖温泉		42.558736	140.808913	"https://www.google.com/maps/@42.5599278,140.8078611,3a,75y,90t/data=!3m5!1e2!3m3!1s-BlScBIoL_dg%2FUCEcmThXemI%2FAAAAAAAAXmA%2FQ0WPg6RPGUU!2e4!3e15?hl=ja"	16.0		0			天体のメソッド	テンタイノメソッド	オープニングの洞爺湖を見下ろすカットは、この展望台からの景観かと思われます。				アブタグン	テ	1	40	1	
0577	0022		北海道	虻田郡	洞龍の湯	049-5721	北海道虻田郡洞爺湖町洞爺湖温泉36-4		42.566101	140.819622							天体のメソッド	テンタイノメソッド					アブタグン	テ	1	40	1	
0577	0023		北海道	虻田郡	望羊蹄	049-5721	北海道虻田郡洞爺湖町洞爺湖温泉36-12		42.565118	140.819030	"https://www.google.co.jp/maps/@42.5653139,140.8190477,3a,37.5y,172.14h,86.18t/data=!3m4!1e1!3m2!1sFai7C7tJuspqzQfqfnjGgg!2e0"	17.0		120	3	0142-75-2311	天体のメソッド	テンタイノメソッド	オープニング	http://www.boyotei.com/			アブタグン	テ	1	40	1	
0577	0024	完了	北海道	虻田郡	セイコーマート洞爺たなか	049-5721	北海道虻田郡洞爺湖町洞爺湖温泉38-1		42.565177	140.821022	"https://www.google.co.jp/maps/@42.5653277,140.8212214,3a,30y,205.76h,88.94t/data=!3m4!1e1!3m2!1swwQcu_u9WQ5rBGgn4EpwLQ!2e0"	17.0		120	2	0142-75-4182	天体のメソッド	テンタイノメソッド	第1話で古宮乃々香が買い物をしていたコンビニ。	http://map.seicomart.co.jp/map/storemap/index.cgi?nbr=21529			アブタグン	テ	1	40	1	
0577	0025		北海道	虻田郡	洞爺湖サミット記念館	049-5721	北海道虻田郡洞爺湖町洞爺湖温泉142-5		42.564327	140.817569	"https://www.google.co.jp/maps/@42.5647034,140.8181366,3a,47.1y,218.39h,99.08t/data=!3m4!1e1!3m2!1swsc7TnXtMXwnuakwIJTpSQ!2e0"	17.0		120	3		天体のメソッド	テンタイノメソッド	第5話。洞爺湖サミット記念館、洞爺湖観光情報センター、洞爺湖温泉バスターミナルが入っている施設です。				アブタグン	テ	1	40	1	
0577	0026		北海道	虻田郡	てっ平	049-5721	北海道虻田郡洞爺湖町洞爺湖温泉144		42.564878	140.818353	"https://www.google.co.jp/maps/@42.5647034,140.8181366,3a,46.1y,65.08h,91.67t/data=!3m4!1e1!3m2!1swsc7TnXtMXwnuakwIJTpSQ!2e0"	17.0		120	1	0142-75-2406	天体のメソッド	テンタイノメソッド	第4話				アブタグン	テ	1	40	1	
0577	0027		北海道	虻田郡	浮見堂	049-5802	北海道虻田郡洞爺湖町洞爺町		42.638719	140.826625							天体のメソッド	テンタイノメソッド	第3話のオリエンテーリングで訪れていた場所。				アブタグン	テ	1	40	1	
0577	0028		北海道	虻田郡	浮見堂公園　輪舞	049-5802	北海道虻田郡洞爺湖町洞爺町		42.638917	140.824684							天体のメソッド	テンタイノメソッド					アブタグン	テ	1	40	1	
