作品No.	聖地No.	確定	都道府県	市区郡	聖地名	郵便番号	住所	住所２	座標：緯度	座標：経度	SV	倍率	SV過去	Fov	Zoom	電話番号	作品	作品名フリガナ	備考	公式サイトURL	情報参照元URL	備考2	市区町村読み仮名	作品名50音	県順	市順	域順	実在
1153	0084	完了	東京都	千代田区	JR秋葉原 電気街口駅前広場	101-0021	東京都千代田区外神田1-17		35.698825	139.772681	"https://www.google.com/maps/@35.6985806,139.7726076,2a,43.8y,29.43h,99.8t/data=!3m6!1e1!3m4!1s3x3lvBIWWvqDPWjApAMh2g!2e0!7i13312!8i6656"						天気の子	テンキノコ	天野陽菜が消えた代わりにすっかり晴天となった東京の街のカットの一つで、水浸しになった広場で数カ月ぶりに晴れた空をスマホで撮影する人々が描かれていました。				チヨダク	テ	13	17	2	
1153	0030	完了	東京都	中央区	みのる食堂 銀座三越	104-0061	東京都中央区銀座4-6-16	銀座三越 9F	35.671202	139.766064	-						天気の子	テンキノコ	須賀圭介が、亡き妻の母であり、娘の萌花を引き取り養育している間宮夫人と話をしていた喫茶店。<br />作中では店名が「MINORU CAFE GINZA」になっていましたが、「みのりカフェ」も実際に同フロア内にあります。				チュウオウク	テ	13	16	2	
1153	0001	完了	東京都	中央区	八官神社	104-0061	東京都中央区銀座8-4-5		35.669217	139.760252	"https://www.google.co.jp/maps/@35.6691828,139.7602705,3a,34y,335.86h,85.29t/data=!3m6!1e1!3m4!1si-EX2HLB2f7ntn0NJO1pRA!2e0!7i16384!8i8192"						天気の子	テンキノコ	森嶋帆高が須賀夏美に付いて「100％の晴れ女」の取材をしていたカットで、この神社前で着物姿の老婆と女性に取材する姿が描かれていました。<br />実際には木製の無着色の鳥居ですが、作中では赤鳥居に描き変えられています。				チュウオウク	テ	13	16	2	
1153	0064	完了	東京都	港区	タイムズ 東京プリンスホテル第２	105-0011	東京都港区芝公園3-3		35.658891	139.749429	-						天気の子	テンキノコ	「100％の晴れ女」業の最後の依頼で晴れにした芝公園で須賀萌花と遊んだ帰りに、森嶋帆高と天野陽菜の2人が、須賀圭介たちと別れていた場所。				ミナトク	テ	13	22	2	
1153	0002	完了	東京都	港区	芝公園	105-0011	東京都港区芝公園4-8-4		35.655370	139.748754	-						天気の子	テンキノコ	須賀圭介が、喘息持ちで雨の日には会わせてもらえない娘・須賀明日花と、天野陽菜に晴れにしてもらって会っていた公園で、森嶋帆高や陽菜、天野凪、夏美も含めた6人で遊んでいました。<br />圭介たちが座っていたベンチも実在します。				ミナトク	テ	13	22	2	
1153	0028	完了	東京都	港区	竹芝客船ターミナル	105-0022	東京都港区海岸1-12-2		35.654994	139.763844	-						天気の子	テンキノコ	東京にやって来た森嶋帆高が貨客船さるびあ丸から下船していた場所で、別れ際に須賀圭介から名刺を渡されていました。				ミナトク	テ	13	22	2	
1153	0003	完了	東京都	港区	六本木ヒルズ　屋上スカイデッキ	106-6108	東京都港区六本木6-11-1		35.660397	139.729239	"https://www.google.co.jp/maps/@35.6604038,139.7292383,2a,90y,197.15h,73.01t/data=!3m6!1e1!3m4!1s76aow7J_ycOTzysXf_7ivg!2e0!7i13312!8i6656"				1		天気の子	テンキノコ	神宮外苑花火大会開催のため、主催者に依頼された天野陽菜が晴れるよう天に祈っていた場所。<br />依頼が達成されて晴れて花火大会が開催となった後は、そのお礼ということなのか、この展望デッキで陽菜と森嶋帆高が2人きりで花火鑑賞をしていました。				ミナトク	テ	13	22	2	
1153	0071	完了	東京都	港区	神宮外苑のいちょう並木	107-0061	東京都港区北青山1		35.674338	139.719789	"https://www.google.com/maps/@35.6741129,139.7199444,3a,23.9y,332.37h,88.2t/data=!3m6!1e1!3m4!1smli-o-0oY9wROk5h82wxTg!2e0!7i13312!8i6656"				4		天気の子	テンキノコ	雨の降る中、神宮外苑花火大会の開催を期待する人々が群がっていた場所。				ミナトク	テ	13	22	2	
1153	0070	完了	東京都	港区	スタジアム通り（秩父宮ラグビー場前）	107-0061	東京都港区北青山2-8-35		35.672270	139.716864	"https://www.google.com/maps/@35.6721298,139.7168544,3a,40y,49.31h,88.75t/data=!3m6!1e1!3m4!1sKMch6TDYtwDFOqBQ4DGCiA!2e0!7i16384!8i8192"						天気の子	テンキノコ	雨の降る中、神宮外苑花火大会の開催を期待する人々が群がっていた場所。				ミナトク	テ	13	22	2	
1153	0025	完了	東京都	港区	レインボーブリッジ	108-0022	東京都港区海岸3		35.636622	139.762977	"https://www.google.com/maps/@35.6346176,139.7642215,2a,31.5y,331.45h,95.49t/data=!3m6!1e1!3m4!1sH9PrqrBSMuX36dM4q_KEag!2e0!7i13312!8i6656"						天気の子	テンキノコ	貨客船さるびあ丸に乗って東京にやって来た森嶋帆高が、船上から眺めていた橋。				ミナトク	テ	13	22	2	
