作品No.	聖地No.	確定	都道府県	市区郡	聖地名	郵便番号	住所	住所２	座標：緯度	座標：経度	SV	倍率	SV過去	Fov	Zoom	電話番号	作品	作品名フリガナ	備考	公式サイトURL	情報参照元URL	備考2	市区町村読み仮名	作品名50音	県順	市順	域順	実在
0432	0001	完了	埼玉県	さいたま市	浦和西高等学校	330-0042	埼玉県さいたま市浦和区木崎3-1-1		35.889833	139.653861	"https://www.google.co.jp/maps/@35.8894364,139.6526562,3a,38y,84.66h,91.71t/data=!3m6!1e1!3m4!1szKoH4IQu5X6HEPffpXbljA!2e0!7i13312!8i6656"	13.0				048-831-4847	好きっていいなよ。	スキッテイイナヨ	橘めいたちの通う「都立東明高等学校」のモデル。				サイタマシ	ス	11	1	2	
0432	0002	完了	埼玉県	さいたま市	文志堂文具店前の多叉路	330-0075	埼玉県さいたま市浦和区針ヶ谷3-18		35.884511	139.643729	"https://www.google.co.jp/maps/@35.8845049,139.6438746,3a,46.6y,268.18h,88.75t/data=!3m6!1e1!3m4!1sHmtr8Uxor1cib0qriBLuQA!2e0!7i16384!8i8192"	18.0					好きっていいなよ。	スキッテイイナヨ	第5話の冒頭カットで、分かれ道が描かれていました。				サイタマシ	ス	11	1	2	
0432	0009	完了	東京都	武蔵野市	東京ボウリングセンター	180-0004	東京都武蔵野市吉祥寺本町2-4-14	吉祥寺第一ホテル B1F	35.706219	139.578525	-						好きっていいなよ。	スキッテイイナヨ	第3話で、デート中の橘めいと黒沢大和が、街で遭遇した立川雅司と武藤愛子と一緒に行ったボウリング場のモデル。				ムサシノシ	ス	13	48	2	
0432	0004	完了	東京都	八王子市	八王子駅北口バスターミナルの階段	192-0083	東京都八王子市旭町1		35.656651	139.339037	"https://www.google.com/maps/@35.6565847,139.3389769,3a,33.9y,86.94h,100.53t/data=!3m6!1e1!3m4!1stRxy_JJPHvXYOEgQ8QVDgw!2e0!7i13312!8i6656"						好きっていいなよ。	スキッテイイナヨ	第1話の橘めいの通学シーンの挿入カットで描かれていた階段。<br />第5話で、めいの家に遊びに来ていた黒沢大和が、デート帰りで街にいる中西健志から土産を受け取りに来いという電話を受けていたシーンの挿入カットで描かれていた階段。				ハチオウジシ	ス	13	38	2	
0432	0003	完了	東京都	八王子市	JR 八王子駅	192-0083	東京都八王子市旭町1-1		35.655556	139.338889	-	12.0					好きっていいなよ。	スキッテイイナヨ	第2話で、橘めいが夢の中で黒沢大和と改札前で待ち合わせをしていた駅。<br />第11話では、「Nyako Sama Land」へ遊びに行くめいと大和が待ち合わせをしていました。				ハチオウジシ	ス	13	38	2	
0432	0005	完了	東京都	八王子市	エクセルシオール カフェ 八王子ターミナルビル店	192-0083	東京都八王子市旭町1-1	八王子ターミナルビル2F	35.656067	139.339224	-	12.0				042-621-1270	好きっていいなよ。	スキッテイイナヨ	第2話で、橘めいと及川あさみが学校帰りに寄っていた喫茶店。<br />作中では店名が「Shiny Cafe」に変えられていました。	http://www.doutor.co.jp/shopsearch/detail/05000198.html	http://www.doutor.co.jp/shopsearch/detail/05000198.html		ハチオウジシ	ス	13	38	2	
0432	0006	完了	東京都	八王子市	セレオ八王子	192-0083	東京都八王子市旭町1-17		35.654637	139.338889	"https://www.google.co.jp/maps/@35.6544089,139.3383365,3a,47.6y,59.31h,123.25t/data=!3m6!1e1!3m4!1s8tzBXFCz89SSBLwUh0MxgQ!2e0!7i13312!8i6656"					042-686-3111	好きっていいなよ。	スキッテイイナヨ	第3話の橘めいと黒沢大和のデートシーンの冒頭カットで描かれていた建物。<br />作中では、高架通路から建物を見上げる構図で描かれていましたが、CELEOや八王子駅の文字は外されていました。<br />第11話でも、「Nyako Sama Land」へ遊びに行くめいと大和が待ち合わせシーンで同カットが使われていました。				ハチオウジシ	ス	13	38	2	
0432	0007	完了	東京都	八王子市	交差点（八王子ユーロードのゲート前）	192-0083	東京都八王子市旭町7		35.657067	139.33821	"https://www.google.co.jp/maps/@35.6569901,139.3381483,3a,24.5y,18.15h,94.7t/data=!3m6!1e1!3m4!1sx_jtZ3lzYQRgz-l9NEOUyQ!2e0!7i13312!8i6656"				4		好きっていいなよ。	スキッテイイナヨ	第3話のデートで、橘めいと黒沢大和が、立川雅司と武藤愛子に遭遇した交差点。<br />この後4人でボーリングに行き、愛子の言葉で先に帰ってしまっためいを大和が探していたのも同じ場所でした。				ハチオウジシ	ス	13	38	2	
0432	0010	完了	東京都	八王子市	八王子駅南口ペデストリアンデッキ	192-0904	東京都八王子市子安町4-7		35.654434	139.338211	"https://www.google.com/maps/@35.6544867,139.3381528,3a,15y,170.3h,88.33t/data=!3m6!1e1!3m4!1sGC4APREcpuYJbo1sPSDnsQ!2e0!7i13312!8i6656"				5		好きっていいなよ。	スキッテイイナヨ	第5話で、橘めいの家に遊びに来ていた黒沢大和が、デート帰りで街にいる中西健志から土産を受け取りに来いという電話を受けていたシーンの挿入カットで描かれていた駅前の高架通路。				ハチオウジシ	ス	13	38	2	
0432	0008	完了	東京都	八王子市	八王子南口交差点の信号機	192-0904	東京都八王子市子安町4-8		35.654007	139.338389	"https://www.google.com/maps/@35.6540215,139.3384631,3a,33y,260.73h,109.29t/data=!3m6!1e1!3m4!1sSHsdi4E4IWP93AlgYVgx8g!2e0!7i13312!8i6656"						好きっていいなよ。	スキッテイイナヨ	第5話で、橘めいの家に遊びに来ていた黒沢大和が、デート帰りで街にいる中西健志から土産を受け取りに来いという電話を受けていたシーンの挿入カットで描かれていた信号機。				ハチオウジシ	ス	13	38	2	
