作品No.	聖地No.	確定	都道府県	市区郡	聖地名	郵便番号	住所	住所２	座標：緯度	座標：経度	SV	倍率	SV過去	Fov	Zoom	電話番号	作品	作品名フリガナ	備考	公式サイトURL	情報参照元URL	備考2	市区町村読み仮名	作品名50音	県順	市順	域順	実在
0904	0001	完了	北海道	札幌市	札幌市時計台	060-0001	北海道札幌市中央区北一条西2		43.062594	141.353635	"https://www.google.co.jp/maps/@43.0623038,141.353307,3a,24y,23.55h,112.02t/data=!3m6!1e1!3m4!1shKpnnma3SB6PdrNkopBc2A!2e0!7i13312!8i6656?hl=ja"	17.0		0			妖怪ウォッチ	ヨウカイウォッチ	第154話。「コマさんコマじろうの日本全国「もんげ～！」旅」IN北海道の冒頭で、コマさんとガイドブックで北海道観光スポットを確認するコマじろうがいた場所。				サッポロシ	ヨ	1	1	1	
0904	0002	完了	北海道	札幌市	大通公園	060-0042	北海道札幌市中央区大通西2		43.061106	141.355668	"https://www.google.co.jp/maps/@43.0610302,141.3554715,3a,49.6y,112.0h,101.0t/data=!3m8!1e1!3m6!1sCAoSLEFGMVFpcE85RTk1NTRYSWVEU05QNUE5UldkSlM0V1gtbTJKa3cxVWg4eWs5!2e10!3e11!6shttps:%2F%2Flh5.googleusercontent.com%2Fp%2FCAoSLEFGMVFpcE85RTk1NTRYSWVEU05QNUE5UldkSlM0V1gtbTJKa3cxVWg4eWs5%3Dw203-h100-k-no-pi-0-ya266.38464-ro0-fo100!7i10240!8i5120 "						妖怪ウォッチ	ヨウカイウォッチ	第154話。「コマさんコマじろうの日本全国「もんげ～！」旅」IN北海道で、コマさんとコマじろうが、さっぽろ雪まつりの雪像を見に来ていた公園で、探していた生きているかのように動き出す氷の像に、コマさん自身がなってしまっていました。母ちゃんに雪だるまを送るシーンでは、背後に札幌テレビ塔が描かれていました。				サッポロシ	ヨ	1	1	1	
0904	0003	完了	北海道	札幌市	大倉山ジャンプ競技場	064-0958	北海道札幌市中央区宮の森1274		43.050746	141.285858	"https://www.google.co.jp/maps/@43.0516945,141.2905783,3a,15y,5.0h,102.0t/data=!3m8!1e1!3m6!1sCAoSLEFGMVFpcE95U2NCVzliaFo3ckR3MURuRWJyQWlWNkJONTF5NDBJaE85NEZw!2e10!3e11!6shttps:%2F%2Flh5.googleusercontent.com%2Fp%2FCAoSLEFGMVFpcE95U2NCVzliaFo3ckR3MURuRWJyQWlWNkJONTF5NDBJaE85NEZw%3Dw203-h100-k-no-pi-0-ya181.6587-ro0-fo100!7i5376!8i2688 "			120	5	011-641-8585	妖怪ウォッチ	ヨウカイウォッチ	第154話。「コマさんコマじろうの日本全国「もんげ～！」旅」IN北海道で、コマさんがジャンプに挑戦して凍ってしまった競技場。この後、登別温泉で凍ったコマさんを溶かしていました。				サッポロシ	ヨ	1	1	1	
0904	0004	完了	北海道	函館市	函館山頂上展望台	040-0000	北海道函館市函館山		41.759465	140.704553	"https://www.google.co.jp/maps/@41.7594217,140.7046117,3a,49.8y,354.0h,74.0t/data=!3m8!1e1!3m6!1sCAoSLEFGMVFpcE1YX2w1MkNWajhVZ2lMSXRveXNwbWhaRXQwa1lzYlN2Y3MyUTYw!2e10!3e11!6shttps:%2F%2Flh5.googleusercontent.com%2Fp%2FCAoSLEFGMVFpcE1YX2w1MkNWajhVZ2lMSXRveXNwbWhaRXQwa1lzYlN2Y3MyUTYw%3Dw203-h100-k-no-pi-0.8718108-ya77.81026-ro3.08555-fo100!7i5376!8i2688 "	17.0					妖怪ウォッチ	ヨウカイウォッチ	第154話。「コマさんコマじろうの日本全国「もんげ～！」旅」IN北海道で、コマさんとコマじろうが紹介していた観光スポット。				ハコダテシ	ヨ	1	4	1	
0904	0005	完了	北海道	函館市	五稜郭タワー	040-0001	北海道函館市五稜郭町43-9		41.794606	140.753949	"https://www.google.co.jp/maps/@41.7946854,140.7539804,3a,90y,13.0h,55.0t/data=!3m6!1e1!3m4!1sCAoSLEFGMVFpcE95ZHZxb192RHlBTjl3S1lSb19XODJjeDRnM1VUU3VEek9ZbThG!2e10!7i2048!8i1024 "						妖怪ウォッチ	ヨウカイウォッチ	第154話。「コマさんコマじろうの日本全国「もんげ～！」旅」IN北海道で、コマさんとコマじろうが紹介していた観光スポット。				ハコダテシ	ヨ	1	4	1	
0904	0006	完了	北海道	旭川市	旭山動物園	078-8205	北海道旭川市東旭川町倉沼		43.768400	142.479564	"https://www.google.co.jp/maps/@43.7685534,142.4792961,3a,50y,92.14h,82.73t/data=!3m6!1e1!3m4!1sVU3qbvBiPPsv7R-LqMK3QA!2e0!7i13312!8i6656"						妖怪ウォッチ	ヨウカイウォッチ	第159話の「コマさんコマじろうの日本全国「もんげ～！」旅」IN岩手で、コマさんとコマじろうが紹介していた動物園。ほっきょくぐま館の水槽が描かれていました。	http://www.city.asahikawa.hokkaido.jp/asahiyamazoo/			アサヒカワシ	ヨ	1	2	1	
0904	0007	完了	岩手県	盛岡市	JR 盛岡駅	020-0034	岩手県盛岡市盛岡駅前通1-48		39.701667	141.136361	"https://www.google.co.jp/maps/@39.7022429,141.1369323,3a,16.8y,185.83h,96.7t/data=!3m6!1e1!3m4!1scENi8qo6MUKDKc-Ox0cxfA!2e0!7i13312!8i6656"	13.0		120	3		妖怪ウォッチ	ヨウカイウォッチ	第159話の「コマさんコマじろうの日本全国「もんげ～！」旅」IN岩手で、コマさんとコマじろうが紹介していた観光スポット。				モリオカシ	ヨ	3	1	1	
0904	0008	完了	岩手県	遠野市	JR 遠野駅	028-0522	岩手県遠野市新穀町5-7		39.332336	141.531084	"https://www.google.co.jp/maps/@39.3317506,141.5307306,3a,16.2y,30.48h,93.43t/data=!3m6!1e1!3m4!1sgaWSk33Kp8taWPUCfBtaDA!2e0!7i13312!8i6656"	17.0		120	3		妖怪ウォッチ	ヨウカイウォッチ	第159話の「コマさんコマじろうの日本全国「もんげ～！」旅」IN岩手で、最初にコマさんとコマじろうがいた駅。				トオノシ	ヨ	3	9	1	
0904	0009	完了	岩手県	遠野市	遠野駅前交番（カッパ交番）	028-0522	岩手県遠野市新穀町5-7		39.332511	141.530486	"https://www.google.co.jp/maps/@39.3318767,141.5308933,3a,15y,336.55h,90.11t/data=!3m6!1e1!3m4!1sdtcseribQLz88WKxG7mPDQ!2e0!7i13312!8i6656"	17.0		120	5		妖怪ウォッチ	ヨウカイウォッチ	第159話の「コマさんコマじろうの日本全国「もんげ～！」旅」IN岩手で、コマさんとコマじろうが紹介していた観光スポット。				トオノシ	ヨ	3	9	1	
0904	0010	完了	岩手県	遠野市	カッパ淵	028-0555	岩手県遠野市土淵町土淵7地割		39.354195	141.570523	-	13.0					妖怪ウォッチ	ヨウカイウォッチ	第159話の「コマさんコマじろうの日本全国「もんげ～！」旅」IN岩手で、コマさんとコマじろうが河童を釣ろうとしてノガッパを釣りあげていた場所。				トオノシ	ヨ	3	9	1	
0904	0011	完了	岩手県	西磐井郡	中尊寺 金色堂	029-4102	岩手県西磐井郡平泉町平泉衣関202		39.001345	141.099885	"https://www.google.co.jp/maps/@39.0018005,141.1003419,3a,37y,226.28h,93.99t/data=!3m7!1e1!3m5!1sYWTNfgTdw0QCP3cqZmVAKQ!2e0!6s%2F%2Fgeo1.ggpht.com%2Fcbk%3Fpanoid%3DYWTNfgTdw0QCP3cqZmVAKQ%26output%3Dthumbnail%26cb_client%3Dmaps_sv.tactile.gps%26thumb%3D2%26w%3D203%26h%3D100%26yaw%3D314.2618%26pitch%3D0%26thumbfov%3D100!7i13312!8i6656"	16.0		120	3		妖怪ウォッチ	ヨウカイウォッチ	第159話の「コマさんコマじろうの日本全国「もんげ～！」旅」IN岩手で、あまりの神々しさにコマさんが昇天しかかっていた御堂。				ニシイワイグン	ヨ	3	12	1	
0904	0012	完了	岩手県	西磐井郡	中尊寺 門	029-4102	岩手県西磐井郡平泉町平泉衣関202		39.001240	141.102468	"https://www.google.co.jp/maps/@39.0011399,141.1024593,3a,35.6y,20.67h,100.24t/data=!3m6!1e1!3m4!1sE5xvkZ97HqTRJjjzNBQyNA!2e0!7i13312!8i6656"	17.0		120	3	0191-46-2211	妖怪ウォッチ	ヨウカイウォッチ	第159話の「コマさんコマじろうの日本全国「もんげ～！」旅」IN岩手で、コマさんが母ちゃんに手紙を書いていた場所。本堂前の門になります。				ニシイワイグン	ヨ	3	12	1	
0904	0013	完了	東京都	台東区	バンダイ本社	111-8081	東京都台東区駒形1-4-8		35.707289	139.794617	"https://www.google.co.jp/maps/@35.707582,139.7953267,3a,30y,238.86h,129.44t/data=!3m4!1e1!3m2!1sX68JjP8BNzCwD7nn7aecqA!2e0"	18		120	1.3		妖怪ウォッチ	ヨウカイウォッチ	第17回放送の「 コマさんシーズン2 田舎者はバラ色にEpisode1」で、都会でバリバリ働く人って尊敬するという言葉に触発されて職探しをするコマさんが、「こんな会社で働けたらいいずらな～」と見上げていたビル。<br />運良く清掃スタッフ募集の貼り紙を見つけ、この会社で働き始めていました。<br />作中ではビルのBANDAIの文字が「DANDAI」になっています。	http://www.bandai.co.jp/			タイトウク	ヨ	13	15	2	
0904	0014	完了	東京都	墨田区	東京スカイツリー	131−0045	東京都墨田区押上1-1-13		35.710023	139.810702	"https://www.google.co.jp/maps/@35.7121589,139.8071362,3a,75y,127.88h,114.13t/data=!3m4!1e1!3m2!1s1EoRIhmGMq6L__9Jh6gkHg!2e0"	16		120	1.2		妖怪ウォッチ	ヨウカイウォッチ	第14回放送の「コマさん～はじめてのタワー編～」で、コマさんが上京して来たコマじろうに都会を見せてやろうと連れてきたタワー。<br />左右を大きなビル群に囲まれた大通りから望む構図で描かれており、合致するのは国道6号線辺りかと思われますが、ビルの外観などは一致しません。<br />作中では名前が「さくらEXツリー」になっていました。				スミダク	ヨ	13	13	2	
0904	0015	完了	東京都	渋谷区	ハチ公像	150-0043	東京都渋谷区道玄坂1		35.659082	139.700581	-	18		0			妖怪ウォッチ	ヨウカイウォッチ	第10回放送の「 コマさん～はじめての待ち合わせ編～」にて、上京して来るコマジロウと待ち合わせをしていたコマさんが、像の上で待つ姿が描かれていました。<br />作中では、ハチ公像がチンチンのポーズになっています。				シブヤク	ヨ	13	10	2	
0904	0016	完了	東京都	新宿区	ビックカメラ新宿西口店	160-0023	東京都新宿区西新宿1-5-1	新宿西口ハルク2～6F	35.692381	139.698540	"https://www.google.co.jp/maps/@35.69219,139.69846,3a,30.9y,10.6h,150.69t/data=!3m6!1e1!3m4!1srlUkslfFYEAK74YttBUl_Q!2e0!7i13312!8i6656?hl=ja"						妖怪ウォッチ	ヨウカイウォッチ	第74回「コマさんといく　～はじめての家電量販店～」で、コマさんとコマじろうと一緒にでっかい電気屋さんに行きたいとの母親からの手紙を受け取ったコマさんが、母親をしっかり案内できるように下見に行った家電量販店「ビックリカメラ」のモデル。				シンジュクク	ヨ	13	11	2	
0904	0017	完了	静岡県	伊豆市	浄蓮の滝	410-3206	静岡県伊豆市湯ヶ島		34.871859	138.922125	"https://www.google.co.jp/maps/@34.8723617,138.9227333,3a,45.4y,18.94h,92.96t/data=!3m8!1e1!3m6!1s-4DuZdH435Fs%2FVrlQ3uyOznI%2FAAAAAAAABQA%2FVvOuIWOreTY4n5dP2lXa4wm_p0qmSMNVwCJkC!2e4!3e11!6s%2F%2Flh4.googleusercontent.com%2F-4DuZdH435Fs%2FVrlQ3uyOznI%2FAAAAAAAABQA%2FVvOuIWOreTY4n5dP2lXa4wm_p0qmSMNVwCJkC%2Fw203-h100-k-no-pi-0-ya205.32722-ro0-fo100%2F!7i5376!8i2688"						妖怪ウォッチ	ヨウカイウォッチ	第155話の「コマさんコマじろうの日本全国「もんげ～！」旅」IN静岡で、コマさんとコマじろうが紹介していた観光スポット。				イズシ	ヨ	22	11	3	
0904	0018	完了	静岡県	伊豆市	滝見茶屋	410-3206	静岡県伊豆市湯ケ島892-2		34.872202	138.922703	"https://www.google.co.jp/maps/@34.8723617,138.9227333,3a,22.8y,180.38h,93.02t/data=!3m8!1e1!3m6!1s-4DuZdH435Fs%2FVrlQ3uyOznI%2FAAAAAAAABQA%2FVvOuIWOreTY4n5dP2lXa4wm_p0qmSMNVwCJkC!2e4!3e11!6s%2F%2Flh4.googleusercontent.com%2F-4DuZdH435Fs%2FVrlQ3uyOznI%2FAAAAAAAABQA%2FVvOuIWOreTY4n5dP2lXa4wm_p0qmSMNVwCJkC%2Fw203-h100-k-no-pi-0-ya202.07126-ro0-fo100%2F!7i5376!8i2688"					0558-85-1167	妖怪ウォッチ	ヨウカイウォッチ	第155話の「コマさんコマじろうの日本全国「もんげ～！」旅」IN静岡で、コマさんとコマじろうがわさびソフトを食べていた店。				イズシ	ヨ	22	11	3	
0904	0019	完了	静岡県	静岡市	バンダイホビーセンター	420-0813	静岡県静岡市葵区長沼500-12		34.989121	138.411659	"https://www.google.co.jp/maps/@34.9889182,138.4124105,3a,39.6y,292.52h,96.55t/data=!3m6!1e1!3m4!1sAU8YuKypFzjyp-bbUbZ7rw!2e0!7i13312!8i6656"					054-208-7511	妖怪ウォッチ	ヨウカイウォッチ	第155話の「コマさんコマじろうの日本全国「もんげ～！」旅」IN静岡で、コマさんとコマじろうが紹介していた観光スポット。作中では、「おもちゃ工場」とテロップされていました。	http://www.bandai.co.jp/hobbycenter/			シズオカシ	ヨ	22	15	3	
0904	0020	完了	静岡県	浜松市	浜名湖（大草山展望台から）	431-1202	静岡県浜松市西区呉松町		34.778271	137.615673	"https://www.google.co.jp/maps/@34.7699767,137.6202753,3a,19.4y,337.0h,86.0t/data=!3m8!1e1!3m6!1sCAoSLEFGMVFpcE5GV0NERzlyVFotbG90S1dQSmtkcS04MGl0RVFFdTN4eUJmM1hs!2e10!3e11!6shttps:%2F%2Flh5.googleusercontent.com%2Fp%2FCAoSLEFGMVFpcE5GV0NERzlyVFotbG90S1dQSmtkcS04MGl0RVFFdTN4eUJmM1hs%3Dw203-h100-k-no-pi0-ya6.0034504-ro-0-fo100!7i7168!8i3584 "						妖怪ウォッチ	ヨウカイウォッチ	第155話の「コマさんコマじろうの日本全国「もんげ～！」旅」IN静岡で、コマさんとコマじろうが紹介していた観光スポット。「浜名湖」とテロップされ、大草山展望台から、浜名湖橋方面を見下ろした景色が描かれていました。				ハママツシ	ヨ	22	21	3	
0904	0021	完了	奈良県	奈良市	東大寺大仏殿	630-8211	奈良県奈良市雑司町406−1		34.689003	135.839839	"https://www.google.co.jp/maps/@34.6881115,135.8398455,3a,42.9y,0.0h,103.0t/data=!3m8!1e1!3m6!1sCAoSLEFGMVFpcE1LSW5FZHk2eG5Sd2stWGdEQzVQcERZa1FnYno0NGZHWVpSSE1k!2e10!3e11!6shttps:%2F%2Flh5.googleusercontent.com%2Fp%2FCAoSLEFGMVFpcE1LSW5FZHk2eG5Sd2stWGdEQzVQcERZa1FnYno0NGZHWVpSSE1k%3Dw203-h100-k-no-pi-0-ya193.28523-ro0-fo100!7i8704!8i4352 "						妖怪ウォッチ	ヨウカイウォッチ	第157話の「コマさんコマじろうの日本全国「もんげ～！」旅」IN奈良で、コマさんとコマじろうが紹介していた観光スポット。				ナラシ	ヨ	29	1	0	
0904	0022	完了	奈良県	奈良市	奈良の大仏	630-8211	奈良県奈良市雑司町406−1		34.688939	135.839842	"https://www.google.co.jp/maps/@34.6888359,135.8399209,3a,44y,5.0h,111.0t/data=!3m8!1e1!3m6!1sCAoSLEFGMVFpcE16Nkt4QkVEblV3NE1MS2g2d2JlaUdlUng4SnF4WmtNSTE0bXlJ!2e10!3e11!6shttps:%2F%2Flh5.googleusercontent.com%2Fp%2FCAoSLEFGMVFpcE16Nkt4QkVEblV3NE1MS2g2d2JlaUdlUng4SnF4WmtNSTE0bXlJ%3Dw203-h100-k-no-pi0-ya261.84583-ro-0-fo100!7i8704!8i4352 "						妖怪ウォッチ	ヨウカイウォッチ	第157話の「コマさんコマじろうの日本全国「もんげ～！」旅」IN奈良で、コマさんとコマじろうが紹介していた観光スポット。				ナラシ	ヨ	29	1	0	
