作品No.	聖地No.	確定	都道府県	市区郡	聖地名	郵便番号	住所	住所２	座標：緯度	座標：経度	SV	倍率	SV過去	Fov	Zoom	電話番号	作品	作品名フリガナ	備考	公式サイトURL	情報参照元URL	備考2	市区町村読み仮名	作品名50音	県順	市順	域順	実在
0992	0001	完了	東京都	千代田区	JR 東京駅	100-0005	東京都千代田区丸の内1		35.681792	139.768589	-						宇宙よりも遠い場所	ソラヨリモトオイバショ	第1話で、玉木マリと小淵沢報瀬が砕氷艦しらせの一般公開が行われる広島へ向かうシーンで、新幹線に乗り込んでいた駅で、18・19番ホームが描かれていました。				チヨダク	ソ	13	17	2	
0992	0002	完了	東京都	中央区	晴海埠頭	104-0053	東京都中央区晴海5-7		35.646275	139.772998	-						宇宙よりも遠い場所	ソラヨリモトオイバショ	第5話で、玉木マリたちが、南極チャレンジの南極観測船「七神屋ペンギン饅頭号」のレポートを収録していた場所。				チュウオウク	ソ	13	16	2	
0992	0003	完了	東京都	新宿区	歌舞伎町	160-0021	東京都新宿区歌舞伎町1		35.693851	139.701028	"https://www.google.co.jp/maps/@35.6937794,139.7008306,3a,15y,55.71h,104.59t/data=!3m6!1e1!3m4!1sqo9YpNV4oAjZAoXgeUddBA!2e0!7i13312!8i6656"						宇宙よりも遠い場所	ソラヨリモトオイバショ	第2話で、玉木マリ、小淵沢報瀬、三宅日向の3人が、南極観測隊員親睦会に参加している男性隊員を誘惑して密航の手伝いをさせる計画のために訪れた歓楽街で、一番街ゲートが描かれていました。				シンジュクク	ソ	13	11	2	
0992	0004	完了	東京都	新宿区	新宿ゴールデン街	160-0021	東京都新宿区歌舞伎町1-2		35.693814	139.704143	"https://www.google.co.jp/maps/@35.6938011,139.7042197,3a,47y,276.09h,106.34t/data=!3m6!1e1!3m4!1sHS86pXauX0TR7RclIQLQSw!2e0!7i13312!8i6656"						宇宙よりも遠い場所	ソラヨリモトオイバショ	第2話で、鮫島弓子が逃げる三宅日向を探していた場所。				シンジュクク	ソ	13	11	2	
0992	0005	完了	東京都	新宿区	思い出の抜け道	160-0021	東京都新宿区歌舞伎町1-3		35.694851	139.703603	"https://www.google.co.jp/maps/@35.6947899,139.7038269,3a,20.2y,274.0h,86.0t/data=!3m8!1e1!3m6!1sCAoSLEFGMVFpcFBtRWdGNmR6NGl4bE5SVDFxYktuT2x0ZWxENlAyTXRHSXJ1aWVs!2e10!3e11!6shttps:%2F%2Flh5.googleusercontent.com%2Fp%2FCAoSLEFGMVFpcFBtRWdGNmR6NGl4bE5SVDFxYktuT2x0ZWxENlAyTXRHSXJ1aWVs%3Dw203-h100-k-no-pi2.7628915-ya216.38893-ro7.7811866-fo100!7i5376!8i2688 "						宇宙よりも遠い場所	ソラヨリモトオイバショ	第2話で、前川かなえに追いかけられている玉木マリ、小淵沢報瀬が通り抜けていた路地。				シンジュクク	ソ	13	11	2	
0992	0006	完了	東京都	新宿区	思い出の抜け道（出口）	160-0021	東京都新宿区歌舞伎町1-3		35.694975	139.704061	"https://www.google.co.jp/maps/@35.6950153,139.7040573,3a,35.8y,205.45h,89.78t/data=!3m6!1e1!3m4!1s3-u7AOUIVB_gv4j1zn1ySw!2e0!7i13312!8i6656"						宇宙よりも遠い場所	ソラヨリモトオイバショ	第2話で、前川かなえに追いかけられている玉木マリと小淵沢報瀬が、細道を通り抜けて大通りに出たところで、左右二手に分かれて逃げていた場所。				シンジュクク	ソ	13	11	2	
0992	0007	完了	東京都	新宿区	イーストプラザ 前	160-0021	東京都新宿区歌舞伎町1-3-5		35.694463	139.703368	"https://www.google.co.jp/maps/@35.6945191,139.7031767,3a,33y,106.77h,97.13t/data=!3m6!1e1!3m4!1sHRtazTrCMuoilr5Sm7MDaQ!2e0!7i13312!8i6656"						宇宙よりも遠い場所	ソラヨリモトオイバショ	第2話で、前川かなえと鮫島弓子に追いかけられている玉木マリ、小淵沢報瀬、三宅日向が、二手に別れていた場所。				シンジュクク	ソ	13	11	2	
0992	0008	完了	東京都	新宿区	喫茶室ルノアール 新宿区役所横店	160-0021	東京都新宿区歌舞伎町1-3-5	相模ビル1F～2F	35.694529	139.703482	"https://www.google.co.jp/maps/@35.6944964,139.7033861,3a,15y,69.08h,79.59t/data=!3m6!1e1!3m4!1spKa44ao7cyqZqz3MpQAxWg!2e0!7i13312!8i6656"					03-5285-1405	宇宙よりも遠い場所	ソラヨリモトオイバショ	第2話で、前川かなえと鮫島弓子に捕まった玉木マリ、小淵沢報瀬、三宅日向の3人が説教されていた喫茶店の外観モデル。店内は新宿南口甲州街道店になっていました。	https://www.ginza-renoir.co.jp/shopsearch/shops/view/115			シンジュクク	ソ	13	11	2	
0992	0009	完了	東京都	新宿区	美味小屋 前	160-0021	東京都新宿区歌舞伎町1-12		35.694964	139.702421	"https://www.google.co.jp/maps/@35.6950205,139.7023197,3a,15y,106.75h,86.03t/data=!3m6!1e1!3m4!1sebUuq49GEY7AHZW-oDTXOw!2e0!7i13312!8i6656"						宇宙よりも遠い場所	ソラヨリモトオイバショ	第2話で、鮫島弓子から逃げる三宅日向が、テーブル席の客に混じってやり過ごそうとしていた場所。				シンジュクク	ソ	13	11	2	
0992	0010	完了	東京都	新宿区	カンビーフ 歌舞伎町店	160-0021	東京都新宿区歌舞伎町1-12-1	KTビル2F	35.694719	139.702457	"https://www.google.co.jp/maps/@35.694714,139.7023618,3a,19.4y,80.23h,83.66t/data=!3m6!1e1!3m4!1sGSvhQLCyWck3pxAYY7QrFg!2e0!7i13312!8i6656"						宇宙よりも遠い場所	ソラヨリモトオイバショ	第2話で、南極観測隊員親睦会の行われていた店。店内は出てこず、店前周辺が描かれていたのみです。				シンジュクク	ソ	13	11	2	
