作品No.	聖地No.	確定	都道府県	市区郡	聖地名	郵便番号	住所	住所２	座標：緯度	座標：経度	SV	倍率	SV過去	Fov	Zoom	電話番号	作品	作品名フリガナ	備考	公式サイトURL	情報参照元URL	備考2	市区町村読み仮名	作品名50音	県順	市順	域順	実在
1285	0001	完了	東京都	西東京市	田無駅北口ペデストリアンデッキ	188-0011	東京都西東京市田無町2-1		35.727815	139.540128	"https://www.google.co.jp/maps/@35.7275997,139.5401329,3a,28y,356.81h,91.33t/data=!3m6!1e1!3m4!1sYDDOocNrVQZ1ArdjLS6F5w!2e0!7i13312!8i6656"						安達としまむら	アダチトシマムラ	第1話で、学校帰りの島村抱月が日野晶、永藤妙子と一緒に歩いていた場所。<br />第2話、第12話では、学校帰りの島村と安達桜が一緒に歩いていました。<br />第9話では、島村が一緒に名古屋へチョコレートを買いに行った樽見と帰りに別れていたのもこの場所でした。<br />第10話でも、休日に一緒に遊んだ帰りの島村と樽見が別れていたのもこの場所で、知我麻社に遭遇していました。				ニシトウキョウシ	ア	13	37	2	
1285	0002	完了	東京都	西東京市	田無駅北口ペデストリアンデッキ　階段	188-0011	東京都西東京市田無町2-1		35.727965	139.539959	"https://www.google.co.jp/maps/@35.7279744,139.5399133,3a,57y,104.88h,84.26t/data=!3m6!1e1!3m4!1sbPtJdTC9vHc6qUBrjX5Jbg!2e0!7i13312!8i6656"						安達としまむら	アダチトシマムラ	第2話で、学校帰りの安達桜と島村抱月が下っていた階段。<br />下り切ったところで、安達が島村と手を繋いでいました。				ニシトウキョウシ	ア	13	37	2	
1285	0003	完了	東京都	西東京市	田無駅北口前	188-0011	東京都西東京市田無町2-1		35.727773	139.539722	"https://www.google.co.jp/maps/@35.7275514,139.5396202,3a,33y,13.39h,87.17t/data=!3m6!1e1!3m4!1s4OIcjYdLiwYGxqWIAHpM2g!2e0!7i13312!8i6656"						安達としまむら	アダチトシマムラ	第2話で、学校帰りの安達桜と島村抱月が駅から出てくるシーンの冒頭カットで描かれていた駅前風景。<br />田無駅北口ペデストリアンデッキから見下ろす構図で、駅前広場や田無アスタが描かれていました。				ニシトウキョウシ	ア	13	37	2	
1285	0004	完了	東京都	西東京市	アスタ専門店街前のベンチ	188-0011	東京都西東京市田無町2-1		35.728366	139.539749	-						安達としまむら	アダチトシマムラ	第1話で、日野晶、永藤妙子と一緒に学校から帰る途中の島村抱月が、安達桜が座っているのを見かけるも、知らないふりをして通り過ぎていた場所。<br />第2話で、学校帰りに手を繋いで歩いていた安達と島村が、知我麻社に声をかけられていたのもこの場所でした。<br />第8話で、学校帰りの島村が樽見からの電話を受けていたのもこの場所でした。<br />第12話では、学校帰りの島村と安達がこのベンチに座って休憩しており、安達が島村から妹が増えたみたいだと言われていました。				ニシトウキョウシ	ア	13	37	2	
1285	0005	完了	東京都	西東京市	駅前の横断歩道	188-0011	東京都西東京市田無町4-2		35.727621	139.539422	"https://www.google.co.jp/maps/@35.7276043,139.5394117,3a,50y,10.31h,85.16t/data=!3m6!1e1!3m4!1sSbyTWCuyeUj7W3tT6IHwqg!2e0!7i13312!8i6656"						安達としまむら	アダチトシマムラ	第2話で、学校帰りの安達桜と島村抱月が手を繋いで歩いていた横断歩道。				ニシトウキョウシ	ア	13	37	2	
1285	0006	完了	東京都	西東京市	セブン-イレブン 田無駅北口店	188-0011	東京都西東京市田無町4-2-13		35.727721	139.539352	"https://www.google.co.jp/maps/@35.7276275,139.5394015,3a,54y,348.78h,88.83t/data=!3m6!1e1!3m4!1sGSjf4DrRrpRp0g3xj4F1RQ!2e0!7i16384!8i8192"						安達としまむら	アダチトシマムラ	第1話の、島村抱月が日野晶、永藤妙子と一緒に学校から帰るシーンの挿入カットで描かれていたコンビニ。				ニシトウキョウシ	ア	13	37	2	
1285	0007	完了	岐阜県	岐阜市	アスティ 岐阜	500-8856	岐阜県岐阜市橋本町1-10-1		35.409373	136.757518	-						安達としまむら	アダチトシマムラ	第2話、第12話で、学校帰りの安達桜と島村抱月がドーナツを食べていた駅ビル。<br />第8話のラストで、島村が樽見に呼び出されていたのもこの場所でした。<br />作中では施設名が「BSTY」になっていました。				ギフシ	ア	21	1	3	
1285	0008	完了	岐阜県	岐阜市	ミスタードーナツ JRアスティ岐阜 ショップ	500-8856	岐阜県岐阜市橋本町1-10-1	アスティ岐阜 1F	35.409548	136.757683	-						安達としまむら	アダチトシマムラ	第2話で、学校帰りの安達桜と島村抱月がドーナツを食べていた駅ビルシーンの冒頭カットで描かれていた店。<br />ドーナツを買うシーンではありませんでしたが、同じ店名の袋を持っていたので、この店で買ったものと思われます。<br />島村が食べていたのはエンゼルフレンチ、安達が食べていたのはカスタードクリームでした。<br />作中では店名が「miss.DONUT」になっていました。				ギフシ	ア	21	1	3	
1285	0009	完了	岐阜県	岐阜市	マツモトキヨシ アスティ岐阜駅店	500-8856	岐阜県岐阜市橋本町1-10-1	アスティ岐阜 1F	35.409232	136.758558	-						安達としまむら	アダチトシマムラ	第2話で、学校帰りの安達桜と島村抱月が訪れていたドラッグストア。<br />作中では、エレベーターで上がって店に向かっていましたが、実際には1階にあります。				ギフシ	ア	21	1	3	
1285	0010	完了	岐阜県	岐阜市	国道303号（丸永建設付近）	501-1146	岐阜県岐阜市下尻毛		35.437568	136.715288	"https://www.google.co.jp/maps/@35.4375565,136.7153469,3a,37.5y,300.7h,91.27t/data=!3m6!1e1!3m4!1sVe8sgBJ5sfoF9iUGQVlTRA!2e0!7i13312!8i6656"						安達としまむら	アダチトシマムラ	第4話で、カラオケ帰りの日野晶と永藤妙子が、島村抱月と安達桜に手を振って別れていた場所。<br />背景に丸永建設などの建物が描かれていました。				ギフシ	ア	21	1	3	
