作品No.	聖地No.	確定	都道府県	市区郡	聖地名	郵便番号	住所	住所２	座標：緯度	座標：経度	SV	倍率	SV過去	Fov	Zoom	電話番号	作品	作品名フリガナ	備考	公式サイトURL	情報参照元URL	備考2	市区町村読み仮名	作品名50音	県順	市順	域順	実在
1225	0001	完了	東京都	千代田区	JR 東京駅	100-0005	東京都千代田区丸の内1-9-1		35.681108	139.768132	-						宝石商リチャード氏の謎鑑定	ホウセキショウリチャードシノナゾカンテイ	第1話で、中田正義がリチャード・ラナシンハ・ドヴルピアンと待ち合わせをして、一緒に祖母の指輪の元の持ち主のいる神戸へ向かう新幹線に乗車した駅。神戸からの帰りに正義とリチャードが別れていたのも、この駅でした。				チヨダク	ホ	13	17	2	
1225	0002	完了	東京都	千代田区	KITTEガーデン	100-0005	東京都千代田区丸の内2-7-2		35.679917	139.765210	"https://www.google.com/maps/@35.6800542,139.7651349,2a,61.7y,136.66h,99.18t/data=!3m6!1e1!3m4!1sS_3O2XxA1vzKgTiQ9VGeTA!2e0!7i13312!8i6656"						宝石商リチャード氏の謎鑑定	ホウセキショウリチャードシノナゾカンテイ	第1話で、祖母の指輪にまつわる話を聞いて東京に戻った中田正義が、母親に電話して自分の名前が祖母が付けてくれたものか聞いていた場所。				チヨダク	ホ	13	17	2	
1225	0003	完了	東京都	中央区	ティファニー銀座本店前から望むビル群	104-0061	東京都中央区銀座2-8		35.672417	139.767759	"https://www.google.com/maps/@35.6724334,139.7676133,3a,43.7y,86.55h,119.38t/data=!3m6!1e1!3m4!1sf0qyjnGANxOx8OyKnAzjSA!2e0!7i13312!8i6656?hl=ja"						宝石商リチャード氏の謎鑑定	ホウセキショウリチャードシノナゾカンテイ	第1話で、中田正義が祖母のルビーの鑑別をリチャード・ラナシンハ・ドヴルピアンに依頼した喫茶店シーンから、店前で別れるシーンへの場面転換カットで、ユニデン銀座ビル越しに、ヒューリック銀座二丁目ビル、森田ビル、ウインズ銀座などのビルが描かれていました。				チュウオウク	ホ	13	16	2	
1225	0004	完了	東京都	中央区	喫茶室ルノアール 銀座マロニエ通り店	104-0061	東京都中央区銀座2-8-12	ユニデン銀座ビル2F	35.672462	139.767720	"https://www.google.com/maps/@35.6723933,139.7676528,3a,42y,47.9h,100.26t/data=!3m6!1e1!3m4!1s22xSE3X9ca4ndoAa1txDdw!2e0!7i16384!8i8192"						宝石商リチャード氏の謎鑑定	ホウセキショウリチャードシノナゾカンテイ	第1話で、中田正義がリチャード・ラナシンハ・ドヴルピアンに祖母のルビーの鑑別を依頼していた喫茶店。<br />一週間後に鑑別結果を聞いていたのもこの店でした。				チュウオウク	ホ	13	16	2	
1225	0005	完了	東京都	中央区	銀座マロニエ通り（ティファニー銀座本店脇）	104-0061	東京都中央区銀座2-8-12		35.672446	139.767673	"https://www.google.com/maps/@35.6723451,139.7677345,3a,18.4y,335.56h,89.83t/data=!3m6!1e1!3m4!1srsCCMgmKmWkYLV7tjxpxMQ!2e0!7i16384!8i8192"				5		宝石商リチャード氏の謎鑑定	ホウセキショウリチャードシノナゾカンテイ	第1話で、中田正義が祖母のルビーの鑑別を依頼した後、リチャード・ラナシンハ・ドヴルピアンと別れていた場所。				チュウオウク	ホ	13	16	2	
1225	0006	完了	東京都	中央区	銀座二丁目交差点	104-0061	東京都中央区銀座3-6		35.672952	139.766852	"https://www.google.co.jp/maps/@35.6729836,139.7668282,3a,58.2y,201.82h,117.89t/data=!3m6!1e1!3m4!1sGU_kJO7CrKxXuMAKJirwug!2e0!7i16384!8i8192"						宝石商リチャード氏の謎鑑定	ホウセキショウリチャードシノナゾカンテイ	オープニングのカットで、銀座ニ丁目交差点の信号機越しに、松屋銀座ビルが描かれていました。				チュウオウク	ホ	13	16	2	
1225	0007	完了	東京都	中央区	銀座駅 C4出入口	104-0061	東京都中央区銀座4-1		35.672846	139.763184	"https://www.google.co.jp/maps/@35.6729337,139.7629251,3a,20y,106.61h,93.23t/data=!3m6!1e1!3m4!1sjNgAOB2aSWmtYseGUYiR9g!2e0!7i13312!8i6656"						宝石商リチャード氏の謎鑑定	ホウセキショウリチャードシノナゾカンテイ	オープニングで中田正義が歩く背景に描かれていた駅の出入口。				チュウオウク	ホ	13	16	2	
1225	0008	完了	東京都	中央区	数寄屋橋交差点（数寄屋橋交番前）	104-0061	東京都中央区銀座4-1		35.672755	139.763226	"https://www.google.co.jp/maps/@35.6727122,139.7631871,3a,35.1y,23.68h,95.75t/data=!3m6!1e1!3m4!1siAB6OvN2UGTQd2RopcIbsQ!2e0!7i16384!8i8192"						宝石商リチャード氏の謎鑑定	ホウセキショウリチャードシノナゾカンテイ	オープニングで、中田正義とリチャード・ラナシンハ・ドヴルピアンが対峙していたカットの背景に描かれていた場所。				チュウオウク	ホ	13	16	2	
1225	0009	完了	東京都	中央区	数寄屋橋交差点（銀座クリスタルビル前）	104-0061	東京都中央区銀座4-2		35.672552	139.763426	"https://www.google.co.jp/maps/@35.6725117,139.7631298,3a,35.7y,80.57h,86.97t/data=!3m6!1e1!3m4!1so9IaVtSzpRdUlmy9yR_55Q!2e0!7i16384!8i8192"						宝石商リチャード氏の謎鑑定	ホウセキショウリチャードシノナゾカンテイ	オープニングで中田正義が振り向くカットで描かれていた交差点。				チュウオウク	ホ	13	16	2	
1225	0010	完了	東京都	中央区	和光本館	104-0061	東京都中央区銀座4-5-11		35.671529	139.765057	"https://www.google.com/maps/@35.6709573,139.7652985,3a,21.4y,337.34h,114.32t/data=!3m6!1e1!3m4!1smJot0du_6BrUgmxGaLnpQQ!2e0!7i16384!8i8192"				4.5		宝石商リチャード氏の謎鑑定	ホウセキショウリチャードシノナゾカンテイ	第1話の銀座シーンの冒頭カットで描かれていたビル。<br />第2話、第4話、第7話、第11話、第12話でも、銀座シーンの挿入カットやオープニングカットでもビルが描かれていました。				チュウオウク	ホ	13	16	2	
