作品No.	聖地No.	確定	都道府県	市区郡	聖地名	郵便番号	住所	住所２	座標：緯度	座標：経度	SV	倍率	SV過去	Fov	Zoom	電話番号	作品	作品名フリガナ	備考	公式サイトURL	情報参照元URL	備考2	市区町村読み仮名	作品名50音	県順	市順	域順	実在
0849	0001	完了	埼玉県	さいたま市	アニメイト大宮	330-0854	埼玉県さいたま市大宮区桜木町1-132	第2髙井ビル1F	35.90434	139.62353	"https://www.google.co.jp/maps/@35.904335,139.62341,3a,75y,83.05h,108.04t/data=!3m4!1e1!3m2!1sH6IfHu0dysqu1RQ4Zq_SUA!2e0?hl=en"	17.0		120	1.3		宮河家の空腹	ミヤガワケノクウフク	第5話で出てきた宮河ひなたの働いているアニメショップで、「らき☆すた」の泉こなたと柊かがみが買い物をする姿が描かれていました。				サイタマシ	ミ	11	1	2	
0849	0002	完了	埼玉県	川越市	東武鉄道 川越市駅	350-0041	埼玉県川越市六軒町1-4-4		35.914183	139.477401	"https://www.google.co.jp/maps/@35.914718,139.477044,3a,43.7y,165.65h,92.01t/data=!3m4!1e1!3m2!1sDGORmCEY4kfun0bdTDOp3A!2e0?hl=ja"	17.0		120	3		宮河家の空腹	ミヤガワケノクウフク	第1話、第2話の挿入カットで登場した駅。県道246号線北口に入る辺りから、東口駅前の様子が描かれていました。				クワゴエシ	ミ	11	20	2	
0849	0003	完了	埼玉県	川越市	中央小学校	350-0042	埼玉県川越市中原町1-25		35.917094	139.481376	"https://www.google.co.jp/maps/@35.9173713,139.4820187,3a,69.4y,279.99h,91.27t/data=!3m4!1e1!3m2!1s3VJVzaQ-Xd84T5ScWhUirA!2e0"	17.0		120	1	049-222-0310	宮河家の空腹	ミヤガワケノクウフク	第2話で登場した宮河ひかげが通う「桜園小学校」のモデルで、各話の学校シーン冒頭に校門や校舎などの外観カットが描かれていました。	http://www.city.kawagoe.saitama.jp/www/contents/1131608449687/			クワゴエシ	ミ	11	20	2	
0849	0004	完了	埼玉県	川越市	RICHE	350-0042	埼玉県川越市中原町2-11-17		35.914264	139.478844	"https://www.google.co.jp/maps/@35.914175,139.478781,3a,22.3y,40.17h,99.96t/data=!3m4!1e1!3m2!1sTF58KUaJfuOR8kp0NO6FjA!2e0?hl=ja"	17.0		120	1.3	049-225-0380	宮河家の空腹	ミヤガワケノクウフク	第7話で宮河ひなたがケーキを買っていた店で、店内奥で「らき☆すた」の泉こなたと柊かがみ、柊つかさの3人がケーキを選んでいる姿が描かれていました。	http://france-riche.bitter.jp/			クワゴエシ	ミ	11	20	2	
0849	0005	完了	埼玉県	川越市	三又路	350-0042	埼玉県川越市中原町2-12		35.914251	139.479663	"https://www.google.co.jp/maps/@35.91429,139.479735,3a,63.7y,215.82h,94.76t/data=!3m4!1e1!3m2!1shr9hIBQQvXy80GhaKJDpPg!2e0?hl=ja"	17.0		120	1.7		宮河家の空腹	ミヤガワケノクウフク	第7話で学校シーンとケーキ屋シーンの間の挿入カットで描かれていた三又路。				クワゴエシ	ミ	11	20	2	
0849	0006	完了	埼玉県	川越市	新富町商店街	350-0043	埼玉県川越市新富町1-1		35.915263	139.483165	"https://www.google.co.jp/maps/@35.915249,139.483165,3a,32.4y,184.83h,94.21t/data=!3m4!1e1!3m2!1slRffzOqXR7QH6FIK4-IVWw!2e0?hl=ja"	17.0		120	3		宮河家の空腹	ミヤガワケノクウフク	第2話で宮河ひかげが宝くじを買うのを断念して家に向かうシーンで描かれていた商店街。チカラめしと餃子の王将の看板が確認できます。				クワゴエシ	ミ	11	20	2	
0849	0007	完了	埼玉県	川越市	本川越ぺぺチャンスセンター	350-0043	埼玉県川越市新富町1-22		35.915413	139.482017	"https://www.google.co.jp/maps/@35.9151,139.482336,3a,15y,325.01h,89.63t/data=!3m4!1e1!3m2!1szkwBGYAWOiES0BMt3TksJw!2e0?hl=ja"	17.0		120	3	049-248-4644	宮河家の空腹	ミヤガワケノクウフク	第2話で宮河ひかげが宝くじで貧乏から抜け出せないかと考えるも、宝くじの値段が意外に高いことを知って断念していた宝くじの売店。第4話ではひかげがロトを買っていました。				クワゴエシ	ミ	11	20	2	
0849	0008	完了	埼玉県	川越市	時の鐘入口交差点	350-0063	埼玉県川越市幸町7		35.923430	139.482897	"https://www.google.co.jp/maps/@35.923208,139.482877,3a,15y,354.37h,89.84t/data=!3m4!1e1!3m2!1svylw4jWLGfgYflv8q77z1g!2e0?hl=ja"			120	1		宮河家の空腹	ミヤガワケノクウフク	第3話の挿入カットで描かれていた通りで、時の鐘を撮影する老人の姿や、深善美術表具店からえぷろん亭あたりまでの店舗などが描かれていました。				クワゴエシ	ミ	11	20	2	
0849	0009	完了	埼玉県	川越市	赤間川公園	350-0064	埼玉県川越市末広町3-4		35.923957	139.478714	-	18.0		0			宮河家の空腹	ミヤガワケノクウフク	第9話で宮河ひかげが、捨て猫を拾ってきた公園。				クワゴエシ	ミ	11	20	2	
0849	0010	完了	埼玉県	川越市	県道15号線 交差点	350-0066	埼玉県川越市連雀町4		35.918668	139.483515	"https://www.google.co.jp/maps/@35.918796,139.483566,3a,40y,190.16h,99.2t/data=!3m4!1e1!3m2!1s8SLc3uBQYKfIK9tpRERmhQ!2e0?hl=ja"	17.0		120	3		宮河家の空腹	ミヤガワケノクウフク	第1話の挿入カットで登場した交差点。座標地点から南側を望む構図で描かれていました。				クワゴエシ	ミ	11	20	2	
