作品No.	聖地No.	確定	都道府県	市区郡	聖地名	郵便番号	住所	住所２	座標：緯度	座標：経度	SV	倍率	SV過去	Fov	Zoom	電話番号	作品	作品名フリガナ	備考	公式サイトURL	情報参照元URL	備考2	市区町村読み仮名	作品名50音	県順	市順	域順	実在
1250	0001	完了	東京都	千代田区	日比谷公園	100-0012	東京都千代田区日比谷公園1		35.672998	139.756857	"https://www.google.co.jp/maps/@35.6731149,139.756889,2a,15y,203.31h,89.86t/data=!3m6!1e1!3m4!1sVnOfrefTT63lKoOsNjgWUg!2e0!7i13312!8i6656"				5		富豪刑事 Balance:UNLIMITED	フゴウケイジバランスアンリミテッド	第7話で、神戸小百合殺害事件の捜査で神戸茂丸の調査をしていた捜査一課時代の仲本長介と武井克弘が休憩していた公園。				チヨダク	フ	13	17	2	
1250	0002	完了	東京都	千代田区	日比谷公園 霞門 前	100-0012	東京都千代田区日比谷公園1		35.673703	139.754085	"https://www.google.co.jp/maps/@35.6736822,139.7539819,3a,23y,85.31h,93.46t/data=!3m6!1e1!3m4!1ssOrtMhG7Lq9CrCY1PaHehQ!2e0!7i16384!8i8192"				4.5		富豪刑事 Balance:UNLIMITED	フゴウケイジバランスアンリミテッド	第9話で、佐伯まほろたちが、ケバブの移動販売車で仲本長介が命がけで神戸茂丸に仕掛けた盗聴器の信号を受信しようと頑張っていた場所。				チヨダク	フ	13	17	2	
1250	0003	完了	東京都	千代田区	警視庁本部庁舎	100-0013	東京都千代田区霞が関2-1-1		35.676990	139.752274	"https://www.google.com/maps/@35.6777804,139.7535031,3a,36.5y,231.85h,111.77t/data=!3m6!1e1!3m4!1sKjElyyskov-OCrzSkc8i8Q!2e0!7i16384!8i8192"						富豪刑事 Balance:UNLIMITED	フゴウケイジバランスアンリミテッド	加藤春や神戸大助たちが所属する「現代犯罪対策本部準備室」が置かれている庁舎。				チヨダク	フ	13	17	2	
1250	0004	完了	東京都	中央区	勝鬨橋	104-0045	東京都中央区築地6-19		35.662257	139.774891	"https://www.google.com/maps/@35.662937,139.7756493,2a,31y,226.31h,100.56t/data=!3m6!1e1!3m4!1sOrOp2djKGl6JbmPB-B1YIA!2e0!7i13312!8i6656"						富豪刑事 Balance:UNLIMITED	フゴウケイジバランスアンリミテッド	第1話で、爆弾を積んだワゴン車を、跳開させた橋から落として川の中で爆発させていた橋。<br />ヨーコとヒロシの逃走経路⑩<br />※1980年に機関部への送電を止め、可動部もロックされているため、実際には作中のように跳開させることはできません。<br /><br />ここまでのヨーコとヒロシの逃走経路は下記の通り。<br /><br />①交詢社通り<br />②外堀通り（和蘭豆 前）<br />③土橋交差点<br />④新橋一丁目交差点<br />⑤京急しんちか駐車場前の交差点<br />⑥ゆりかもめ緊急車輌出入口前の交差点<br />⑦昭和通り（日本道路ビル 前）<br />⑧蓬莱橋交差点<br />⑨三原橋交差点<br />⑩勝鬨橋				チュウオウク	フ	13	16	2	
1250	0005	完了	東京都	中央区	銀座四丁目交差点	104-0061	東京都中央区銀座4-5		35.671232	139.765032	"https://www.google.com/maps/@35.6710349,139.7648752,3a,46y,29.82h,106.1t/data=!3m6!1e1!3m4!1s_IUfS87e2fzEoUacADN6lQ!2e0!7i16384!8i8192"						富豪刑事 Balance:UNLIMITED	フゴウケイジバランスアンリミテッド	第1話の銀座シーンの冒頭カットで、中央通りの南西側から交差点を望む構図で、和光本館や銀座三越などのビルが描かれていました。				チュウオウク	フ	13	16	2	
1250	0006	完了	東京都	中央区	Ponte Vecchio 銀座並木通り本店	104-0061	東京都中央区銀座5-5-16	銀座テーラービルディング 1～2F	35.671457	139.763460	"https://www.google.com/maps/@35.6715745,139.7634008,3a,33.7y,166.97h,90.8t/data=!3m6!1e1!3m4!1sS8cdcoeE11UsOYFvPoi_dw!2e0!7i16384!8i8192"						富豪刑事 Balance:UNLIMITED	フゴウケイジバランスアンリミテッド	第1話で、ヨーコとヒロシが強盗に入ろうか検討していた宝石店の一つ。ヒロシがベテラン店員がいると言って避けていました。<br />作中では店名が「Ponto Vocchio」になっています。				チュウオウク	フ	13	16	2	
1250	0007	完了	東京都	中央区	三愛ドリームセンター 前	104-0061	東京都中央区銀座5-7		35.671189	139.764814	"https://www.google.com/maps/@35.6711924,139.7649421,3a,28y,272.85h,95.21t/data=!3m6!1e1!3m4!1sDX--3zYBdx-5txTjNY1hbg!2e0!7i16384!8i8192"				4		富豪刑事 Balance:UNLIMITED	フゴウケイジバランスアンリミテッド	第1話で、銀座のクラシックカーフェスティバルの警備中の街のカットで、警備部の車両上から監視する警察官やスマホでフェスティバルを撮影する群衆が描かれていた場所。				チュウオウク	フ	13	16	2	
1250	0008	完了	東京都	中央区	三原橋交差点	104-0061	東京都中央区銀座5-13		35.669576	139.767081	"https://www.google.com/maps/@35.6699298,139.7671932,3a,43y,189.12h,85.93t/data=!3m6!1e1!3m4!1sbWVjGD8r5EAFcgn2caszJg!2e0!7i16384!8i8192"						富豪刑事 Balance:UNLIMITED	フゴウケイジバランスアンリミテッド	第1話で、宝石店と間違えてチョコレート屋に強盗に入ったヨーコとヒロシが、爆弾の積まれたバンに乗って逃げていた交差点。<br />昭和通りを南西側から走ってきたバンが、右折して晴海通りを東南方面へ走り去る様子が描かれていました。<br />ヨーコとヒロシの逃走経路⑨<br />バンを追う神戸大助と加藤春の乗る車も同じコースを辿っていました。				チュウオウク	フ	13	16	2	
1250	0009	完了	東京都	中央区	銀座西五丁目交差点	104-0061	東京都中央区銀座6-4		35.671583	139.762250	"https://www.google.com/maps/@35.6714681,139.7621405,3a,43.5y,34.07h,86.34t/data=!3m6!1e1!3m4!1s24At7VaJICv4jRJG4OaTfA!2e0!7i16384!8i8192"						富豪刑事 Balance:UNLIMITED	フゴウケイジバランスアンリミテッド	第1話で、銀座のクラシックカーフェスティバルの警備にあたっている警備部からの応援要請で銀座に向かう加藤春の車が、警視庁へ向かう神戸大助の車とすれ違っていた交差点。				チュウオウク	フ	13	16	2	
1250	0010	完了	東京都	中央区	交詢社通り	104-0061	東京都中央区銀座6-6		35.670370	139.761783	"https://www.google.com/maps/@35.6700488,139.7622702,3a,18.3y,308.93h,90.07t/data=!3m6!1e1!3m4!1s9CQGBOcUQDcu66pclUvnZA!2e0!7i16384!8i8192"				5		富豪刑事 Balance:UNLIMITED	フゴウケイジバランスアンリミテッド	第1話で、宝石店と間違えてチョコレート屋に強盗に入ったヨーコとヒロシが、爆弾犯が爆弾を仕掛けておいたバンを、そうとは知らずに盗んで走り去っていた場所。<br />ヨーコとヒロシの逃走経路①				チュウオウク	フ	13	16	2	
