作品No.	聖地No.	確定	都道府県	市区郡	聖地名	郵便番号	住所	住所２	座標：緯度	座標：経度	SV	倍率	SV過去	Fov	Zoom	電話番号	作品	作品名フリガナ	備考	公式サイトURL	情報参照元URL	備考2	市区町村読み仮名	作品名50音	県順	市順	域順	実在
1067	0001	完了	東京都	港区	東京タワー	105-0011	東京都港区芝公園4-2-8		35.658587	139.745432	"https://www.google.co.jp/maps/@35.6584304,139.7461397,3a,42y,293.52h,149.36t/data=!3m6!1e1!3m4!1sK8yoF4ZNqsFgByJCRwb9pw!2e0!7i13312!8i6656"						少女☆歌劇 レヴュースタァライト	ショウジョカゲキレヴュースタァライト	第1話で、愛城華恋が夢のなかで突き落とされていた塔。<br />第4話で、寮からいなくなった神楽ひかりと、愛城華恋が再会したのもこの塔の下で、2人でオーディション合格を目指すことを誓い合うシーンの背景にも象徴的に塔が描かれていました。<br />オープニングにも登場しています。				ミナトク	シ	13	22	2	
1067	0002	完了	東京都	武蔵野市	交差点（武蔵野市桜堤三丁目歩道橋付近）	180-0021	東京都武蔵野市桜堤3-23		35.712590	139.528321	"https://www.google.co.jp/maps/@35.7125889,139.5283754,3a,55y,274.72h,87.48t/data=!3m6!1e1!3m4!1s-WQ0p7pRaecA8V9GsK28-w!2e0!7i13312!8i6656"						少女☆歌劇 レヴュースタァライト	ショウジョカゲキレヴュースタァライト	第1話で、愛城華恋と露崎まひるが、転校してきた神楽ひかりを学生寮（星光館）まで案内するシーンで、3人が信号待ちをしていた交差点。				ムサシノシ	シ	13	48	2	
1067	0003	完了	東京都	小平市	津田塾大学 小平キャンパス	187-0025	東京都小平市津田町2-1-1		35.721761	139.466348	"https://www.google.co.jp/maps/@35.7218594,139.4649422,3a,67y,91.6h,81.78t/data=!3m6!1e1!3m4!1s-eGSV1s-TLLkinXydEL-Fg!2e0!7i13312!8i6656"						少女☆歌劇 レヴュースタァライト	ショウジョカゲキレヴュースタァライト	愛城華恋たちが通う聖翔音楽学園のモデル。				コダイラシ	シ	13	32	2	
1067	0007	完了	東京都	杉並区	ルミネ荻窪 前	167-0043	東京都杉並区上荻1-7		35.704784	139.620476	"https://www.google.co.jp/maps/@35.7049417,139.6206333,3a,31.7y,179.42h,89.53t/data=!3m8!1e1!3m6!1sAF1QipOUwuXdJNc6MPJrdr7vTyfZRSgrhUKEbNJiBIQ!2e10!3e11!6shttps:%2F%2Flh5.googleusercontent.com%2Fp%2FAF1QipOUwuXdJNc6MPJrdr7vTyfZRSgrhUKEbNJiBIQ%3Dw203-h100-k-no-pi-8.122217-ya5.206404-ro11.942545-fo100!7i5376!8i2688"						少女☆歌劇 レヴュースタァライト	ショウジョカゲキレヴュースタァライト	第4話で、寮からいなくなった神楽ひかりを探す愛城華恋が、ひかりからのヒント写真の場所がどこかを、女の子に尋ねていた場所。				スギナミク	シ	13	12	2	
1067	0006	完了	東京都	杉並区	JR 荻窪駅　3・4番ホーム	167-0051	東京都杉並区荻窪5-31		35.704464	139.620021	-						少女☆歌劇 レヴュースタァライト	ショウジョカゲキレヴュースタァライト	第4話で、寮を抜け出した神楽ひかりが愛城華恋からの電話を受けていた駅のホーム。				スギナミク	シ	13	12	2	
1067	0005	完了	東京都	杉並区	荻窪駅西口連絡橋	167-0051	東京都杉並区荻窪5-31		35.704211	139.619007	"https://www.google.co.jp/maps/@35.7044177,139.61907,3a,50.7y,186.6h,88.68t/data=!3m8!1e1!3m6!1sAF1QipNHzH27UYKcPGI67-spZnMe5hftu9bOCrLTvXm7!2e10!3e11!6shttps:%2F%2Flh5.googleusercontent.com%2Fp%2FAF1QipNHzH27UYKcPGI67-spZnMe5hftu9bOCrLTvXm7%3Dw203-h100-k-no-pi-0-ya59.42274-ro-0-fo100!7i4096!8i2048"						少女☆歌劇 レヴュースタァライト	ショウジョカゲキレヴュースタァライト	第4話で、突然寮からいなくなった神楽ひかりを探して駅にやって来た愛城華恋が、ひかりからのメールを見ていた場所。				スギナミク	シ	13	12	2	
1067	0004	完了	東京都	杉並区	民家	167-0052	東京都杉並区南荻窪4-32-20		35.701982	139.615213	"https://www.google.co.jp/maps/@35.7021028,139.615466,3a,36y,232.55h,94.39t/data=!3m6!1e1!3m4!1szEL7KVX8kxDA055561sXjQ!2e0!7i13312!8i6656"						少女☆歌劇 レヴュースタァライト	ショウジョカゲキレヴュースタァライト	学生寮「星光館」の立地モデル。				スギナミク	シ	13	12	2	
1067	0008	完了	東京都	豊島区	サンシャイン水族館	170-0013	東京都豊島区東池袋3-1	ワールドインポートマートビル 屋上	35.728991	139.719790	"https://www.google.co.jp/maps/@35.729538,139.7174605,3a,70y,99.7h,143.16t/data=!3m6!1e1!3m4!1s4K3N3EhYHQzy4TfjAYq0pw!2e0!7i13312!8i6656"						少女☆歌劇 レヴュースタァライト	ショウジョカゲキレヴュースタァライト	第4話で、寮からいなくなった神楽ひかりが訪れていた水族館その1。ひかりを追う愛城華恋が訪れるものの、すでにひかりが立ち去った後でした。	http://www.sunshinecity.co.jp/aquarium/			トシマク	シ	13	18	2	
1067	0009	完了	東京都	豊島区	JR 池袋駅	171-0022	東京都豊島区南池袋1-28-2		35.729502	139.710898	"https://www.google.co.jp/maps/@35.7306838,139.7113364,2a,34.2y,298.48h,93.65t/data=!3m6!1e1!3m4!1s0RXBXhJC2DRy4anJSaF7Tw!2e0!7i13312!8i6656"						少女☆歌劇 レヴュースタァライト	ショウジョカゲキレヴュースタァライト	第4話で、寮からいなくなった神楽ひかりを探す愛城華恋が、ひかりからのヒントをもとにサンシャイン水族館を訪れたものの、すでに別の水族館に移動したことを知り、慌てて移動するシーンで、華恋が電車待ちをしていた駅。				トシマク	シ	13	18	2	
1067	0010	完了	東京都	品川区	しながわ水族館	140-0012	東京都品川区勝島3-2-1		35.588515	139.737391	"https://www.google.co.jp/maps/@35.5892418,139.7372176,3a,25.3y,178.98h,81.26t/data=!3m8!1e1!3m6!1sAF1QipO3umc0zL_sFZxzx0165IPveFLiU2eHDRJ0pHQN!2e10!3e11!6shttps:%2F%2Flh5.googleusercontent.com%2Fp%2FAF1QipO3umc0zL_sFZxzx0165IPveFLiU2eHDRJ0pHQN%3Dw203-h100-k-no-pi0-ya292.31445-ro-0-fo100!7i5376!8i2688"						少女☆歌劇 レヴュースタァライト	ショウジョカゲキレヴュースタァライト	第4話で、寮からいなくなった神楽ひかりが訪れていた水族館その2。ひかりを追う愛城華恋が訪れるものの、すでにひかりが立ち去った後でした。				シナガワク	シ	13	9	2	
