作品No.	聖地No.	確定	都道府県	市区郡	聖地名	郵便番号	住所	住所２	座標：緯度	座標：経度	SV	倍率	SV過去	Fov	Zoom	電話番号	作品	作品名フリガナ	備考	公式サイトURL	情報参照元URL	備考2	市区町村読み仮名	作品名50音	県順	市順	域順	実在
0409	0001	完了	東京都	千代田区	ソフマップ アミューズメント館	101-0021	東京都千代田区外神田1-10-8	平岡ビル	35.698898	139.771024	"https://www.google.co.jp/maps/@35.6986979,139.771212,3a,22.8y,322.5h,87.86t/data=!3m6!1e1!3m4!1sQ9p4P95EXV6jgndhKKn3tg!2e0!7i13312!8i6656"	18		120	3	03-3253-3030	少女たちは荒野を目指す	ショウジョタチハコウヤヲメザス	第1話で黒田砂雪が北条文太郎に美少女ゲームのことを教えるために連れてきた店。	http://www.sofmap.com/tenpo/topics/exec/_/id=shop/-/sid=akb-amuse			チヨダク	シ	13	17	2	
0409	0002	完了	東京都	千代田区	JR 秋葉原駅 電気街口（南）	101-0021	東京都千代田区外神田1-17-6		35.698326	139.772326	"https://www.google.co.jp/maps/@35.6980365,139.7725182,3a,33.8y,345.84h,95.95t/data=!3m7!1e1!3m5!1s8JwlJa8yLaRv4k7rS7lC1A!2e0!6s%2F%2Fgeo0.ggpht.com%2Fcbk%3Fpanoid%3D8JwlJa8yLaRv4k7rS7lC1A%26output%3Dthumbnail%26cb_client%3Dmaps_sv.tactile.gps%26thumb%3D2%26w%3D203%26h%3D100%26yaw%3D252.42928%26pitch%3D0!7i13312!8i6656"	17		120	3		少女たちは荒野を目指す	ショウジョタチハコウヤヲメザス	第1話で、黒田砂雪が北条文太郎に連れられて秋葉原にやって来たシーンで駅前が描かれていました。				チヨダク	シ	13	17	2	
0409	0003	完了	神奈川県	横浜市	横浜・八景島シーパラダイス	236-0006	神奈川県横浜市金沢区八景島		35.336397	139.645443	"https://www.google.co.jp/maps/@35.3379688,139.6426986,3a,65.8y,126.97h,87.75t/data=!3m6!1e1!3m4!1sspVJc86X036T0zgFY5a-wA!2e0!7i13312!8i6656"						少女たちは荒野を目指す	ショウジョタチハコウヤヲメザス	第1話で、黒田砂雪が北条文太郎のコミュ力を試すためにでーとしていた場所。冒頭のオープンマーケットやアイスを食べていたリトルダーリン、砂雪がフラフラになっていたブルーフォール、イルカの水槽を覗いていたアクアミュージアム、イルカショーを見ていたアクアライド脇のプールが出てきましたね。 	http://www.seaparadise.co.jp/			ヨコハマシ	シ	14	1	2	
0409	0004	完了	神奈川県	横浜市	八景島駅歩道橋	236-0013	神奈川県横浜市金沢区海の公園		35.341408	139.641038	"https://www.google.co.jp/maps/@35.3416443,139.6416321,3a,47.5y,198.69h,78.64t/data=!3m8!1e1!3m6!1s-ytKz8J058H8%2FU_g4aVbjdkI%2FAAAAAAAAAMY%2FPSkS2wInzag!2e4!3e11!6s%2F%2Flh3.googleusercontent.com%2F-ytKz8J058H8%2FU_g4aVbjdkI%2FAAAAAAAAAMY%2FPSkS2wInzag%2Fw203-h101-n-k-no%2F!7i8704!8i4352"						少女たちは荒野を目指す	ショウジョタチハコウヤヲメザス	第1話の黒田砂雪と北条文太郎のデートシーンで、細かい待ち合わせ場所を教えてもらっていなかったにも関わらず、文太郎が電車から砂雪の姿を見つけて駆け寄っていた橋。デートの終わりに、砂雪が文太郎に、デートの真の目的を打ち明けていたのもこの橋でした。				ヨコハマシ	シ	14	1	2	
0409	0005	完了	神奈川県	横浜市	八景島駅	236-0013	神奈川県横浜市金沢区海の公園		35.340816	139.640834	"https://www.google.co.jp/maps/@35.3407321,139.6406408,3a,75y,54.6h,90.26t/data=!3m8!1e1!3m6!1s-usW7IkGa0z0%2FUzFFDXmxZPI%2FAAAAAAAAJHc%2F-LNZXlzX3Wo!2e4!3e11!6s%2F%2Flh4.googleusercontent.com%2F-usW7IkGa0z0%2FUzFFDXmxZPI%2FAAAAAAAAJHc%2F-LNZXlzX3Wo%2Fw203-h101-n-k-no%2F!7i5800!8i2900"						少女たちは荒野を目指す	ショウジョタチハコウヤヲメザス	第1話の黒田砂雪と北条文太郎のデートシーンで、文太郎が降り立った駅。				ヨコハマシ	シ	14	1	2	
0409	0006	完了	神奈川県	横浜市	金沢八景駅前交差点	236-0027	神奈川県横浜市金沢区瀬戸2		35.331694	139.621556	"https://www.google.co.jp/maps/@35.3314573,139.6213343,3a,54.5y,85.4h,105.07t/data=!3m6!1e1!3m4!1shYCHszDRx3Xvg79TVLXaAQ!2e0!7i13312!8i6656"						少女たちは荒野を目指す	ショウジョタチハコウヤヲメザス	第1話で、北条文太郎が、日が暮れてからコンビニ弁当片手に走って家にかえるシーンで描かれていた交差点。正面に描かれているのは文太郎が住んでいる設定の八景ビルです。				ヨコハマシ	シ	14	1	2	
0409	0007	完了	神奈川県	横浜市	金沢八景ビル	236-0027	神奈川県横浜市金沢区瀬戸2-5		35.331686	139.621981	"https://www.google.co.jp/maps/@35.3314824,139.621307,3a,36.2y,72.26h,111.82t/data=!3m6!1e1!3m4!1sso6YVAvVlzQHzNHfWuoI2w!2e0!7i13312!8i6656"						少女たちは荒野を目指す	ショウジョタチハコウヤヲメザス	北条文太郎が最上階に住んでいるビル。冒頭の金沢八景ビル前の景色も、このビルの屋上からのものです。※駅前再開発のため2016年に解体済。				ヨコハマシ	シ	14	1	2	解体
0409	0008	完了	神奈川県	横浜市	瀬戸神社前交差点	236-0027	神奈川県横浜市金沢区瀬戸3		35.332587	139.622874	"https://www.google.co.jp/maps/@35.3327016,139.6228126,3a,41.2y,212.83h,87.04t/data=!3m6!1e1!3m4!1sHsjk_9sxdN8fLQ0RS6nyrg!2e0!7i13312!8i6656!6m1!1e1?hl=ja"						少女たちは荒野を目指す	ショウジョタチハコウヤヲメザス	第7話の学校帰りのシーンで、北条文太郎を意識し過ぎな夕夏が、2人きりになるのを避けて、逃げるように走ってきた交差点。後半で、デート帰りの文太郎が細川と電話と話していたのもこの交差点でした。				ヨコハマシ	シ	14	1	2	
0409	0009	完了	神奈川県	横浜市	京急 金沢八景駅	236-0027	神奈川県横浜市金沢区瀬戸15		35.331331	139.620226	"https://www.google.co.jp/maps/@35.3313739,139.620552,3a,47.9y,250.18h,97.67t/data=!3m7!1e1!3m5!1spGASIYnOeEzpbO0Qjg4VkQ!2e0!6s%2F%2Fgeo0.ggpht.com%2Fcbk%3Fpanoid%3DpGASIYnOeEzpbO0Qjg4VkQ%26output%3Dthumbnail%26cb_client%3Dmaps_sv.tactile.gps%26thumb%3D2%26w%3D203%26h%3D100%26yaw%3D309.845%26pitch%3D0!7i13312!8i6656?hl=ja"						少女たちは荒野を目指す	ショウジョタチハコウヤヲメザス	第3話で、合宿に向かう北条文太郎一行が電車に乗り込んでいた駅。作中では駅名が「金沢百景駅」になっていました。第7話で、告白シーンが書けずに悩む文太郎が、ヒントを掴むために小早川夕夏と擬似デートをするシーンで、2人が待ち合わせをしていたのも、第11話で、トラブル続きで工場への発送期限を過ぎてしまったため、ゲームのマスターデータを、直接工場に持ち込むことになった黒田砂雪たちが電車に乗り込んでいたのも、この駅でした。				ヨコハマシ	シ	14	1	2	
0409	0010	完了	神奈川県	横浜市	三本コーヒー金沢八景店	236-0027	神奈川県横浜市金沢区瀬戸15-3		35.331315	139.620529	"https://www.google.co.jp/maps/@35.3313739,139.620552,3a,30y,135.35h,86.88t/data=!3m6!1e1!3m4!1spGASIYnOeEzpbO0Qjg4VkQ!2e0!7i13312!8i6656"					045-782-5454	少女たちは荒野を目指す	ショウジョタチハコウヤヲメザス	第4話で、シナリオ制作に行き詰る文太郎のために、黒田砂雪がシナリオライターのぶるぅたすと引き合わせていた喫茶店。※1977年から営業されている老舗喫茶店でしたが、駅前再開発による移転のため、2015年に旧店舗での営業を終了。建物も解体済されていまいました。				ヨコハマシ	シ	14	1	2	移転
