作品No.	聖地No.	確定	都道府県	市区郡	聖地名	郵便番号	住所	住所２	座標：緯度	座標：経度	SV	倍率	SV過去	Fov	Zoom	電話番号	作品	作品名フリガナ	備考	公式サイトURL	情報参照元URL	備考2	市区町村読み仮名	作品名50音	県順	市順	域順	実在
0916	0023	完了	千葉県	松戸市	千葉県立松戸高等学校	270-0025	千葉県松戸市中和倉590-1		35.802056	139.926750	"https://www.google.com/maps/@35.8026849,139.9259991,3a,17y,135.33h,95.95t/data=!3m6!1e1!3m4!1sRuOQ8hBYCKaxNhreEcOF8w!2e0!7i13312!8i6656"				5		弱虫ペダル	ヨワムシペダル	小野田坂道が通う「千葉県立総北高等学校」の校舎のモデル。<br />市立と県立、専修大学付属の3つの松戸高校がありますが、「松高」あるいは「県松」と呼ばれる県立の方になります。				マツドシ	ヨ	12	13	2	
0916	0001	完了	千葉県	佐倉市	京成電鉄 京成佐倉駅	285-0014	千葉県佐倉市栄町1001-5		35.725489	140.229444	"https://www.google.co.jp/maps/@35.7256602,140.2297378,3a,25y,229.6h,97.43t/data=!3m6!1e1!3m4!1sfeAkanjw8qfrLNMIDqoC3Q!2e0!7i13312!8i6656"	15.0			4		弱虫ペダル	ヨワムシペダル	第1話冒頭カット、第3話の学校シーンの冒頭カットで、北口周辺が描かれていました。<br />作中では、駅越しに山の上の学校が描き足されています。				サクラシ	ヨ	12	3	2	
0916	0002	完了	東京都	千代田区	AKIBAカルチャーズZONE 脇	101-0021	東京都千代田区外神田1-7-6		35.699397	139.770376	"https://www.google.co.jp/maps/@35.6993605,139.7703623,3a,49.3y,72.92h,94.22t/data=!3m6!1e1!3m4!1spv5RITTMWOGAESeOKnOIxQ!2e0!7i13312!8i6656"	18					弱虫ペダル	ヨワムシペダル	第4話で、小野田坂道が自転車を停めていた場所で、その使い込まれた自転車に注目した鳴子章吉と出会っていました。				チヨダク	ヨ	13	17	2	
0916	0003	完了	東京都	千代田区	中央通り（宝田中央通りビル前）	101-0021	東京都千代田区外神田1-14		35.698289	139.771386	"https://www.google.co.jp/maps/@35.6982084,139.7714354,3a,75y,359.92h,99.7t/data=!3m6!1e1!3m4!1s5TvQr1a3aF2baD2MPSlxYQ!2e0!7i13312!8i6656"	17			2		弱虫ペダル	ヨワムシペダル	第4話冒頭カットで描かれていた場所。<br />同話で、小野田坂道と共に千葉に帰ることにした鳴子章吉が、停めていた自分の自転車を坂道に見せていたのもこの場所でした。				チヨダク	ヨ	13	17	2	
0916	0024	完了	東京都	台東区	厩橋	111-0043	東京都台東区駒形2-1		35.704408	139.795077	"https://www.google.com/maps/@35.7048854,139.7941575,3a,30.1y,128.1h,92.03t/data=!3m6!1e1!3m4!1skmUu4LbnI6ou9mkvDBffuA!2e0!7i13312!8i6656"						弱虫ペダル	ヨワムシペダル	第4話で、小野田坂道の自転車に向かって投げ捨てた煙草の吸殻を叩き返すために、乗ったガラの悪い男の乗る黄色い車を追う坂道と鳴子章吉が、風の壁対策として行列を作って対応していた橋。				タイトウク	ヨ	13	15	2	
0916	0004	完了	神奈川県	小田原市	小田原市民会館前交差点	250-0012	神奈川県小田原市本町1-5		35.250525	139.159267	"https://www.google.co.jp/maps/@35.2504291,139.159349,3a,69y,342.12h,90.07t/data=!3m6!1e1!3m4!1stfdiSK_bdCWIO9pYa3WqjQ!2e0!7i13312!8i6656"				2		弱虫ペダル	ヨワムシペダル	インターハイ1日目のコース2。<br />第26話で、小野田坂道が集団落車に巻き込まれて落車し、最下位から仲間を追うことになっていた交差点。				オダワラシ	ヨ	14	24	2	
0916	0005	完了	神奈川県	小田原市	東海道（小田原厚木道路前）	250-0034	神奈川県小田原市板橋		35.246871	139.133299	"https://www.google.co.jp/maps/@35.2466885,139.1342947,3a,15y,281.75h,91.55t/data=!3m6!1e1!3m4!1s1Kho6OR96XCSwchZLP9nBA!2e0!7i13312!8i6656"				5		弱虫ペダル	ヨワムシペダル	インターハイ1日目のコース3。第28話で、転倒で大きく遅れた小野田坂道が、仲間に追いつくために怒涛の走りを見せていた場所。				オダワラシ	ヨ	14	24	2	
0916	0020	完了	神奈川県	足柄下郡	国道138号（箱根湯本駅ホーム前）	250-0311	神奈川県足柄下郡箱根町湯本		35.233731	139.105000	"https://www.google.com/maps/@35.2336426,139.1050531,3a,48y,341.58h,89.95t/data=!3m6!1e1!3m4!1sS6P8d34bQjYhhGR5KfdBag!2e0!7i16384!8i8192"						弱虫ペダル	ヨワムシペダル	第20話のインターハイ予選の決勝戦で、箱根学園の黒田雪成と真波山岳が走り抜けていた場所。折り返し地点である湯本大橋前の道。				アシガラシモグン	ヨ	14	25	2	
0916	0022	完了	神奈川県	足柄下郡	湯本大橋	250-0311	神奈川県足柄下郡箱根町湯本		35.233409	139.105200	-						弱虫ペダル	ヨワムシペダル	第20話のインターハイ予選の決勝戦で、箱根学園の黒田雪成と真波山岳が渡っていた折り返し地点の橋。				アシガラシモグン	ヨ	14	25	2	
0916	0015	完了	神奈川県	足柄下郡	旭橋	250-0315	神奈川県足柄下郡箱根町塔之澤		35.231946	139.099700	"https://www.google.co.jp/maps/@35.2319594,139.0998455,3a,25y,277.36h,90.94t/data=!3m6!1e1!3m4!1s8FAwZyy3LQov8NuYDL4Jig!2e0!7i16384!8i8192"				4		弱虫ペダル	ヨワムシペダル	インターハイ1日目のコース4。<br />、第28話で、落車による最下位から仲間を追う小野田坂道が通過していた橋。				アシガラシモグン	ヨ	14	25	2	
0916	0006	完了	神奈川県	足柄下郡	函嶺洞門（東側出入口）	250-0311	神奈川県足柄下郡箱根町湯本		35.232596	139.097149	"https://www.google.co.jp/maps/@35.232613,139.0974448,3a,19.5y,264.89h,96.7t/data=!3m6!1e1!3m4!1s75qsAXd5XgnBq7qYX6B9mg!2e0!7i13312!8i6656"				5		弱虫ペダル	ヨワムシペダル	インターハイ1日目のコース5。<br />第27話では、トップ集団の巻島裕介が先導する「総北高校」一行が通過し、第28話では、落車による最下位から仲間を追う小野田坂道が通過していた覆道の東側出入口。<br />※洞門を迂回する函嶺洞門バイパスの整備によって2014年に通行禁止となっています。				アシガラシモグン	ヨ	14	25	2	
0916	0017	完了	神奈川県	足柄下郡	函嶺洞門（西側出入口）	250-0311	神奈川県足柄下郡箱根町湯本		35.232639	139.096047	"https://www.google.co.jp/maps/@35.2326797,139.0957723,3a,34.8y,108.39h,90.22t/data=!3m6!1e1!3m4!1sf-cb6fQ5WyiWn3ZAqZYhWg!2e0!7i13312!8i6656"						弱虫ペダル	ヨワムシペダル	インターハイ1日目のコース6。<br />、第28話で、落車による最下位から仲間を追う小野田坂道が通過していた覆道の西側出入口。				アシガラシモグン	ヨ	14	25	2	
0916	0007	完了	神奈川県	足柄下郡	千歳橋	250-0315	神奈川県足柄下郡箱根町塔之澤		35.232912	139.094937	"https://www.google.co.jp/maps/@35.2330273,139.0946942,3a,46.8y,93.96h,87.73t/data=!3m6!1e1!3m4!1sw2WXGtEojeG1CwGjPRRF1Q!2e0!7i13312!8i6656"						弱虫ペダル	ヨワムシペダル	インターハイ1日目のコース7。<br />第27話では、トップ集団の巻島裕介が先導する「総北高校」一行が通過し、第28話では、落車による最下位から仲間を追う小野田坂道が通過していた橋。				アシガラシモグン	ヨ	14	25	2	
0916	0016	完了	神奈川県	足柄下郡	国道1号最高地点	250-0315	神奈川県足柄下郡箱根町芦之湯		35.217623	139.038579	"https://www.google.co.jp/maps/@35.2178017,139.0388496,3a,23.8y,226.29h,90.1t/data=!3m6!1e1!3m4!1sVuI5W3hj_3I_aklVb8MBog!2e0!7i16384!8i8192"				4.5		弱虫ペダル	ヨワムシペダル	インターハイ1日目のコース9。<br />第29話で、巻島裕介と東堂尽八が山岳リザルトを競った山岳ポイント。				アシガラシモグン	ヨ	14	25	2	
0916	0008	完了	神奈川県	足柄下郡	ヘアピンカーブ	250-0405	神奈川県足柄下郡箱根町大平台		35.240324	139.072425	"https://www.google.co.jp/maps/@35.2402415,139.0723684,3a,52.2y,124.57h,83.6t/data=!3m6!1e1!3m4!1sI2dfnL6BXJ_u2Wh4ohqA6g!2e0!7i16384!8i8192"						弱虫ペダル	ヨワムシペダル	インターハイ1日目のコース8。<br />第27話で、誘いに乗ってこない巻島裕介との勝負を諦めて先行する「箱根学園」の東堂尽八や、巻島裕介が先導する「総北高校」一行が通過していたつづら折り。				アシガラシモグン	ヨ	14	25	2	
0916	0009	完了	神奈川県	足柄下郡	国道1号線（箱根ホテル前）	250-0521	神奈川県足柄下郡箱根町箱根		35.190585	139.026538	"https://www.google.co.jp/maps/@35.190746,139.0266939,3a,45.3y,215.69h,92.85t/data=!3m6!1e1!3m4!1s_Jvgc4H4EcOOJXXZSNj4sg!2e0!7i13312!8i6656"						弱虫ペダル	ヨワムシペダル	インターハイ1日目のゴール。<br />第31話で、金城真護、「箱根学園」の福富寿一、「京都伏見高校」の御堂筋翔競が三つ巴でゴールを競う姿が描かれていました。<br />画面右手に箱根ホテルと思われる建物が確認できますが、周囲の様子も含め、再現度はかなり低めです。				アシガラシモグン	ヨ	14	25	2	
0916	0010	完了	神奈川県	足柄下郡	東海道（箱根峠）	250-0521	神奈川県足柄下郡箱根町箱根		35.182815	139.014120	"https://www.google.co.jp/maps/@35.1833147,139.0142369,3a,18.4y,191.94h,92.53t/data=!3m6!1e1!3m4!1swBcyCuU1SgKO37hUg0Uq2g!2e0!7i13312!8i6656"				5		弱虫ペダル	ヨワムシペダル	インターハイ2日目のコース1。<br />第32話で、先行する福富寿一と荒北靖友を追う「箱根学園」メンバーと、金城真護を連れてくるために残った小野田坂道を欠く巻島裕介と鳴子章吉の2人がこれを追う形で通過していた場所。				アシガラシモグン	ヨ	14	25	2	
0916	0011	完了	神奈川県	足柄下郡	元箱根交差点（芦ノ湖遊覧船のりば前）	250-0522	神奈川県足柄下郡箱根町元箱根		35.203003	139.031593	"https://www.google.co.jp/maps/@35.2031777,139.0319954,3a,40.8y,245.69h,86.39t/data=!3m6!1e1!3m4!1sQ-xx11iEsBJ_HiYhOHogPA!2e0!7i13312!8i6656"						弱虫ペダル	ヨワムシペダル	インターハイ1日目のコース10。<br />第30話で、1日目のゴールを狙う今泉俊輔と金城真護、「箱根学園」の荒北靖友と福富寿一が競いながら曲がっていた交差点。				アシガラシモグン	ヨ	14	25	2	
0916	0012	完了	神奈川県	足柄下郡	箱根神社の大鳥居	250-0522	神奈川県足柄下郡箱根町元箱根		35.201035	139.030904	"https://www.google.co.jp/maps/@35.2014461,139.0309679,3a,49.4y,201.52h,87.45t/data=!3m6!1e1!3m4!1sjHrb64VP2svjrxo8rKmwAA!2e0!7i13312!8i6656"						弱虫ペダル	ヨワムシペダル	インターハイ1日目のコース11。<br />第30話で、1日目のゴールを狙う今泉俊輔と金城真護、「箱根学園」の荒北靖友と福富寿一が競いながら通過していた赤鳥居。				アシガラシモグン	ヨ	14	25	2	
0916	0018	完了	神奈川県	足柄下郡	ザ・プリンス 箱根芦ノ湖	250-0592	神奈川県足柄下郡箱根町元箱根144		35.214237	139.007331	-						弱虫ペダル	ヨワムシペダル	第32話で、インターハイ1日目を終えた「箱根学園」他数校の自転車競技部員たちが宿泊していたホテル。				アシガラシモグン	ヨ	14	25	2	
0916	0013	完了	神奈川県	藤沢市	弁天橋	251-0036	神奈川県藤沢市江の島1		35.302962	139.481682	"https://www.google.co.jp/maps/@35.3033476,139.4818814,3a,57.4y,14.35h,73.26t/data=!3m6!1e1!3m4!1sRzi95WwpTbjBQEwhIFyB-Q!2e0!7i16384!8i8192"						弱虫ペダル	ヨワムシペダル	第22～23話のインターハイの1日目のスタート地点で、パレードランが行われていた橋。				フジサワシ	ヨ	14	15	2	
0916	0014	完了	神奈川県	中郡	国道134号線（西湖バイパス入口）	255-0002	神奈川県中郡大磯町東町		35.312071	139.324966	"https://www.google.co.jp/maps/@35.312204,139.3252439,3a,42.4y,236.68h,93.58t/data=!3m6!1e1!3m4!1shJe2X_lZhaaIEGykurIMHw!2e0!7i16384!8i8192"						弱虫ペダル	ヨワムシペダル	インターハイ1日目のコース1。<br />第24話の三つ巴のスプリント対決で、泉田塔一郎が、鳴子章吉と田所迅に対し、自分に勝つつもりなら2人で協力すべきだったと、すでに勝敗が決したと言わんばかりの発言をしていた計測ポイント1km前の地点。				ナカグン	ヨ	14	21	2	
0916	0021	完了	静岡県	富士市	国久保2丁目交差点	417-0071	静岡県富士市国久保2-1		35.168457	138.680050	"https://www.google.co.jp/maps/@35.1680972,138.6800162,3a,53y,7.45h,89.63t/data=!3m6!1e1!3m4!1sCuc3BUxyVoX3FOJ34uFFfA!2e0!7i16384!8i8192"						弱虫ペダル	ヨワムシペダル	インターハイ2日目のコース2。<br />「熊本台一高校」の後を追いかける形で、小野田坂道と金城真護が通過していた交差点。作中では平坦区間から上り区間に切り替わるポイントとして描かれていました。<br />歩道橋先の道が分岐し、分岐点にガソリンスタンドがあるなど共通点は多いものの、作画上の再現度はかなり低めです。				フジシ	ヨ	22	1	3	
0916	0019	完了	静岡県	伊豆市	日本サイクルスポーツセンター	410-2402	静岡県伊豆市大野1826		35.009285	139.011449	"https://www.google.com/maps/@35.0090161,139.0117429,3a,49y,307.89h,92.88t/data=!3m6!1e1!3m4!1sOf-QdCIOh8zZTyBTzMo9hg!2e0!7i13312!8i6656"						弱虫ペダル	ヨワムシペダル	第12～18話で、小野田坂道たち「総北高校自転車競技部」が合宿をした「サイクルスポーツセンター」のモデル。				イズシ	ヨ	22	11	3	
