作品No.	聖地No.	確定	都道府県	市区郡	聖地名	郵便番号	住所	住所２	座標：緯度	座標：経度	SV	倍率	SV過去	Fov	Zoom	電話番号	作品	作品名フリガナ	備考	公式サイトURL	情報参照元URL	備考2	市区町村読み仮名	作品名50音	県順	市順	域順	実在
1008	0001	完了	神奈川県	足柄下郡	道の駅 箱根峠	250-0521	神奈川県足柄下郡箱根町箱根381-22		35.186712	139.015886	"https://www.google.com/maps/@35.1865391,139.0158383,3a,15y,9.29h,88.32t/data=!3m6!1e1!3m4!1s-gQeqLkSUHp3Cthhf3BC_g!2e0!7i13312!8i6656"				5		弱虫ペダル GLORY LINE	ヨワムシペダルグローリーライン	第13話の回想シーンで、キャプテンを辞退しようと迷う泉田塔一郎が、葦木場拓斗に励まされていた場所。				アシガラシモグン	ヨ	14	25	2	
1008	0002	完了	千葉県	成田市	成田国際空港	282-0004	千葉県成田市古込1-1		35.773376	140.387943	"https://www.google.com/maps/@35.772724,140.3876108,3a,58.3y,16.89h,110.81t/data=!3m6!1e1!3m4!1s-TB3UIlSxGbXhWIDpxcxag!2e0!7i13312!8i6656"						弱虫ペダル GLORY LINE	ヨワムシペダルグローリーライン	第4話のエンディング後のおまけシーンで、後輩たちのインターハイを応援するためにイギリスから一時帰国する巻島裕介を、金城真護と田所迅が駐車場で待つ姿が描かれていました。				ナリタシ	ヨ	12	18	2	
1008	0003	完了	栃木県	日光市	防災トンネル	321-1445	栃木県日光市細尾町		36.735055	139.514497	"https://www.google.com/maps/@36.7347573,139.5147285,3a,21.3y,339.49h,94.86t/data=!3m6!1e1!3m4!1szqJRd3Cr1fp3ZthcQXXsGg!2e0!7i16384!8i8192"				4.5		弱虫ペダル GLORY LINE	ヨワムシペダルグローリーライン	インターハイ1日目コース10。<br />第1話の前作『弱虫ペダル NEW GENERATION』の振返りシーンで、山岳リザルト決着後、後続の「総北高校」と「箱根学園」が通過する姿が描かれていた覆道。				ニッコウシ	ヨ	9	6	2	
1008	0004	完了	栃木県	日光市	明智平展望台	321-1445	栃木県日光市細尾町		36.736685	139.516601	"https://www.google.com/maps/@36.7367614,139.5169418,3a,26.1y,272.06h,89.15t/data=!3m6!1e1!3m4!1s4niPxhcvVWlq5o2xUYFCYQ!2e0!7i13312!8i6656"				4		弱虫ペダル GLORY LINE	ヨワムシペダルグローリーライン	インターハイ1日目コース11。<br />第1話冒頭の前作『弱虫ペダル NEW GENERATION』の振返りシーンで、手嶋純太と「箱根学園」の真波山岳が争った、インターハイ1日目の山岳リザルトラインが設置されていた場所。				ニッコウシ	ヨ	9	6	2	
1008	0005	完了	栃木県	日光市	明智平パノラマレストハウス	321-1445	栃木県日光市細尾町		36.736851	139.517716	"https://www.google.com/maps/@36.7369574,139.516994,3a,15y,94.51h,93.32t/data=!3m6!1e1!3m4!1sWHozUeuOFNdHpIlT1j116A!2e0!7i13312!8i6656"				5		弱虫ペダル GLORY LINE	ヨワムシペダルグローリーライン	インターハイ1日目コース12。<br />第1話の前作『弱虫ペダル NEW GENERATION』の振返りシーンで、山岳リザルトラインの設置されていた明智平展望台の遠景カットや、山岳リザルトラインを通過する鏑木一差の背景に描かれていた赤い屋根の休憩施設。<br />※2017年11月に解体済。				ニッコウシ	ヨ	9	6	2	
1008	0006	完了	栃木県	日光市	明智第一トンネル 前	321-1445	栃木県日光市細尾町		36.736199	139.514872	"https://www.google.com/maps/@36.7363583,139.515019,3a,32.4y,197.81h,88.53t/data=!3m6!1e1!3m4!1sJNgjWhXAApFl7-5FbDskOA!2e0!7i16384!8i8192"						弱虫ペダル GLORY LINE	ヨワムシペダルグローリーライン	インターハイ1日目コース13。<br />第1話冒頭の前作『弱虫ペダル NEW GENERATION』の振返りシーンで、「箱根学園」の真波山岳との山岳リザルト勝負で力を出し切り、倒れかかった手嶋純太を、後ろから追ってきた小野田坂道が支えてリタイアを回避していた場所。				ニッコウシ	ヨ	9	6	2	
1008	0007	完了	栃木県	日光市	明智第ニトンネル	321-1445	栃木県日光市細尾町		36.734545	139.509135	"https://www.google.com/maps/@36.7342994,139.5045429,3a,75y,298.39h,93.35t/data=!3m6!1e1!3m4!1sRNZIwllXtPfZnVp9jXzoMA!2e0!7i13312!8i6656"				2		弱虫ペダル GLORY LINE	ヨワムシペダルグローリーライン	インターハイ1日目コース14。<br />第1話で、「箱根学園」が送り出したエースの葦木場拓斗とエースアシストの黒田雪成に合わせ、「総北高校」が、今期からオールラウンダーに転向し、それま温存してきた鳴子章吉によるアシストでエースの今泉俊輔が飛び出していたトンネル。<br />作中では出入口の形状こそ一致しますが、出入口周辺の様子は大分改変されています。				ニッコウシ	ヨ	9	6	2	
1008	0008	完了	栃木県	日光市	ニ荒橋前交差点	321-1661	栃木県日光市中宮祠		36.739245	139.498633	"https://www.google.com/maps/@36.73928,139.498332,3a,35.1y,100.22h,82.71t/data=!3m6!1e1!3m4!1satd7j_8xz6Bw3F8cfBNn8A!2e0!7i13312!8i6656"						弱虫ペダル GLORY LINE	ヨワムシペダルグローリーライン	インターハイ1日目コース15。<br />第1話で、鳴子章吉と今泉俊輔を引き離した「箱根学園」の黒田雪成と葦木場拓斗が、左折して南方へ走り抜けていた交差点。				ニッコウシ	ヨ	9	6	2	
1008	0009	完了	栃木県	日光市	二荒山神社 中宮祠 大鳥居	321-1661	栃木県日光市中宮祠		36.739372	139.496722	"https://www.google.com/maps/@36.7393604,139.4969636,3a,68y,249.81h,98.65t/data=!3m6!1e1!3m4!1sE2X2yAu3QznPPz0CmVFhsw!2e0!7i16384!8i8192"						弱虫ペダル GLORY LINE	ヨワムシペダルグローリーライン	インターハイ1日目コース16。<br />第1話で、「箱根学園」の黒田雪成と葦木場拓斗と、追尾する鳴子章吉と今泉俊輔が通過していた鳥居。<br />オープニングでも、中禅寺湖をバックに建つ鳥居が描かれていました。				ニッコウシ	ヨ	9	6	2	
1008	0010	完了	栃木県	日光市	華厳の滝	321-1661	栃木県日光市中宮祠		36.737976	139.501899	"https://www.google.com/maps/@36.7382603,139.5033904,2a,42y,269.61h,74.59t/data=!3m6!1e1!3m4!1sThpVwTd95E8vI6fGbfvvpA!2e0!7i13312!8i6656"						弱虫ペダル GLORY LINE	ヨワムシペダルグローリーライン	第1話で、観客が中禅寺湖の話をするシーンで描かれていた滝。				ニッコウシ	ヨ	9	6	2	
