作品No.	聖地No.	確定	都道府県	市区郡	聖地名	郵便番号	住所	住所２	座標：緯度	座標：経度	SV	倍率	SV過去	Fov	Zoom	電話番号	作品	作品名フリガナ	備考	公式サイトURL	情報参照元URL	備考2	市区町村読み仮名	作品名50音	県順	市順	域順	実在	重要度
1343	0001	完了	青森県	弘前市	弘前城	036-8356	青森県弘前市下白銀町1		40.607436	140.464156	"https://www.google.co.jp/maps/@40.6070783,140.4642942,3a,28y,344.71h,102.65t/data=!3m6!1e1!3m4!1seTNLnLP_oOS-gVa9Nw8WeA!2e0!7i13312!8i6656"						怪物事変	カイブツジヘン	第10話で、結が晶を軟禁状態にするために創り出した氷の城のモデル。				ヒロサキシ	カ	2	2	1		1
1343	0002	完了	東京都	千代田区	警視庁本部庁舎	100-0013	東京都千代田区霞が関2-1-1		35.677006	139.752281	"https://www.google.com/maps/@35.677767,139.7535558,3a,30y,229.32h,112.16t/data=!3m6!1e1!3m4!1sXlBQxFKnM68uoDNbnBvMyQ!2e0!7i16384!8i8192"						怪物事変	カイブツジヘン	第12話で、オフィスにいる飯生妖子が描かれていた警察署。				チヨダク	カ	13	17	2		1
1343	0003	完了	東京都	渋谷区	竹下通り（原宿ジュネス前）	150-0001	東京都渋谷区神宮前1-6		35.671173	139.704941	"https://www.google.com/maps/@35.6711868,139.7048387,3a,25y,86.91h,86.85t/data=!3m6!1e1!3m4!1sP3yaWNwYl7dDHEgQ11xTxA!2e0!7i16384!8i8192"						怪物事変	カイブツジヘン	第9話で、「隠神怪物相談事務所」に依頼のあった女性襲撃事件調査で竹下通りに来ていた日下夏羽と蓼丸綾が、形無に襲われていた場所。				シブヤク	カ	13	10	2		2
1343	0004	完了	東京都	渋谷区	竹下通り（茶咖匠 原宿竹下通り店前）	150-0001	東京都渋谷区神宮前1-7		35.670759	139.705721	"https://www.google.co.jp/maps/@35.6707894,139.7056766,3a,55y,129.65h,87.72t/data=!3m6!1e1!3m4!1sfEG6Kl48nYdwhiCC6t7Eww!2e0!7i16384!8i8192"						怪物事変	カイブツジヘン	第9話で、「隠神怪物相談事務所」に依頼のあった女性襲撃事件の解決のために商店街にやって来た日下夏羽、蓼丸綾、紺の3人が、形無から事情を聞いていた場所。<br />作中では茶咖匠の看板の文字が「香茶匠」になっていました。				シブヤク	カ	13	10	2		2
1343	0005	完了	東京都	渋谷区	竹下通り（ジュマペール原宿前）	150-0001	東京都渋谷区神宮前1-16		35.671039	139.705169	"https://www.google.co.jp/maps/@35.671099,139.7050759,3a,75y,181.14h,88.01t/data=!3m6!1e1!3m4!1sbkqaUBKeXV2X5lHBpounAQ!2e0!7i16384!8i8192"						怪物事変	カイブツジヘン	第9話の、日下夏羽、蓼丸綾、紺の3人が「隠神怪物相談事務所」に依頼のあった女性襲撃事件の解決のためにやって来た商店街シーンで、綾が夏羽にべたべたしているのが気に食わずむしゃくしゃする紺が、思わず放っといてくれと言い放ってしまい、取り残されてしまった場所。				シブヤク	カ	13	10	2		2
1343	0006	完了	東京都	渋谷区	竹下通り ゲート	150-0001	東京都渋谷区神宮前1-17		35.671561	139.703234	"https://www.google.com/maps/@35.671587,139.7031304,3a,75y,103.83h,100.41t/data=!3m6!1e1!3m4!1sbyqKT2swAuDi7fqBL5GGRw!2e0!7i16384!8i8192"						怪物事変	カイブツジヘン	第9話で、日下夏羽、蓼丸綾、紺の3人が「隠神怪物相談事務所」に依頼のあった女性襲撃事件の解決のためにやって来た商店街。				シブヤク	カ	13	10	2		0
1343	0007	完了	東京都	渋谷区	竹下通り（プリクラLAND NOA前）	150-0001	東京都渋谷区神宮前1-17-5		35.671461	139.703705	"https://www.google.co.jp/maps/@35.6714474,139.703789,3a,50y,230.97h,86.37t/data=!3m6!1e1!3m4!1sxtbPIg0voezkX3B743tpUQ!2e0!7i16384!8i8192"						怪物事変	カイブツジヘン	第9話で、日下夏羽、蓼丸綾、紺の3人が「隠神怪物相談事務所」に依頼のあった女性襲撃事件の解決のためにやって来た商店街で通行規制をしていた警察官に、夏羽が事務所から派遣されてきたことを話して通してもらっていた場所。				シブヤク	カ	13	10	2		1
1343	0008	完了	東京都	渋谷区	JR 原宿駅（竹下口）	150-0001	東京都渋谷区神宮前1-18-10		35.671651	139.702926	"https://www.google.com/maps/@35.6717725,139.7030879,3a,17y,223.38h,91.85t/data=!3m6!1e1!3m4!1s6i5RfmFMmlXXKWXBurFNmA!2e0!7i16384!8i8192"						怪物事変	カイブツジヘン	第9話で、「隠神怪物相談事務所」に依頼のあった女性襲撃事件の解決のため、日下夏羽、蓼丸綾、紺の3人が竹下通りに向かうシーンで描かれていた駅。				シブヤク	カ	13	10	2		0
1343	0009	完了	東京都	渋谷区	渋谷川（金王橋下）	150-0002	東京都渋谷区渋谷3-17		35.656817	139.704077	"https://www.google.com/maps/@35.656335,139.704749,3a,30y,306.04h,98.91t/data=!3m6!1e1!3m4!1sRhKimv6OmnRHdbUXkEHboQ!2e0!7i16384!8i8192"						怪物事変	カイブツジヘン	第4話で、「隠神怪物相談事務所」に依頼のあったカエルの怪物の退治に向かう日下夏羽が、暗渠に入っていった場所。				シブヤク	カ	13	10	2		2
1343	0010	完了	東京都	新宿区	歌舞伎町一丁目ゲート	160-0021	東京都新宿区歌舞伎町1-17		35.693867	139.701032	"https://www.google.com/maps/@35.6936913,139.7011184,3a,15y,334.36h,100.35t/data=!3m6!1e1!3m4!1sIh1ktzZNWFjULph6Qo5RYQ!2e0!7i16384!8i8192"						怪物事変	カイブツジヘン	第4話で、「隠神怪物相談事務所」に依頼のあった猫憑きの男の恋の相手が勤めている店前で張り込みをするシーンの冒頭カットで描かれていたゲート。				シンジュクク	カ	13	11	2		0
