作品No.	聖地No.	確定	都道府県	市区郡	聖地名	郵便番号	住所	住所２	座標：緯度	座標：経度	SV	倍率	SV過去	Fov	Zoom	電話番号	作品	作品名フリガナ	備考	公式サイトURL	情報参照元URL	備考2	市区町村読み仮名	作品名50音	県順	市順	域順	実在
1217	0001	完了	東京都	文京区	東京大学　弥生門／工学部3号館	113-0033	東京都文京区本郷7-3		35.714873	139.762914	"https://www.google.co.jp/maps/@35.7149669,139.7629949,3a,40.5y,213.82h,103.1t/data=!3m6!1e1!3m4!1sfc5UCNnJLZU96_Re-gg6Ew!2e0!7i16384!8i8192"						恋する小惑星	コイスルアステロイド	第8話で、猪瀬舞が受験した日本地学オリンピックの試験（予選）会場シーンで、弥生門と工学部3号館が描かれていました。				ブンキョウク	コ	13	21	2	
1217	0002	完了	東京都	大田区	羽田空港 第2ターミナル	144-0041	東京都大田区羽田空港		35.550865	139.788542	"https://www.google.co.jp/maps/@35.5508451,139.7883134,2a,34.6y,78.03h,84.18t/data=!3m6!1e1!3m4!1sFctxPjF0ILPe6yJks4CKJw!2e0!7i13312!8i6656"						恋する小惑星	コイスルアステロイド	第10話で、「きら星チャンレンジ」への参加のために沖縄に向かう木ノ幡みらと引率の遠藤幸先生が、地学部のみんなに見送られていた空港。				オオタク	コ	13	5	2	
1217	0003	完了	東京都	豊島区	サンシャインシティ　スペイン階段 脇	170-8630	東京都豊島区東池袋3-1-1		35.729952	139.718125	"https://www.google.co.jp/maps/@35.730132,139.7179398,3a,23.9y,143.21h,93.94t/data=!3m6!1e1!3m4!1sNRYVl4yblC7-e8hq73VbWg!2e0!7i16384!8i8192"						恋する小惑星	コイスルアステロイド	第5話で、木ノ幡みらが桜井美景と一緒にミネラルショーに行く際に待ち合わせをしていた場所。				トシマク	コ	13	18	2	
1217	0004	完了	東京都	豊島区	サンシャインシティ文化会館	170-8630	東京都豊島区東池袋3-1-1		35.728461	139.720616	-						恋する小惑星	コイスルアステロイド	第5話で、木ノ幡みらが桜井美景と一緒に行ったミネラルショーの会場。				トシマク	コ	13	18	2	
1217	0005	完了	茨城県	下妻市	粉とクリーム 石窯夢工房 下妻店	304-0068	茨城県下妻市下妻丁396-7		36.179560	139.954511	"https://www.google.com/maps/@36.1795054,139.9543043,3a,49y,64.5h,93.98t/data=!3m6!1e1!3m4!1sK3focvZ-SPk8qyN3z2xzwg!2e0!7i16384!8i8192"						恋する小惑星	コイスルアステロイド	第3話で、木ノ幡みらと真中あおがアルバイトをした鈴矢萌の家のパン屋「スズヤベーカリー」のモデル。				シモヅマシ	コ	8	37	2	
1217	0006	完了	茨城県	つくば市	つくば看護専門学校	305-0005	茨城県つくば市天久保1-1-2		36.089599	140.106497	"https://www.google.com/maps/@36.0888113,140.1066339,3a,19.5y,352.72h,97.58t/data=!3m6!1e1!3m4!1sogyPFGp9Q9ogiEma5ck3Vw!2e0!7i16384!8i8192"						恋する小惑星	コイスルアステロイド	第4話冒頭の「地学部」一行が合宿で地質標本館とJAXAに行く移動シーンで描かれていた建物。				ツクバシ	コ	8	19	2	
1217	0007	完了	茨城県	つくば市	つくば駅前交差点	305-0031	茨城県つくば市吾妻1-8		36.082623	140.111735	"https://www.google.com/maps/@36.0826102,140.1116212,3a,17y,84.6h,85.19t/data=!3m6!1e1!3m4!1s12yLbPh3JnQbT1UvkMeSDA!2e0!7i16384!8i8192"						恋する小惑星	コイスルアステロイド	第4話冒頭の「地学部」一行が合宿で地質標本館とJAXAに行く移動シーンで、木ノ幡みらが発見した「ロボットみたいな車」が走っていた交差点。				ツクバシ	コ	8	19	2	
1217	0008	完了	茨城県	つくば市	ノバホール	305-0031	茨城県つくば市吾妻1-10-1		36.081430	140.114553	"https://www.google.co.jp/maps/@36.0812051,140.1152242,3a,38.5y,269.05h,95.41t/data=!3m6!1e1!3m4!1s2TPkiBb0DVbEaGsA13QEUA!2e0!7i16384!8i8192"						恋する小惑星	コイスルアステロイド	第4話冒頭の「地学部」一行が合宿で地質標本館とJAXAに行く移動シーンで、大清水公園前交差点で信号待ちする車から望む構図でノバホールが描かれていました。				ツクバシ	コ	8	19	2	
1217	0009	完了	茨城県	つくば市	中央通り（吾妻セントラル歩道橋下）	305-0031	茨城県つくば市吾妻2-7		36.083286	140.112608	"https://www.google.co.jp/maps/@36.0830947,140.1121966,3a,15y,52.41h,88.24t/data=!3m6!1e1!3m4!1sMYJhnSAi6BdaUVDRLu8byw!2e0!7i16384!8i8192"						恋する小惑星	コイスルアステロイド	第4話冒頭の「地学部」一行が合宿で地質標本館とJAXAに行く移動シーンで、木ノ幡みらが「何あれ？ロボットみたいな車」と乗り出すのへ、遠藤幸先生が「うるさい、道間違えたでしょ～」と怒っていた場所。				ツクバシ	コ	8	19	2	
1217	0010	完了	茨城県	つくば市	H2ロケット実物大モデル	305-0031	茨城県つくば市吾妻2-9	つくばエキスポセンター	36.086236	140.111212	"https://www.google.co.jp/maps/@36.0874222,140.1113409,3a,16y,185.97h,103.85t/data=!3m6!1e1!3m4!1sh53LpsKL1UALI-Q6HcmZsw!2e0!7i16384!8i8192"						恋する小惑星	コイスルアステロイド	第4話冒頭の「地学部」一行が合宿で地質標本館とJAXAに行く移動シーンで、木ノ幡みらたちが車中から眺めていたロケット。<br />施設外の北側にある三叉路から望む構図で描かれていました。				ツクバシ	コ	8	19	2	
1217	0011	完了	茨城県	つくば市	ダイアパレスつくば学園都市	305-0031	茨城県つくば市吾妻3-1-1		36.086820	140.108172	"https://www.google.com/maps/@36.0867697,140.1080155,3a,28y,58.76h,97.44t/data=!3m6!1e1!3m4!1sc2ir1iCODlfnPJFyXY2Uuw!2e0!7i16384!8i8192"						恋する小惑星	コイスルアステロイド	第4話冒頭の「地学部」一行が合宿で地質標本館とJAXAに行く移動シーンで描かれていたマンション。				ツクバシ	コ	8	19	2	
1217	0012	完了	茨城県	つくば市	地質標本館	305-0046	茨城県つくば市東1-1-1	産業技術総合研究所	36.061927	140.132758	-						恋する小惑星	コイスルアステロイド	第4話で、「地学部」一行が夏合宿初日に訪れた博物館。施設入口から、博物館外観、館内各階の展示まで忠実に描かれていました。				ツクバシ	コ	8	19	2	
1217	0013	完了	茨城県	つくば市	JAXA 筑波宇宙センター　広報・情報棟	305-0047	茨城県つくば市千現2-1-1		36.068305	140.129896	"https://www.google.co.jp/maps/@36.0680637,140.1296658,3a,17.2y,159.67h,90.24t/data=!3m6!1e1!3m4!1sNn3kzbKlElCrwUS0GD9arA!2e0!7i13312!8i6656"						恋する小惑星	コイスルアステロイド	第4話で、「地学部」一行が夏合宿2日目に訪れたJAXA 筑波宇宙センターで、ビデオ上映を観た施設。<br />帰りのシーンで、一人トイレに行っていた森野真理が出て来たのも、この施設でした。				ツクバシ	コ	8	19	2	
1217	0014	完了	茨城県	つくば市	JAXA 筑波宇宙センター　ロケット広場	305-0047	茨城県つくば市千現2-1-1		36.068233	140.129177	"https://www.google.co.jp/maps/@36.0680285,140.1294052,3a,45y,302.76h,95.28t/data=!3m6!1e1!3m4!1s2hVb8JvNh8ULV3Feq4miLQ!2e0!7i13312!8i6656"						恋する小惑星	コイスルアステロイド	第4話で、「地学部」一行が夏合宿2日目に訪れたJAXA 筑波宇宙センターで、H-IIロケットの実物展示に、木ノ幡みらたち天文班3人が手を触れようとぴょんぴょんジャンプしていました。				ツクバシ	コ	8	19	2	
1217	0015	完了	茨城県	つくば市	JAXA 筑波宇宙センター　宇宙飛行士養成棟	305-0047	茨城県つくば市千現2-1-1		36.067233	140.127327	"https://www.google.co.jp/maps/@36.0671165,140.1273723,2a,31.7y,40.38h,75.71t/data=!3m6!1e1!3m4!1s4teuin-B5k23uF4iflDGqA!2e0!7i13312!8i6656"						恋する小惑星	コイスルアステロイド	第4話で、「地学部」一行が夏合宿2日目に訪れたJAXA 筑波宇宙センターで、上映会の後、バスに乗って移動した施設で、ツアーガイドに従って見学していました。				ツクバシ	コ	8	19	2	
1217	0016	完了	茨城県	つくば市	JAXA 筑波宇宙センター　スペースドーム	305-0047	茨城県つくば市千現2-1-1		36.068155	140.130485	"https://www.google.co.jp/maps/@36.0681821,140.1304663,2a,53.8y,120.15h,93.42t/data=!3m6!1e1!3m4!1s7Eb1SpucjrchKhjvGZIk4g!2e0!7i13312!8i6656"						恋する小惑星	コイスルアステロイド	第4話で、「地学部」一行が夏合宿2日目に訪れたJAXA 筑波宇宙センターで見学した展示館。<br />第11話では、「きら星チャンレンジ」に参加するために木ノ幡みらと真中あおが沖縄に行っている間、残留組の猪瀬舞と1年生2人が、大学生になった森野真理と桜井美景に引率されて見学していました。				ツクバシ	コ	8	19	2	
1217	0017	完了	茨城県	つくば市	JAXA 筑波宇宙センター　プラネットキューブ	305-0047	茨城県つくば市千現2-1-1		36.067911	140.130201	"https://www.google.co.jp/maps/@36.0679418,140.1302227,2a,54.1y,195.15h,74.71t/data=!3m6!1e1!3m4!1sk5il82vadzh5PT06J-eRpg!2e0!7i13312!8i6656"						恋する小惑星	コイスルアステロイド	第4話で、「地学部」一行が夏合宿2日目に訪れたJAXA 筑波宇宙センターで、木ノ幡みらたちが土産を買っていたミュージアムショップ。				ツクバシ	コ	8	19	2	
1217	0018	完了	茨城県	つくば市	国土地理院 地図と測量の科学館	305-0811	茨城県つくば市北郷1		36.103856	140.085621	"https://www.google.co.jp/maps/@36.1032848,140.0850484,3a,55y,10.08h,90.24t/data=!3m6!1e1!3m4!1s2X1SF23RxUSNQzWLvKi4IQ!2e0!7i13312!8i6656"						恋する小惑星	コイスルアステロイド	第4話で、「地学部」一行が夏合宿3日目に、猪瀬舞の希望で訪れた博物館。				ツクバシ	コ	8	19	2	
1217	0019	完了	埼玉県	さいたま市	さいたま清河寺温泉	331-0048	埼玉県さいたま市西区大字清河寺683-4		35.933717	139.582064	-						恋する小惑星	コイスルアステロイド	第2話で、木ノ幡みらたち「地学部」一行が、会報「きらきら」創刊お疲れ様会として日帰り温泉旅行に来た温泉施設。				サイタマシ	コ	11	1	2	
1217	0020	完了	埼玉県	久喜市	鷲宮神社	340-0217	埼玉県久喜市鷲宮1-6-1		36.099882	139.654974	"https://www.google.co.jp/maps/@36.1002294,139.6568089,3a,21.1y,271.4h,96.24t/data=!3m6!1e1!3m4!1sSrtgQ4EdXo0oStfWhcPmSQ!2e0!7i13312!8i6656"						恋する小惑星	コイスルアステロイド	第8話で、木ノ幡みら、真中あお、猪瀬舞の3人が初詣に訪れた神社。				クキシ	コ	11	31	2	
1217	0021	完了	埼玉県	川越市	Chouette	350-0042	埼玉県川越市中原町2-11-17		35.914274	139.478872	"https://www.google.co.jp/maps/@35.9141742,139.478857,3a,55y,4.52h,99.5t/data=!3m6!1e1!3m4!1se0lFdHRJadeXhdlBKuV6hQ!2e0!7i16384!8i8192"						恋する小惑星	コイスルアステロイド	第5話で、ミネラルショーに行った後の木ノ幡みらと桜井美景がパンケーキをやケーキを食べた店。<br />外観は大分改変されていますが、店内はかなり忠実に描かれています。				クワゴエシ	コ	11	20	2	
1217	0022	完了	埼玉県	川越市	本川越駅西口ロータリーのベンチ	350-0042	埼玉県川越市中原町2-25		35.914368	139.480686	"https://www.google.co.jp/maps/@35.9143937,139.4807881,3a,22.8y,265.88h,84.41t/data=!3m6!1e1!3m4!1symb-zmXXqSXsGCBYggke2g!2e0!7i16384!8i8192"						恋する小惑星	コイスルアステロイド	第3話で、木ノ幡みらと真中あおが、「初バイト料ゲット記念ショッピング改め駅前デート」の待ち合わせをしていた場所。<br />卒業式を終え、「地学部」の後輩たちに別れを告げた後の学校帰りに、森野真理と桜井美景が話をしていたのも、このベンチでした。				クワゴエシ	コ	11	20	2	
1217	0023	完了	埼玉県	川越市	本川越駅 西口 前	350-0042	埼玉県川越市中原町2-25		35.914348	139.481161	"https://www.google.co.jp/maps/@35.9144585,139.4809756,3a,15y,127.44h,88.8t/data=!3m6!1e1!3m4!1seJ-zKNRJZfPQACaN6_pkWg!2e0!7i16384!8i8192"						恋する小惑星	コイスルアステロイド	第3話で、「初バイト料ゲット記念ショッピング改め駅前デート」で駅前で待ち合わせをした木ノ幡みらと真中あおが目撃した、猪瀬舞と鈴矢萌が一緒に屋台のアイスクリームを買っていた場所。<br />イノ先輩と萌のデート①				クワゴエシ	コ	11	20	2	
