作品No.	聖地No.	確定	都道府県	市区郡	聖地名	211-0025	住所	住所２	座標：緯度	座標：経度	SV	倍率	SV過去	Fov	Zoom	電話番号	作品	作品名フリガナ	備考	公式サイトURL	情報参照元URL	備考2	市区町村読み仮名	作品名50音	県順	市順	域順	実在
0318	0001	完了	東京都	杉並区	オザワ整形外科	168-0071	東京都杉並区高井戸西1-27-21		35.682247	139.614997	"https://www.google.co.jp/maps/@35.6821695,139.6151771,3a,31y,280.43h,89.85t/data=!3m7!1e1!3m5!1sSD1tCghpMd3ZZ210XhJ7Rg!2e0!6s%2F%2Fgeo0.ggpht.com%2Fcbk%3Fpanoid%3DSD1tCghpMd3ZZ210XhJ7Rg%26output%3Dthumbnail%26cb_client%3Dmaps_sv.tactile.gps%26thumb%3D2%26w%3D203%26h%3D100%26yaw%3D51.114117%26pitch%3D0%26thumbfov%3D100!7i13312!8i6656"					03-3333-8558	恋は雨上がりのように	コイハアメアガリノヨウニ	橘あきらが通っている「諸星整骨院」のモデル。<br />第1話での通院シーン、第2話で忘れ物（スマホ）をお客様に届けようと全力疾走して倒れたあきらを、店長が連れて行ったシーン、第10話の定期診療シーンで描かれていました。	http://www.ozawa-seikei.com			スギナミク	コ	13	12	2	
0318	0002	完了	東京都	新宿区	高田馬場駅　早稲田口	169-0075	東京都新宿区高田馬場1-35		35.713598	139.704199	"https://www.google.co.jp/maps/@35.7137211,139.7043467,3a,36y,209.66h,92.61t/data=!3m6!1e1!3m4!1s1qC4rmsa1tyg-SZEF8jNSQ!2e0!7i13312!8i6656"						恋は雨上がりのように	コイハアメアガリノヨウニ	第9話で、10年ぶりに学生時代の親友・九条ちひろに会いに行く店長（近藤正己）が利用していた駅。				シンジュクク	コ	13	11	2	
0318	0003	完了	東京都	新宿区	高田馬場駅前	169-0075	東京都新宿区高田馬場1-35		35.713524	139.704516	"https://www.google.co.jp/maps/@35.7135699,139.7045942,3a,70y,205.28h,89.55t/data=!3m7!1e1!3m5!1sl81lf6sbiCtQzGUfF2mzzg!2e0!6s%2F%2Fgeo1.ggpht.com%2Fcbk%3Fpanoid%3Dl81lf6sbiCtQzGUfF2mzzg%26output%3Dthumbnail%26cb_client%3Dmaps_sv.tactile.gps%26thumb%3D2%26w%3D203%26h%3D100%26yaw%3D23.24002%26pitch%3D0%26thumbfov%3D100!7i13312!8i6656"						恋は雨上がりのように	コイハアメアガリノヨウニ	第9話で、店長（近藤正己）が、10年ぶりに学生時代の親友・九条ちひろに会い行くシーンの挿入カットで描かれていた場所。				シンジュクク	コ	13	11	2	
0318	0004	完了	東京都	新宿区	ババ ミャンマー ヌードル横の道	169-0075	東京都新宿区高田馬場2-15		35.713656	139.707503	"https://www.google.co.jp/maps/@35.7138897,139.7075316,3a,28.3y,176.73h,86.57t/data=!3m6!1e1!3m4!1s_UNWIp-pLlmlLidMWbP_QA!2e0!7i13312!8i6656"						恋は雨上がりのように	コイハアメアガリノヨウニ	第9話で、10年ぶりに会った店長（近藤正己）と九条ちひろが、居酒屋帰りに2人で川に映った月を見下ろしていた橋から、ちひろがタクシーに乗って走り去った道。				シンジュクク	コ	13	11	2	
0318	0005	完了	東京都	新宿区	清水川橋	169-0075	東京都新宿区高田馬場3-1		35.714830	139.703377	"https://www.google.co.jp/maps/@35.7148765,139.7033751,3a,65.3y,71.55h,70.71t/data=!3m6!1e1!3m4!1sE2-avUeSwI_XImLBPCPQ-w!2e0!7i13312!8i6656"						恋は雨上がりのように	コイハアメアガリノヨウニ	第9話で、10年ぶりに学生時代の親友・九条ちひろに会いに行く店長（近藤正己）が、途中で昔馴染みの古本屋（國分寺書店）に寄るために渡っていた橋。				シンジュクク	コ	13	11	2	
0318	0006	完了	東京都	新宿区	さかえ通り	169-0075	東京都新宿区高田馬場3-2		35.713961	139.703857	"https://www.google.co.jp/maps/@35.7140757,139.7038022,3a,40.2y,144.98h,89.39t/data=!3m6!1e1!3m4!1s2118YxgaQwR0Fp93rcOgJg!2e0!7i13312!8i6656"						恋は雨上がりのように	コイハアメアガリノヨウニ	第9話で、10年ぶりに学生時代の親友・九条ちひろに会いに行く店長（近藤正己）が、途中で昔馴染みの古本屋（國分寺書店）に寄るために歩いていた商店街。				シンジュクク	コ	13	11	2	
0318	0007	完了	東京都	新宿区	戸田平橋	171-0033	東京都豊島区高田3-7		35.713853	139.707478	"https://www.google.co.jp/maps/@35.7138941,139.7075303,3a,54y,276.7h,87.2t/data=!3m6!1e1!3m4!1sbm7N0JudbyWLnk1fv38GAQ!2e0!7i13312!8i6656"						恋は雨上がりのように	コイハアメアガリノヨウニ	第9話で、10年ぶりに会った店長（近藤正己）と九条ちひろが、居酒屋帰りに2人で川に映った月を見下ろしていた橋。				シンジュクク	コ	13	11	2	
0318	0008	完了	神奈川県	川崎市	住吉神社	211-0025	神奈川県川崎市中原区木月１-20		35.565791	139.654495	"https://www.google.co.jp/maps/@35.5658126,139.6544989,3a,90y,49.3h,88.92t/data=!3m8!1e1!3m6!1sCAoSLEFGMVFpcE1fTkVacHY1MGozd0J2YjR4TzVsdTBXWThuNUV4N0xHRVROUVpG!2e10!3e11!6shttps:%2F%2Flh5.googleusercontent.com%2Fp%2FAF1QipM_NEZpv50j3wBvb4xO5lu0WY8n5Ex7LGETNQZF%3Dw203-h100-k-no-pi-9.395387-ya194.85513-ro-7.3696566-fo100!7i5376!8i2688"						恋は雨上がりのように	コイハアメアガリノヨウニ	第9話で、橘あきらと喜屋武はるかたちが遊びに行った夏祭りの行われていた神社。				カワサキシ	コ	14	2	2	
0318	0009	完了	神奈川県	川崎市	住吉神社 鳥居	211-0025	神奈川県川崎市中原区木月１-20		35.565508	139.654342	-					044-411-4344	恋は雨上がりのように	コイハアメアガリノヨウニ	陸上部員としては致命的となる怪我を負った橘あきらが諸星整骨院の通院帰りに、店長（近藤正己）と出会うことになるファミレス「cafeレストラン ガーデン」のシーンで、あきらの感情表現として雨と晴れの2カットが描かれていました。				カワサキシ	コ	14	2	2	
0318	0010	完了	神奈川県	川崎市	モトスミ・ブレーメン通り商店街 ゲート	211-0025	神奈川県川崎市中原区木月1-21		35.565093	139.653966	"https://www.google.co.jp/maps/@35.5650367,139.65413,3a,15y,291.64h,107.24t/data=!3m6!1e1!3m4!1sxl_cNLmeq-Bxw9wu-TdjSg!2e0!7i13312!8i6656"						恋は雨上がりのように	コイハアメアガリノヨウニ	陸上部員としては致命的となる怪我を負った橘あきらが諸星整骨院の通院帰りに、店長（近藤正己）と出会うことになるファミレス「cafeレストラン ガーデン」のシーンで、あきらの感情表現として雨と晴れの2カットが描かれていました。				カワサキシ	コ	14	2	2	
