作品No.	聖地No.	確定	都道府県	市区郡	聖地名	郵便番号	住所	住所２	座標：緯度	座標：経度	SV	倍率	SV過去	Fov	Zoom	電話番号	作品	作品名フリガナ	備考	公式サイトURL	情報参照元URL	備考2	市区町村読み仮名	作品名50音	県順	市順	域順	実在
1224	0001	完了	岡山県	岡山市	用水路沿いの道	700-0014	岡山県岡山市北区津倉町2-9		34.670826	133.907275	"https://www.google.com/maps/@34.6706428,133.9071163,3a,28.2y,31.72h,87.51t/data=!3m6!1e1!3m4!1spe3eeqnuoEbYSocgqhflrg!2e0!7i16384!8i8192"				4		推しが武道館いってくれたら死ぬ	オシガブドウカンイッテクレタラシヌ	第3話のラストで、帰りの電車内で遭遇した市井舞菜から不器用なお礼の言葉を貰ったえりぴよが、舞菜への思いを噛み締めながら歩いていた場所。<br />作中では実際の景色を左右反転して描かれていました。				オカヤマシ	オ	33	1	6	
1224	0002	完了	岡山県	岡山市	岡山工業高等学校 裏	700-0015	岡山県岡山市北区京山1-1		34.671988	133.908259	"https://www.google.com/maps/@34.6720903,133.908281,3a,27.7y,183.56h,85.69t/data=!3m6!1e1!3m4!1s_7vHI8CoPEdBoP4kM2ymWQ!2e0!7i13312!8i6656"				4		推しが武道館いってくれたら死ぬ	オシガブドウカンイッテクレタラシヌ	第3話のラストで、帰りの電車内で遭遇した市井舞菜から不器用なお礼の言葉を貰ったえりぴよが、舞菜のことが好きな気持が高ぶって走り出していた場所。				オカヤマシ	オ	33	1	6	
1224	0003	完了	岡山県	岡山市	池田動物園	700-0015	岡山県岡山市北区京山2-5-1		34.674612	133.906515	"https://www.google.co.jp/maps/@34.6744497,133.9065742,2a,23.3y,346.15h,95.88t/data=!3m6!1e1!3m4!1s45wGmYAD9TPt2RNgqSl11w!2e0!7i13312!8i6656"				4		推しが武道館いってくれたら死ぬ	オシガブドウカンイッテクレタラシヌ	第3話で、「ChamJam」のライブステージが開催されていた動物園。<br />冒頭カットで描かれていたのは、東側道路に面した場所にあるキリン型の看板です。ゲート付近の動物キャラの人形（人形の形態は変えられています）、カピバラ舎、キリン舎、レッサーパンダ舎、旧インドゾウ舎のトリックアートの他、ヒトの檻など園内各所が忠実に描かれていました。<br />作中では園名が「ふんわか動物園」になっていました。				オカヤマシ	オ	33	1	6	
1224	0004	完了	岡山県	岡山市	岡山駅前商店街　ゲート	700-0023	岡山県岡山市北区駅前町1-1		34.666156	133.919426	"https://www.google.co.jp/maps/@34.6661605,133.9193105,3a,21y,88.06h,119.38t/data=!3m6!1e1!3m4!1sV_-fxHrzWoAyXqJKRKWfWg!2e0!7i13312!8i6656"				4.5		推しが武道館いってくれたら死ぬ	オシガブドウカンイッテクレタラシヌ	第2話Bパートの冒頭カットで描かれていた、桃のオブジェのあるゲート。<br />第7話のえりぴよのアルバイトシーンの冒頭カットでも同じカットが使われていました。				オカヤマシ	オ	33	1	6	
1224	0005	完了	岡山県	岡山市	ビックカメラ 岡山駅前店 前	700-0023	岡山県岡山市北区駅前町1-1-1		34.665746	133.919763	"https://www.google.com/maps/@34.665639,133.9197485,3a,30y,359.33h,89.5t/data=!3m6!1e1!3m4!1sF6GHEtSWCB-SkIKEtE039g!2e0!7i13312!8i6656"						推しが武道館いってくれたら死ぬ	オシガブドウカンイッテクレタラシヌ	第8話で、クリスマスライブ帰りのえりぴよが、くまさと基に、サンタコスの市井舞菜とのチェキを見せびらかしていた場所。				オカヤマシ	オ	33	1	6	
1224	0006	完了	岡山県	岡山市	サイゼリヤ 岡山駅東口店	700-0023	岡山県岡山市北区駅前町1-1-21	成通・ハリービル2F	34.665846	133.920358	"https://www.google.com/maps/@34.6656563,133.9203313,3a,25y,3.59h,113.65t/data=!3m6!1e1!3m4!1sn2Dxwmql0bjF1n1cG6nWSg!2e0!7i13312!8i6656"				4		推しが武道館いってくれたら死ぬ	オシガブドウカンイッテクレタラシヌ	第4話で、五十嵐れおの生誕委員長を任されたくまさが、えりぴよと基にメッセージカード作りを手伝ってもらっていたファミレス。				オカヤマシ	オ	33	1	6	
1224	0007	完了	岡山県	岡山市	平平平平	700-0023	岡山県岡山市北区駅前町1-9-8		34.666082	133.922500	"https://www.google.co.jp/maps/@34.6657098,133.9228382,3a,15y,324.24h,96.89t/data=!3m6!1e1!3m4!1sPGApRQkW0tuW2xDUgSAV3A!2e0!7i16384!8i8192"				5		推しが武道館いってくれたら死ぬ	オシガブドウカンイッテクレタラシヌ	第7話で、人気投票の最終日に、受付時間には間に合わなかったものの、遅れて来たえりぴよがCDを全部買っていったことを聞いた市井舞菜が、えりぴよに感謝の気持ちを伝えようと後を追うシーンの挿入カットで、ドラム缶焼の看板や側面に巨大時計があるビルが描かれていました。<br />※平平平平は「ひらだいらへっぺい」と読むとのこと。				オカヤマシ	オ	33	1	6	
1224	0008	完了	岡山県	岡山市	桃太郎像	700-0024	岡山県岡山市北区駅元町1		34.665826	133.918655	"https://www.google.co.jp/maps/@34.6658128,133.9186055,2a,45.4y,68.69h,96.73t/data=!3m6!1e1!3m4!1s0eaX6FGFBt4wNjFSgDrB_A!2e0!7i13312!8i6656"						推しが武道館いってくれたら死ぬ	オシガブドウカンイッテクレタラシヌ	第1話の本編冒頭カットで描かれていた銅像。同話で、新衣装でのチェキ券がついてくる限定数CDの販売に並ぶため、始発で岡山にやって来たえりぴよが、まだ薄暗い中をこの像の横を通り過ぎる姿が描かれていました。<br />第2話冒頭の、えりぴよがくまさから「岡山ガールズフェスタ」に「ChamJam」が出演することを教えられるシーンでは、2人の会話を桃太郎と猿の会話のように見せるカットが描かれていました。<br />以降、各話の挿入カットで度々像が登場していました。				オカヤマシ	オ	33	1	6	
1224	0009	完了	岡山県	岡山市	六高生記念像	700-0024	岡山県岡山市北区駅元町1		34.665316	133.918347	"https://www.google.co.jp/maps/@34.6653266,133.9183157,2a,30.7y,114.84h,103.94t/data=!3m6!1e1!3m4!1sne5aHxkMWU4H4pbiqw8a-Q!2e0!7i13312!8i6656"						推しが武道館いってくれたら死ぬ	オシガブドウカンイッテクレタラシヌ	第2話Bパートの冒頭カットで描かれていた銅像。<br />第3話で、「ChamJam」のライブスケジュールを一週間違えてへきちへ前日入りしていたえりぴよとくまさが岡山に戻ってくるシーンの冒頭カットでも、この像越しに岡山駅が描かれていました。				オカヤマシ	オ	33	1	6	
1224	0010	完了	岡山県	岡山市	郵トピア都市記念ポスト（桃太郎ポスト）	700-0024	岡山県岡山市北区駅元町1		34.666215	133.918660	"https://www.google.co.jp/maps/@34.6662151,133.9186799,2a,49y,268.95h,81.57t/data=!3m6!1e1!3m4!1srDhZU9Cl4i_I-psswhwVWg!2e0!7i13312!8i6656"						推しが武道館いってくれたら死ぬ	オシガブドウカンイッテクレタラシヌ	第5話で、定期ライブ帰りのえりぴよとくまさが話をしていた場所で、怪我でアルバイトが出来ず、臓器を売ろうかと怖い発言をし出すえりおいよを見かねたくまさが、気分転換にとメイドカフェへと誘っていました。<br />第6話では、えりぴよとくまさの「ChamJam」ブログの写真聖地巡りツアーで、このポストをバックに自撮りをする2人の姿が描かれていました。				オカヤマシ	オ	33	1	6	
