作品No.	聖地No.	確定	都道府県	市区郡	聖地名	郵便番号	住所	住所２	座標：緯度	座標：経度	SV	倍率	SV過去	Fov	Zoom	電話番号	作品	作品名フリガナ	備考	公式サイトURL	情報参照元URL	備考2	市区町村読み仮名	作品名50音	県順	市順	域順	実在
0788	0001		東京都	台東区	上野動物園	110-0007	東京都台東区上野公園9-83		35.717393	139.771359	"https://www.google.co.jp/maps/@35.7157558,139.7730129,3a,75y,314.11h,83.84t/data=!3m5!1e1!3m3!1sgoMlQ3q10Z3r6TRz2OC6Gg!2e0!3e5?hl=ja"				2		放浪息子	ホウロウムスコ	第7話	http://www.tokyo-zoo.net/zoo/ueno/			タイトウク	ホ	13	15	2	
0788	0010		東京都	渋谷区	代々木公園	151-0052	東京都渋谷区代々木神園町2-1		35.670439	139.695674							放浪息子	ホウロウムスコ	第5話で、文化祭の招待状をユキ（吉田紘之）としーちゃん（椎名）の家に届けた帰りの二鳥修一と高槻よしのが歩いていた公園。				シブヤク	ホ	13	10	2	
0788	0004	完了	東京都	豊島区	東武ホープセンター脇のコインロッカー	171-0021	東京都豊島区西池袋1-1		35.731204	139.710278	"https://www.google.co.jp/maps/@35.7311554,139.7102602,2a,26.2y,10.79h,84.11t/data=!3m6!1e1!3m4!1sisDt2qNzAi01cCo8a-taAg!2e0!7i13312!8i6656"				4		放浪息子	ホウロウムスコ	第1話で、二鳥修一が駅構内のトイレで女装に着替えてた後に荷物を預けていたコインロッカーのモデル。<br />着替えていたトイレのモデルは目白駅でした。				トシマク	ホ	13	18	2	
0788	0005	完了	東京都	豊島区	モスバーガー 池袋西口店	171-0021	東京都豊島区西池袋5-2-11	春谷ビル	35.731809	139.706239	"https://www.google.co.jp/maps/@35.7318298,139.7063374,3a,30.8y,264h,98.86t/data=!3m6!1e1!3m4!1svJjSmjOgcbScNiS0iiWnLA!2e0!7i13312!8i6656"						放浪息子	ホウロウムスコ	第4話で、女装の二鳥修一と男装の高槻よしのがデートで訪れた池袋で、買い物帰りの2人が食事をしたハンバーガー屋。<br />作中では店名が「FOSS BURGER」となっており、左右反転して描かれていました。				トシマク	ホ	13	18	2	
0788	0003	完了	東京都	豊島区	JR 目白駅	171-0031	東京都豊島区目白3-3-1		35.721122	139.706629	-						放浪息子	ホウロウムスコ	第1話で、二鳥修一が構内のトイレで女装に着替えていた駅。<br />着替えた後に荷物を預けていたコインロッカーのモデルは池袋駅でした。				トシマク	ホ	13	18	2	
0788	0002		東京都	練馬区	南田中橋	177-0035	東京都練馬区南田中5		35.739515	139.611162							放浪息子	ホウロウムスコ	第10話				ネリマク	ホ	13	20	2	
0788	0008		東京都	武蔵野市	スターバックスコーヒー 井の頭公園店	180-0003	東京都武蔵野市吉祥寺南町1-15-7	重川ビル	35.700779	139.578229	"https://www.google.co.jp/maps/@35.7007949,139.5783465,3a,48.4y,256.05h,87.24t/data=!3m6!1e1!3m4!1s-5afnJU_UhflE2MAXa0H4Q!2e0!7i13312!8i6656"						放浪息子	ホウロウムスコ	第3話の空想シーンで描かれていた喫茶店。				ムサシノシ	ホ	13	48	2	
0788	0009		東京都	国分寺市	国分寺駅南口バス停（3番のりば）	185-0021	東京都国分寺市南町3-9		35.699193	139.480475							放浪息子	ホウロウムスコ					コクブンジシ	ホ	13	31	2	
0788	0011	完了	東京都	多摩市	マクドナルド 聖蹟桜ヶ丘店	206-0011	東京都多摩市関戸1-1-5		35.651188	139.446298	"https://www.google.co.jp/maps/@35.6512097,139.4464435,3a,15y,267.73h,86.34t/data=!3m6!1e1!3m4!1s2k5A8shYbR7Bd0_G-RhF3A!2e0!7i13312!8i6656"				5		放浪息子	ホウロウムスコ	第1話で、高槻よしのがユキ（吉田紘之）から入学祝いに男子学生服をプレゼントされていた場所。				タマシ	ホ	13	35	2	
0788	0006		東京都	多摩市	聖蹟桜ヶ丘駅前交差点	206-0011	東京都多摩市関戸1-11		35.650298	139.446759							放浪息子	ホウロウムスコ					タマシ	ホ	13	35	2	
0788	0007		神奈川県	相模原市	相模大野中央公園	252-0303	神奈川県相模原市南区相模大野4-2-2		35.534433	139.434076							放浪息子	ホウロウムスコ					サガミハラシ	ホ	14	3	2	
