作品No.	聖地No.	確定	都道府県	市区郡	聖地名	郵便番号	住所	住所２	座標：緯度	座標：経度	SV	倍率	SV過去	Fov	Zoom	電話番号	作品	作品名フリガナ	備考	公式サイトURL	情報参照元URL	備考2	市区町村読み仮名	作品名50音	県順	市順	域順	実在
1159	0001	完了	東京都	中央区	Bar Lupin	104-0061	東京都中央区銀座5-5-11		35.671066	139.763313	"https://www.google.com/maps/@35.6710451,139.7632243,3a,15y,106.34h,99.15t/data=!3m8!1e1!3m6!1sCAoSLEFGMVFpcE5nZVhQUHpjdTlEOGx4WVhGMjhiTFQzZmhJbUl4a0ZjNlI5eUtM!2e10!3e11!6shttps:%2F%2Flh5.googleusercontent.com%2Fp%2FAF1QipNgeXPPzcu9D8lxYXF28bLT3fhImIxkFc6R9yKL%3Dw203-h100-k-no-pi-6.622864-ya147.62732-ro-9.061461-fo100!7i5376!8i2688"				5		文豪ストレイドッグス（第2期）	ブンゴウストレイドッグス	第13～15話で、ポートマフィア時代の太宰治、織田作之助、坂口安吾の行きつけのバーとして描かれていた店。				チュウオウク	フ	13	16	2	
1159	0002	完了	神奈川県	横浜市	横浜地方・簡易裁判所（旧横浜地方裁判所）	210-0011	神奈川県横浜市中区日本大通9		35.446522	139.641699	"https://www.google.co.jp/maps/@35.4460268,139.642072,3a,24.9y,342.52h,105.39t/data=!3m6!1e1!3m4!1s21JmFRgS3qDZVzxldzwrWw!2e0!7i16384!8i8192"				3.5		文豪ストレイドッグス（第2期）	ブンゴウストレイドッグス	第17話で、泉鏡花が武装探偵社の初仕事で、裁判の証拠資料を届けに訪れた裁判所。				ヨコハマシ	フ	14	1	2	
1159	0003	完了	神奈川県	横浜市	横浜美術館	220-0012	神奈川県横浜市西区みなとみらい3-4		35.457040	139.630539	-						文豪ストレイドッグス（第2期）	ブンゴウストレイドッグス	第15話で、芥川龍之介がミミックを襲撃するも、ミミックのリーダーであるアンドレ・ジイドに返り討ちに遭い、織田作之助に助けられていた美術館。<br />第24話のラストで、ギルド壊滅後に太宰治と広津柳浪が密会をしていたのも、この美術館でした。				ヨコハマシ	フ	14	1	2	
1159	0004	完了	神奈川県	横浜市	グランモール公園	220-0012	神奈川県横浜市西区みなとみらい3-4		35.456996	139.631046	-						文豪ストレイドッグス（第2期）	ブンゴウストレイドッグス	第15話で、芥川龍之介を助け出して美術館から逃走した織田作之助が、まさかの芥川からの攻撃を受けて足止めされたため、追ってきたミミックのリーダーであるアンドレ・ジイドと最初の対決をすることになっていた場所。				ヨコハマシ	フ	14	1	2	
1159	0005	完了	神奈川県	横浜市	伊勢山皇大神宮裏の森	220-0031	神奈川県横浜市西区宮崎町64		35.450565	139.626856	-						文豪ストレイドッグス（第2期）	ブンゴウストレイドッグス	第17話で、福沢諭吉を刺客に襲わせて付着させた放射性追跡元素を、中原中也が放射性トレヰシングシステムで探知した武装探偵社の隠れ家の座標位置。作中では、この地点の地下に、廃路線としか繋がっていない講堂のような空間がある設定になっていました。				ヨコハマシ	フ	14	1	2	
1159	0006	完了	神奈川県	横浜市	横浜市中央図書館	220-0032	神奈川県横浜市西区老松町1		35.447318	139.626228	"https://www.google.com/maps/@35.4471177,139.6255847,3a,37.7y,71.35h,90.48t/data=!3m6!1e1!3m4!1s2b6zM39Oi9V8j6a97E9wuA!2e0!7i13312!8i6656"						文豪ストレイドッグス（第2期）	ブンゴウストレイドッグス	第22話で、内務省異能特務課の小型強襲機「夜烏」が格納されていた施設で、「白鯨」に単独潜入を試みる中島敦が「夜烏」に乗り込むべく、谷崎潤一郎と一緒に訪れていました。				ヨコハマシ	フ	14	1	2	
1159	0007	完了	神奈川県	横浜市	象の鼻パーク	231-0002	神奈川県横浜市中区海岸通1		35.450892	139.642590	"https://www.google.com/maps/@35.4507552,139.6427222,3a,45.8y,313.2h,86.25t/data=!3m6!1e1!3m4!1sbqdHRr7gfykarr_F8tp2Og!2e0!7i13312!8i6656"						文豪ストレイドッグス（第2期）	ブンゴウストレイドッグス	第19話で、中島敦が太宰治と待ち合わせをしていた場所で、組合（ギルド）の襲撃を受けた太宰治は現れず、代わりに現れたフランシス・スコット・キー・フィッツジェラルドと交戦していました。				ヨコハマシ	フ	14	1	2	
1159	0008	完了	神奈川県	横浜市	象の鼻パーク　高架歩道	231-0002	神奈川県横浜市中区海岸通1		35.448623	139.644033	"https://www.google.com/maps/@35.4486466,139.6440015,3a,75y,253.38h,83.63t/data=!3m6!1e1!3m4!1saQs_t1cXRuRETAW1PgxOvw!2e0!7i13312!8i6656"						文豪ストレイドッグス（第2期）	ブンゴウストレイドッグス	第20話で、Q（夢野久作）が、ハワード・フィリップス・ラヴクラフトに精神攻撃を仕掛けようとして逆に捕獲されていた橋。				ヨコハマシ	フ	14	1	2	
1159	0009	完了	神奈川県	横浜市	新港橋	231-0002	神奈川県横浜市中区海岸通1		35.450934	139.642339	"https://www.google.com/maps/@35.4506137,139.64243,3a,15y,346.67h,92.39t/data=!3m7!1e1!3m5!1sSiuQSt9VvU08qDkzvlD2uA!2e0!6s%2F%2Fgeo1.ggpht.com%2Fcbk%3Fpanoid%3DSiuQSt9VvU08qDkzvlD2uA%26output%3Dthumbnail%26cb_client%3Dmaps_sv.tactile.gps%26thumb%3D2%26w%3D203%26h%3D100%26yaw%3D300.9848%26pitch%3D0%26thumbfov%3D100!7i13312!8i6656"				5		文豪ストレイドッグス（第2期）	ブンゴウストレイドッグス	第19話のラストで、フランシス・スコット・キー・フィッツジェラルドと戦いに為す術なく敗れた中島敦が連れ去られようとしているのを阻止すべく、泉鏡花が現れていた橋。<br />第20話冒頭では、フィッツジェラルドの隙をついて中島敦を連れて橋から遊覧船の屋根に飛び降り逃亡していました。				ヨコハマシ	フ	14	1	2	
1159	0010	完了	神奈川県	横浜市	みなとみらい線 日本大通り駅　2番出入口	231-0021	神奈川県横浜市中区日本大通		35.446717	139.642430	"https://www.google.com/maps/@35.4468642,139.6424933,3a,17y,198.79h,87.87t/data=!3m6!1e1!3m4!1s0swuJrVXDdMt3W1gKagIIA!2e0!7i13312!8i6656"				5		文豪ストレイドッグス（第2期）	ブンゴウストレイドッグス	第20話で、太宰治にQの人形を届けるために「白鯨」から脱出してマーク・トウェインの狙撃から逃げ回り、力尽きかけた中島敦を太宰が運び込んだ場所。				ヨコハマシ	フ	14	1	2	
