作品No.	聖地No.	確定	都道府県	市区郡	聖地名	郵便番号	住所	住所２	座標：緯度	座標：経度	SV	倍率	SV過去	Fov	Zoom	電話番号	作品	作品名フリガナ	備考	公式サイトURL	情報参照元URL	備考2	市区町村読み仮名	作品名50音	県順	市順	域順	実在
0424	0015	完了	東京都	渋谷区	東急百貨店 渋谷・本店　屋上庭園	150-0043	東京都渋谷区道玄坂2-24-1		35.660729	139.696159	-						新妹魔王の契約者	シンマイマオウノテスタメント	第6話で、渋谷で一緒にショッピング中に突然姿を消した野中柚希を心配した東城刃更、成瀬澪、成瀬万理亜たちが電話をかけていた場所で、ヴァルガの襲撃に遭い、次いで現れた斯波恭一率いる勇者の一族たちと戦闘になっていました。				シブヤク	シ	13	10	2	
0424	0001	完了	東京都	渋谷区	SHIBUYA109	150-0043	東京都渋谷区道玄坂2-29-1		35.659568	139.698999	"https://www.google.co.jp/maps/@35.6594669,139.6994542,3a,45.7y,284.75h,123.89t/data=!3m6!1e1!3m4!1slO5Pc8k9FPIAZiJvSLkSEQ!2e0!7i13312!8i6656"	17					新妹魔王の契約者	シンマイマオウノテスタメント	第6話冒頭の東城刃更と野中柚希のデートシーンで、2人が買い物に行った場所で、2人を尾行してきた成瀬澪と成瀬万理亜が、偶然遭遇したように装って合流していました。<br />作中では109の文字が「209」になっています。				シブヤク	シ	13	10	2	
0424	0002	完了	東京都	多摩市	聖蹟桜ヶ丘ザ・スクエア	206-0011	東京都多摩市関戸1-1		35.651261	139.446216	"https://www.google.co.jp/maps/@35.651237,139.446447,3a,57.3y,237.57h,98.47t/data=!3m4!1e1!3m2!1sIpEsZU-dJxfWqbzC0Xj90Q!2e0"					042-373-3541	新妹魔王の契約者	シンマイマオウノテスタメント	第1話冒頭の、東城刃更が、父・東城迅から「よかったな、かわいい妹ができて」と突然、義妹ができたことを知らされていたシーンの挿入カットで描かれていた建物。<br />刃更たちがいた店は、サイゼリヤ 聖蹟桜ヶ丘ザスクエア店がモデルのようです。	http://the-square-sc.com/			タマシ	シ	13	35	2	
0424	0003	完了	東京都	多摩市	連絡通路	206-0011	東京都多摩市関戸1-1		35.651518	139.446572	-						新妹魔王の契約者	シンマイマオウノテスタメント	第6話で東城刃更たちが呼び出された、準S級消滅対象になった成瀬澪を討滅しに来た斯波恭一率いる早瀬高志、野中胡桃、野中柚希の4人との決闘の待ち合わせ場所。<br />京王聖蹟桜ヶ丘ショッピングセンターB館と聖蹟桜ヶ丘ザ・スクエアを繋ぐ連絡通路になります。				タマシ	シ	13	35	2	
0424	0004	完了	東京都	多摩市	京王 聖蹟桜ヶ丘ショッピングセンターA館	206-0011	東京都多摩市関戸1-10-1		35.650488	139.447040	"https://www.google.co.jp/maps/@35.6501562,139.4467369,3a,49.1y,32.6h,113.6t/data=!3m6!1e1!3m4!1sO4uMHRgLBaqYdV9z-Bpz7g!2e0!7i13312!8i6656"						新妹魔王の契約者	シンマイマオウノテスタメント	第8話冒頭の、学校帰りの東城刃更と成瀬澪が、わずか10日前の日常がすっかり一変してしまったことへ思いを馳せていたシーンで、ショッピングセンター外観が描かれていました。	http://www.keio-sc.jp/			タマシ	シ	13	35	2	
0424	0005	完了	東京都	多摩市	京王 聖蹟桜ヶ丘ショッピングセンターB館	206-0011	東京都多摩市関戸1-10-1		35.651388	139.446679	"https://www.google.co.jp/maps/@35.6512156,139.4464886,3a,40y,24.06h,100.76t/data=!3m6!1e1!3m4!1s0P-YSp7ItQoL6PqedJU_gA!2e0!7i16384!8i8192"						新妹魔王の契約者	シンマイマオウノテスタメント	第8話冒頭で、学校帰りの東城刃更と成瀬澪が、わずか10日前の日常が、すっかり一変してしまったことへ思いを馳せていたシーンで、ビル2F外周の連絡通路から街を眺める2人の姿が描かれていました。	http://www.keio-sc.jp/			タマシ	シ	13	35	2	
0424	0006	完了	東京都	多摩市	桜ケ丘駅前交番	206-0011	東京都多摩市関戸1-11-16		35.650448	139.446696	"https://www.google.co.jp/maps/@35.6502582,139.4467723,3a,15y,338.29h,91.03t/data=!3m6!1e1!3m4!1sVswGRGOwwz9jiubbAPjOYw!2e0!7i16384!8i8192"				5		新妹魔王の契約者	シンマイマオウノテスタメント	第7話で、勇者の一族たちとの決闘に勝利した東城刃更たちが、敗北して観念した早瀬高志と話をしていたシーンの背景に描かれていた建物。				タマシ	シ	13	35	2	
0424	0007	完了	東京都	多摩市	大河原公園	206-0011	東京都多摩市関戸2-19		35.650680	139.453872	-						新妹魔王の契約者	シンマイマオウノテスタメント	第5話の焼肉屋帰りのシーンで、東城刃更が長谷川千里から大切なものを守る方法をアドバイスされていた公園。				タマシ	シ	13	35	2	
0424	0008	完了	東京都	多摩市	龍苑	206-0011	東京都多摩市関戸2-32-1	プリメーラ多摩2～3F	35.649148	139.452709	"https://www.google.co.jp/maps/@35.6490343,139.4527656,3a,34y,333.34h,111.47t/data=!3m6!1e1!3m4!1stGN2XGaJWLt56VnYj_YLPg!2e0!7i13312!8i6656"					042-374-8900	新妹魔王の契約者	シンマイマオウノテスタメント	第5話で、東城刃更が滝川八尋に協定を結んでくれた借りを返すために焼肉を奢っていた店で、長谷川千里と遭遇して相席していました。<br />作中では店名が「鶴苑」になっていました。<br />※閉店済。				タマシ	シ	13	35	2	閉店
0424	0009	完了	東京都	多摩市	開心	206-0011	東京都多摩市関戸2-32-1	プリメーラ多摩1F	35.649143	139.452699	"https://www.google.co.jp/maps/@35.6490741,139.4526176,3a,19y,60.84h,87.99t/data=!3m6!1e1!3m4!1srdqpphkbNkFvvLsIhLyefw!2e0!7i13312!8i6656"				5		新妹魔王の契約者	シンマイマオウノテスタメント	第5話で、東城刃更が、滝川八尋、長谷川千里と焼肉を食べた後、この店の前で、滝川が用事があると別れていました。<br />作中では店名が「会心」になっていました。焼肉屋の1Fになります。<br />※閉店済。				タマシ	シ	13	35	2	
0424	0010	完了	東京都	多摩市	聖蹟桜ヶ丘ビュータワー	206-0011	東京都多摩市関戸4-72		35.649400	139.447362	"https://www.google.co.jp/maps/@35.6462041,139.4464493,3a,15y,8.19h,99.19t/data=!3m6!1e1!3m4!1s6gzmYWdRU4kag1L1yexU3A!2e0!7i13312!8i6656"				5		新妹魔王の契約者	シンマイマオウノテスタメント	第1話の、スーパー帰りの東城刃更が成瀬澪に街が一望できる高台を紹介していたシーンで、高台からの景色のカットの一つとして描かれていたビル。<br />いろは坂から見た構図かと思われます。				タマシ	シ	13	35	2	
