作品No.	聖地No.	確定	都道府県	市区郡	聖地名	郵便番号	住所	住所２	座標：緯度	座標：経度	SV	倍率	SV過去	Fov	Zoom	電話番号	作品	作品名フリガナ	備考	公式サイトURL	情報参照元URL	備考2	市区町村読み仮名	作品名50音	県順	市順	域順	実在
0634	0001	完了	青森県	むつ市	恐山	035-0021	青森県むつ市田名部字宇曽利山3-2		41.326843	141.088936	-	13.0		0			日常	ニチジョウ	第5話でイタコが信じられない中之条剛が真実を調査するために訪れた山。				ムツシ	ニ	2	8	1	
0634	0002	完了	群馬県	高崎市	JR 高崎問屋町駅	370-0042	群馬県高崎市貝沢町715		36.346086	139.017114	"https://www.google.co.jp/maps/@36.346127,139.01677,3a,75y,109.09h,91.39t/data=!3m4!1e1!3m2!1sxSWoVuioT9Evnn3Yy8ZQoA!2e0?hl=ja"	13.0		120	1.2		日常	ニチジョウ	第18話で休日に水上麻衣からハロウィンに誘われた相生祐子が、電車で訪れた「時定問屋町駅」のモデル。				タカサキシ	ニ	10	6	2	
0634	0003	完了	群馬県	伊勢崎市	JR 伊勢崎駅	372-0055	群馬県伊勢崎市曲輪町3-1		36.326927	139.193741		13.0		0			日常	ニチジョウ	第７話で相生祐子が駆け込み乗車で自分だけ間に合ってしまい、一人で電車に乗る羽目に合っていた駅。				イセサキシ	ニ	10	4	2	
0634	0004	完了	群馬県	伊勢崎市	伊勢崎商業高等学校	372-0001	群馬県伊勢崎市波志江町1116		36.340619	139.181542		15.0		0		0270-25-4551	日常	ニチジョウ	第6話、第11話、第12話、第16話、第17話、第24話で校門や校舎が描かれていた相生祐子たちの通う「時定高校」のモデル。原作者あらゐけいいちの母校。	http://www.isyo-hs.gsn.ed.jp/	http://www.isyo-hs.gsn.ed.jp/		イセサキシ	ニ	10	4	2	
0634	0005	完了	群馬県	伊勢崎市	伊勢崎商業高等学校 北校門	372-0001	群馬県伊勢崎市波志江町1116		36.340905	139.180973	"https://www.google.co.jp/maps/@36.340921,139.180977,3a,75y,165.87h,95.77t/data=!3m4!1e1!3m2!1s3-PtYq6i-TfwvOCviTrUhQ!2e0?hl=ja"	17.0		120	1	0270-25-4551	日常	ニチジョウ	第6話で校門や校舎が描かれていた相生祐子たちの通う「時定高校」のモデル。原作者あらゐけいいちの母校。				イセサキシ	ニ	10	4	2	
0634	0006	完了	群馬県	伊勢崎市	伊勢崎商業高等学校 東校門	372-0001	群馬県伊勢崎市波志江町1116		36.340736	139.182588	"https://www.google.co.jp/maps/@36.34074,139.182645,3a,75y,254.93h,91.34t/data=!3m4!1e1!3m2!1sdodlo4uv2LA-IeC5R3NlSQ!2e0?hl=ja"	17.0		120	1.5	0270-25-4551	日常	ニチジョウ	第6話、第11話、第12話、第16話、第17話、第24話で校門や校舎が描かれていた相生祐子たちの通う「時定高校」のモデル。原作者あらゐけいいちの母校。	http://www.isyo-hs.gsn.ed.jp/	http://www.isyo-hs.gsn.ed.jp/		イセサキシ	ニ	10	4	2	
0634	0007	完了	群馬県	伊勢崎市	伊勢崎商業高等学校沿いの道	372-0001	群馬県伊勢崎市波志江町1116		36.340181	139.182637	"https://www.google.co.jp/maps/@36.340172,139.182636,3a,75y,195h,95.77t/data=!3m4!1e1!3m2!1sZFwJK_UXBYI8gj3-_rJDiQ!2e0?hl=ja"	17.0		120	3		日常	ニチジョウ	第14話で靴を無くしてへたり込んだ相生祐子が犬（バーディー）に慰められていた場所。座標地点から南側を向いた構図で描かれており、石井病院の建物などが確認できます。				イセサキシ	ニ	10	4	2	
0634	0008	完了	群馬県	伊勢崎市	伊勢崎市iタワー花の森住宅駐車場裏	372-0048	群馬県伊勢崎市大手町3-1		36.326196	139.196115	"https://www.google.co.jp/maps/@36.325968,139.19603,3a,75y,44.13h,91.79t/data=!3m4!1e1!3m2!1sKHoFQl85gYXAZKwHe7TWbQ!2e0?hl=ja"	16.0		120	3		日常	ニチジョウ	東雲研究所の所在地設定場所。東武伊勢崎線の線路や踏切は削除されていますが、両毛線高架や高さ制限バー、隣のマンションの形状などは一致します。				イセサキシ	ニ	10	4	2	
0634	0009	完了	群馬県	伊勢崎市	伊勢崎大手町郵便局	372-0048	群馬県伊勢崎市大手町12-33		36.32386	139.194441	"https://www.google.co.jp/maps/@36.323942,139.194318,3a,75y,108.71h,97.78t/data=!3m4!1e1!3m2!1sp9klIlBBZFrTQg1F-ZyY1w!2e0?hl=ja"	17.0		120	2.2	0270-25-3568	日常	ニチジョウ	第1話の登校やホームルーム、朝礼などのシーンの場面展開時の挿入カットで度々登場した建物。※建物は残っていますが、郵便局は廃止となり、2016年7月8日に営業を終了しています。				イセサキシ	ニ	10	4	2	閉店
0634	0010	完了	群馬県	伊勢崎市	モスバーガー伊勢崎堤下店	372-0004	群馬県伊勢崎市堤下町133-1		36.337621	139.197515	"https://www.google.co.jp/maps/@36.337833,139.197715,3a,75y,235.31h,96.4t/data=!3m4!1e1!3m2!1sZvpcosZqMy-sgD5FrIRlyw!2e0?hl=ja"	17.0		120	3		日常	ニチジョウ	第16話で相生祐子、長野原みお、水上麻衣の3人が宿題をしていた店。作中では店名が「DAIKU BURGER」になっていました。				イセサキシ	ニ	10	4	2	
